"treatment","direction","nCrittersGame_bin","representation_bin","count","prop","entropy_bin"
"interactive","SR","(20,25]","[0,0.12]",1,0.00380228136882129,NA
"interactive","SR","(30,35]","(0.36,0.48]",1,0.00380228136882129,NA
"interactive","SR","(30,35]","(0.48,0.6]",1,0.00380228136882129,NA
"interactive","SR","[15,20]","(0.36,0.48]",1,0.00380228136882129,NA
"slider","RS","(20,25]","(0.24,0.36]",1,0.00380228136882129,NA
"slider","RS","(20,25]","[0,0.12]",1,0.00380228136882129,NA
"slider","RS","(30,35]","(0.36,0.48]",1,0.00380228136882129,NA
"slider","RS","(35,40]","(0.48,0.6]",1,0.00380228136882129,NA
"slider","RS","[15,20]","(0.36,0.48]",1,0.00380228136882129,NA
"slider","SR","(20,25]","(0.48,0.6]",1,0.00380228136882129,NA
"slider","SR","(25,30]","(0.48,0.6]",1,0.00380228136882129,NA
"slider","SR","(35,40]","(0.24,0.36]",1,0.00380228136882129,NA
"slider","SR","(35,40]","(0.36,0.48]",1,0.00380228136882129,NA
"interactive","SR",NA,"(0.36,0.48]",1,0.142857142857143,"(0.27,0.54]"
"interactive","SR",NA,"[0,0.12]",1,0.0625,"(0.54,0.81]"
"interactive","SR",NA,"(0.12,0.24]",1,0.0625,"(0.81,1.1]"
"interactive","SR",NA,"(0.48,0.6]",1,0.0625,"(0.81,1.1]"
"interactive","SR",NA,"(0.36,0.48]",1,0.0625,"(1.1,1.4]"
"slider","RS",NA,"(0.12,0.24]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.36,0.48]",1,0.0714285714285714,"(1.1,1.4]"
"slider","RS",NA,"(0.24,0.36]",1,0.1,"(1.4,1.6]"
"slider","SR",NA,"(0.12,0.24]",1,0.1,"(1.4,1.6]"
"interactive","SR",NA,"(0.36,0.48]",1,0.142857142857143,"(0.27,0.54]"
"interactive","SR",NA,"[0,0.12]",1,0.0625,"(0.54,0.81]"
"interactive","SR",NA,"(0.12,0.24]",1,0.0625,"(0.81,1.1]"
"interactive","SR",NA,"(0.48,0.6]",1,0.0625,"(0.81,1.1]"
"interactive","SR",NA,"(0.36,0.48]",1,0.0625,"(1.1,1.4]"
"slider","RS",NA,"(0.12,0.24]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.36,0.48]",1,0.0714285714285714,"(1.1,1.4]"
"slider","RS",NA,"(0.24,0.36]",1,0.1,"(1.4,1.6]"
"slider","SR",NA,"(0.12,0.24]",1,0.1,"(1.4,1.6]"
