"treatment","nCrittersGame_bin","representation_bin","count","prop","direction","entropy_bin"
"interactive","(20,25]","(0.12,0.24]",2,0.00746268656716418,NA,NA
"interactive","(20,25]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","(20,25]","[0,0.12]",3,0.0111940298507463,NA,NA
"interactive","(25,30]","(0.12,0.24]",3,0.0111940298507463,NA,NA
"interactive","(25,30]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","(25,30]","(0.48,0.6]",2,0.00746268656716418,NA,NA
"interactive","(25,30]","[0,0.12]",3,0.0111940298507463,NA,NA
"interactive","(30,35]","(0.12,0.24]",2,0.00746268656716418,NA,NA
"interactive","(30,35]","(0.24,0.36]",2,0.00746268656716418,NA,NA
"interactive","(30,35]","(0.48,0.6]",2,0.00746268656716418,NA,NA
"interactive","(35,40]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","(35,40]","(0.48,0.6]",2,0.00746268656716418,NA,NA
"interactive","(35,40]","[0,0.12]",2,0.00746268656716418,NA,NA
"interactive","[15,20]","(0.12,0.24]",2,0.00746268656716418,NA,NA
"interactive","[15,20]","(0.24,0.36]",2,0.00746268656716418,NA,NA
"interactive","[15,20]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","[15,20]","[0,0.12]",2,0.00746268656716418,NA,NA
"interactive","(20,25]","(0.12,0.24]",3,0.0111940298507463,NA,NA
"interactive","(20,25]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","(20,25]","[0,0.12]",1,0.00373134328358209,NA,NA
"interactive","(25,30]","(0.24,0.36]",2,0.00746268656716418,NA,NA
"interactive","(25,30]","(0.36,0.48]",2,0.00746268656716418,NA,NA
"interactive","(25,30]","(0.48,0.6]",3,0.0111940298507463,NA,NA
"interactive","(25,30]","[0,0.12]",2,0.00746268656716418,NA,NA
"interactive","(30,35]","(0.24,0.36]",3,0.0111940298507463,NA,NA
"interactive","(30,35]","(0.36,0.48]",1,0.00373134328358209,NA,NA
"interactive","(30,35]","(0.48,0.6]",1,0.00373134328358209,NA,NA
"interactive","(30,35]","[0,0.12]",3,0.0111940298507463,NA,NA
