coding,text,time,round,recipient,sender.id,gameID,treatmentName
pn,There are 2 rabbits no other animals,1710000000000,1,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i can see 3 rabbits and 1 squirrel,1710000000000,1,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,There are 2 rabbits,1710000000000,2,01HVSDH7FFYJD4H2DBWBVBKHTP,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i can see 3 rabbits and 1 squirrel,1710000000000,2,01HVSDEP9426S7Y9TDP0DD75DT,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I see 2 rabbits,1710000000000,3,01HVSDHQ73RYFKPTX7RHFHAKF2,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,3 rabbits and 1 squirrel,1710000000000,3,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I see 2 rabbits,1710000000000,4,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,3 rabbits 1 squirrel,1710000000000,4,01HVSDH7FFYJD4H2DBWBVBKHTP,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
o,Hello??,1710000000000,4,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I can see 2 rabbits,1710000000000,5,01HVSD7KNMTR3G9EX8AFBR0XS0,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,5,01HVSDHQ73RYFKPTX7RHFHAKF2,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
sbq,What can you see?,1710000000000,5,01HVSD7KNMTR3G9EX8AFBR0XS0,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
q,??,1710000000000,5,01HVSD7KNMTR3G9EX8AFBR0XS0,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,There are 2 rabbits,1710000000000,6,01HVSDEP9426S7Y9TDP0DD75DT,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,6,01HVSD7KNMTR3G9EX8AFBR0XS0,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I can see 2 rabbits,1710000000000,7,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,7,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
o,Cool,1710000000000,7,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
o,You're the only person answering,1710000000000,7,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I can see 2 rabbits,1710000000000,8,01HVSDH7FFYJD4H2DBWBVBKHTP,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,8,01HVSDEP9426S7Y9TDP0DD75DT,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I see 2 rabbits,1710000000000,9,01HVSDHQ73RYFKPTX7RHFHAKF2,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,9,01HVSDF9Q1NX6M632F4ZAVKFWB,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,I see 2 rabbits,1710000000000,10,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSDCK79AC5R26CR9ZT9WRC0,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
pn,i see 3 rabbits and 1 squirrel,1710000000000,10,01HVSDH7FFYJD4H2DBWBVBKHTP,01HVSD7680PC7Q6NKVJ6MGHZQ3,01HVSCMV2H420GY45RAV9YF2YE,rerun-interactive- 0.7
