gameID,playerID,nRabbits,nSquirrels
1,1,13,1
1,2,2,2
1,3,0,1
1,4,0,1
2,5,0,1
2,6,20,4
2,7,0,1
2,8,1,2
3,9,0,3
3,10,2,0
3,11,0,2
3,12,13,0
4,13,1,2
4,14,15,2
4,15,0,1
4,16,0,1
5,17,14,0
5,18,0,1
5,19,0,3
5,20,1,2
6,21,1,2
6,22,14,2
6,23,0,1
6,24,0,1
7,25,0,1
7,26,0,1
7,27,0,1
7,28,24,5
8,29,0,1
8,30,20,4
8,31,0,1
8,32,0,1
9,33,26,4
9,34,1,2
9,35,0,3
9,36,0,1
10,37,0,1
10,38,15,3
10,39,0,1
10,40,0,1
11,41,18,3
11,42,0,1
11,43,0,1
11,44,0,1
12,45,15,1
12,46,0,1
12,47,0,1
12,48,1,3
13,49,13,1
13,50,0,1
13,51,0,1
13,52,2,2
14,53,0,1
14,54,3,4
14,55,0,1
14,56,19,2
15,57,0,1
15,58,1,3
15,59,0,2
15,60,23,2
16,61,0,1
16,62,0,1
16,63,17,3
16,64,1,2
17,65,0,1
17,66,0,1
17,67,21,4
17,68,0,1
18,69,16,3
18,70,0,1
18,71,0,1
18,72,0,1
19,73,0,2
19,74,18,1
19,75,0,1
19,76,1,3
20,77,0,1
20,78,24,5
20,79,0,1
20,80,0,2
21,81,16,2
21,82,0,1
21,83,1,2
21,84,0,1
22,85,0,1
22,86,0,1
22,87,21,4
22,88,1,2
23,89,0,1
23,90,0,3
23,91,19,2
23,92,0,1
24,93,15,2
24,94,0,1
24,95,0,1
24,96,0,1
25,97,4,4
25,98,16,1
25,99,0,1
25,100,0,1
26,101,0,2
26,102,0,1
26,103,14,0
26,104,4,3
27,105,0,1
27,106,0,1
27,107,21,4
27,108,0,1
28,109,12,1
28,110,0,2
28,111,0,3
28,112,3,0
29,113,23,4
29,114,0,1
29,115,0,1
29,116,2,3
30,117,2,0
30,118,13,1
30,119,0,1
30,120,0,3
31,121,0,1
31,122,15,2
31,123,0,1
31,124,0,1
