gameID,players,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
1,"[{""playerID"": 1, ""nRabbits"": 5, ""nSquirrels"": 2}, {""playerID"": 1, ""nRabbits"": 13, ""nSquirrels"": 6}, {""playerID"": 1, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 1, ""nRabbits"": 24, ""nSquirrels"": 3}]",45,11,0.8035714285714286,56,0.4954113328700338,0.12259816207184626
1,"[{""playerID"": 2, ""nRabbits"": 17, ""nSquirrels"": 8}, {""playerID"": 2, ""nRabbits"": 11, ""nSquirrels"": 3}, {""playerID"": 2, ""nRabbits"": 17, ""nSquirrels"": 7}, {""playerID"": 2, ""nRabbits"": 5, ""nSquirrels"": 3}]",50,21,0.704225352112676,71,0.6072415465680875,0.047261904761904755
1,"[{""playerID"": 3, ""nRabbits"": 2, ""nSquirrels"": 3}, {""playerID"": 3, ""nRabbits"": 18, ""nSquirrels"": 11}, {""playerID"": 3, ""nRabbits"": 23, ""nSquirrels"": 5}, {""playerID"": 3, ""nRabbits"": 8, ""nSquirrels"": 1}]",51,20,0.7183098591549296,71,0.5945425145058163,0.1724069512862616
1,"[{""playerID"": 4, ""nRabbits"": 6, ""nSquirrels"": 3}, {""playerID"": 4, ""nRabbits"": 6, ""nSquirrels"": 5}, {""playerID"": 4, ""nRabbits"": 13, ""nSquirrels"": 5}, {""playerID"": 4, ""nRabbits"": 22, ""nSquirrels"": 8}]",47,21,0.6911764705882353,68,0.6181561099913326,0.06085858585858586
2,"[{""playerID"": 5, ""nRabbits"": 5, ""nSquirrels"": 1}, {""playerID"": 5, ""nRabbits"": 17, ""nSquirrels"": 3}, {""playerID"": 5, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 5, ""nRabbits"": 10, ""nSquirrels"": 6}]",35,10,0.7777777777777778,45,0.5297061990576545,0.12569444444444444
2,"[{""playerID"": 6, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 6, ""nRabbits"": 13, ""nSquirrels"": 4}, {""playerID"": 6, ""nRabbits"": 3, ""nSquirrels"": 8}, {""playerID"": 6, ""nRabbits"": 0, ""nSquirrels"": 1}]",16,14,0.5333333333333333,30,0.6909233093138181,0.38966131907308377
2,"[{""playerID"": 7, ""nRabbits"": 4, ""nSquirrels"": 2}, {""playerID"": 7, ""nRabbits"": 6, ""nSquirrels"": 6}, {""playerID"": 7, ""nRabbits"": 7, ""nSquirrels"": 3}, {""playerID"": 7, ""nRabbits"": 12, ""nSquirrels"": 8}]",29,19,0.6041666666666666,48,0.6712860177043469,0.06666666666666665
2,"[{""playerID"": 8, ""nRabbits"": 10, ""nSquirrels"": 2}, {""playerID"": 8, ""nRabbits"": 16, ""nSquirrels"": 4}, {""playerID"": 8, ""nRabbits"": 4, ""nSquirrels"": 7}, {""playerID"": 8, ""nRabbits"": 13, ""nSquirrels"": 7}]",43,20,0.6825396825396826,63,0.6249402748692627,0.15492424242424244
3,"[{""playerID"": 9, ""nRabbits"": 23, ""nSquirrels"": 4}, {""playerID"": 9, ""nRabbits"": 7, ""nSquirrels"": 1}, {""playerID"": 9, ""nRabbits"": 17, ""nSquirrels"": 9}, {""playerID"": 9, ""nRabbits"": 13, ""nSquirrels"": 15}]",60,29,0.6741573033707865,89,0.6311953270025468,0.15217999592999593
3,"[{""playerID"": 10, ""nRabbits"": 22, ""nSquirrels"": 8}, {""playerID"": 10, ""nRabbits"": 20, ""nSquirrels"": 7}, {""playerID"": 10, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 10, ""nRabbits"": 9, ""nSquirrels"": 2}]",53,18,0.7464788732394366,71,0.5661705381625348,0.04259970597998772
