gameID,playerID,nRabbits,nSquirrels
1,1,6,0
1,2,3,3
1,3,8,2
1,4,1,3
2,5,3,4
2,6,1,0
2,7,1,1
2,8,10,2
3,9,8,2
3,10,0,2
3,11,3,1
3,12,10,4
4,13,7,5
4,14,2,0
4,15,5,1
4,16,4,3
5,17,5,5
5,18,8,3
5,19,7,1
5,20,2,1
6,21,19,8
6,22,2,2
6,23,1,0
6,24,4,2
7,25,1,0
7,26,3,3
7,27,5,2
7,28,2,1
8,29,2,2
8,30,4,0
8,31,3,1
8,32,2,3
9,33,2,5
9,34,7,2
9,35,10,3
9,36,6,2
10,37,0,1
10,38,1,1
10,39,9,3
10,40,11,5
11,41,4,2
11,42,8,4
11,43,2,2
11,44,2,0
12,45,1,1
12,46,2,0
12,47,7,4
12,48,9,4
13,49,3,2
13,50,13,4
13,51,10,4
13,52,0,2
14,53,17,10
14,54,3,2
14,55,1,0
14,56,5,0
15,57,17,7
15,58,1,0
15,59,0,1
15,60,10,4
16,61,9,1
16,62,4,3
16,63,0,2
16,64,1,1
17,65,6,4
17,66,2,0
17,67,1,1
17,68,2,0
18,69,5,0
18,70,0,1
18,71,7,6
18,72,2,0
19,73,8,6
19,74,4,0
19,75,12,6
19,76,1,0
20,77,19,8
20,78,1,0
20,79,4,3
20,80,3,1
21,81,8,3
21,82,2,2
21,83,7,4
21,84,8,3
22,85,3,1
22,86,2,4
22,87,2,0
22,88,15,5
23,89,3,1
23,90,3,1
23,91,5,3
23,92,12,5
24,93,2,3
24,94,5,2
24,95,3,1
24,96,6,1
25,97,10,2
25,98,3,1
25,99,2,4
25,100,13,5
26,101,5,5
26,102,5,1
26,103,1,0
26,104,3,1
27,105,3,0
27,106,5,4
27,107,1,0
27,108,1,1
28,109,4,0
28,110,6,2
28,111,6,3
28,112,5,5
29,113,5,3
29,114,1,0
29,115,2,1
29,116,2,1
30,117,1,1
30,118,0,1
30,119,3,0
30,120,6,3
31,121,0,1
31,122,2,0
31,123,13,6
31,124,1,0
32,125,4,4
32,126,3,1
32,127,1,0
32,128,9,3
33,129,2,1
33,130,3,3
33,131,4,1
33,132,4,1
34,133,5,1
34,134,3,2
34,135,2,1
34,136,1,1
35,137,1,1
35,138,1,1
35,139,5,2
35,140,14,6
36,141,2,0
36,142,1,1
36,143,3,0
36,144,9,6
37,145,3,1
37,146,2,3
37,147,3,0
37,148,5,2
38,149,1,1
38,150,0,3
38,151,9,2
38,152,1,0
39,153,1,0
39,154,1,0
39,155,2,3
39,156,12,5
40,157,2,1
40,158,22,9
40,159,3,2
40,160,1,0
41,161,12,5
41,162,3,0
41,163,5,3
41,164,3,2
42,165,3,0
42,166,4,3
42,167,5,3
42,168,4,1
43,169,1,1
43,170,12,8
43,171,1,0
43,172,9,1
44,173,7,4
44,174,5,0
44,175,8,6
44,176,1,0
45,177,5,4
45,178,0,1
45,179,8,3
45,180,5,1
46,181,1,1
46,182,12,2
46,183,3,1
46,184,9,8
47,185,1,3
47,186,17,3
47,187,2,2
47,188,1,1
48,189,0,1
48,190,3,2
48,191,14,3
48,192,7,5
49,193,6,1
49,194,4,3
49,195,8,5
49,196,4,1
50,197,3,5
50,198,1,0
50,199,5,0
50,200,2,0
51,201,5,1
51,202,7,2
51,203,13,7
51,204,0,1
52,205,10,3
52,206,5,0
52,207,11,8
52,208,1,1
53,209,4,1
53,210,7,5
53,211,2,0
53,212,1,0
54,213,1,0
54,214,7,1
54,215,2,3
54,216,3,2
55,217,4,0
55,218,2,0
55,219,5,4
55,220,1,2
56,221,1,0
56,222,3,2
56,223,5,1
56,224,7,5
57,225,2,0
57,226,3,1
57,227,18,10
57,228,2,1
58,229,16,7
58,230,1,1
58,231,2,1
58,232,3,1
59,233,5,0
59,234,6,3
59,235,0,1
59,236,7,4
60,237,3,4
60,238,1,0
60,239,5,2
60,240,15,5
61,241,4,1
61,242,1,1
61,243,5,2
61,244,3,2
62,245,9,1
62,246,2,3
62,247,8,3
62,248,8,5
63,249,3,5
63,250,12,3
63,251,2,0
63,252,3,1
64,253,5,1
64,254,2,2
64,255,4,4
64,256,15,5
65,257,6,2
65,258,2,0
65,259,3,1
65,260,3,3
66,261,15,6
66,262,1,1
66,263,8,4
66,264,2,1
67,265,4,1
67,266,16,10
67,267,2,0
67,268,2,0
68,269,1,0
68,270,7,1
68,271,9,6
68,272,6,3
69,273,8,1
69,274,2,1
69,275,14,9
69,276,1,0
70,277,4,1
70,278,3,1
70,279,8,4
70,280,7,4
71,281,9,3
71,282,3,2
71,283,0,1
71,284,2,1
72,285,2,0
72,286,11,4
72,287,0,1
72,288,0,1
73,289,2,2
73,290,1,0
73,291,17,7
73,292,1,0
74,293,3,4
74,294,2,1
74,295,7,1
74,296,6,2
75,297,9,3
75,298,7,5
75,299,5,1
75,300,2,2
76,301,9,6
76,302,4,2
76,303,2,1
76,304,6,0
77,305,5,1
77,306,1,1
77,307,0,1
77,308,5,3
78,309,4,2
78,310,0,1
78,311,12,3
78,312,5,4
