gameID,playerID,nRabbits,nSquirrels
1,1,3,2
1,2,6,2
1,3,2,1
1,4,3,0
2,5,3,5
2,6,1,0
2,7,0,0
2,8,2,3
3,9,6,1
3,10,9,0
3,11,8,0
3,12,0,0
4,13,5,2
4,14,2,1
4,15,3,1
4,16,4,1
5,17,3,4
5,18,0,0
5,19,1,1
5,20,2,2
6,21,0,0
6,22,0,0
6,23,5,0
6,24,5,3
7,25,2,1
7,26,5,1
7,27,7,2
7,28,6,0
8,29,6,3
8,30,1,0
8,31,5,1
8,32,4,0
9,33,1,0
9,34,0,0
9,35,1,0
9,36,4,2
10,37,0,0
10,38,5,1
10,39,7,1
10,40,4,1
11,41,6,3
11,42,4,1
11,43,2,6
11,44,1,1
12,45,3,2
12,46,2,1
12,47,3,1
12,48,5,2
13,49,5,0
13,50,6,2
13,51,5,2
13,52,7,1
14,53,7,1
14,54,4,3
14,55,0,0
14,56,0,1
15,57,6,2
15,58,5,3
15,59,0,0
15,60,1,1
16,61,3,5
16,62,4,1
16,63,0,0
16,64,1,0
17,65,4,4
17,66,0,1
17,67,6,3
17,68,2,1
18,69,4,3
18,70,0,0
18,71,2,0
18,72,2,4
19,73,6,2
19,74,2,0
19,75,3,3
19,76,3,1
20,77,2,1
20,78,7,2
20,79,3,1
20,80,2,2
21,81,0,0
21,82,5,4
21,83,1,1
21,84,4,3
22,85,5,2
22,86,7,1
22,87,1,1
22,88,1,0
23,89,7,2
23,90,1,1
23,91,6,2
23,92,7,0
24,93,4,3
24,94,2,0
24,95,4,1
24,96,3,1
25,97,1,1
25,98,4,3
25,99,1,0
25,100,6,3
26,101,5,1
26,102,3,4
26,103,0,0
26,104,2,3
27,105,0,1
27,106,2,0
27,107,0,1
27,108,6,0
28,109,0,0
28,110,3,1
28,111,3,1
28,112,3,6
29,113,0,0
29,114,4,0
29,115,5,4
29,116,4,2
30,117,3,1
30,118,2,1
30,119,3,5
30,120,0,0
31,121,1,1
31,122,3,2
31,123,2,1
31,124,0,3
32,125,7,1
32,126,0,0
32,127,6,1
32,128,1,0
33,129,2,4
33,130,0,1
33,131,0,0
33,132,4,5
34,133,2,5
34,134,1,2
34,135,2,0
34,136,2,1
35,137,2,2
35,138,1,1
35,139,4,2
35,140,7,1
36,141,5,0
36,142,5,0
36,143,1,0
36,144,3,4
37,145,1,0
37,146,0,0
37,147,2,0
37,148,1,0
38,149,1,0
38,150,3,4
38,151,8,1
38,152,6,3
39,153,4,1
39,154,4,1
39,155,5,1
39,156,2,1
40,157,2,0
40,158,7,2
40,159,3,0
40,160,3,0
41,161,2,2
41,162,1,2
41,163,3,5
41,164,4,2
42,165,5,1
42,166,2,3
42,167,0,0
42,168,0,0
43,169,2,3
43,170,8,1
43,171,3,0
43,172,2,1
44,173,4,3
44,174,0,0
44,175,4,2
44,176,0,1
45,177,1,2
45,178,1,0
45,179,4,5
45,180,7,1
46,181,6,1
46,182,3,0
46,183,4,2
46,184,1,0
47,185,2,0
47,186,2,0
47,187,3,2
47,188,3,3
48,189,1,1
48,190,3,1
48,191,3,1
48,192,6,1
49,193,4,5
49,194,0,0
49,195,4,4
49,196,4,4
50,197,8,1
50,198,4,2
50,199,3,3
50,200,3,0
51,201,5,1
51,202,5,2
51,203,4,1
51,204,6,3
52,205,2,1
52,206,6,0
52,207,5,4
52,208,3,0
53,209,4,1
53,210,5,4
53,211,0,0
53,212,5,3
54,213,7,2
54,214,2,0
54,215,3,1
54,216,3,4
55,217,6,1
55,218,3,1
55,219,3,0
55,220,0,0
56,221,2,0
56,222,1,1
56,223,3,1
56,224,1,1
57,225,1,1
57,226,6,3
57,227,2,0
57,228,5,4
58,229,2,1
58,230,3,4
58,231,0,0
58,232,3,0
59,233,6,1
59,234,5,0
59,235,2,0
59,236,0,0
60,237,2,5
60,238,8,0
60,239,0,0
60,240,7,2
61,241,7,2
61,242,2,0
61,243,5,0
61,244,2,1
62,245,5,1
62,246,4,2
62,247,6,1
62,248,3,3
63,249,4,0
63,250,4,0
63,251,1,0
63,252,3,3
64,253,3,3
64,254,7,1
64,255,1,0
64,256,2,1
65,257,4,4
65,258,6,2
65,259,3,0
65,260,2,0
66,261,1,0
66,262,1,0
66,263,4,4
66,264,1,0
67,265,3,0
67,266,1,2
67,267,0,0
67,268,4,0
68,269,8,1
68,270,2,0
68,271,1,0
68,272,4,4
69,273,0,2
69,274,5,2
69,275,4,2
69,276,4,2
70,277,0,1
70,278,3,0
70,279,3,3
70,280,4,1
71,281,7,2
71,282,2,0
71,283,1,1
71,284,5,1
72,285,5,0
72,286,4,2
72,287,0,1
72,288,0,1
73,289,0,1
73,290,8,1
73,291,0,1
73,292,2,1
74,293,0,0
74,294,3,3
74,295,1,0
74,296,2,3
75,297,6,2
75,298,1,0
75,299,0,1
75,300,5,3
76,301,5,2
76,302,5,3
76,303,1,0
76,304,7,2
77,305,4,2
77,306,4,0
77,307,1,3
77,308,2,1
78,309,2,2
78,310,3,4
78,311,3,3
78,312,3,1
79,313,2,0
79,314,2,4
79,315,8,1
79,316,0,3
80,317,1,1
80,318,7,2
80,319,0,2
80,320,6,1
81,321,0,0
81,322,7,1
81,323,3,1
81,324,0,1
82,325,8,1
82,326,4,2
82,327,3,2
82,328,4,1
83,329,8,0
83,330,3,5
83,331,2,0
83,332,4,2
84,333,2,0
84,334,3,2
84,335,1,0
84,336,5,2
85,337,3,1
85,338,3,1
85,339,3,1
85,340,8,1
86,341,6,2
86,342,1,2
86,343,5,1
86,344,1,1
87,345,3,2
87,346,1,1
87,347,5,4
87,348,4,1
88,349,2,0
88,350,4,1
88,351,6,3
88,352,4,0
89,353,1,3
89,354,2,2
89,355,1,2
89,356,2,3
90,357,6,2
90,358,1,0
90,359,3,2
90,360,0,1
91,361,6,3
91,362,5,2
91,363,1,4
91,364,4,4
92,365,2,3
92,366,6,2
92,367,7,2
92,368,4,0
93,369,5,4
93,370,7,1
93,371,1,1
93,372,1,1
94,373,2,0
94,374,5,1
94,375,4,0
94,376,5,4
95,377,1,1
95,378,7,0
95,379,1,2
95,380,4,3
96,381,0,0
96,382,5,4
96,383,0,0
96,384,5,0
97,385,1,0
97,386,5,1
97,387,2,0
97,388,0,0
98,389,7,1
98,390,0,0
98,391,3,3
98,392,2,3
99,393,1,0
99,394,5,2
99,395,1,0
99,396,6,3
100,397,1,0
100,398,1,1
100,399,5,3
100,400,1,1
101,401,5,3
101,402,4,2
101,403,3,3
101,404,0,0
102,405,9,0
102,406,2,1
102,407,5,2
102,408,4,2
103,409,0,2
103,410,2,0
103,411,2,0
103,412,6,2
104,413,1,0
104,414,1,1
104,415,5,1
104,416,4,4
105,417,7,1
105,418,2,3
105,419,5,4
105,420,0,0
106,421,5,2
106,422,2,0
106,423,1,0
106,424,3,3
107,425,2,0
107,426,3,0
107,427,0,0
107,428,4,5
108,429,7,2
108,430,5,0
108,431,5,1
108,432,5,2
109,433,4,5
109,434,5,4
109,435,2,1
109,436,1,1
110,437,3,3
110,438,5,0
110,439,3,0
110,440,4,4
111,441,1,1
111,442,7,2
111,443,1,0
111,444,3,3
112,445,4,5
112,446,3,2
112,447,3,0
112,448,0,0
113,449,4,2
113,450,2,1
113,451,0,0
113,452,2,1
114,453,3,1
114,454,8,1
114,455,1,1
114,456,2,1
115,457,2,1
115,458,2,0
115,459,3,2
115,460,4,1
116,461,0,1
116,462,3,4
116,463,3,2
116,464,2,1
117,465,4,1
117,466,5,0
117,467,5,4
117,468,1,0
118,469,7,2
118,470,1,2
118,471,2,2
118,472,5,1
119,473,5,1
119,474,2,4
119,475,3,2
119,476,7,1
120,477,2,1
120,478,3,2
120,479,0,1
120,480,7,2
121,481,2,1
121,482,6,2
121,483,2,2
121,484,4,1
122,485,4,2
122,486,3,0
122,487,7,2
122,488,0,0
123,489,0,1
123,490,2,0
123,491,4,0
123,492,2,1
124,493,6,2
124,494,0,1
124,495,5,1
124,496,7,1
125,497,3,1
125,498,0,0
125,499,3,2
125,500,9,0
126,501,7,2
126,502,2,0
126,503,1,0
126,504,4,2
127,505,6,0
127,506,6,1
127,507,5,3
127,508,3,4
128,509,0,0
128,510,5,1
128,511,6,2
128,512,4,2
129,513,3,5
129,514,0,1
129,515,4,2
129,516,1,0
130,517,4,1
130,518,7,1
130,519,5,2
130,520,7,2
131,521,4,4
131,522,5,1
131,523,3,3
131,524,5,1
132,525,4,2
132,526,4,1
132,527,6,2
132,528,0,0
133,529,5,1
133,530,1,1
133,531,3,0
133,532,5,1
134,533,1,1
134,534,6,2
134,535,6,1
134,536,0,0
135,537,1,3
135,538,1,2
135,539,5,3
135,540,1,1
136,541,5,3
136,542,5,3
136,543,5,1
136,544,3,1
137,545,0,0
137,546,6,3
137,547,3,4
137,548,1,0
138,549,4,0
138,550,3,1
138,551,5,3
138,552,2,3
139,553,6,0
139,554,4,0
139,555,0,1
139,556,2,0
140,557,4,1
140,558,1,0
140,559,5,1
140,560,0,0
141,561,0,1
141,562,0,1
141,563,0,0
141,564,1,0
142,565,2,2
142,566,6,1
142,567,2,1
142,568,0,0
143,569,3,0
143,570,6,1
143,571,8,0
143,572,1,0
144,573,1,0
144,574,7,0
144,575,2,2
144,576,1,1
145,577,4,1
145,578,0,0
145,579,3,1
145,580,3,1
146,581,3,4
146,582,4,2
146,583,5,1
146,584,3,4
147,585,5,2
147,586,5,4
147,587,4,0
147,588,4,4
148,589,3,1
148,590,1,1
148,591,4,2
148,592,3,3
149,593,0,0
149,594,1,1
149,595,0,0
149,596,0,0
150,597,4,2
150,598,3,2
150,599,6,1
150,600,3,6
151,601,2,1
151,602,3,0
151,603,2,2
151,604,5,3
152,605,1,0
152,606,3,1
152,607,3,1
152,608,1,0
153,609,0,0
153,610,1,1
153,611,7,1
153,612,2,1
154,613,2,1
154,614,3,2
154,615,0,0
154,616,4,5
155,617,4,1
155,618,7,1
155,619,2,1
155,620,4,0
156,621,2,0
156,622,7,0
156,623,1,0
156,624,4,0
157,625,4,1
157,626,4,2
157,627,2,0
157,628,0,2
158,629,5,2
158,630,6,2
158,631,3,2
158,632,5,1
159,633,4,1
159,634,0,2
159,635,0,1
159,636,6,2
160,637,1,0
160,638,4,2
160,639,3,1
160,640,9,0
161,641,4,2
161,642,2,4
161,643,3,0
161,644,0,1
162,645,2,0
162,646,3,0
162,647,8,1
162,648,5,1
163,649,2,0
163,650,6,2
163,651,2,0
163,652,5,0
164,653,1,0
164,654,0,1
164,655,2,0
164,656,4,2
165,657,4,4
165,658,4,0
165,659,2,7
165,660,3,3
166,661,0,2
166,662,5,2
166,663,1,0
166,664,6,0
167,665,2,1
167,666,0,1
167,667,4,0
167,668,2,0
168,669,3,1
168,670,0,0
168,671,3,0
168,672,4,3
169,673,1,2
169,674,0,2
169,675,5,2
169,676,3,1
170,677,2,1
170,678,6,2
170,679,5,4
170,680,1,1
171,681,6,2
171,682,3,0
171,683,7,2
171,684,3,1
172,685,8,1
172,686,7,0
172,687,3,3
172,688,7,2
173,689,5,1
173,690,4,5
173,691,3,1
173,692,4,3
174,693,0,0
174,694,3,3
174,695,1,0
174,696,5,1
175,697,8,1
175,698,1,1
175,699,4,0
175,700,1,0
176,701,4,1
176,702,1,0
176,703,3,1
176,704,1,0
177,705,7,1
177,706,0,1
177,707,3,0
177,708,4,2
178,709,1,1
178,710,0,0
178,711,4,4
178,712,2,0
179,713,6,2
179,714,2,2
179,715,1,0
179,716,1,0
180,717,0,0
180,718,2,0
180,719,5,1
180,720,5,2
181,721,5,3
181,722,5,1
181,723,3,2
181,724,1,0
182,725,0,0
182,726,7,1
182,727,1,1
182,728,2,1
183,729,4,5
183,730,3,1
183,731,4,4
183,732,1,0
184,733,4,1
184,734,1,0
184,735,8,1
184,736,3,1
185,737,2,0
185,738,2,0
185,739,5,3
185,740,3,1
186,741,2,0
186,742,5,3
186,743,6,1
186,744,4,3
187,745,1,0
187,746,1,1
187,747,5,2
187,748,2,1
188,749,3,1
188,750,1,1
188,751,1,2
188,752,7,1
189,753,0,0
189,754,5,2
189,755,2,0
189,756,5,2
190,757,1,0
190,758,3,3
190,759,1,2
190,760,5,4
191,761,6,1
191,762,5,2
191,763,8,1
191,764,3,0
192,765,0,2
192,766,1,1
192,767,5,1
192,768,0,0
193,769,3,0
193,770,6,2
193,771,0,3
193,772,2,1
194,773,3,1
194,774,2,1
194,775,5,3
194,776,3,2
195,777,0,2
195,778,3,2
195,779,1,1
195,780,4,3
196,781,3,1
196,782,6,0
