id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HMFD6NFNF5A82J4TFGX97VBB,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:23.093887558Z,true,2024-01-18T23:06:23.10753933Z,all games finished,2024-01-18T23:15:28.352046533Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:06:23.093887558Z,ended,2024-01-18T23:15:28.352046533Z
01HMFD6Y3806KPQMFM316V0X9R,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:31.912830435Z,true,2024-01-18T23:06:31.922862815Z,all games finished,2024-01-18T23:27:58.235799922Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:06:31.912830435Z,ended,2024-01-18T23:27:58.235799922Z
01HMFD70NS6KGP6D3SVRA44DJ6,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:34.553241471Z,true,2024-01-18T23:06:34.561448898Z,all games finished,2024-01-18T23:37:02.049600664Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:06:34.553241471Z,ended,2024-01-18T23:37:02.049600664Z
01HMFD71SXN1WKYF55K19NRT0D,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:35.709927769Z,true,2024-01-18T23:06:35.717890012Z,all games finished,2024-01-18T23:27:20.765720784Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:06:35.709927769Z,ended,2024-01-18T23:27:20.765720784Z
01HMFD72N0KSDT2MWAV2KSF27S,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:36.576562805Z,true,2024-01-18T23:06:36.589850809Z,all games finished,2024-01-18T23:38:16.835055057Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:06:36.576562805Z,ended,2024-01-18T23:38:16.835055057Z
01HMFD73A9PRM6GDXAVSW2JFCE,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:37.257812602Z,true,2024-01-18T23:06:37.265642919Z,all games finished,2024-01-18T23:29:32.68130807Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:06:37.257812602Z,ended,2024-01-18T23:29:32.68130807Z
01HMFD73YXEFTXWKNZ1J93H4PP,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:37.917931384Z,true,2024-01-18T23:06:37.924895771Z,all games finished,2024-01-18T23:38:59.042700202Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:06:37.917931384Z,ended,2024-01-18T23:38:59.042700202Z
01HMFD74H40JDEDWD2A6PHQQ08,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:06:38.50081644Z,true,2024-01-18T23:06:38.512219657Z,all games finished,2024-01-18T23:27:49.192163793Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:06:38.50081644Z,ended,2024-01-18T23:27:49.192163793Z
01HMFDQPX0VMWWEN88X3WFBKPV,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:41.600199755Z,true,2024-01-18T23:15:41.610349077Z,all games finished,2024-01-18T23:30:02.582587699Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:15:41.600199755Z,ended,2024-01-18T23:30:02.582587699Z
01HMFDQRTPPNXP0AM4X8RX23TT,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:43.574841156Z,true,2024-01-18T23:15:43.583210389Z,all games finished,2024-01-18T23:40:18.197187794Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:15:43.574841156Z,ended,2024-01-18T23:40:18.197187794Z
