id,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt
01HN8VW4KDXDSK4543MZEH5MVR,all games finished,2024-01-28T20:51:11.010192469Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:23:47.565364795Z,ended,2024-01-28T20:51:11.010192469Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:23:47.565364795Z,true,2024-01-28T20:23:47.585754531Z
01HN8VW75A0SZ36EFK7W5H8SM5,all games finished,2024-01-28T20:54:10.344003828Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:23:50.187058942Z,ended,2024-01-28T20:54:10.344003828Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:23:50.187058942Z,true,2024-01-28T20:23:50.197840053Z
01HN8VW97B7RVYGZYTEJRJCHEC,all games finished,2024-01-28T20:54:45.511438761Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:23:52.299836902Z,ended,2024-01-28T20:54:45.511438761Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:23:52.299836902Z,true,2024-01-28T20:23:52.307761733Z
01HN8VWAVY8K8BCDX48G3TDG9B,all games finished,2024-01-28T20:55:53.547054038Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:23:53.982288137Z,ended,2024-01-28T20:55:53.547054038Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:23:53.982288137Z,true,2024-01-28T20:23:53.989981075Z
01HN8VWCVFFMYY27RA0GBFH9GJ,all games finished,2024-01-28T20:57:34.573356635Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:23:56.015886106Z,ended,2024-01-28T20:57:34.573356635Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:23:56.015886106Z,true,2024-01-28T20:23:56.024536957Z
01HN8VWJPFTCBNZXJQCHQAW402,all games finished,2024-01-28T21:00:20.066582011Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:24:01.999202294Z,ended,2024-01-28T21:00:20.066582011Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:24:01.999202294Z,true,2024-01-28T20:24:02.012808264Z
01HN8VWKEJBPW738536ADYXF4K,all games finished,2024-01-28T21:02:47.258943677Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:24:02.770875633Z,ended,2024-01-28T21:02:47.258943677Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:24:02.770875633Z,true,2024-01-28T20:24:02.778654418Z
01HN8VWMZP8WDGHG3SGQ41JSP7,all games finished,2024-01-28T21:03:46.406469967Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:24:04.342243372Z,ended,2024-01-28T21:03:46.406469967Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:24:04.342243372Z,true,2024-01-28T20:24:04.354341677Z
01HN8VWNV14433TW2PTE1T3JQE,all games finished,2024-01-28T21:03:16.282217036Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:24:05.217492154Z,ended,2024-01-28T21:03:16.282217036Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:24:05.217492154Z,true,2024-01-28T20:24:05.22578019Z
01HN8VWPSPPMXNT892BA7EPQH4,all games finished,2024-01-28T21:05:43.256668484Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment2-slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-28T20:24:06.198205576Z,ended,2024-01-28T21:05:43.256668484Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-28T20:24:06.198205576Z,true,2024-01-28T20:24:06.206149656Z
