id,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HN8WZHP3RCXRGFG3E2Q3FFX6,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:43:07.843157631Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.843157631Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.843157631Z,01HN8WZHCDMYGB22YYFQ6GVXBB,2024-01-28T20:43:07.843157631Z,01HN8WZHDY7MDSVG2XZHP91NKG,2024-01-28T20:43:07.843157631Z,,,,
01HN8WZHP3RCXRGFG3EA3H43B6,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:43:07.843748533Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.843748533Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.843748533Z,01HN8WZHCDMYGB22YYFQ6GVXBB,2024-01-28T20:43:07.843748533Z,01HN8WZHDY7MDSVG2XZHP91NKG,2024-01-28T20:43:07.843748533Z,true,2024-01-28T20:43:22.350864047Z,80,2024-01-28T20:43:22.351570855Z
01HN8WZHP4JRVCPAEV9D85DVQB,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:43:07.844406329Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.844406329Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.844406329Z,01HN8WZHCDMYGB22YYFQ6GVXBB,2024-01-28T20:43:07.844406329Z,01HN8WZHDY7MDSVG2XZHP91NKG,2024-01-28T20:43:07.844406329Z,,,,
01HN8WZHP58K0QM44XSC9YPRC1,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:43:07.845230983Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.845230983Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.845230983Z,01HN8WZHCDMYGB22YYFQ6GVXBB,2024-01-28T20:43:07.845230983Z,01HN8WZHDY7MDSVG2XZHP91NKG,2024-01-28T20:43:07.845230983Z,,,,
01HN8X0F292AABT9ZGBRBHCRG4,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:43:37.929283793Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:37.929283793Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:37.929283793Z,01HN8WZHCFST9Y2D4FGDQCPH0K,2024-01-28T20:43:37.929283793Z,01HN8WZHDT9XB602647WYE39YY,2024-01-28T20:43:37.929283793Z,true,2024-01-28T20:43:51.698289035Z,90,2024-01-28T20:43:51.694230563Z
01HN8X0F292AABT9ZGC94X541R,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:43:37.930005027Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:37.930005027Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:37.930005027Z,01HN8WZHCFST9Y2D4FGDQCPH0K,2024-01-28T20:43:37.930005027Z,01HN8WZHDT9XB602647WYE39YY,2024-01-28T20:43:37.930005027Z,,,,
01HN8X0F2A18D0GYDZWB1Y4SA4,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:43:37.930565258Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:37.930565258Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:37.930565258Z,01HN8WZHCFST9Y2D4FGDQCPH0K,2024-01-28T20:43:37.930565258Z,01HN8WZHDT9XB602647WYE39YY,2024-01-28T20:43:37.930565258Z,true,2024-01-28T20:43:47.387778485Z,80,2024-01-28T20:43:47.237324649Z
01HN8X0F2B5PKBSBANBVKC1C6M,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:43:37.931314824Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:37.931314824Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:37.931314824Z,01HN8WZHCFST9Y2D4FGDQCPH0K,2024-01-28T20:43:37.931314824Z,01HN8WZHDT9XB602647WYE39YY,2024-01-28T20:43:37.931314824Z,,,,
01HN8X1CECTZADQ23KYTZVR73T,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:44:08.012736564Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.012736564Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:08.012736564Z,01HN8WZHCKF3J9H60JCQXTD7V8,2024-01-28T20:44:08.012736564Z,01HN8WZHE9R67ZFBVVN7SZ3T1C,2024-01-28T20:44:08.012736564Z,true,2024-01-28T20:44:24.867313507Z,90,2024-01-28T20:44:24.86922257Z
01HN8X1CEDZGNNBD2HKG3KMNTQ,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:44:08.013707157Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.013707157Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:08.013707157Z,01HN8WZHCKF3J9H60JCQXTD7V8,2024-01-28T20:44:08.013707157Z,01HN8WZHE9R67ZFBVVN7SZ3T1C,2024-01-28T20:44:08.013707157Z,,,,
