id,idx,idxLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,task,taskLastChangedAt
01HN8WZHCDMYGB22YYFQ6GVXBB,1,2024-01-28T20:43:07.533899015Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.533899015Z,true,2024-01-28T20:43:37.873843649Z,0,2024-01-28T20:43:07.533899015Z,true,2024-01-28T20:43:07.692237698Z,1,2024-01-28T20:43:07.581624584Z,Round 1 / 9,2024-01-28T20:43:07.533899015Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.533899015Z,Chat,2024-01-28T20:43:07.533899015Z
01HN8WZHCFST9Y2D4FGDQCPH0K,2,2024-01-28T20:43:07.535142191Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.535142191Z,true,2024-01-28T20:44:07.962291524Z,1,2024-01-28T20:43:07.535142191Z,true,2024-01-28T20:43:37.883205642Z,1,2024-01-28T20:43:07.579594906Z,Round 2 / 9,2024-01-28T20:43:07.535142191Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.535142191Z,Chat,2024-01-28T20:43:07.535142191Z
01HN8WZHCG2766SVRXYHKYFRM5,8,2024-01-28T20:43:07.536389307Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.536389307Z,true,2024-01-28T20:46:14.1764972Z,7,2024-01-28T20:43:07.536389307Z,true,2024-01-28T20:45:54.485591346Z,1,2024-01-28T20:43:07.717056806Z,Round 8 / 9,2024-01-28T20:43:07.536389307Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.536389307Z,Chat,2024-01-28T20:43:07.536389307Z
01HN8WZHCG2766SVRXZ91N8JD2,4,2024-01-28T20:43:07.536797745Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.536797745Z,true,2024-01-28T20:44:55.564190409Z,3,2024-01-28T20:43:07.536797745Z,true,2024-01-28T20:44:33.567139272Z,1,2024-01-28T20:43:07.587502672Z,Round 4 / 9,2024-01-28T20:43:07.536797745Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.536797745Z,Chat,2024-01-28T20:43:07.536797745Z
01HN8WZHCJ6J7PD5Z73FX14P39,7,2024-01-28T20:43:07.538048177Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.538048177Z,true,2024-01-28T20:45:54.47818901Z,6,2024-01-28T20:43:07.538048177Z,true,2024-01-28T20:45:32.974185028Z,1,2024-01-28T20:43:07.716724415Z,Round 7 / 9,2024-01-28T20:43:07.538048177Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.538048177Z,Chat,2024-01-28T20:43:07.538048177Z
01HN8WZHCJ6J7PD5Z741XX4NEB,9,2024-01-28T20:43:07.53837412Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.53837412Z,true,2024-01-28T20:46:40.211919214Z,8,2024-01-28T20:43:07.53837412Z,true,2024-01-28T20:46:14.184505125Z,1,2024-01-28T20:43:07.597194541Z,Round 9 / 9,2024-01-28T20:43:07.53837412Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.53837412Z,Chat,2024-01-28T20:43:07.53837412Z
01HN8WZHCJ6J7PD5Z74JH63F2W,6,2024-01-28T20:43:07.538748474Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.538748474Z,true,2024-01-28T20:45:32.964612895Z,5,2024-01-28T20:43:07.538748474Z,true,2024-01-28T20:45:11.229647276Z,1,2024-01-28T20:43:07.597194541Z,Round 6 / 9,2024-01-28T20:43:07.538748474Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.538748474Z,Chat,2024-01-28T20:43:07.538748474Z
01HN8WZHCKF3J9H60JC9F9FWBW,5,2024-01-28T20:43:07.539071804Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.539071804Z,true,2024-01-28T20:45:11.220328415Z,4,2024-01-28T20:43:07.539071804Z,true,2024-01-28T20:44:55.572814072Z,1,2024-01-28T20:43:07.587502672Z,Round 5 / 9,2024-01-28T20:43:07.539071804Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.539071804Z,Chat,2024-01-28T20:43:07.539071804Z
01HN8WZHCKF3J9H60JCQXTD7V8,3,2024-01-28T20:43:07.539649144Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:43:07.539649144Z,true,2024-01-28T20:44:33.557334213Z,2,2024-01-28T20:43:07.539649144Z,true,2024-01-28T20:44:07.974129219Z,1,2024-01-28T20:43:07.59246761Z,Round 3 / 9,2024-01-28T20:43:07.539649144Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:43:07.539649144Z,Chat,2024-01-28T20:43:07.539649144Z
01HN8X1CNYZ2MV87SAE4D7EKR1,1,2024-01-28T20:44:08.254716623Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.254716623Z,true,2024-01-28T20:45:08.724155029Z,0,2024-01-28T20:44:08.254716623Z,true,2024-01-28T20:44:08.448527565Z,2,2024-01-28T20:44:08.382970118Z,Round 1 / 9,2024-01-28T20:44:08.254716623Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.254716623Z,Chat,2024-01-28T20:44:08.254716623Z
