id,name,nameLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt
01HNDBB5TSGQR9Q34C1XJJWKC4,Round 1 / 9,2024-01-30T14:11:06.713820272Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.713820272Z,true,2024-01-30T14:11:37.174075879Z,1,2024-01-30T14:11:06.844523117Z,1,2024-01-30T14:11:06.713820272Z,Chat,2024-01-30T14:11:06.713820272Z,0,2024-01-30T14:11:06.713820272Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.713820272Z,true,2024-01-30T14:11:06.921453711Z
01HNDBB5TVTD8AT8JQ41TCAGZ1,Round 2 / 9,2024-01-30T14:11:06.715504181Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.715504181Z,true,2024-01-30T14:12:03.162140388Z,1,2024-01-30T14:11:06.798963963Z,2,2024-01-30T14:11:06.715504181Z,Chat,2024-01-30T14:11:06.715504181Z,1,2024-01-30T14:11:06.715504181Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.715504181Z,true,2024-01-30T14:11:37.193413394Z
01HNDBB5TWB0C01XN34WXA99GS,Round 4 / 9,2024-01-30T14:11:06.716146439Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.716146439Z,true,2024-01-30T14:12:31.915963243Z,1,2024-01-30T14:11:06.947781972Z,4,2024-01-30T14:11:06.716146439Z,Chat,2024-01-30T14:11:06.716146439Z,3,2024-01-30T14:11:06.716146439Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.716146439Z,true,2024-01-30T14:12:18.68615381Z
01HNDBB5TWB0C01XN35F58M5NV,Round 3 / 9,2024-01-30T14:11:06.716869464Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.716869464Z,true,2024-01-30T14:12:18.675620761Z,1,2024-01-30T14:11:06.804003568Z,3,2024-01-30T14:11:06.716869464Z,Chat,2024-01-30T14:11:06.716869464Z,2,2024-01-30T14:11:06.716869464Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.716869464Z,true,2024-01-30T14:12:03.176935128Z
01HNDBB5TXCJ31MA0G81J3MCXN,Round 5 / 9,2024-01-30T14:11:06.717308629Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.717308629Z,true,2024-01-30T14:12:43.235230703Z,1,2024-01-30T14:11:06.947781972Z,5,2024-01-30T14:11:06.717308629Z,Chat,2024-01-30T14:11:06.717308629Z,4,2024-01-30T14:11:06.717308629Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.717308629Z,true,2024-01-30T14:12:31.935807469Z
01HNDBB5TY6TWS2W52ED1WPFFX,Round 7 / 9,2024-01-30T14:11:06.718032921Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.718032921Z,true,2024-01-30T14:13:00.826136526Z,1,2024-01-30T14:11:06.832039904Z,7,2024-01-30T14:11:06.718032921Z,Chat,2024-01-30T14:11:06.718032921Z,6,2024-01-30T14:11:06.718032921Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.718032921Z,true,2024-01-30T14:12:53.870030306Z
01HNDBB5TY6TWS2W52F0Z109P9,Round 6 / 9,2024-01-30T14:11:06.718693028Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.718693028Z,true,2024-01-30T14:12:53.857404795Z,1,2024-01-30T14:11:06.844523117Z,6,2024-01-30T14:11:06.718693028Z,Chat,2024-01-30T14:11:06.718693028Z,5,2024-01-30T14:11:06.718693028Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.718693028Z,true,2024-01-30T14:12:43.249750763Z
01HNDBB5VTR06F4501JTD9YYJW,Round 9 / 9,2024-01-30T14:11:06.746719922Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.746719922Z,true,2024-01-30T14:13:29.573254997Z,1,2024-01-30T14:11:06.787194791Z,9,2024-01-30T14:11:06.746719922Z,Chat,2024-01-30T14:11:06.746719922Z,8,2024-01-30T14:11:06.746719922Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.746719922Z,true,2024-01-30T14:13:10.089975329Z
01HNDBB5VVDGXTY4X7RHBFVB46,Round 8 / 9,2024-01-30T14:11:06.747572729Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.747572729Z,true,2024-01-30T14:13:10.072888842Z,1,2024-01-30T14:11:06.787194791Z,8,2024-01-30T14:11:06.747572729Z,Chat,2024-01-30T14:11:06.747572729Z,7,2024-01-30T14:11:06.747572729Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.747572729Z,true,2024-01-30T14:13:00.839339489Z
01HNDBF055CD3V7GN21V8FM9Y0,Round 1 / 9,2024-01-30T14:13:11.973129792Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.973129792Z,true,2024-01-30T14:13:42.334693594Z,1,2024-01-30T14:13:12.030590078Z,1,2024-01-30T14:13:11.973129792Z,Chat,2024-01-30T14:13:11.973129792Z,0,2024-01-30T14:13:11.973129792Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.973129792Z,true,2024-01-30T14:13:12.128080454Z
