id,duration,durationLastChangedAt,start,startLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,initialized,initializedLastChangedAt
01HNDBB5WW8N0VB82NM9X652WS,30,2024-01-30T14:11:06.780753206Z,true,2024-01-30T14:13:10.125097606Z,01HNDBB5VTR06F4501JTD9YYJW,2024-01-30T14:11:06.780753206Z,01HNDBB5WEVCJ9M8KPE32SQ5JM,2024-01-30T14:11:06.780753206Z,true,2024-01-30T14:13:10.16588436Z,observe,2024-01-30T14:11:06.780753206Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.780753206Z,0,2024-01-30T14:11:06.780753206Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.780753206Z,true,2024-01-30T14:13:29.561826591Z,true,2024-01-30T14:13:10.15083114Z
01HNDBB5X0FY5KWGXK3FK5QEA7,30,2024-01-30T14:11:06.784791886Z,true,2024-01-30T14:13:00.873062356Z,01HNDBB5VVDGXTY4X7RHBFVB46,2024-01-30T14:11:06.784791886Z,01HNDBB5WN4KH2W4PHSGNDYCV3,2024-01-30T14:11:06.784791886Z,true,2024-01-30T14:13:00.902595002Z,observe,2024-01-30T14:11:06.784791886Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.784791886Z,0,2024-01-30T14:11:06.784791886Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.784791886Z,true,2024-01-30T14:13:10.056365662Z,true,2024-01-30T14:13:00.892242726Z
01HNDBB5XDBTJ5X0WEDYHCCVKF,30,2024-01-30T14:11:06.797348314Z,true,2024-01-30T14:11:37.235012006Z,01HNDBB5TVTD8AT8JQ41TCAGZ1,2024-01-30T14:11:06.797348314Z,01HNDBB5X6FVEKQ9HRYGWWQR85,2024-01-30T14:11:06.797348314Z,true,2024-01-30T14:11:37.274917201Z,observe,2024-01-30T14:11:06.797348314Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.797348314Z,0,2024-01-30T14:11:06.797348314Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.797348314Z,true,2024-01-30T14:12:03.14420072Z,true,2024-01-30T14:11:37.262564916Z
01HNDBB5XHH3DCG1P67YGV10YX,30,2024-01-30T14:11:06.801123246Z,true,2024-01-30T14:12:03.21974874Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:11:06.801123246Z,01HNDBB5X6FVEKQ9HRYRPVQFEF,2024-01-30T14:11:06.801123246Z,true,2024-01-30T14:12:03.275640563Z,observe,2024-01-30T14:11:06.801123246Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.801123246Z,0,2024-01-30T14:11:06.801123246Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.801123246Z,true,2024-01-30T14:12:18.660004917Z,true,2024-01-30T14:12:03.256678546Z
01HNDBB5XP2CYZRYVSZPN0GR9E,30,2024-01-30T14:11:06.806088841Z,true,2024-01-30T14:12:18.72162422Z,01HNDBB5TWB0C01XN34WXA99GS,2024-01-30T14:11:06.806088841Z,01HNDBB5X6FVEKQ9HRYM3WAQDD,2024-01-30T14:11:06.806088841Z,true,2024-01-30T14:12:18.77020799Z,observe,2024-01-30T14:11:06.806088841Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.806088841Z,0,2024-01-30T14:11:06.806088841Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.806088841Z,true,2024-01-30T14:12:31.899113177Z,true,2024-01-30T14:12:18.754460258Z
01HNDBB5XRHZDPX4TPM2P35MZN,30,2024-01-30T14:11:06.808420034Z,true,2024-01-30T14:12:31.972936636Z,01HNDBB5TXCJ31MA0G81J3MCXN,2024-01-30T14:11:06.808420034Z,01HNDBB5X7VGJHA1KK9V7W7M4C,2024-01-30T14:11:06.808420034Z,true,2024-01-30T14:12:32.027288143Z,observe,2024-01-30T14:11:06.808420034Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.808420034Z,0,2024-01-30T14:11:06.808420034Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.808420034Z,true,2024-01-30T14:12:43.222161861Z,true,2024-01-30T14:12:32.007251191Z
01HNDBB5YFD9X448VBC7CJA3C5,30,2024-01-30T14:11:06.831335783Z,true,2024-01-30T14:12:53.903162707Z,01HNDBB5TY6TWS2W52ED1WPFFX,2024-01-30T14:11:06.831335783Z,01HNDBB5YAB8Q02HX0BYFFHHVD,2024-01-30T14:11:06.831335783Z,true,2024-01-30T14:12:53.941523995Z,observe,2024-01-30T14:11:06.831335783Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.831335783Z,0,2024-01-30T14:11:06.831335783Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.831335783Z,true,2024-01-30T14:13:00.812823675Z,true,2024-01-30T14:12:53.924173579Z
01HNDBB5YME857E2XX09B5GK7N,30,2024-01-30T14:11:06.836623022Z,true,2024-01-30T14:11:07.10173195Z,01HNDBB5TSGQR9Q34C1XJJWKC4,2024-01-30T14:11:06.836623022Z,01HNDBB5X8CHWB2AV1T5P19TWN,2024-01-30T14:11:06.836623022Z,true,2024-01-30T14:11:07.154675973Z,observe,2024-01-30T14:11:06.836623022Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.836623022Z,0,2024-01-30T14:11:06.836623022Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.836623022Z,true,2024-01-30T14:11:37.159991225Z,true,2024-01-30T14:11:07.141572866Z
01HNDBB5YR84M4WKZHTQ6KD6GC,30,2024-01-30T14:11:06.841003325Z,true,2024-01-30T14:12:43.286107373Z,01HNDBB5TY6TWS2W52F0Z109P9,2024-01-30T14:11:06.841003325Z,01HNDBB5X8CHWB2AV1TEM602SK,2024-01-30T14:11:06.841003325Z,true,2024-01-30T14:12:43.324708669Z,observe,2024-01-30T14:11:06.841003325Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:06.841003325Z,0,2024-01-30T14:11:06.841003325Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:06.841003325Z,true,2024-01-30T14:12:53.836085316Z,true,2024-01-30T14:12:43.312362175Z
01HNDBF06NBNJSX4KXQ5GWMN9T,30,2024-01-30T14:13:12.021431384Z,true,2024-01-30T14:14:55.463079795Z,01HNDBF05ADM6V07JJBG8VH6RB,2024-01-30T14:13:12.021431384Z,01HNDBF064J7WH7ASEQGR9GK0B,2024-01-30T14:13:12.021431384Z,true,2024-01-30T14:14:55.513365063Z,observe,2024-01-30T14:13:12.021431384Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:12.021431384Z,0,2024-01-30T14:13:12.021431384Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:12.021431384Z,true,2024-01-30T14:15:07.047512036Z,true,2024-01-30T14:14:55.491381572Z
