id,gameID,gameIDLastChangedAt,start,startLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,started,startedLastChangedAt
01HNDC3RYNGXRE24NAAQQNGDGX,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.725644612Z,true,2024-01-30T14:24:33.116300098Z,30,2024-01-30T14:24:32.725644612Z,true,2024-01-30T14:25:03.196946339Z,0,2024-01-30T14:24:32.725644612Z,true,2024-01-30T14:24:33.175035288Z,observe,2024-01-30T14:24:32.725644612Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.725644612Z,01HNDC3RVK5GGZ57A99Q07T3BG,2024-01-30T14:24:32.725644612Z,01HNDC3RXG91P23YSXQ7070JGV,2024-01-30T14:24:32.725644612Z,true,2024-01-30T14:24:33.192720037Z
01HNDC3RYVBA8G2DMBHAZYBJMG,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.731834882Z,true,2024-01-30T14:27:14.970299696Z,30,2024-01-30T14:24:32.731834882Z,true,2024-01-30T14:27:28.298158126Z,0,2024-01-30T14:24:32.731834882Z,true,2024-01-30T14:27:15.018308541Z,observe,2024-01-30T14:24:32.731834882Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.731834882Z,01HNDC3RWNQHY1QMFFJ3605PAT,2024-01-30T14:24:32.731834882Z,01HNDC3RXRZF3M037NVEAY0DH7,2024-01-30T14:24:32.731834882Z,true,2024-01-30T14:27:15.039126088Z
01HNDC3RZ62AN97MCTVZV1XRFQ,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.742809581Z,true,2024-01-30T14:27:28.416350791Z,30,2024-01-30T14:24:32.742809581Z,true,2024-01-30T14:27:36.375864408Z,0,2024-01-30T14:24:32.742809581Z,true,2024-01-30T14:27:28.461041076Z,observe,2024-01-30T14:24:32.742809581Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.742809581Z,01HNDC3RWPF22NTRJD423CC5BY,2024-01-30T14:24:32.742809581Z,01HNDC3RY0D7ZDH2KT62G3BJ5P,2024-01-30T14:24:32.742809581Z,true,2024-01-30T14:27:28.488498008Z
01HNDC3RZ9XQ4D3T4GBP0MD4WH,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.745816285Z,true,2024-01-30T14:25:29.728040369Z,30,2024-01-30T14:24:32.745816285Z,true,2024-01-30T14:25:59.774212806Z,0,2024-01-30T14:24:32.745816285Z,true,2024-01-30T14:25:29.753423731Z,observe,2024-01-30T14:24:32.745816285Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.745816285Z,01HNDC3RVRAA65GMNM9VGNAWB9,2024-01-30T14:24:32.745816285Z,01HNDC3RYA2VGW0SBGW2CHMB7S,2024-01-30T14:24:32.745816285Z,true,2024-01-30T14:25:29.769777358Z
01HNDC3RZKY0X2CE4H5QNEH932,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.755261121Z,true,2024-01-30T14:25:03.276937597Z,30,2024-01-30T14:24:32.755261121Z,true,2024-01-30T14:25:29.647656764Z,0,2024-01-30T14:24:32.755261121Z,true,2024-01-30T14:25:03.303385933Z,observe,2024-01-30T14:24:32.755261121Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.755261121Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:24:32.755261121Z,01HNDC3RYBS9K5F238TK8WG8RS,2024-01-30T14:24:32.755261121Z,true,2024-01-30T14:25:03.3199123Z
01HNDC3S0TFBS408Q8BR4CY41G,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.79498043Z,true,2024-01-30T14:26:18.57350348Z,30,2024-01-30T14:24:32.79498043Z,true,2024-01-30T14:26:43.867131286Z,0,2024-01-30T14:24:32.79498043Z,true,2024-01-30T14:26:18.599078892Z,observe,2024-01-30T14:24:32.79498043Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.79498043Z,01HNDC3RW164QMBJ7423VWW4GW,2024-01-30T14:24:32.79498043Z,01HNDC3RX26MEC57FANK5RXNQ7,2024-01-30T14:24:32.79498043Z,true,2024-01-30T14:26:18.616332628Z
01HNDC3S0XQBT338QEGXA4CZHD,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.797533899Z,true,2024-01-30T14:25:59.855236004Z,30,2024-01-30T14:24:32.797533899Z,true,2024-01-30T14:26:18.484152318Z,0,2024-01-30T14:24:32.797533899Z,true,2024-01-30T14:25:59.878831254Z,observe,2024-01-30T14:24:32.797533899Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.797533899Z,01HNDC3RW3WHQ4ETH8K6R783WZ,2024-01-30T14:24:32.797533899Z,01HNDC3RX5ATY06TB6F8HEDRBP,2024-01-30T14:24:32.797533899Z,true,2024-01-30T14:25:59.892886774Z
01HNDC3S56X1Z5MYBP7WV8T1KE,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.935028133Z,true,2024-01-30T14:27:00.761614882Z,30,2024-01-30T14:24:32.935028133Z,true,2024-01-30T14:27:14.834118392Z,0,2024-01-30T14:24:32.935028133Z,true,2024-01-30T14:27:00.799909516Z,observe,2024-01-30T14:24:32.935028133Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.935028133Z,01HNDC3RVN0FAV4FZZKMS40ZKW,2024-01-30T14:24:32.935028133Z,01HNDC3RZKY0X2CE4H5P08Y1HM,2024-01-30T14:24:32.935028133Z,true,2024-01-30T14:27:00.818350861Z
01HNDC3S5B2FE5VYSTJC7R0N6W,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.939241269Z,true,2024-01-30T14:26:43.981108867Z,30,2024-01-30T14:24:32.939241269Z,true,2024-01-30T14:27:00.653525723Z,0,2024-01-30T14:24:32.939241269Z,true,2024-01-30T14:26:44.039456237Z,observe,2024-01-30T14:24:32.939241269Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.939241269Z,01HNDC3RWFBQ66170NKMQ6WPTT,2024-01-30T14:24:32.939241269Z,01HNDC3RZKY0X2CE4H5P5RMVXA,2024-01-30T14:24:32.939241269Z,true,2024-01-30T14:26:44.062704547Z
01HNDC4E3M9XR2W6578YF32XVR,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.388522731Z,true,2024-01-30T14:26:21.875200176Z,30,2024-01-30T14:24:54.388522731Z,true,2024-01-30T14:26:31.241626752Z,0,2024-01-30T14:24:54.388522731Z,true,2024-01-30T14:26:21.911794188Z,observe,2024-01-30T14:24:54.388522731Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.388522731Z,01HNDC4E1NG11KJTP0NRKN0CRP,2024-01-30T14:24:54.388522731Z,01HNDC4E2JPHTDQF494JF9JHWT,2024-01-30T14:24:54.388522731Z,true,2024-01-30T14:26:21.934047324Z
