id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt
01HNDD89F2BH1NCDZ68WV8VJ6W,01HNDD897A4BYAE3V4BMPRNEZ4,2024-01-30T14:44:29.282297503Z,01HNDD7HF5Y7597Q7RV8DDPP9B,2024-01-30T14:44:29.282297503Z,63,2024-01-30T14:44:46.46200407Z,true,2024-01-30T14:44:46.469620784Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.282297503Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.282297503Z,01HNDD895X12XFY8H750B1KYJF,2024-01-30T14:44:29.282297503Z
01HNDD89F32HKM5JWJS248MK23,01HNDD897A4BYAE3V4BMPRNEZ4,2024-01-30T14:44:29.283122039Z,01HNDD7HD6J9S6RBZRF9SC8XBZ,2024-01-30T14:44:29.283122039Z,16,2024-01-30T14:44:44.159030963Z,true,2024-01-30T14:44:44.156499102Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.283122039Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.283122039Z,01HNDD895X12XFY8H750B1KYJF,2024-01-30T14:44:29.283122039Z
01HNDD89F32HKM5JWJSB7Y793R,01HNDD897A4BYAE3V4BMPRNEZ4,2024-01-30T14:44:29.283756758Z,01HNDD7MN4T1GFS9DPR5PM3T1K,2024-01-30T14:44:29.283756758Z,20,2024-01-30T14:44:35.920256289Z,true,2024-01-30T14:44:35.921685582Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.283756758Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.283756758Z,01HNDD895X12XFY8H750B1KYJF,2024-01-30T14:44:29.283756758Z
01HNDD89F4YBYHEJRY343HRB5K,01HNDD897A4BYAE3V4BMPRNEZ4,2024-01-30T14:44:29.28426293Z,01HNDD7GW14FYRCSXZ1M9VB29Y,2024-01-30T14:44:29.28426293Z,48,2024-01-30T14:44:34.544013627Z,true,2024-01-30T14:44:34.549101433Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.28426293Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.28426293Z,01HNDD895X12XFY8H750B1KYJF,2024-01-30T14:44:29.28426293Z
01HNDD8TARMAJ9K0SWG762BVKF,01HNDD897PK3ZF9ADND0D1731E,2024-01-30T14:44:46.552153556Z,01HNDD7GW14FYRCSXZ1M9VB29Y,2024-01-30T14:44:46.552153556Z,17,2024-01-30T14:44:56.327237513Z,true,2024-01-30T14:44:56.324670106Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:46.552153556Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:46.552153556Z,01HNDD895VCKYVWGWTP8ZQ935V,2024-01-30T14:44:46.552153556Z
01HNDD8TAS9Y1FBGF73Z4EWR9V,01HNDD897PK3ZF9ADND0D1731E,2024-01-30T14:44:46.553078191Z,01HNDD7HF5Y7597Q7RV8DDPP9B,2024-01-30T14:44:46.553078191Z,38,2024-01-30T14:44:52.981735531Z,true,2024-01-30T14:44:52.991100424Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:46.553078191Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:46.553078191Z,01HNDD895VCKYVWGWTP8ZQ935V,2024-01-30T14:44:46.553078191Z
01HNDD8TAS9Y1FBGF74AFMB2DZ,01HNDD897PK3ZF9ADND0D1731E,2024-01-30T14:44:46.553983976Z,01HNDD7HD6J9S6RBZRF9SC8XBZ,2024-01-30T14:44:46.553983976Z,18,2024-01-30T14:44:55.609204731Z,true,2024-01-30T14:44:55.612449912Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:46.553983976Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:46.553983976Z,01HNDD895VCKYVWGWTP8ZQ935V,2024-01-30T14:44:46.553983976Z
01HNDD8TATDG6HVM9FT0V7JA01,01HNDD897PK3ZF9ADND0D1731E,2024-01-30T14:44:46.554773796Z,01HNDD7MN4T1GFS9DPR5PM3T1K,2024-01-30T14:44:46.554773796Z,20,2024-01-30T14:45:02.387597352Z,true,2024-01-30T14:45:02.390734532Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:46.554773796Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:46.554773796Z,01HNDD895VCKYVWGWTP8ZQ935V,2024-01-30T14:44:46.554773796Z
01HNDD99W7PQYSX7E20RTT5YV5,01HNDD897T0F3H5PTTJ612VXAN,2024-01-30T14:45:02.47163066Z,01HNDD7GW14FYRCSXZ1M9VB29Y,2024-01-30T14:45:02.47163066Z,14,2024-01-30T14:45:12.955260104Z,true,2024-01-30T14:45:12.956294362Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:02.47163066Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:45:02.47163066Z,01HNDD895WDMZK0WDWPE2EGZZD,2024-01-30T14:45:02.47163066Z
01HNDD99W8NKC52ZCCXNCX9PSK,01HNDD897T0F3H5PTTJ612VXAN,2024-01-30T14:45:02.472847724Z,01HNDD7HD6J9S6RBZRF9SC8XBZ,2024-01-30T14:45:02.472847724Z,25,2024-01-30T14:45:10.524418304Z,true,2024-01-30T14:45:10.526621405Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:02.472847724Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:45:02.472847724Z,01HNDD895WDMZK0WDWPE2EGZZD,2024-01-30T14:45:02.472847724Z
