id,duration,durationLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,roundID,roundIDLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,timerID,timerIDLastChangedAt
01HNDD89762CDTV532QXBESP2E,30,2024-01-30T14:44:29.030509281Z,0,2024-01-30T14:44:29.030509281Z,true,2024-01-30T14:45:41.288883623Z,01HNDD895YNQ2X754H462PRQKA,2024-01-30T14:44:29.030509281Z,observe,2024-01-30T14:44:29.030509281Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.030509281Z,true,2024-01-30T14:45:41.265473825Z,true,2024-01-30T14:45:41.300738571Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.030509281Z,true,2024-01-30T14:45:48.223191802Z,01HNDD896M2T4G66PNW9WSXQ5D,2024-01-30T14:44:29.030509281Z
01HNDD897A4BYAE3V4BMPRNEZ4,30,2024-01-30T14:44:29.034388302Z,0,2024-01-30T14:44:29.034388302Z,true,2024-01-30T14:44:29.288107137Z,01HNDD895X12XFY8H750B1KYJF,2024-01-30T14:44:29.034388302Z,observe,2024-01-30T14:44:29.034388302Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.034388302Z,true,2024-01-30T14:44:29.274222966Z,true,2024-01-30T14:44:29.297365672Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.034388302Z,true,2024-01-30T14:44:46.4781861Z,01HNDD8977WQCCD9FPXAWW14G2,2024-01-30T14:44:29.034388302Z
01HNDD897PK3ZF9ADND0D1731E,30,2024-01-30T14:44:29.046568994Z,0,2024-01-30T14:44:29.046568994Z,true,2024-01-30T14:44:46.55862543Z,01HNDD895VCKYVWGWTP8ZQ935V,2024-01-30T14:44:29.046568994Z,observe,2024-01-30T14:44:29.046568994Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.046568994Z,true,2024-01-30T14:44:46.539265932Z,true,2024-01-30T14:44:46.568701769Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.046568994Z,true,2024-01-30T14:45:02.398751669Z,01HNDD8978QPKFTRST873S5K09,2024-01-30T14:44:29.046568994Z
01HNDD897T0F3H5PTTJ612VXAN,30,2024-01-30T14:44:29.050805646Z,0,2024-01-30T14:44:29.050805646Z,true,2024-01-30T14:45:02.479102127Z,01HNDD895WDMZK0WDWPE2EGZZD,2024-01-30T14:44:29.050805646Z,observe,2024-01-30T14:44:29.050805646Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.050805646Z,true,2024-01-30T14:45:02.458863538Z,true,2024-01-30T14:45:02.488424407Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.050805646Z,true,2024-01-30T14:45:16.06118847Z,01HNDD8978QPKFTRST874ZRZM3,2024-01-30T14:44:29.050805646Z
01HNDD8987615XREHG5GVWEWKG,30,2024-01-30T14:44:29.063928403Z,0,2024-01-30T14:44:29.063928403Z,true,2024-01-30T14:45:16.124498311Z,01HNDD895X12XFY8H74FQAESVD,2024-01-30T14:44:29.063928403Z,observe,2024-01-30T14:44:29.063928403Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.063928403Z,true,2024-01-30T14:45:16.108002554Z,true,2024-01-30T14:45:16.135246899Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.063928403Z,true,2024-01-30T14:45:29.916407937Z,01HNDD897M3Q57JXD1XBANASC9,2024-01-30T14:44:29.063928403Z
01HNDD8989E1G4N2B30GM064NP,30,2024-01-30T14:44:29.065112539Z,0,2024-01-30T14:44:29.065112539Z,true,2024-01-30T14:45:29.989728503Z,01HNDD895YNQ2X754H3K1HFZT1,2024-01-30T14:44:29.065112539Z,observe,2024-01-30T14:44:29.065112539Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.065112539Z,true,2024-01-30T14:45:29.967632764Z,true,2024-01-30T14:45:29.999915177Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.065112539Z,true,2024-01-30T14:45:41.212655114Z,01HNDD897M3Q57JXD1XD15XWN0,2024-01-30T14:44:29.065112539Z
01HNDD898B2TYEEMSF3N2EJZ4H,30,2024-01-30T14:44:29.067579236Z,0,2024-01-30T14:44:29.067579236Z,true,2024-01-30T14:45:48.288956094Z,01HNDD895Z34T3VKW4ZXC2S033,2024-01-30T14:44:29.067579236Z,observe,2024-01-30T14:44:29.067579236Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.067579236Z,true,2024-01-30T14:45:48.2740362Z,true,2024-01-30T14:45:48.297738664Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.067579236Z,true,2024-01-30T14:45:56.42654333Z,01HNDD897NZ8W6VVYQNGK4MN97,2024-01-30T14:44:29.067579236Z
01HNDD898JWC19V3FG0YG5M8MG,30,2024-01-30T14:44:29.074397675Z,0,2024-01-30T14:44:29.074397675Z,true,2024-01-30T14:45:56.509459568Z,01HNDD89604B2R58973XT8YEVS,2024-01-30T14:44:29.074397675Z,observe,2024-01-30T14:44:29.074397675Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.074397675Z,true,2024-01-30T14:45:56.481695883Z,true,2024-01-30T14:45:56.525215721Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.074397675Z,true,2024-01-30T14:46:07.27969662Z,01HNDD897QJR8SXBAN4PCMKAV8,2024-01-30T14:44:29.074397675Z
01HNDD89BAF7BWFD0ZBGJYQX3J,30,2024-01-30T14:44:29.162345137Z,0,2024-01-30T14:44:29.162345137Z,true,2024-01-30T14:46:07.369951702Z,01HNDD89604B2R58974G3CKXS1,2024-01-30T14:44:29.162345137Z,observe,2024-01-30T14:44:29.162345137Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:29.162345137Z,true,2024-01-30T14:46:07.348816723Z,true,2024-01-30T14:46:07.382533753Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:29.162345137Z,true,2024-01-30T14:46:15.245286159Z,01HNDD897T0F3H5PTTHZ8SXN90,2024-01-30T14:44:29.162345137Z
01HNDDAH03F0DCXNR2H7M7H9E9,30,2024-01-30T14:45:42.531088282Z,0,2024-01-30T14:45:42.531088282Z,true,2024-01-30T14:45:42.815094124Z,01HNDDAGY8TH246PPMPEQG6Z02,2024-01-30T14:45:42.531088282Z,send,2024-01-30T14:45:42.531088282Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.531088282Z,true,2024-01-30T14:45:42.790890146Z,true,2024-01-30T14:45:42.823569547Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.531088282Z,true,2024-01-30T14:46:12.826708968Z,01HNDDAGZ3AZHRK6SKKYWAXNCW,2024-01-30T14:45:42.531088282Z
