id,introDone,introDoneLastChangedAt,recipient,recipientLastChangedAt,exitSurvey,exitSurveyLastChangedAt,intro,introLastChangedAt,urlParams,urlParamsLastChangedAt,gameID,gameIDLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,emojiArray,emojiArrayLastChangedAt,exitStep,exitStepLastChangedAt,name,nameLastChangedAt,ended,endedLastChangedAt,treatmentName,treatmentNameLastChangedAt,treatment,treatmentLastChangedAt
01HVSD7680PC7Q6NKVJ6MGHZQ3,true,2024-04-18T20:11:38.175241147Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:23:18.65814821Z,"{""age"":""25"",""gender"":""female"",""strength"":""not sure"",""fair"":""not sure"",""feedback"":""i only got messages twice"",""education"":""other"",""teammates"":""i don't know, i only received 2 messages out of the 12 rounds"",""notes"":""yes"",""politics"":""left"",""geo"":""british"",""ethnicity"":""white""}",2024-04-18T20:25:02.233376249Z,4,2024-04-18T20:11:24.759874322Z,{},2024-04-18T20:08:57.666297949Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:08:57.352624821Z,01HVSD75MEMDNNT76YJ1TV1TW4,2024-04-18T20:08:57.344849694Z,5caa50aafce1530001bacce9,2024-04-18T20:08:57.344849694Z,"[""🐇"",""                                   "",""🐿️"",""🐇"",""🐇""]",2024-04-18T20:15:27.654969623Z,1,2024-04-18T20:25:02.235780252Z,player 1,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:08:57.352624821Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:08:57.352624821Z
01HVSD7KNMTR3G9EX8AFBR0XS0,true,2024-04-18T20:10:27.518043998Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:23:18.65814821Z,,,4,2024-04-18T20:10:24.985329913Z,{},2024-04-18T20:09:11.423263781Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:09:11.102094596Z,01HVSD7K1FRJ1VW1F2VW2C8MD8,2024-04-18T20:09:11.092552601Z,60def5138b12a023e5ae885c,2024-04-18T20:09:11.092552601Z,"[""🐿️"",""🐇"",""                                   "",""🐿️"",""🐇""]",2024-04-18T20:15:27.654969623Z,,,player 2,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:09:11.102094596Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:09:11.102094596Z
01HVSDCK79AC5R26CR9ZT9WRC0,true,2024-04-18T20:14:46.117778258Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:23:18.65814821Z,"{""age"":""26"",""gender"":""Male"",""strength"":""I performed well, others in my team did now"",""fair"":""Yes, thought if I had better teammates I woul've received a bigger bonus"",""feedback"":""No issues except my teammates."",""education"":""bachelor"",""teammates"":""No they were not, nobody was cooperating and telling how many animals there were except 2 people"",""notes"":""I couldn't, there were only 2 rounds where someone made an observation"",""politics"":""N/A"",""geo"":""British"",""ethnicity"":""White""}",2024-04-18T20:25:32.275683424Z,4,2024-04-18T20:14:36.257055002Z,{},2024-04-18T20:11:54.799270831Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:11:54.481031439Z,01HVSDCJJHY7SRFMV18QBWVDFB,2024-04-18T20:11:54.473144097Z,600a119359a03a158d4f70dd,2024-04-18T20:11:54.473144097Z,"[""🐇"",""                                   "",""🐇""]",2024-04-18T20:15:27.654969623Z,1,2024-04-18T20:25:32.273039952Z,player 3,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:11:54.481031439Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:11:54.481031439Z
01HVSDEP9426S7Y9TDP0DD75DT,,,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:23:18.65814821Z,,,1,2024-04-18T20:13:16.169166772Z,{},2024-04-18T20:13:03.465567876Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:13:03.150424192Z,01HVSDENPAJT91T3QNZ4BW2BXH,2024-04-18T20:13:03.140642422Z,638a8c63c74f91261108cebf,2024-04-18T20:13:03.140642422Z,"[""🐇"",""🐇"",""                                   ""]",2024-04-18T20:15:27.654969623Z,,,player 4,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:13:03.150424192Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:13:03.150424192Z
01HVSDF9Q1NX6M632F4ZAVKFWB,,,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:23:18.65814821Z,"{""age"":""43"",""gender"":""male"",""strength"":""Accurate... happy with my observation"",""fair"":""Yes"",""feedback"":""It seemed to have gone a bit too quickly"",""education"":""master"",""teammates"":""Yes"",""notes"":""no"",""politics"":""left"",""geo"":""United Kingdom"",""ethnicity"":""White""}",2024-04-18T20:17:03.317998398Z,4,2024-04-18T20:15:19.911740849Z,{},2024-04-18T20:13:23.36030207Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:13:23.0486075Z,01HVSDF91M0KSN0A3QKQWDWJ8Y,2024-04-18T20:13:23.041595188Z,6092eb318a3efe4d95b0a0b0,2024-04-18T20:13:23.041595188Z,"[""🐿️"",""                                   "",""🐇"",""🐇""]",2024-04-18T20:15:27.654969623Z,1,2024-04-18T20:17:03.318668438Z,player 5,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:13:23.0486075Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:13:23.0486075Z
01HVSDH7FFYJD4H2DBWBVBKHTP,,,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:23:18.65814821Z,"{""age"":""43"",""gender"":""Male"",""strength"":""I wasn't given the opportunity to respond to the initial quiz.  I was immediately forwarded to the exit survey."",""fair"":"""",""feedback"":""I wasn't given the opportunity to respond to the initial quiz.  I was immediately forwarded to the exit survey."",""education"":""bachelor"",""teammates"":""I wasn't given the opportunity to respond to the initial quiz.  I was immediately forwarded to the exit survey."",""notes"":""I wasn't given the opportunity to respond to the initial quiz.  I was immediately forwarded to the exit survey."",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-18T20:16:43.928133639Z,2,2024-04-18T20:15:24.234348296Z,{},2024-04-18T20:14:26.485847644Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:14:26.294960093Z,01HVSDH72DSJARH07VY370ECEF,2024-04-18T20:14:26.287284984Z,5bb19c96f1f9ba00013fed74,2024-04-18T20:14:26.287284984Z,"[""🐇"",""                                   "",""🐿️"",""🐇""]",2024-04-18T20:15:27.654969623Z,1,2024-04-18T20:16:43.962686932Z,player 6,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:14:26.294960093Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:14:26.294960093Z
01HVSDHQ73RYFKPTX7RHFHAKF2,,,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:23:18.65814821Z,"{""age"":""23"",""gender"":""Male"",""strength"":""Poor"",""fair"":""Yes"",""feedback"":""The entire game was skipped for me."",""education"":""high-school"",""teammates"":""Yes"",""notes"":""No"",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-18T20:16:29.509600202Z,1,2024-04-18T20:14:54.55952594Z,{},2024-04-18T20:14:42.473391496Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:14:42.41139943Z,01HVSDHQ2YPWRFQSX57C5XVGB1,2024-04-18T20:14:42.403995369Z,Z,2024-04-18T20:14:42.403995369Z,"[""🐿️"",""                                   "",""🐇""]",2024-04-18T20:15:27.654969623Z,1,2024-04-18T20:16:29.510986096Z,player 7,2024-04-18T20:15:27.654969623Z,game ended,2024-04-18T20:23:57.050300676Z,rerun-interactive- 0.7,2024-04-18T20:14:42.41139943Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:14:42.41139943Z
01HVSDKEHMX241F6H4A3Z8ZNP0,true,2024-04-18T20:18:06.718192107Z,01HVSDM8QJWTK1B65EJ65RC5DQ,2024-04-18T20:30:58.440000276Z,"{""age"":""31"",""gender"":""male"",""strength"":""High"",""fair"":""Yes"",""feedback"":"""",""education"":""master"",""teammates"":""Yes"",""notes"":""No"",""politics"":""Left"",""geo"":""Scottish"",""ethnicity"":""white""}",2024-04-18T20:32:37.854044331Z,4,2024-04-18T20:17:55.759606076Z,{},2024-04-18T20:15:39.461229163Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:15:39.0682684Z,01HVSDKDV9C24ATZSF9PHHYTZG,2024-04-18T20:15:39.060690945Z,5ced20370b72600001fd8d91,2024-04-18T20:15:39.060690945Z,"[""                                   "",""🐇"",""🐇"",""🐿️""]",2024-04-18T20:20:22.612967377Z,1,2024-04-18T20:32:37.869016724Z,player 1,2024-04-18T20:20:22.612967377Z,game ended,2024-04-18T20:31:59.20016383Z,rerun-interactive- 0.7,2024-04-18T20:15:39.0682684Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:15:39.0682684Z
01HVSDM8QJWTK1B65EJ65RC5DQ,true,2024-04-18T20:19:19.88903489Z,01HVSDPQT926CK0A27CZV7MJ4F,2024-04-18T20:30:58.440000276Z,"{""age"":""47"",""gender"":""Male"",""strength"":""Not great.  "",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Some were,  Others were vague"",""notes"":""Yes"",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-18T20:33:08.893662612Z,4,2024-04-18T20:19:14.344779724Z,{},2024-04-18T20:16:06.195328825Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:16:05.881530523Z,01HVSDM84KPJDKMCD2GHH7NQWG,2024-04-18T20:16:05.874670707Z,59d3c7b4b5367100017112d1,2024-04-18T20:16:05.874670707Z,"[""🐇"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇"",""                                   ""]",2024-04-18T20:20:22.612967377Z,1,2024-04-18T20:33:08.910055827Z,player 2,2024-04-18T20:20:22.612967377Z,game ended,2024-04-18T20:31:59.20016383Z,rerun-interactive- 0.7,2024-04-18T20:16:05.881530523Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:16:05.881530523Z
01HVSDMGMF6HPBV1WTD3YHZ5D6,,,,,,,3,2024-04-18T20:19:57.270414962Z,{},2024-04-18T20:16:14.099507989Z,,2024-04-18T20:37:33.322128524Z,01HVSDMGCQ2TE5SN1BTETV3Z6E,2024-04-18T20:16:13.967572317Z,6386bd4f6a7b42c711aceedb,2024-04-18T20:16:13.967572317Z,,,,,,,no more games,2024-04-18T20:49:35.818650777Z,rerun-interactive- 0.7,2024-04-18T20:36:51.85662503Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:51.85662503Z
