id,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt
01HVSDK3CZABCDADDQ8C6T661C,1,2024-04-18T20:15:27.647860523Z,Chat,2024-04-18T20:15:27.647860523Z,0,2024-04-18T20:15:27.647860523Z,2,2024-04-18T20:15:27.957477455Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.647860523Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.647860523Z,Round 1 / 12,2024-04-18T20:15:27.647860523Z,true,2024-04-18T20:15:28.053666978Z,true,2024-04-18T20:16:28.520377486Z
01HVSDK3D1AW60E0GWZ0NZ7MD2,2,2024-04-18T20:15:27.649661441Z,Chat,2024-04-18T20:15:27.649661441Z,1,2024-04-18T20:15:27.649661441Z,2,2024-04-18T20:15:27.869257971Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.649661441Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.649661441Z,Round 2 / 12,2024-04-18T20:15:27.649661441Z,true,2024-04-18T20:16:28.535390853Z,true,2024-04-18T20:17:19.212575876Z
01HVSDK3D1AW60E0GWZP0MSKWK,4,2024-04-18T20:15:27.649989565Z,Chat,2024-04-18T20:15:27.649989565Z,3,2024-04-18T20:15:27.649989565Z,2,2024-04-18T20:15:27.954323609Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.649989565Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.649989565Z,Round 4 / 12,2024-04-18T20:15:27.649989565Z,true,2024-04-18T20:18:00.948721513Z,true,2024-04-18T20:18:45.427900141Z
01HVSDK3D2QCPB0ESWSE9K4GNS,3,2024-04-18T20:15:27.65036138Z,Chat,2024-04-18T20:15:27.65036138Z,2,2024-04-18T20:15:27.65036138Z,2,2024-04-18T20:15:27.781649859Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.65036138Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.65036138Z,Round 3 / 12,2024-04-18T20:15:27.65036138Z,true,2024-04-18T20:17:19.231253006Z,true,2024-04-18T20:18:00.936989316Z
01HVSDK3D2QCPB0ESWT1BJ2F4F,7,2024-04-18T20:15:27.650860595Z,Chat,2024-04-18T20:15:27.650860595Z,6,2024-04-18T20:15:27.650860595Z,2,2024-04-18T20:15:27.957477455Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.650860595Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.650860595Z,Round 7 / 12,2024-04-18T20:15:27.650860595Z,true,2024-04-18T20:20:10.371121152Z,true,2024-04-18T20:20:48.475879249Z
01HVSDK3D3Z7NW9SETP6R9XZ61,11,2024-04-18T20:15:27.651573803Z,Chat,2024-04-18T20:15:27.651573803Z,10,2024-04-18T20:15:27.651573803Z,2,2024-04-18T20:15:27.884588456Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.651573803Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.651573803Z,Round 11 / 12,2024-04-18T20:15:27.651573803Z,true,2024-04-18T20:22:39.992197098Z,true,2024-04-18T20:23:18.585343963Z
01HVSDK3D3Z7NW9SETPMEXQTF2,5,2024-04-18T20:15:27.651839848Z,Chat,2024-04-18T20:15:27.651839848Z,4,2024-04-18T20:15:27.651839848Z,2,2024-04-18T20:15:27.875262508Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.651839848Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.651839848Z,Round 5 / 12,2024-04-18T20:15:27.651839848Z,true,2024-04-18T20:18:45.441730098Z,true,2024-04-18T20:19:29.348864815Z
01HVSDK3D4H6MFNJ6YXF6W6MH5,6,2024-04-18T20:15:27.652232223Z,Chat,2024-04-18T20:15:27.652232223Z,5,2024-04-18T20:15:27.652232223Z,2,2024-04-18T20:15:27.957113315Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.652232223Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.652232223Z,Round 6 / 12,2024-04-18T20:15:27.652232223Z,true,2024-04-18T20:19:29.36091252Z,true,2024-04-18T20:20:10.355228074Z
01HVSDK3D4H6MFNJ6YXYY8YD2M,8,2024-04-18T20:15:27.652724326Z,Chat,2024-04-18T20:15:27.652724326Z,7,2024-04-18T20:15:27.652724326Z,2,2024-04-18T20:15:27.874969843Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.652724326Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.652724326Z,Round 8 / 12,2024-04-18T20:15:27.652724326Z,true,2024-04-18T20:20:48.493870678Z,true,2024-04-18T20:21:26.867433794Z
01HVSDK3D5F7ZQKTPV1BJ8529R,9,2024-04-18T20:15:27.653274676Z,Chat,2024-04-18T20:15:27.653274676Z,8,2024-04-18T20:15:27.653274676Z,2,2024-04-18T20:15:27.957477455Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.653274676Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.653274676Z,Round 9 / 12,2024-04-18T20:15:27.653274676Z,true,2024-04-18T20:21:26.87863179Z,true,2024-04-18T20:22:03.383489176Z
