id,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt
01HWDZKZ159GWKJEHXVPX5XW3A,01HWDZKY98MZTWKDYBY71E9FNW,2024-04-26T19:55:18.949637299Z,01HWDZKYD3STMH6D7J11EJRP6J,2024-04-26T19:55:18.949637299Z,01HWDZBW01J75DGAGYH6GJ4CPF,2024-04-26T19:55:18.949637299Z,72,2024-04-26T19:55:42.772780581Z,95,2024-04-26T19:55:42.773924193Z,true,2024-04-26T19:55:42.857545183Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.949637299Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.949637299Z
01HWDZKZ1C4TJ9N7MFFNHC4FDT,01HWDZKY98MZTWKDYBY71E9FNW,2024-04-26T19:55:18.956732785Z,01HWDZKYD3STMH6D7J11EJRP6J,2024-04-26T19:55:18.956732785Z,01HWDZC5946R9JV817EMBY35NT,2024-04-26T19:55:18.956732785Z,,,,,,,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.956732785Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.956732785Z
01HWDZKZ1NPY6KFT2MX1PME8A3,01HWDZKY98MZTWKDYBY71E9FNW,2024-04-26T19:55:18.965557766Z,01HWDZKYD3STMH6D7J11EJRP6J,2024-04-26T19:55:18.965557766Z,01HWDZD5717ANBQ8GTPF071NQ4,2024-04-26T19:55:18.965557766Z,,,,,,,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.965557766Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.965557766Z
01HWDZKZ1XM1J1X1A69S6Q5HG7,01HWDZKY98MZTWKDYBY71E9FNW,2024-04-26T19:55:18.973761452Z,01HWDZKYD3STMH6D7J11EJRP6J,2024-04-26T19:55:18.973761452Z,01HWDZGWJ75208CDQJF4S4MG63,2024-04-26T19:55:18.973761452Z,,,,,,,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.973761452Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.973761452Z
01HWDZMWGANE32SAZQSFFSFBK6,01HWDZKY9KWDY32NYBVTMX5YMM,2024-04-26T19:55:49.130335564Z,01HWDZKYE58ZTM10NKWWNQ6HJ2,2024-04-26T19:55:49.130335564Z,01HWDZBW01J75DGAGYH6GJ4CPF,2024-04-26T19:55:49.130335564Z,73,2024-04-26T19:56:11.747129504Z,74,2024-04-26T19:56:11.749928606Z,true,2024-04-26T19:56:11.754594199Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:49.130335564Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:49.130335564Z
01HWDZMWGGN2NSVES04JKG0F6E,01HWDZKY9KWDY32NYBVTMX5YMM,2024-04-26T19:55:49.136629135Z,01HWDZKYE58ZTM10NKWWNQ6HJ2,2024-04-26T19:55:49.136629135Z,01HWDZC5946R9JV817EMBY35NT,2024-04-26T19:55:49.136629135Z,80,2024-04-26T19:55:57.862753335Z,100,2024-04-26T19:55:57.864321006Z,true,2024-04-26T19:55:58.016308176Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:49.136629135Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:49.136629135Z
01HWDZMWGPMY6ZGRDXZWC53DEZ,01HWDZKY9KWDY32NYBVTMX5YMM,2024-04-26T19:55:49.142644676Z,01HWDZKYE58ZTM10NKWWNQ6HJ2,2024-04-26T19:55:49.142644676Z,01HWDZD5717ANBQ8GTPF071NQ4,2024-04-26T19:55:49.142644676Z,85,2024-04-26T19:56:18.155032553Z,92,2024-04-26T19:56:18.156900568Z,true,2024-04-26T19:56:18.156394012Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:49.142644676Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:49.142644676Z
01HWDZMWGXD8XVK3VHNRM1JRKM,01HWDZKY9KWDY32NYBVTMX5YMM,2024-04-26T19:55:49.149932736Z,01HWDZKYE58ZTM10NKWWNQ6HJ2,2024-04-26T19:55:49.149932736Z,01HWDZGWJ75208CDQJF4S4MG63,2024-04-26T19:55:49.149932736Z,,,,,,,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:49.149932736Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:49.149932736Z
01HWDZNSXZZDH501B8F81BGN9D,01HWDZKY9JD6TTZNEFZ6WF7H5K,2024-04-26T19:56:19.263230349Z,01HWDZKYEK7QYSZQVPV0MCFVAF,2024-04-26T19:56:19.263230349Z,01HWDZBW01J75DGAGYH6GJ4CPF,2024-04-26T19:56:19.263230349Z,,,,,,,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:56:19.263230349Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:56:19.263230349Z
01HWDZNSY5ZRKZVMPAK4W42P8J,01HWDZKY9JD6TTZNEFZ6WF7H5K,2024-04-26T19:56:19.27004779Z,01HWDZKYEK7QYSZQVPV0MCFVAF,2024-04-26T19:56:19.27004779Z,01HWDZC5946R9JV817EMBY35NT,2024-04-26T19:56:19.27004779Z,84,2024-04-26T19:56:35.599664841Z,100,2024-04-26T19:56:35.601260707Z,true,2024-04-26T19:56:35.610577386Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:56:19.27004779Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:56:19.27004779Z
01HWDZNSYCTJDGBG9HM2K3W9M1,01HWDZKY9JD6TTZNEFZ6WF7H5K,2024-04-26T19:56:19.276063179Z,01HWDZKYEK7QYSZQVPV0MCFVAF,2024-04-26T19:56:19.276063179Z,01HWDZD5717ANBQ8GTPF071NQ4,2024-04-26T19:56:19.276063179Z,86,2024-04-26T19:56:45.108406865Z,87,2024-04-26T19:56:45.10961437Z,true,2024-04-26T19:56:45.110524937Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:56:19.276063179Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:56:19.276063179Z
