id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HWE2RVJ8ME48H305XMAAVAFT,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.968564014Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.968564014Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.968564014Z,01HWE2RV1X0HV3525KB8PPJ56N,2024-04-26T20:50:24.968564014Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:50:24.968564014Z,,,,,,
01HWE2RVJDDGEX9WP6BZ1C6KH3,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.973581616Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.973581616Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.973581616Z,01HWE2RV1X0HV3525KB8PPJ56N,2024-04-26T20:50:24.973581616Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:50:24.973581616Z,,,,,,
01HWE2RVJN89XYVQTREXQT6KMW,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.981767718Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.981767718Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.981767718Z,01HWE2RV1X0HV3525KB8PPJ56N,2024-04-26T20:50:24.981767718Z,01HWE2K4P42T602HAS5TC1R4HT,2024-04-26T20:50:24.981767718Z,,,,,,
01HWE2RVJW0D7GBY5NPEY16XNV,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.988875885Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.988875885Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.988875885Z,01HWE2RV1X0HV3525KB8PPJ56N,2024-04-26T20:50:24.988875885Z,01HWE2KHXSQ44FPJAKC5XRBSG9,2024-04-26T20:50:24.988875885Z,,,,,,
01HWE2SRXP4XHD8A1B1DJVMA5N,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:55.030456084Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:55.030456084Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:55.030456084Z,01HWE2RV1Y6HQTE10WRXBD6J63,2024-04-26T20:50:55.030456084Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:50:55.030456084Z,,,,,,
01HWE2SRXV74SAJ1BRM52K58R8,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:55.035162545Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:55.035162545Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:55.035162545Z,01HWE2RV1Y6HQTE10WRXBD6J63,2024-04-26T20:50:55.035162545Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:50:55.035162545Z,,,,,,
01HWE2SRY04X1QY6CCZK4NFHSV,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:55.040086479Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:55.040086479Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:55.040086479Z,01HWE2RV1Y6HQTE10WRXBD6J63,2024-04-26T20:50:55.040086479Z,01HWE2K4P42T602HAS5TC1R4HT,2024-04-26T20:50:55.040086479Z,true,2024-04-26T20:51:17.909467414Z,34,2024-04-26T20:51:17.90787538Z,50,2024-04-26T20:51:17.907002467Z
01HWE2SRY504MJF4JKR6TCNC6K,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:55.045236313Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:55.045236313Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:55.045236313Z,01HWE2RV1Y6HQTE10WRXBD6J63,2024-04-26T20:50:55.045236313Z,01HWE2KHXSQ44FPJAKC5XRBSG9,2024-04-26T20:50:55.045236313Z,true,2024-04-26T20:51:24.468505425Z,33,2024-04-26T20:51:24.137146611Z,45,2024-04-26T20:51:24.136682677Z
01HWE2TPCCVVA7P6E3R7HD8YYQ,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:25.196828089Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:25.196828089Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:25.196828089Z,01HWE2RV304JKFBKQWCPH2VXDF,2024-04-26T20:51:25.196828089Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:51:25.196828089Z,,,,,,
01HWE2TPCK7MCWTDZGW5KVDZHZ,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:25.203830956Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:25.203830956Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:25.203830956Z,01HWE2RV304JKFBKQWCPH2VXDF,2024-04-26T20:51:25.203830956Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:51:25.203830956Z,,,,,,
01HWE2TPCVQBRGS543EEMEXVN3,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:25.211911928Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:25.211911928Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:25.211911928Z,01HWE2RV304JKFBKQWCPH2VXDF,2024-04-26T20:51:25.211911928Z,01HWE2K4P42T602HAS5TC1R4HT,2024-04-26T20:51:25.211911928Z,,,,,,
01HWE2TPD2MCK7E3MP7FP31C6T,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:25.218129708Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:25.218129708Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:25.218129708Z,01HWE2RV304JKFBKQWCPH2VXDF,2024-04-26T20:51:25.218129708Z,01HWE2KHXSQ44FPJAKC5XRBSG9,2024-04-26T20:51:25.218129708Z,,,,,,
01HWE2VKR7M9H32AQR8TF65Q16,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:55.271484528Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:55.271484528Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:55.271484528Z,01HWE2RV31VYPX9J3C45DBMF6Y,2024-04-26T20:51:55.271484528Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:51:55.271484528Z,,,,,,
01HWE2VKRDZBMKDDD4JFBDHKGW,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:55.277628719Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:55.277628719Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:55.277628719Z,01HWE2RV31VYPX9J3C45DBMF6Y,2024-04-26T20:51:55.277628719Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:51:55.277628719Z,true,2024-04-26T20:52:23.950690159Z,70,2024-04-26T20:52:23.916113682Z,77,2024-04-26T20:52:23.929221193Z
01HWE2VKRMCPNJSBRR9VH7CPDD,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:55.284787242Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:55.284787242Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:55.284787242Z,01HWE2RV31VYPX9J3C45DBMF6Y,2024-04-26T20:51:55.284787242Z,01HWE2K4P42T602HAS5TC1R4HT,2024-04-26T20:51:55.284787242Z,,,,,,
01HWE2VKRTT8NTF93XQ6RHNDQG,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:51:55.290317864Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:51:55.290317864Z,01HWE2RTV79W49B4TDE3Y0A3BH,2024-04-26T20:51:55.290317864Z,01HWE2RV31VYPX9J3C45DBMF6Y,2024-04-26T20:51:55.290317864Z,01HWE2KHXSQ44FPJAKC5XRBSG9,2024-04-26T20:51:55.290317864Z,true,2024-04-26T20:52:11.670795211Z,43,2024-04-26T20:52:11.672111309Z,50,2024-04-26T20:52:11.668109822Z
01HWE2WH5T70S8HRNCP3N5J6KA,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:25.403035521Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:25.403035521Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:25.403035521Z,01HWE2RV12CV8K8WSVVACTWVYV,2024-04-26T20:52:25.403035521Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:52:25.403035521Z,,,,,,
01HWE2WH602EM67KRVZ6MVSXNS,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:25.408407188Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:25.408407188Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:25.408407188Z,01HWE2RV12CV8K8WSVVACTWVYV,2024-04-26T20:52:25.408407188Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:52:25.408407188Z,,,,,,
01HWE2WH65EVRGYYZPWGC2WVMZ,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:25.413417108Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:25.413417108Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:25.413417108Z,01HWE2RV12CV8K8WSVVACTWVYV,2024-04-26T20:52:25.413417108Z,01HWE2K4P42T602HAS5TC1R4HT,2024-04-26T20:52:25.413417108Z,,,,,,
01HWE2WH6FDRC49BY3Q63DYHJV,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:25.423452695Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:25.423452695Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:25.423452695Z,01HWE2RV12CV8K8WSVVACTWVYV,2024-04-26T20:52:25.423452695Z,01HWE2KHXSQ44FPJAKC5XRBSG9,2024-04-26T20:52:25.423452695Z,,,,,,
01HWE2XEHTEC6Y08B8KXT78JW2,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:55.482867496Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:55.482867496Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:55.482867496Z,01HWE2RV13CAN5ED3SA5WBH57Z,2024-04-26T20:52:55.482867496Z,01HWE2BJRE2HRZ30BWE37E0812,2024-04-26T20:52:55.482867496Z,,,,,,
01HWE2XEJ2BEN9HZJFHFMTJ04H,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:52:55.4905719Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:52:55.4905719Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:52:55.4905719Z,01HWE2RV13CAN5ED3SA5WBH57Z,2024-04-26T20:52:55.4905719Z,01HWE2D830HD2AGKCHDS5T67A1,2024-04-26T20:52:55.4905719Z,true,2024-04-26T20:53:23.54669253Z,84,2024-04-26T20:53:23.545818885Z,73,2024-04-26T20:53:23.559035566Z
