id,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt,name,nameLastChangedAt
01HWE2RTV554S17GYW77JQ9CBA,true,2024-04-26T20:51:25.0941462Z,2,2024-04-26T20:50:24.44775383Z,Chat,2024-04-26T20:50:24.229419385Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.229419385Z,0,2024-04-26T20:50:24.229419385Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.229419385Z,true,2024-04-26T20:50:24.522044568Z,1,2024-04-26T20:50:24.229419385Z,Round 1 / 12,2024-04-26T20:50:24.229419385Z
01HWE2RTV79W49B4TDE3Y0A3BH,true,2024-04-26T20:52:25.329527869Z,2,2024-04-26T20:50:24.468463811Z,Chat,2024-04-26T20:50:24.23110679Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.23110679Z,1,2024-04-26T20:50:24.23110679Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.23110679Z,true,2024-04-26T20:51:25.111057871Z,2,2024-04-26T20:50:24.23110679Z,Round 2 / 12,2024-04-26T20:50:24.23110679Z
01HWE2RTV8J1TE78ACF92W66F8,true,2024-04-26T20:55:09.154891186Z,2,2024-04-26T20:50:24.584850338Z,Chat,2024-04-26T20:50:24.232067331Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.232067331Z,4,2024-04-26T20:50:24.232067331Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.232067331Z,true,2024-04-26T20:54:18.688684113Z,5,2024-04-26T20:50:24.232067331Z,Round 5 / 12,2024-04-26T20:50:24.232067331Z
01HWE2RTV8J1TE78ACFV17ZQTE,true,2024-04-26T20:56:09.275501922Z,2,2024-04-26T20:50:24.591713468Z,Chat,2024-04-26T20:50:24.232357154Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.232357154Z,5,2024-04-26T20:50:24.232357154Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.232357154Z,true,2024-04-26T20:55:09.166516322Z,6,2024-04-26T20:50:24.232357154Z,Round 6 / 12,2024-04-26T20:50:24.232357154Z
01HWE2RTV9JNS37WGHEENX6GQD,true,2024-04-26T20:57:06.944087031Z,2,2024-04-26T20:50:24.591713468Z,Chat,2024-04-26T20:50:24.233512426Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.233512426Z,6,2024-04-26T20:50:24.233512426Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.233512426Z,true,2024-04-26T20:56:09.291543116Z,7,2024-04-26T20:50:24.233512426Z,Round 7 / 12,2024-04-26T20:50:24.233512426Z
01HWE2RTVAYVAY6Z3NGYQNXMR0,true,2024-04-26T20:54:18.677897624Z,2,2024-04-26T20:50:24.44354063Z,Chat,2024-04-26T20:50:24.234828874Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.234828874Z,3,2024-04-26T20:50:24.234828874Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.234828874Z,true,2024-04-26T20:53:23.592850293Z,4,2024-04-26T20:50:24.234828874Z,Round 4 / 12,2024-04-26T20:50:24.234828874Z
01HWE2RTVAYVAY6Z3NHECRFXZW,true,2024-04-26T20:59:02.800409538Z,2,2024-04-26T20:50:24.591225348Z,Chat,2024-04-26T20:50:24.235007295Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.235007295Z,8,2024-04-26T20:50:24.235007295Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.235007295Z,true,2024-04-26T20:58:02.59152068Z,9,2024-04-26T20:50:24.235007295Z,Round 9 / 12,2024-04-26T20:50:24.235007295Z
01HWE2RTVBE2KKV2FN2R051V69,true,2024-04-26T20:53:23.57513547Z,2,2024-04-26T20:50:24.584850338Z,Chat,2024-04-26T20:50:24.235196225Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.235196225Z,2,2024-04-26T20:50:24.235196225Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.235196225Z,true,2024-04-26T20:52:25.343486474Z,3,2024-04-26T20:50:24.235196225Z,Round 3 / 12,2024-04-26T20:50:24.235196225Z
01HWE2RTVBE2KKV2FN2ZZTPNZV,true,2024-04-26T20:59:59.991602506Z,2,2024-04-26T20:50:24.455859949Z,Chat,2024-04-26T20:50:24.235556451Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.235556451Z,9,2024-04-26T20:50:24.235556451Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.235556451Z,true,2024-04-26T20:59:02.823803687Z,10,2024-04-26T20:50:24.235556451Z,Round 10 / 12,2024-04-26T20:50:24.235556451Z
01HWE2RTVBE2KKV2FN3CWKBYKT,true,2024-04-26T20:58:02.579726551Z,2,2024-04-26T20:50:24.468913187Z,Chat,2024-04-26T20:50:24.235771241Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.235771241Z,7,2024-04-26T20:50:24.235771241Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.235771241Z,true,2024-04-26T20:57:06.961174397Z,8,2024-04-26T20:50:24.235771241Z,Round 8 / 12,2024-04-26T20:50:24.235771241Z
01HWE2RTVBE2KKV2FN40WAW5V9,true,2024-04-26T21:00:56.955437059Z,2,2024-04-26T20:50:24.468913187Z,Chat,2024-04-26T20:50:24.235992552Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.235992552Z,10,2024-04-26T20:50:24.235992552Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.235992552Z,true,2024-04-26T21:00:00.015640743Z,11,2024-04-26T20:50:24.235992552Z,Round 11 / 12,2024-04-26T20:50:24.235992552Z
01HWE2RTVC2EBSFKMD6NXGPR5Q,true,2024-04-26T21:01:57.307565459Z,2,2024-04-26T20:50:24.468913187Z,Chat,2024-04-26T20:50:24.23622736Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.23622736Z,11,2024-04-26T20:50:24.23622736Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.23622736Z,true,2024-04-26T21:00:57.021090744Z,12,2024-04-26T20:50:24.23622736Z,Round 12 / 12,2024-04-26T20:50:24.23622736Z
01HWE37W9VPTKGYXPWF2P2BP01,true,2024-04-26T21:01:11.028562784Z,2,2024-04-26T20:58:37.595506601Z,Chat,2024-04-26T20:58:37.243230103Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.243230103Z,2,2024-04-26T20:58:37.243230103Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.243230103Z,true,2024-04-26T21:00:26.782987306Z,3,2024-04-26T20:58:37.243230103Z,Round 3 / 12,2024-04-26T20:58:37.243230103Z
01HWE37W9WGYZ7DQZYSF85Q01K,true,2024-04-26T21:00:26.763552614Z,2,2024-04-26T20:58:37.505344285Z,Chat,2024-04-26T20:58:37.244338797Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.244338797Z,1,2024-04-26T20:58:37.244338797Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.244338797Z,true,2024-04-26T20:59:38.411532095Z,2,2024-04-26T20:58:37.244338797Z,Round 2 / 12,2024-04-26T20:58:37.244338797Z
01HWE37W9WGYZ7DQZYT1VVGSYD,true,2024-04-26T21:03:05.538129167Z,2,2024-04-26T20:58:37.65816719Z,Chat,2024-04-26T20:58:37.244973626Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.244973626Z,4,2024-04-26T20:58:37.244973626Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.244973626Z,true,2024-04-26T21:02:05.292131087Z,5,2024-04-26T20:58:37.244973626Z,Round 5 / 12,2024-04-26T20:58:37.244973626Z
01HWE37W9XWZQEKAZ3CP6BJ3G0,true,2024-04-26T20:59:38.392496474Z,2,2024-04-26T20:58:37.526788477Z,Chat,2024-04-26T20:58:37.245463371Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.245463371Z,0,2024-04-26T20:58:37.245463371Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.245463371Z,true,2024-04-26T20:58:37.727589888Z,1,2024-04-26T20:58:37.245463371Z,Round 1 / 12,2024-04-26T20:58:37.245463371Z
01HWE37W9YZYP171D4YNHHZVE8,true,2024-04-26T21:07:18.22825003Z,2,2024-04-26T20:58:37.38186625Z,Chat,2024-04-26T20:58:37.246166129Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.246166129Z,9,2024-04-26T20:58:37.246166129Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.246166129Z,true,2024-04-26T21:06:33.253613545Z,10,2024-04-26T20:58:37.246166129Z,Round 10 / 12,2024-04-26T20:58:37.246166129Z
01HWE37W9YZYP171D4Z81Y0MHM,true,2024-04-26T21:05:00.624475078Z,2,2024-04-26T20:58:37.650103812Z,Chat,2024-04-26T20:58:37.246893907Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.246893907Z,6,2024-04-26T20:58:37.246893907Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.246893907Z,true,2024-04-26T21:04:02.299561845Z,7,2024-04-26T20:58:37.246893907Z,Round 7 / 12,2024-04-26T20:58:37.246893907Z
01HWE37W9ZA10Z3DWKYA6S7TS9,true,2024-04-26T21:08:11.551549529Z,2,2024-04-26T20:58:37.38186625Z,Chat,2024-04-26T20:58:37.247822367Z,01HWE2RYCC39QCVNWDZQ83Y290,2024-04-26T20:58:37.247822367Z,10,2024-04-26T20:58:37.247822367Z,01HWE2RYC3WSR576QJJMA7YG8X,2024-04-26T20:58:37.247822367Z,true,2024-04-26T21:07:18.243665464Z,11,2024-04-26T20:58:37.247822367Z,Round 11 / 12,2024-04-26T20:58:37.247822367Z
