id,name,nameLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,duration,durationLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,initialized,initializedLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt
01HWE2RV0XSKZTZ7FR66B2H6QB,send,2024-04-26T20:50:24.413967899Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.413967899Z,true,2024-04-26T20:54:18.73663828Z,30,2024-04-26T20:50:24.413967899Z,01HWE2RTV8J1TE78ACF92W66F8,2024-04-26T20:50:24.413967899Z,01HWE2RTYNH2BTA5YMPC7ANJ24,2024-04-26T20:50:24.413967899Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.413967899Z,true,2024-04-26T20:54:48.793864041Z,true,2024-04-26T20:54:18.773554881Z,0,2024-04-26T20:50:24.413967899Z,true,2024-04-26T20:54:18.787845478Z
01HWE2RV0YCEDSSQN591WDREE6,observe,2024-04-26T20:50:24.414280875Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.414280875Z,true,2024-04-26T20:54:48.811717299Z,30,2024-04-26T20:50:24.414280875Z,01HWE2RTV8J1TE78ACF92W66F8,2024-04-26T20:50:24.414280875Z,01HWE2RTYWFC0WAJ53WB96YVMZ,2024-04-26T20:50:24.414280875Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.414280875Z,true,2024-04-26T20:55:09.138786441Z,true,2024-04-26T20:54:48.858567322Z,1,2024-04-26T20:50:24.414280875Z,true,2024-04-26T20:54:48.880029257Z
01HWE2RV12CV8K8WSVVACTWVYV,send,2024-04-26T20:50:24.418902373Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.418902373Z,true,2024-04-26T20:52:25.391395195Z,30,2024-04-26T20:50:24.418902373Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:50:24.418902373Z,01HWE2RTYP15S2PQS3CEPMPFA1,2024-04-26T20:50:24.418902373Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.418902373Z,true,2024-04-26T20:52:55.450457053Z,true,2024-04-26T20:52:25.428843919Z,0,2024-04-26T20:50:24.418902373Z,true,2024-04-26T20:52:25.442669449Z
01HWE2RV13CAN5ED3SA5WBH57Z,observe,2024-04-26T20:50:24.419194229Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.419194229Z,true,2024-04-26T20:52:55.470376239Z,30,2024-04-26T20:50:24.419194229Z,01HWE2RTVBE2KKV2FN2R051V69,2024-04-26T20:50:24.419194229Z,01HWE2RTZ2R0WDM30HSBH2ZG4N,2024-04-26T20:50:24.419194229Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.419194229Z,true,2024-04-26T20:53:23.558615906Z,true,2024-04-26T20:52:55.517612608Z,1,2024-04-26T20:50:24.419194229Z,true,2024-04-26T20:52:55.538844284Z
01HWE2RV1X0HV3525KB8PPJ56N,send,2024-04-26T20:50:24.446022912Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.446022912Z,true,2024-04-26T20:50:24.878713451Z,30,2024-04-26T20:50:24.446022912Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.446022912Z,01HWE2RTYNH2BTA5YMNS82RG31,2024-04-26T20:50:24.446022912Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.446022912Z,true,2024-04-26T20:50:55.009014749Z,true,2024-04-26T20:50:24.992540649Z,0,2024-04-26T20:50:24.446022912Z,true,2024-04-26T20:50:25.004423086Z
01HWE2RV1Y6HQTE10WRXBD6J63,observe,2024-04-26T20:50:24.44628975Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.44628975Z,true,2024-04-26T20:50:55.021320913Z,30,2024-04-26T20:50:24.44628975Z,01HWE2RTV554S17GYW77JQ9CBA,2024-04-26T20:50:24.44628975Z,01HWE2RTZNCNK8PK97J1YXTF1G,2024-04-26T20:50:24.44628975Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.44628975Z,true,2024-04-26T20:51:25.073927096Z,true,2024-04-26T20:50:55.050733049Z,1,2024-04-26T20:50:24.44628975Z,true,2024-04-26T20:50:55.063351189Z
01HWE2RV21CH4R2BNZA554G6JB,send,2024-04-26T20:50:24.449794188Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.449794188Z,true,2024-04-26T20:59:02.898431185Z,30,2024-04-26T20:50:24.449794188Z,01HWE2RTVBE2KKV2FN2ZZTPNZV,2024-04-26T20:50:24.449794188Z,01HWE2RTYP15S2PQS3CZF0T6HT,2024-04-26T20:50:24.449794188Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.449794188Z,true,2024-04-26T20:59:32.968723612Z,true,2024-04-26T20:59:02.94284224Z,0,2024-04-26T20:50:24.449794188Z,true,2024-04-26T20:59:02.964123963Z
01HWE2RV22VSQ0Q44Q8WYFANHM,observe,2024-04-26T20:50:24.450027965Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.450027965Z,true,2024-04-26T20:59:32.983578313Z,30,2024-04-26T20:50:24.450027965Z,01HWE2RTVBE2KKV2FN2ZZTPNZV,2024-04-26T20:50:24.450027965Z,01HWE2RTZX0DD6RJ7ANR1Y0CKB,2024-04-26T20:50:24.450027965Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.450027965Z,true,2024-04-26T20:59:59.974611391Z,true,2024-04-26T20:59:33.014387083Z,1,2024-04-26T20:50:24.450027965Z,true,2024-04-26T20:59:33.029236946Z
01HWE2RV29QVNMPC7EKZNS2254,send,2024-04-26T20:50:24.457222707Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.457222707Z,true,2024-04-26T20:57:07.017252118Z,30,2024-04-26T20:50:24.457222707Z,01HWE2RTVBE2KKV2FN3CWKBYKT,2024-04-26T20:50:24.457222707Z,01HWE2RTYQGGZYCT151P6CH8DY,2024-04-26T20:50:24.457222707Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.457222707Z,true,2024-04-26T20:57:37.085927256Z,true,2024-04-26T20:57:07.064154432Z,0,2024-04-26T20:50:24.457222707Z,true,2024-04-26T20:57:07.084818497Z
01HWE2RV29QVNMPC7EMEXFEE2F,observe,2024-04-26T20:50:24.457453626Z,01HWE21TS1F71GTVEYMTP8KCJQ,2024-04-26T20:50:24.457453626Z,true,2024-04-26T20:57:37.103629235Z,30,2024-04-26T20:50:24.457453626Z,01HWE2RTVBE2KKV2FN3CWKBYKT,2024-04-26T20:50:24.457453626Z,01HWE2RV05B8P5M2BS69NC6NG9,2024-04-26T20:50:24.457453626Z,01HWE21TSBGYD1J8WMBWFWMYH0,2024-04-26T20:50:24.457453626Z,true,2024-04-26T20:58:02.561656691Z,true,2024-04-26T20:57:37.138251514Z,1,2024-04-26T20:50:24.457453626Z,true,2024-04-26T20:57:37.152326421Z
