id,introDone,introDoneLastChangedAt,gameID,gameIDLastChangedAt,treatment,treatmentLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,name,nameLastChangedAt,participantID,participantIDLastChangedAt,treatmentName,treatmentNameLastChangedAt,exitSurvey,exitSurveyLastChangedAt,exitStep,exitStepLastChangedAt,urlParams,urlParamsLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,recipient,recipientLastChangedAt
01HVSVMCSVXNDM22Z4GHV1S19C,true,2024-04-19T00:26:34.856638315Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:20:50.114726942Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:20:50.114726942Z,"[""🐇"",""🐇"",""                                   "",""🐇""]",2024-04-19T00:27:21.90037531Z,56366e43dc62e50011cb4ca1,2024-04-19T00:20:50.107846249Z,player 1,2024-04-19T00:27:21.90037531Z,01HVSVMBQ1PP8A2DG0X4DBYBK2,2024-04-19T00:20:50.107846249Z,rerun-interactive- 0.7,2024-04-19T00:20:50.114726942Z,"{""age"":""46"",""gender"":""Female"",""strength"":""Being honest, fast responder"",""fair"":""yes"",""feedback"":""For the first round I'm not sure if I entered my sighting into the box quickly enough to submit (apologies it was not intentional)."",""education"":""master"",""teammates"":""I believed they were honest - can't think why they'd lie."",""notes"":""I tried to write down my neighbours' tallies and added each individual's to mine. Sometimes it was too quick so I just did a mental calculation"",""politics"":""left wing liberal (British variation)"",""geo"":""British"",""ethnicity"":""White""}",2024-04-19T00:41:25.922607386Z,1,2024-04-19T00:41:25.92470862Z,{},2024-04-19T00:20:50.494596839Z,4,2024-04-19T00:26:17.683352666Z,game ended,2024-04-19T00:37:30.441736441Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:36:44.578437977Z
01HVSVTAR4GS8PHW29Z4P4CMY3,true,2024-04-19T00:27:20.744131652Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:24:04.619433208Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:24:04.619433208Z,"[""                                   "",""🐇"",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇"",""🐿️"",""🐿️""]",2024-04-19T00:27:21.90037531Z,65032d1ac8801905f2293c78,2024-04-19T00:24:04.612189476Z,player 2,2024-04-19T00:27:21.90037531Z,01HVSVTAKCYKJP9GSMRXJC1WKE,2024-04-19T00:24:04.612189476Z,rerun-interactive- 0.7,2024-04-19T00:24:04.619433208Z,"{""age"":""22"",""gender"":""female"",""strength"":""I was always honest"",""fair"":""Yes"",""feedback"":""Tell the number of squirrels to rabbits in the slide bar so I don't have to count each individually when deciding the ratio. "",""education"":""bachelor"",""teammates"":""Yes"",""notes"":""No"",""politics"":""moderate"",""geo"":""United States"",""ethnicity"":""white""}",2024-04-19T00:39:17.758805486Z,1,2024-04-19T00:39:17.766356904Z,{},2024-04-19T00:24:04.684861378Z,4,2024-04-19T00:27:13.386492916Z,game ended,2024-04-19T00:37:30.441736441Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:36:44.578437977Z
01HVSVTRFBENNBNW910Z5TZWVT,true,2024-04-19T00:26:48.287525096Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:24:18.675125626Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:24:18.675125626Z,"[""🐇"",""🐇"",""                                   "",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇""]",2024-04-19T00:28:57.033496852Z,6348fd6255fa782a93cede6e,2024-04-19T00:24:18.6674096Z,player 1,2024-04-19T00:28:57.033496852Z,01HVSVTQWAGJD8D8R1Y1ECPV3Y,2024-04-19T00:24:18.6674096Z,rerun-interactive- 0.7,2024-04-19T00:24:18.675125626Z,"{""age"":""36"",""gender"":""Male"",""strength"":""Speed"",""fair"":""Yes"",""feedback"":""None"",""education"":""high-school"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""None"",""geo"":""English"",""ethnicity"":""White""}",2024-04-19T00:39:59.119582408Z,1,2024-04-19T00:39:59.117535748Z,{},2024-04-19T00:24:18.978697644Z,4,2024-04-19T00:26:45.299153695Z,game ended,2024-04-19T00:39:13.488575902Z,01HVSVVXEFDQCRSJGK8QE1SM3R,2024-04-19T00:38:35.636504035Z
01HVSVVJCJ22SZJC2DP40DMFKW,true,2024-04-19T00:26:55.233901726Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:24:45.209103448Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:24:45.209103448Z,"[""🐇"",""🐇"",""                                   "",""🐿️"",""🐇"",""🐇""]",2024-04-19T00:27:21.90037531Z,60fa0929b83c13a26cd1b8d7,2024-04-19T00:24:45.202479827Z,player 3,2024-04-19T00:27:21.90037531Z,01HVSVVJ21F5ZGSS70BJMZA3V6,2024-04-19T00:24:45.202479827Z,rerun-interactive- 0.7,2024-04-19T00:24:45.209103448Z,"{""age"":""32"",""gender"":""Female"",""strength"":""high"",""fair"":""yes"",""feedback"":""none"",""education"":""master"",""teammates"":""Yes"",""notes"":""No"",""politics"":""Liberal"",""geo"":""Canadian"",""ethnicity"":""Asian""}",2024-04-19T00:38:15.624663116Z,1,2024-04-19T00:38:15.626556297Z,{},2024-04-19T00:24:45.377820465Z,4,2024-04-19T00:26:52.372770183Z,game ended,2024-04-19T00:37:30.441736441Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:36:44.578437977Z
01HVSVVXEFDQCRSJGK8QE1SM3R,true,2024-04-19T00:28:56.973888091Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:27:21.843227362Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:27:21.843227362Z,"[""                                   "",""🐇"",""🐿️""]",2024-04-19T00:28:57.033496852Z,615f598df06d6fab3adc843c,2024-04-19T00:24:56.527036485Z,player 2,2024-04-19T00:28:57.033496852Z,01HVSVVX5JCP3GE47VNSBPHS03,2024-04-19T00:24:56.527036485Z,rerun-interactive- 0.7,2024-04-19T00:27:21.843227362Z,,,,,{},2024-04-19T00:24:56.683711577Z,4,2024-04-19T00:28:54.588327919Z,game ended,2024-04-19T00:39:13.488575902Z,01HVSVX7B4BX3MDPGXEMRJQQ08,2024-04-19T00:38:35.636504035Z
01HVSVWM43JA8Z1M658C5SD7EG,true,2024-04-19T00:27:21.826925199Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:25:19.754055931Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:25:19.754055931Z,"[""🐇"",""🐿️"",""🐇"",""                                   "",""🐿️""]",2024-04-19T00:27:21.90037531Z,5bf769ac2dd20c00013188d1,2024-04-19T00:25:19.747482634Z,player 4,2024-04-19T00:27:21.90037531Z,01HVSVWJ0G3F03MG0KAGQDAZ8X,2024-04-19T00:25:19.747482634Z,rerun-interactive- 0.7,2024-04-19T00:25:19.754055931Z,"{""age"":""32"",""gender"":""Male"",""strength"":""I found my strength in the game to be okay"",""fair"":""Yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""No they were not telling the truth"",""notes"":""No"",""politics"":""Center"",""geo"":""Canadian"",""ethnicity"":""White""}",2024-04-19T00:38:37.065203881Z,1,2024-04-19T00:38:37.263555432Z,{},2024-04-19T00:25:20.585610465Z,4,2024-04-19T00:27:18.103499093Z,game ended,2024-04-19T00:37:30.441736441Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:36:44.578437977Z
01HVSVWR2VTC85XEMJ6VTX3SBT,true,2024-04-19T00:29:25.06727645Z,01HVSV8QWGA4B7WEY814H1HGK2,2024-04-19T00:28:56.986052831Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:28:56.986052831Z,"[""                                   "",""🐿️"",""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-19T00:31:10.767682374Z,587cac0d74e38800014d91ac,2024-04-19T00:25:23.803725376Z,player 1,2024-04-19T00:31:10.767682374Z,01HVSVWQB8Q4KZERC3GQ424N5P,2024-04-19T00:25:23.803725376Z,rerun-interactive- 0.7,2024-04-19T00:28:56.986052831Z,"{""age"":""54"",""gender"":""Male"",""strength"":""not sure as I may have gone wrong but I think my strength was working out the %"",""fair"":""yes"",""feedback"":""not sure how to put the slider as to whether had to be spot on but no ratings so hard to accurately guess"",""education"":""high-school"",""teammates"":""depends as their answers were all different but I thought it was what we could see out of our windows and each were different"",""notes"":""no"",""politics"":""Left"",""geo"":""UK"",""ethnicity"":""White""}",2024-04-19T00:45:38.201189878Z,1,2024-04-19T00:45:38.196635227Z,{},2024-04-19T00:25:24.135318237Z,4,2024-04-19T00:29:15.011406331Z,game ended,2024-04-19T00:42:07.402493542Z,01HVSVYEH953WVAFBFB6XE927F,2024-04-19T00:41:11.825547685Z
01HVSVX7B4BX3MDPGXEMRJQQ08,true,2024-04-19T00:27:56.896318482Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:27:21.843227362Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:27:21.843227362Z,"[""🐿️"",""🐇"",""                                   ""]",2024-04-19T00:28:57.033496852Z,65b188f1750e2d49ab12d404,2024-04-19T00:25:39.428990222Z,player 3,2024-04-19T00:28:57.033496852Z,01HVSVX749GMDMDSWBE6CMXAKS,2024-04-19T00:25:39.428990222Z,rerun-interactive- 0.7,2024-04-19T00:27:21.843227362Z,"{""age"":""26"",""gender"":""Male"",""strength"":""Keeping track of the ratio of squirrel to rabbit"",""fair"":""Yes"",""feedback"":""N/A"",""education"":""bachelor"",""teammates"":""Yes, I believed they were truthful"",""notes"":""No"",""politics"":"""",""geo"":""Canadian"",""ethnicity"":""Asian""}",2024-04-19T00:40:09.369876844Z,1,2024-04-19T00:40:09.371714982Z,{},2024-04-19T00:25:39.550844955Z,4,2024-04-19T00:27:46.870674412Z,game ended,2024-04-19T00:39:13.488575902Z,01HVSVXD50P57KTK8NNBWHE67P,2024-04-19T00:38:35.636504035Z
01HVSVXD50P57KTK8NNBWHE67P,true,2024-04-19T00:27:52.752990699Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:25:45.383250553Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:25:45.383250553Z,"[""🐿️"",""                                   "",""🐇"",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇""]",2024-04-19T00:28:57.033496852Z,5eb0d66e90982f19d0f7ae7c,2024-04-19T00:25:45.376645888Z,player 4,2024-04-19T00:28:57.033496852Z,01HVSVXCTSER8YKWWM9AV8SCRP,2024-04-19T00:25:45.376645888Z,rerun-interactive- 0.7,2024-04-19T00:25:45.383250553Z,"{""age"":""30"",""gender"":""female"",""strength"":""strong"",""fair"":""yes"",""feedback"":""this was fun!"",""education"":""master"",""teammates"":""I think they did"",""notes"":""yes"",""politics"":""independent"",""geo"":""US midwest"",""ethnicity"":""asian indian""}",2024-04-19T00:40:07.059026172Z,1,2024-04-19T00:40:07.09303618Z,{},2024-04-19T00:25:45.573627187Z,4,2024-04-19T00:27:47.082934445Z,game ended,2024-04-19T00:39:13.488575902Z,01HVSVTRFBENNBNW910Z5TZWVT,2024-04-19T00:38:35.636504035Z
01HVSVYEH953WVAFBFB6XE927F,true,2024-04-19T00:29:23.986153937Z,01HVSV8QWGA4B7WEY814H1HGK2,2024-04-19T00:28:56.986052831Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:28:56.986052831Z,"[""🐿️"",""🐇"",""                                   "",""🐇"",""🐿️"",""🐇""]",2024-04-19T00:31:10.767682374Z,5ee7a8ab87d5560568bc2dca,2024-04-19T00:26:19.56147084Z,player 2,2024-04-19T00:31:10.767682374Z,01HVSVYDY14YM2W04W0F3G7F6M,2024-04-19T00:26:19.56147084Z,rerun-interactive- 0.7,2024-04-19T00:28:56.986052831Z,"{""age"":""31"",""gender"":""Female"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""bachelor"",""teammates"":""I hope they were."",""notes"":""Sometimes"",""politics"":""Left"",""geo"":""British"",""ethnicity"":""White""}",2024-04-19T00:44:12.681804704Z,1,2024-04-19T00:44:12.684941246Z,{},2024-04-19T00:26:20.055089119Z,4,2024-04-19T00:29:15.662575248Z,game ended,2024-04-19T00:42:07.402493542Z,01HVSVZKDKJ31S4JPBDWWVZR3X,2024-04-19T00:41:11.825547685Z
