id,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt
01HVSW0BD55KN2HT103R4VPK9F,0,2024-04-19T00:27:21.893255035Z,Round 1 / 12,2024-04-19T00:27:21.893255035Z,2,2024-04-19T00:27:22.176618231Z,true,2024-04-19T00:28:14.881205553Z,1,2024-04-19T00:27:21.893255035Z,Chat,2024-04-19T00:27:21.893255035Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.893255035Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.893255035Z,true,2024-04-19T00:27:22.250820759Z
01HVSW0BD626EF60FJEW68PS15,1,2024-04-19T00:27:21.894594908Z,Round 2 / 12,2024-04-19T00:27:21.894594908Z,2,2024-04-19T00:27:22.16486627Z,true,2024-04-19T00:29:14.094831726Z,2,2024-04-19T00:27:21.894594908Z,Chat,2024-04-19T00:27:21.894594908Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.894594908Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.894594908Z,true,2024-04-19T00:28:14.89235241Z
01HVSW0BD626EF60FJF96T9KCE,2,2024-04-19T00:27:21.894961651Z,Round 3 / 12,2024-04-19T00:27:21.894961651Z,2,2024-04-19T00:27:22.167452664Z,true,2024-04-19T00:30:10.151876757Z,3,2024-04-19T00:27:21.894961651Z,Chat,2024-04-19T00:27:21.894961651Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.894961651Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.894961651Z,true,2024-04-19T00:29:14.108291848Z
01HVSW0BD7ZSJW555MWHEH90YK,6,2024-04-19T00:27:21.895413097Z,Round 7 / 12,2024-04-19T00:27:21.895413097Z,2,2024-04-19T00:27:21.991479923Z,true,2024-04-19T00:33:23.064419669Z,7,2024-04-19T00:27:21.895413097Z,Chat,2024-04-19T00:27:21.895413097Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.895413097Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.895413097Z,true,2024-04-19T00:32:32.018809222Z
01HVSW0BD7ZSJW555MX3VXDKG1,3,2024-04-19T00:27:21.895742188Z,Round 4 / 12,2024-04-19T00:27:21.895742188Z,2,2024-04-19T00:27:22.176618231Z,true,2024-04-19T00:30:56.86889314Z,4,2024-04-19T00:27:21.895742188Z,Chat,2024-04-19T00:27:21.895742188Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.895742188Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.895742188Z,true,2024-04-19T00:30:10.163396755Z
01HVSW0BD8Z1C7K43MB4W9M0W0,8,2024-04-19T00:27:21.896106656Z,Round 9 / 12,2024-04-19T00:27:21.896106656Z,2,2024-04-19T00:27:22.090930083Z,true,2024-04-19T00:35:08.039044364Z,9,2024-04-19T00:27:21.896106656Z,Chat,2024-04-19T00:27:21.896106656Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.896106656Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.896106656Z,true,2024-04-19T00:34:17.857933073Z
01HVSW0BD8Z1C7K43MBTKMJRYF,5,2024-04-19T00:27:21.89655013Z,Round 6 / 12,2024-04-19T00:27:21.89655013Z,2,2024-04-19T00:27:21.976049388Z,true,2024-04-19T00:32:32.001497817Z,6,2024-04-19T00:27:21.89655013Z,Chat,2024-04-19T00:27:21.89655013Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.89655013Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.89655013Z,true,2024-04-19T00:31:41.98926307Z
01HVSW0BD8Z1C7K43MC9C2YE70,4,2024-04-19T00:27:21.896893566Z,Round 5 / 12,2024-04-19T00:27:21.896893566Z,2,2024-04-19T00:27:21.991479923Z,true,2024-04-19T00:31:41.978758558Z,5,2024-04-19T00:27:21.896893566Z,Chat,2024-04-19T00:27:21.896893566Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.896893566Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.896893566Z,true,2024-04-19T00:30:56.876810437Z
01HVSW0BD9AWC1K6Z6NEJJD2CN,7,2024-04-19T00:27:21.897451051Z,Round 8 / 12,2024-04-19T00:27:21.897451051Z,2,2024-04-19T00:27:22.090930083Z,true,2024-04-19T00:34:17.845861283Z,8,2024-04-19T00:27:21.897451051Z,Chat,2024-04-19T00:27:21.897451051Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.897451051Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.897451051Z,true,2024-04-19T00:33:23.079888479Z
01HVSW0BD9AWC1K6Z6NXP75FFW,9,2024-04-19T00:27:21.897824015Z,Round 10 / 12,2024-04-19T00:27:21.897824015Z,2,2024-04-19T00:27:22.097242293Z,true,2024-04-19T00:35:51.990780808Z,10,2024-04-19T00:27:21.897824015Z,Chat,2024-04-19T00:27:21.897824015Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.897824015Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.897824015Z,true,2024-04-19T00:35:08.05118515Z
01HVSW0BDAEKKNKJQ1YE3HDMXT,10,2024-04-19T00:27:21.898388443Z,Round 11 / 12,2024-04-19T00:27:21.898388443Z,2,2024-04-19T00:27:22.105056157Z,true,2024-04-19T00:36:44.53145333Z,11,2024-04-19T00:27:21.898388443Z,Chat,2024-04-19T00:27:21.898388443Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.898388443Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.898388443Z,true,2024-04-19T00:35:52.002625458Z
01HVSW0BDBCW0NTSAV6W42R8HG,11,2024-04-19T00:27:21.899624704Z,Round 12 / 12,2024-04-19T00:27:21.899624704Z,2,2024-04-19T00:27:22.115795579Z,true,2024-04-19T00:37:30.404327112Z,12,2024-04-19T00:27:21.899624704Z,Chat,2024-04-19T00:27:21.899624704Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.899624704Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.899624704Z,true,2024-04-19T00:36:44.543221013Z
01HVSW38A5AX5QK7C5JBFPMJFD,0,2024-04-19T00:28:57.029050905Z,Round 1 / 12,2024-04-19T00:28:57.029050905Z,2,2024-04-19T00:28:57.22891338Z,true,2024-04-19T00:29:57.696319854Z,1,2024-04-19T00:28:57.029050905Z,Chat,2024-04-19T00:28:57.029050905Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.029050905Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.029050905Z,true,2024-04-19T00:28:57.275011704Z
01HVSW38A5AX5QK7C5K06E8R17,1,2024-04-19T00:28:57.029968105Z,Round 2 / 12,2024-04-19T00:28:57.029968105Z,2,2024-04-19T00:28:57.260004069Z,true,2024-04-19T00:30:57.852455426Z,2,2024-04-19T00:28:57.029968105Z,Chat,2024-04-19T00:28:57.029968105Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.029968105Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.029968105Z,true,2024-04-19T00:29:57.711078101Z
01HVSW38A6W5B6G00N82CDX9VP,8,2024-04-19T00:28:57.030711074Z,Round 9 / 12,2024-04-19T00:28:57.030711074Z,2,2024-04-19T00:28:57.101850846Z,true,2024-04-19T00:37:07.141450826Z,9,2024-04-19T00:28:57.030711074Z,Chat,2024-04-19T00:28:57.030711074Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.030711074Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.030711074Z,true,2024-04-19T00:36:22.880378209Z
01HVSW38A77A91WTYGSJYMPG09,4,2024-04-19T00:28:57.031118899Z,Round 5 / 12,2024-04-19T00:28:57.031118899Z,2,2024-04-19T00:28:57.25915374Z,true,2024-04-19T00:33:22.311721463Z,5,2024-04-19T00:28:57.031118899Z,Chat,2024-04-19T00:28:57.031118899Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.031118899Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.031118899Z,true,2024-04-19T00:32:38.805713915Z
01HVSW38A77A91WTYGT2WVTB9J,3,2024-04-19T00:28:57.031513054Z,Round 4 / 12,2024-04-19T00:28:57.031513054Z,2,2024-04-19T00:28:57.150742493Z,true,2024-04-19T00:32:38.792371471Z,4,2024-04-19T00:28:57.031513054Z,Chat,2024-04-19T00:28:57.031513054Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.031513054Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.031513054Z,true,2024-04-19T00:31:48.208133338Z
01HVSW38A77A91WTYGTQKJBNMA,9,2024-04-19T00:28:57.031929793Z,Round 10 / 12,2024-04-19T00:28:57.031929793Z,2,2024-04-19T00:28:57.106680312Z,true,2024-04-19T00:37:52.478815207Z,10,2024-04-19T00:28:57.031929793Z,Chat,2024-04-19T00:28:57.031929793Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.031929793Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.031929793Z,true,2024-04-19T00:37:07.157491147Z
01HVSW38A80DYP8FBE5KGKP2Q6,10,2024-04-19T00:28:57.032681185Z,Round 11 / 12,2024-04-19T00:28:57.032681185Z,2,2024-04-19T00:28:57.258650429Z,true,2024-04-19T00:38:35.576698482Z,11,2024-04-19T00:28:57.032681185Z,Chat,2024-04-19T00:28:57.032681185Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.032681185Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.032681185Z,true,2024-04-19T00:37:52.498718067Z
01HVSW38A9YT970BC9C6NMXFJT,5,2024-04-19T00:28:57.033067847Z,Round 6 / 12,2024-04-19T00:28:57.033067847Z,2,2024-04-19T00:28:57.214467328Z,true,2024-04-19T00:34:22.507223088Z,6,2024-04-19T00:28:57.033067847Z,Chat,2024-04-19T00:28:57.033067847Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.033067847Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.033067847Z,true,2024-04-19T00:33:22.327844784Z
01HVSW38ABX0EWAWZP4M76KNQN,7,2024-04-19T00:28:57.035510662Z,Round 8 / 12,2024-04-19T00:28:57.035510662Z,2,2024-04-19T00:28:57.101850846Z,true,2024-04-19T00:36:22.865542003Z,8,2024-04-19T00:28:57.035510662Z,Chat,2024-04-19T00:28:57.035510662Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.035510662Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.035510662Z,true,2024-04-19T00:35:22.716311329Z
