id,ended,endedLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt
01HW3CEZRY5W1P545G4ZN1M3TR,true,2024-04-22T17:09:09.918658828Z,1,2024-04-22T17:08:08.606408509Z,0,2024-04-22T17:08:08.606408509Z,true,2024-04-22T17:08:09.010024301Z,2,2024-04-22T17:08:09.070591119Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.606408509Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.606408509Z,Round 1 / 12,2024-04-22T17:08:08.606408509Z,Chat,2024-04-22T17:08:08.606408509Z
01HW3CEZS42J3DX9GMJHNAX3QZ,true,2024-04-22T17:13:14.934898806Z,6,2024-04-22T17:08:08.612999811Z,5,2024-04-22T17:08:08.612999811Z,true,2024-04-22T17:12:35.841755145Z,2,2024-04-22T17:08:09.009428268Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.612999811Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.612999811Z,Round 6 / 12,2024-04-22T17:08:08.612999811Z,Chat,2024-04-22T17:08:08.612999811Z
01HW3CEZS5YNMCQDJFWEY1X6H5,true,2024-04-22T17:10:56.062908402Z,3,2024-04-22T17:08:08.613467082Z,2,2024-04-22T17:08:08.613467082Z,true,2024-04-22T17:10:10.099429407Z,2,2024-04-22T17:08:09.094078937Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.613467082Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.613467082Z,Round 3 / 12,2024-04-22T17:08:08.613467082Z,Chat,2024-04-22T17:08:08.613467082Z
01HW3CEZS6SQA8ZBM2F6767PAT,true,2024-04-22T17:14:37.731175656Z,8,2024-04-22T17:08:08.61431344Z,7,2024-04-22T17:08:08.61431344Z,true,2024-04-22T17:13:51.935046069Z,2,2024-04-22T17:08:09.093772235Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.61431344Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.61431344Z,Round 8 / 12,2024-04-22T17:08:08.61431344Z,Chat,2024-04-22T17:08:08.61431344Z
01HW3CEZS7DRK2VTKN3D3NRQF8,true,2024-04-22T17:15:15.271229855Z,9,2024-04-22T17:08:08.615062918Z,8,2024-04-22T17:08:08.615062918Z,true,2024-04-22T17:14:37.745172663Z,2,2024-04-22T17:08:09.093772235Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.615062918Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.615062918Z,Round 9 / 12,2024-04-22T17:08:08.615062918Z,Chat,2024-04-22T17:08:08.615062918Z
01HW3CEZS90A2CV9PM27141HRY,true,2024-04-22T17:12:35.829254026Z,5,2024-04-22T17:08:08.617497871Z,4,2024-04-22T17:08:08.617497871Z,true,2024-04-22T17:11:48.967409034Z,2,2024-04-22T17:08:08.796347458Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.617497871Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.617497871Z,Round 5 / 12,2024-04-22T17:08:08.617497871Z,Chat,2024-04-22T17:08:08.617497871Z
01HW3CEZSARCT05QQF2E2MNSVV,true,2024-04-22T17:15:53.869568917Z,10,2024-04-22T17:08:08.619032264Z,9,2024-04-22T17:08:08.619032264Z,true,2024-04-22T17:15:15.284561575Z,2,2024-04-22T17:08:09.093772235Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.619032264Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.619032264Z,Round 10 / 12,2024-04-22T17:08:08.619032264Z,Chat,2024-04-22T17:08:08.619032264Z
01HW3CEZSBVNHH6Z9KTT7QBXBS,true,2024-04-22T17:13:51.923399454Z,7,2024-04-22T17:08:08.619673954Z,6,2024-04-22T17:08:08.619673954Z,true,2024-04-22T17:13:14.948965865Z,2,2024-04-22T17:08:09.093772235Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.619673954Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.619673954Z,Round 7 / 12,2024-04-22T17:08:08.619673954Z,Chat,2024-04-22T17:08:08.619673954Z
01HW3CEZSCV7W5EJJ7XFKH9KHZ,true,2024-04-22T17:11:48.953483588Z,4,2024-04-22T17:08:08.620122205Z,3,2024-04-22T17:08:08.620122205Z,true,2024-04-22T17:10:56.08031743Z,2,2024-04-22T17:08:08.966562526Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.620122205Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.620122205Z,Round 4 / 12,2024-04-22T17:08:08.620122205Z,Chat,2024-04-22T17:08:08.620122205Z
01HW3CEZSCV7W5EJJ7XXZ3ST8K,true,2024-04-22T17:10:10.083588453Z,2,2024-04-22T17:08:08.620698523Z,1,2024-04-22T17:08:08.620698523Z,true,2024-04-22T17:09:09.930219393Z,2,2024-04-22T17:08:09.093772235Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.620698523Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.620698523Z,Round 2 / 12,2024-04-22T17:08:08.620698523Z,Chat,2024-04-22T17:08:08.620698523Z
