id,duration,durationLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,started,startedLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,index,indexLastChangedAt,endedReason,endedReasonLastChangedAt,status,statusLastChangedAt
01HW3CEZYT2GHXJE9102W8Q00X,30,2024-04-22T17:08:08.794071086Z,01HW3CEZS90A2CV9PM27141HRY,2024-04-22T17:08:08.794071086Z,01HW3CEZV135BMXWJ5Z11C2B1P,2024-04-22T17:08:08.794071086Z,true,2024-04-22T17:11:49.047185567Z,true,2024-04-22T17:11:49.035550614Z,send,2024-04-22T17:08:08.794071086Z,true,2024-04-22T17:11:49.009116299Z,true,2024-04-22T17:12:19.051499094Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.794071086Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.794071086Z,0,2024-04-22T17:08:08.794071086Z,,,,
01HW3CEZYT2GHXJE910SWN136N,30,2024-04-22T17:08:08.794565939Z,01HW3CEZS90A2CV9PM27141HRY,2024-04-22T17:08:08.794565939Z,01HW3CEZY3VK93BV3TETG5ENS3,2024-04-22T17:08:08.794565939Z,true,2024-04-22T17:12:19.099069002Z,true,2024-04-22T17:12:19.087928332Z,observe,2024-04-22T17:08:08.794565939Z,true,2024-04-22T17:12:19.063355582Z,true,2024-04-22T17:12:35.818485602Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.794565939Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.794565939Z,1,2024-04-22T17:08:08.794565939Z,,,,
01HW3CF00AA4XEAG5SZDW7WV1D,30,2024-04-22T17:08:08.842341895Z,01HW3CEZS42J3DX9GMJHNAX3QZ,2024-04-22T17:08:08.842341895Z,01HW3CEZVW9TN9JMG19TVTVW03,2024-04-22T17:08:08.842341895Z,true,2024-04-22T17:12:35.932361873Z,true,2024-04-22T17:12:35.919423344Z,send,2024-04-22T17:08:08.842341895Z,true,2024-04-22T17:12:35.888133916Z,true,2024-04-22T17:13:05.937170485Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.842341895Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.842341895Z,0,2024-04-22T17:08:08.842341895Z,,,,
01HW3CF00AA4XEAG5SZZPH2KAH,30,2024-04-22T17:08:08.84276886Z,01HW3CEZS42J3DX9GMJHNAX3QZ,2024-04-22T17:08:08.84276886Z,01HW3CEZYFP4V54W3X6THM5NK5,2024-04-22T17:08:08.84276886Z,true,2024-04-22T17:13:05.991499603Z,true,2024-04-22T17:13:05.980265875Z,observe,2024-04-22T17:08:08.84276886Z,true,2024-04-22T17:13:05.947777125Z,true,2024-04-22T17:13:14.920374818Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.84276886Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.84276886Z,1,2024-04-22T17:08:08.84276886Z,,,,
01HW3CF023P0V7HQE2BA8RMAFT,30,2024-04-22T17:08:08.899628263Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:08.899628263Z,01HW3CEZYYFK9842BNGS6S1A0D,2024-04-22T17:08:08.899628263Z,true,2024-04-22T17:08:09.839647682Z,true,2024-04-22T17:08:09.822056506Z,send,2024-04-22T17:08:08.899628263Z,true,2024-04-22T17:08:09.597205787Z,true,2024-04-22T17:08:39.844540123Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.899628263Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.899628263Z,0,2024-04-22T17:08:08.899628263Z,,,,
01HW3CF0242MZJE616BS67E3KX,30,2024-04-22T17:08:08.90007913Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:08.90007913Z,01HW3CEZZ5MXGFSD3XT1F6JAR0,2024-04-22T17:08:08.90007913Z,true,2024-04-22T17:08:39.89639575Z,true,2024-04-22T17:08:39.883954872Z,observe,2024-04-22T17:08:08.90007913Z,true,2024-04-22T17:08:39.855183671Z,true,2024-04-22T17:09:09.903790956Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.90007913Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.90007913Z,1,2024-04-22T17:08:08.90007913Z,,,,
01HW3CF03T7MJF9ZJ94K6WFHFM,30,2024-04-22T17:08:08.954254695Z,01HW3CEZSHWW5V3AGBY0H56H42,2024-04-22T17:08:08.954254695Z,01HW3CEZYZN1PT6VNR1AXSCQ8G,2024-04-22T17:08:08.954254695Z,true,2024-04-22T17:15:54.012555267Z,true,2024-04-22T17:15:53.996989434Z,send,2024-04-22T17:08:08.954254695Z,true,2024-04-22T17:15:53.939944408Z,true,2024-04-22T17:16:24.016470446Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.954254695Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.954254695Z,0,2024-04-22T17:08:08.954254695Z,,,,
01HW3CF03T7MJF9ZJ95540A9EE,30,2024-04-22T17:08:08.954637047Z,01HW3CEZSHWW5V3AGBY0H56H42,2024-04-22T17:08:08.954637047Z,01HW3CF00PJTTB2S7Y216X4JA6,2024-04-22T17:08:08.954637047Z,true,2024-04-22T17:16:24.072846124Z,true,2024-04-22T17:16:24.060448442Z,observe,2024-04-22T17:08:08.954637047Z,true,2024-04-22T17:16:24.028978977Z,true,2024-04-22T17:16:34.614043046Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.954637047Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.954637047Z,1,2024-04-22T17:08:08.954637047Z,,,,
01HW3CF0462R8JB0CHNNAPF9NN,30,2024-04-22T17:08:08.96693746Z,01HW3CEZSCV7W5EJJ7XFKH9KHZ,2024-04-22T17:08:08.96693746Z,01HW3CEZZ07ZR0X7ASCYS2P1CM,2024-04-22T17:08:08.96693746Z,true,2024-04-22T17:10:56.18208119Z,true,2024-04-22T17:10:56.166281398Z,send,2024-04-22T17:08:08.96693746Z,true,2024-04-22T17:10:56.131704968Z,true,2024-04-22T17:11:26.185865315Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.96693746Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.96693746Z,0,2024-04-22T17:08:08.96693746Z,,,,
01HW3CF047K7Q04CGJ2DASDSPC,30,2024-04-22T17:08:08.967217135Z,01HW3CEZSCV7W5EJJ7XFKH9KHZ,2024-04-22T17:08:08.967217135Z,01HW3CF00ZSE1PXDBT35MF3WMK,2024-04-22T17:08:08.967217135Z,true,2024-04-22T17:11:26.230935629Z,true,2024-04-22T17:11:26.221208933Z,observe,2024-04-22T17:08:08.967217135Z,true,2024-04-22T17:11:26.195377121Z,true,2024-04-22T17:11:48.937626549Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.967217135Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.967217135Z,1,2024-04-22T17:08:08.967217135Z,,,,
