id,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt
01HW3P086E789T0AZ585V5ZQ95,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:54:51.470878438Z,ended,2024-04-22T20:30:22.896692327Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:54:51.470878438Z,true,2024-04-22T19:54:51.488690152Z,all games finished,2024-04-22T20:30:22.896692327Z
01HW3P0YKZDT5NS0817N9DTQ1N,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:14.431620776Z,ended,2024-04-22T20:28:51.676413049Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:14.431620776Z,true,2024-04-22T19:55:14.443667493Z,all games finished,2024-04-22T20:28:51.676413049Z
01HW3P0ZRH92VYEKK6SJBR2FPH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:15.601188805Z,ended,2024-04-22T20:22:47.474309903Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:15.601188805Z,true,2024-04-22T19:55:15.610210525Z,all games finished,2024-04-22T20:22:47.474309903Z
01HW3P10VTQB26PYVGJZ0ZDYB7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:16.730948386Z,ended,2024-04-22T20:21:26.298881438Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:16.730948386Z,true,2024-04-22T19:55:16.739618564Z,all games finished,2024-04-22T20:21:26.298881438Z
01HW3P1208SGFGHR9MF0RWBT6C,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:17.896381241Z,terminated,2024-04-22T20:20:46.988894265Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:17.896381241Z,true,2024-04-22T19:55:17.904114063Z,,
01HW3P1321ATJ6HHMZGF6HTHGN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:18.977395014Z,ended,2024-04-22T20:18:21.805086906Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:18.977395014Z,true,2024-04-22T19:55:18.985114599Z,all games finished,2024-04-22T20:18:21.805086906Z
01HW3P144W8XP2A8F4CWWHDNRK,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:20.092992047Z,ended,2024-04-22T20:14:50.701810976Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:20.092992047Z,true,2024-04-22T19:55:20.102176054Z,all games finished,2024-04-22T20:14:50.701810976Z
01HW3P1681D01GATJAGYZY6EVK,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:22.241509679Z,terminated,2024-04-22T19:58:27.629917098Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:22.241509679Z,true,2024-04-22T19:55:22.251546614Z,,
01HW3P173J50NZHDPVMGM7JDN5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:55:23.123013112Z,terminated,2024-04-22T20:03:07.13382863Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:55:23.123013112Z,true,2024-04-22T19:55:23.137278348Z,,
01HW3P6XAHCHRJHRVFA1MMT5CK,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T19:58:29.713113848Z,ended,2024-04-22T20:09:24.547690734Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T19:58:29.713113848Z,true,2024-04-22T19:58:29.732570142Z,all games finished,2024-04-22T20:09:24.547690734Z
01HW3PE9QTEKARXDQWMQZCY713,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T20:02:31.802128939Z,ended,2024-04-22T20:12:15.703658541Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T20:02:31.802128939Z,true,2024-04-22T20:02:31.813992832Z,all games finished,2024-04-22T20:12:15.703658541Z
01HW3QBNA4F8HTVNXSMY3HVMF9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T20:18:33.924714612Z,ended,2024-04-22T20:29:57.214614462Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T20:18:33.924714612Z,true,2024-04-22T20:18:33.942647319Z,all games finished,2024-04-22T20:29:57.214614462Z
01HW3QQWW7AQA1W3XB9VZSTWA6,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T20:25:14.887700191Z,terminated,2024-04-22T20:26:22.880768746Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T20:25:14.887700191Z,true,2024-04-22T20:25:14.902756243Z,,
