id,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,initialized,initializedLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HW3PDVN4DVMTWDJMRJN4W7B1,observe,2024-04-22T20:02:17.380228273Z,false,2024-04-22T20:02:17.380228273Z,false,2024-04-22T20:02:17.380228273Z,01HW3PDVJN0FW3DWAYCG081HAC,2024-04-22T20:02:17.380228273Z,01HW3PDVMCJVC84R11RWV4XRBA,2024-04-22T20:02:17.380228273Z,0,2024-04-22T20:02:17.380228273Z,30,2024-04-22T20:02:17.380228273Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.380228273Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.380228273Z,,,,,,,,
01HW3PDVN6M43Z9767R8DXNTF7,observe,2024-04-22T20:02:17.382494325Z,false,2024-04-22T20:02:17.382494325Z,false,2024-04-22T20:02:17.382494325Z,01HW3PDVJP63P0RQ6M0G6QB3YQ,2024-04-22T20:02:17.382494325Z,01HW3PDVMH5255S207WZP6FBK3,2024-04-22T20:02:17.382494325Z,0,2024-04-22T20:02:17.382494325Z,30,2024-04-22T20:02:17.382494325Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.382494325Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.382494325Z,,,,,,,,
01HW3PDVNAVKFEPJ1QY3KWBZKC,observe,2024-04-22T20:02:17.386712612Z,false,2024-04-22T20:02:17.386712612Z,false,2024-04-22T20:02:17.386712612Z,01HW3PDVJP63P0RQ6M11NE1C8N,2024-04-22T20:02:17.386712612Z,01HW3PDVMSQ990T3954YDA405V,2024-04-22T20:02:17.386712612Z,0,2024-04-22T20:02:17.386712612Z,30,2024-04-22T20:02:17.386712612Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.386712612Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.386712612Z,,,,,,,,
01HW3PDVNK63WXAXTB9ZVKP63D,observe,2024-04-22T20:02:17.395708288Z,false,2024-04-22T20:02:17.395708288Z,false,2024-04-22T20:02:17.395708288Z,01HW3PDVJKTXNP7PKXRA3THNXT,2024-04-22T20:02:17.395708288Z,01HW3PDVNDYRW8WPTYYXWJ93FV,2024-04-22T20:02:17.395708288Z,0,2024-04-22T20:02:17.395708288Z,30,2024-04-22T20:02:17.395708288Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.395708288Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.395708288Z,,,,,,,,
01HW3PDVNNCG56EYZJSD3351CJ,observe,2024-04-22T20:02:17.397720031Z,false,2024-04-22T20:02:17.397720031Z,false,2024-04-22T20:02:17.397720031Z,01HW3PDVJJ9WBJV8KYWA5TV5DR,2024-04-22T20:02:17.397720031Z,01HW3PDVNDYRW8WPTYYTRFKD0S,2024-04-22T20:02:17.397720031Z,0,2024-04-22T20:02:17.397720031Z,30,2024-04-22T20:02:17.397720031Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.397720031Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.397720031Z,,,,,,,,
01HW3PDVNTP6F2P8YJ0G43X90M,observe,2024-04-22T20:02:17.402306504Z,true,2024-04-22T20:02:17.802399028Z,true,2024-04-22T20:02:47.867774201Z,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.402306504Z,01HW3PDVMZN20YYB7AA5H8P0RW,2024-04-22T20:02:17.402306504Z,0,2024-04-22T20:02:17.402306504Z,30,2024-04-22T20:02:17.402306504Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.402306504Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.402306504Z,true,2024-04-22T20:02:17.852566831Z,true,2024-04-22T20:02:17.86220053Z,,,,
01HW3PDVQPYYAS7NG9C7RFHZF8,observe,2024-04-22T20:02:17.462980406Z,false,2024-04-22T20:02:17.462980406Z,false,2024-04-22T20:02:17.462980406Z,01HW3PDVJJ9WBJV8KYVQQZWMKZ,2024-04-22T20:02:17.462980406Z,01HW3PDVNE273438ETBEK475BP,2024-04-22T20:02:17.462980406Z,0,2024-04-22T20:02:17.462980406Z,30,2024-04-22T20:02:17.462980406Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.462980406Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.462980406Z,,,,,,,,
01HW3PDVQY1YW9YND248PQ1YT5,observe,2024-04-22T20:02:17.470932968Z,true,2024-04-22T20:02:47.92749894Z,true,2024-04-22T20:03:07.282690532Z,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:17.470932968Z,01HW3PDVNFXGXZW8P2WNW9S52E,2024-04-22T20:02:17.470932968Z,0,2024-04-22T20:02:17.470932968Z,30,2024-04-22T20:02:17.470932968Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.470932968Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.470932968Z,true,2024-04-22T20:02:47.95807814Z,true,2024-04-22T20:02:47.969467859Z,ended,2024-04-22T20:03:07.139677524Z,batch ended,2024-04-22T20:03:07.139677524Z
01HW3PDVR13VW8VQWH0ZWMN0ZM,observe,2024-04-22T20:02:17.473847113Z,false,2024-04-22T20:02:17.473847113Z,false,2024-04-22T20:02:17.473847113Z,01HW3PDVJMQH2SBZA9NYJYM9C7,2024-04-22T20:02:17.473847113Z,01HW3PDVNFXGXZW8P2WTZ43GB0,2024-04-22T20:02:17.473847113Z,0,2024-04-22T20:02:17.473847113Z,30,2024-04-22T20:02:17.473847113Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.473847113Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.473847113Z,,,,,,,,
01HW3PDVVM0G8E7X9KXYMH0PMC,observe,2024-04-22T20:02:17.589021478Z,false,2024-04-22T20:02:17.589021478Z,false,2024-04-22T20:02:17.589021478Z,01HW3PDVJKTXNP7PKXRX82HX1Q,2024-04-22T20:02:17.589021478Z,01HW3PDVNFXGXZW8P2X491F13J,2024-04-22T20:02:17.589021478Z,0,2024-04-22T20:02:17.589021478Z,30,2024-04-22T20:02:17.589021478Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.589021478Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.589021478Z,,,,,,,,
