id,index,indexLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt,stageIndex,stageIndexLastChangedAt
01HW66S288PSV22MMPXG74VPDX,0,2024-04-23T19:26:30.664976256Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.664976256Z,Round 1 / 12,2024-04-23T19:26:30.664976256Z,Chat,2024-04-23T19:26:30.664976256Z,true,2024-04-23T19:27:01.415855299Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.664976256Z,true,2024-04-23T19:26:30.991399691Z,1,2024-04-23T19:26:30.664976256Z,1,2024-04-23T19:26:30.805174262Z
01HW66S28D8VSKFM1EJAJW49A4,3,2024-04-23T19:26:30.669458967Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.669458967Z,Round 4 / 12,2024-04-23T19:26:30.669458967Z,Chat,2024-04-23T19:26:30.669458967Z,true,2024-04-23T19:28:31.753891393Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.669458967Z,true,2024-04-23T19:28:01.649495203Z,4,2024-04-23T19:26:30.669458967Z,1,2024-04-23T19:26:30.994144347Z
01HW66S28EAEFQTQBM52G71HSD,2,2024-04-23T19:26:30.670114396Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.670114396Z,Round 3 / 12,2024-04-23T19:26:30.670114396Z,Chat,2024-04-23T19:26:30.670114396Z,true,2024-04-23T19:28:01.639976055Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.670114396Z,true,2024-04-23T19:27:31.542330392Z,3,2024-04-23T19:26:30.670114396Z,1,2024-04-23T19:26:30.991830729Z
01HW66S28EAEFQTQBM5KYMX7HF,1,2024-04-23T19:26:30.670639759Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.670639759Z,Round 2 / 12,2024-04-23T19:26:30.670639759Z,Chat,2024-04-23T19:26:30.670639759Z,true,2024-04-23T19:27:31.527810022Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.670639759Z,true,2024-04-23T19:27:01.426579939Z,2,2024-04-23T19:26:30.670639759Z,1,2024-04-23T19:26:30.991830729Z
01HW66S28EAEFQTQBM6742N4JD,4,2024-04-23T19:26:30.671042345Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.671042345Z,Round 5 / 12,2024-04-23T19:26:30.671042345Z,Chat,2024-04-23T19:26:30.671042345Z,true,2024-04-23T19:28:48.846905064Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.671042345Z,true,2024-04-23T19:28:31.775385366Z,5,2024-04-23T19:26:30.671042345Z,1,2024-04-23T19:26:30.996918084Z
01HW66S28FH5P0177YMY6RPWD7,5,2024-04-23T19:26:30.671704774Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.671704774Z,Round 6 / 12,2024-04-23T19:26:30.671704774Z,Chat,2024-04-23T19:26:30.671704774Z,true,2024-04-23T19:29:02.998967954Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.671704774Z,true,2024-04-23T19:28:48.857523667Z,6,2024-04-23T19:26:30.671704774Z,1,2024-04-23T19:26:30.997293464Z
01HW66S28GFG8V1MV580RXPWHT,6,2024-04-23T19:26:30.672368025Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.672368025Z,Round 7 / 12,2024-04-23T19:26:30.672368025Z,Chat,2024-04-23T19:26:30.672368025Z,true,2024-04-23T19:29:18.589439058Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.672368025Z,true,2024-04-23T19:29:03.012905988Z,7,2024-04-23T19:26:30.672368025Z,1,2024-04-23T19:26:30.997293464Z
01HW66S29C6HVS87R5SAYNTSAS,10,2024-04-23T19:26:30.700154389Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.700154389Z,Round 11 / 12,2024-04-23T19:26:30.700154389Z,Chat,2024-04-23T19:26:30.700154389Z,true,2024-04-23T19:30:08.895765677Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.700154389Z,true,2024-04-23T19:29:58.252024626Z,11,2024-04-23T19:26:30.700154389Z,1,2024-04-23T19:26:30.805174262Z
01HW66S29C6HVS87R5ST2CTMFP,9,2024-04-23T19:26:30.700920531Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.700920531Z,Round 10 / 12,2024-04-23T19:26:30.700920531Z,Chat,2024-04-23T19:26:30.700920531Z,true,2024-04-23T19:29:58.238721564Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.700920531Z,true,2024-04-23T19:29:47.718041665Z,10,2024-04-23T19:26:30.700920531Z,1,2024-04-23T19:26:30.788874968Z
01HW66S29DJ0JJM8JFQ4XHJMZJ,7,2024-04-23T19:26:30.701423782Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.701423782Z,Round 8 / 12,2024-04-23T19:26:30.701423782Z,Chat,2024-04-23T19:26:30.701423782Z,true,2024-04-23T19:29:33.251455017Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.701423782Z,true,2024-04-23T19:29:18.60107055Z,8,2024-04-23T19:26:30.701423782Z,1,2024-04-23T19:26:30.794047096Z
01HW66S29E6DGBKTTVSTW9EG48,11,2024-04-23T19:26:30.702095308Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.702095308Z,Round 12 / 12,2024-04-23T19:26:30.702095308Z,Chat,2024-04-23T19:26:30.702095308Z,true,2024-04-23T19:30:21.903385734Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.702095308Z,true,2024-04-23T19:30:08.908442271Z,12,2024-04-23T19:26:30.702095308Z,1,2024-04-23T19:26:30.941834323Z
01HW66S29E6DGBKTTVT8QJT7JJ,8,2024-04-23T19:26:30.702720105Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.702720105Z,Round 9 / 12,2024-04-23T19:26:30.702720105Z,Chat,2024-04-23T19:26:30.702720105Z,true,2024-04-23T19:29:47.706343331Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.702720105Z,true,2024-04-23T19:29:33.262319068Z,9,2024-04-23T19:26:30.702720105Z,1,2024-04-23T19:26:30.935722508Z
01HW66XWHS928K8Y6ZQKRX4W5T,0,2024-04-23T19:29:08.665874592Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.665874592Z,Round 1 / 12,2024-04-23T19:29:08.665874592Z,Chat,2024-04-23T19:29:08.665874592Z,true,2024-04-23T19:29:39.11194715Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.665874592Z,true,2024-04-23T19:29:08.897761632Z,1,2024-04-23T19:29:08.665874592Z,1,2024-04-23T19:29:08.732228765Z
01HW66XWHV11J01F40S4E2EC9F,2,2024-04-23T19:29:08.667952692Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.667952692Z,Round 3 / 12,2024-04-23T19:29:08.667952692Z,Chat,2024-04-23T19:29:08.667952692Z,true,2024-04-23T19:30:33.425469358Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.667952692Z,true,2024-04-23T19:30:09.279097015Z,3,2024-04-23T19:29:08.667952692Z,1,2024-04-23T19:29:08.871107251Z
01HW66XWHWNYQFP2R2Y02BAJMV,1,2024-04-23T19:29:08.668607609Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.668607609Z,Round 2 / 12,2024-04-23T19:29:08.668607609Z,Chat,2024-04-23T19:29:08.668607609Z,true,2024-04-23T19:30:09.260599043Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.668607609Z,true,2024-04-23T19:29:39.126559511Z,2,2024-04-23T19:29:08.668607609Z,1,2024-04-23T19:29:08.875633255Z
01HW66XWHXSG0WMYEFNNG8NX04,6,2024-04-23T19:29:08.669238311Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.669238311Z,Round 7 / 12,2024-04-23T19:29:08.669238311Z,Chat,2024-04-23T19:29:08.669238311Z,true,2024-04-23T19:31:38.972748524Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.669238311Z,true,2024-04-23T19:31:20.537034862Z,7,2024-04-23T19:29:08.669238311Z,1,2024-04-23T19:29:08.750327232Z
01HW66XWHY7KKH5NZQ419MTFKF,3,2024-04-23T19:29:08.670127871Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.670127871Z,Round 4 / 12,2024-04-23T19:29:08.670127871Z,Chat,2024-04-23T19:29:08.670127871Z,true,2024-04-23T19:30:50.113697481Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.670127871Z,true,2024-04-23T19:30:33.438714868Z,4,2024-04-23T19:29:08.670127871Z,1,2024-04-23T19:29:08.74163971Z
01HW66XWHZKR4HQWBFX2CHPD50,9,2024-04-23T19:29:08.671836632Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.671836632Z,Round 10 / 12,2024-04-23T19:29:08.671836632Z,Chat,2024-04-23T19:29:08.671836632Z,true,2024-04-23T19:32:30.341832565Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.671836632Z,true,2024-04-23T19:32:03.592448675Z,10,2024-04-23T19:29:08.671836632Z,1,2024-04-23T19:29:08.758313468Z
