id,roundID,roundIDLastChangedAt,batchID,batchIDLastChangedAt,timerID,timerIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,duration,durationLastChangedAt,initialized,initializedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt
01HW66S2C2Q26DYGR0NNXQKJFV,01HW66S29C6HVS87R5ST2CTMFP,2024-04-23T19:26:30.786067759Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.786067759Z,01HW66S2AXSD12QTWG5J4H9TZ4,2024-04-23T19:26:30.786067759Z,true,2024-04-23T19:29:58.225008029Z,0,2024-04-23T19:26:30.786067759Z,true,2024-04-23T19:29:47.808462766Z,observe,2024-04-23T19:26:30.786067759Z,30,2024-04-23T19:26:30.786067759Z,true,2024-04-23T19:29:47.797336963Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.786067759Z,true,2024-04-23T19:29:47.765956152Z
01HW66S2C7C4CE1NBTVNT28DAS,01HW66S29DJ0JJM8JFQ4XHJMZJ,2024-04-23T19:26:30.791723704Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.791723704Z,01HW66S2B5PB2WJ9RFNRJV0917,2024-04-23T19:26:30.791723704Z,true,2024-04-23T19:29:33.237676291Z,0,2024-04-23T19:26:30.791723704Z,true,2024-04-23T19:29:18.699263135Z,observe,2024-04-23T19:26:30.791723704Z,30,2024-04-23T19:26:30.791723704Z,true,2024-04-23T19:29:18.688857692Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.791723704Z,true,2024-04-23T19:29:18.652506273Z
01HW66S2CEKQDW088J42M4FEG8,01HW66S29C6HVS87R5SAYNTSAS,2024-04-23T19:26:30.79833902Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.79833902Z,01HW66S2B82VH6W4XQE03TXGKF,2024-04-23T19:26:30.79833902Z,true,2024-04-23T19:30:08.885663909Z,0,2024-04-23T19:26:30.79833902Z,true,2024-04-23T19:29:58.33023089Z,observe,2024-04-23T19:26:30.79833902Z,30,2024-04-23T19:26:30.79833902Z,true,2024-04-23T19:29:58.319814202Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.79833902Z,true,2024-04-23T19:29:58.290465782Z
01HW66S2CN5NE9XQHMZZ3F5MJX,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:30.805536095Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.805536095Z,01HW66S2BW0SVDMTPW5Y7QK3QR,2024-04-23T19:26:30.805536095Z,true,2024-04-23T19:27:01.402682648Z,0,2024-04-23T19:26:30.805536095Z,true,2024-04-23T19:26:31.39739828Z,observe,2024-04-23T19:26:30.805536095Z,30,2024-04-23T19:26:30.805536095Z,true,2024-04-23T19:26:31.384661268Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.805536095Z,true,2024-04-23T19:26:31.304827745Z
01HW66S2ET3YY0PX07T1AHX0XY,01HW66S28FH5P0177YMY6RPWD7,2024-04-23T19:26:30.874134622Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.874134622Z,01HW66S2CJT0ST31PM601WDGD6,2024-04-23T19:26:30.874134622Z,true,2024-04-23T19:29:02.985265385Z,0,2024-04-23T19:26:30.874134622Z,true,2024-04-23T19:28:48.935931987Z,observe,2024-04-23T19:26:30.874134622Z,30,2024-04-23T19:26:30.874134622Z,true,2024-04-23T19:28:48.922866619Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.874134622Z,true,2024-04-23T19:28:48.895340176Z
01HW66S2GNXMZRDXK9TBSS5SEC,01HW66S29E6DGBKTTVT8QJT7JJ,2024-04-23T19:26:30.933348272Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.933348272Z,01HW66S2DMFP10KCXHVJEW8R8F,2024-04-23T19:26:30.933348272Z,true,2024-04-23T19:29:47.692398086Z,0,2024-04-23T19:26:30.933348272Z,true,2024-04-23T19:29:33.347759571Z,observe,2024-04-23T19:26:30.933348272Z,30,2024-04-23T19:26:30.933348272Z,true,2024-04-23T19:29:33.334558409Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.933348272Z,true,2024-04-23T19:29:33.300115131Z
01HW66S2GTCKJVAVB27738DDN1,01HW66S29E6DGBKTTVSTW9EG48,2024-04-23T19:26:30.938992583Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.938992583Z,01HW66S2DN8S790M6JWF85DQ49,2024-04-23T19:26:30.938992583Z,true,2024-04-23T19:30:21.889699246Z,0,2024-04-23T19:26:30.938992583Z,true,2024-04-23T19:30:08.986932566Z,observe,2024-04-23T19:26:30.938992583Z,30,2024-04-23T19:26:30.938992583Z,true,2024-04-23T19:30:08.97536857Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.938992583Z,true,2024-04-23T19:30:08.945251194Z
01HW66S2J73S8PFNN9W1ARVED0,01HW66S28GFG8V1MV580RXPWHT,2024-04-23T19:26:30.983135306Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.983135306Z,01HW66S2CJT0ST31PM61WKGG0Z,2024-04-23T19:26:30.983135306Z,true,2024-04-23T19:29:18.578750911Z,0,2024-04-23T19:26:30.983135306Z,true,2024-04-23T19:29:03.100432662Z,observe,2024-04-23T19:26:30.983135306Z,30,2024-04-23T19:26:30.983135306Z,true,2024-04-23T19:29:03.084934733Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.983135306Z,true,2024-04-23T19:29:03.053656801Z
01HW66S2JG5NBZ8SGAYKFX4EZ8,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:26:30.992417839Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.992417839Z,01HW66S2CKNMEE5YFKMK7V1FH8,2024-04-23T19:26:30.992417839Z,true,2024-04-23T19:27:31.518124182Z,0,2024-04-23T19:26:30.992417839Z,true,2024-04-23T19:27:01.516166201Z,observe,2024-04-23T19:26:30.992417839Z,30,2024-04-23T19:26:30.992417839Z,true,2024-04-23T19:27:01.502980112Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.992417839Z,true,2024-04-23T19:27:01.470659781Z
01HW66S2JHFBG4GRKHXWQXECNH,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:26:30.993233252Z,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:30.993233252Z,01HW66S2CKNMEE5YFKMGMKZ25J,2024-04-23T19:26:30.993233252Z,true,2024-04-23T19:28:01.624884571Z,0,2024-04-23T19:26:30.993233252Z,true,2024-04-23T19:27:31.618222943Z,observe,2024-04-23T19:26:30.993233252Z,30,2024-04-23T19:26:30.993233252Z,true,2024-04-23T19:27:31.60777984Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:30.993233252Z,true,2024-04-23T19:27:31.576319307Z
