id,name,nameLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,initialized,initializedLastChangedAt,duration,durationLastChangedAt,roundID,roundIDLastChangedAt,index,indexLastChangedAt,timerID,timerIDLastChangedAt,started,startedLastChangedAt
01HW6FVT7Y8W26ANXTH2V6VXSF,send,2024-04-23T22:05:17.95013904Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.95013904Z,true,2024-04-23T22:08:37.056936941Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.95013904Z,true,2024-04-23T22:08:07.010770197Z,true,2024-04-23T22:08:07.040784962Z,30,2024-04-23T22:05:17.95013904Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:05:17.95013904Z,0,2024-04-23T22:05:17.95013904Z,01HW6FVT5ER1DPB3605PY9MGBA,2024-04-23T22:05:17.95013904Z,true,2024-04-23T22:08:07.052237534Z
01HW6FVT7Y8W26ANXTHKQNDNF2,observe,2024-04-23T22:05:17.950569906Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.950569906Z,true,2024-04-23T22:09:04.150992301Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.950569906Z,true,2024-04-23T22:08:37.066951708Z,true,2024-04-23T22:08:37.089201845Z,30,2024-04-23T22:05:17.950569906Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:05:17.950569906Z,1,2024-04-23T22:05:17.950569906Z,01HW6FVT7JQXM657K2AJQ4Y481,2024-04-23T22:05:17.950569906Z,true,2024-04-23T22:08:37.100520611Z
01HW6FVT8N8CD2BX5C3G6E44G7,send,2024-04-23T22:05:17.973593506Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.973593506Z,true,2024-04-23T22:07:39.879949223Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.973593506Z,true,2024-04-23T22:07:09.837220171Z,true,2024-04-23T22:07:09.862624467Z,30,2024-04-23T22:05:17.973593506Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:05:17.973593506Z,0,2024-04-23T22:05:17.973593506Z,01HW6FVT5J9XRK743XFA3XWRMC,2024-04-23T22:05:17.973593506Z,true,2024-04-23T22:07:09.873837108Z
01HW6FVT8PTR9ZXPRY6PTPW27C,observe,2024-04-23T22:05:17.974182664Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.974182664Z,true,2024-04-23T22:08:06.948953088Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.974182664Z,true,2024-04-23T22:07:39.89926103Z,true,2024-04-23T22:07:39.941494137Z,30,2024-04-23T22:05:17.974182664Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:05:17.974182664Z,1,2024-04-23T22:05:17.974182664Z,01HW6FVT7NH2TN2JH5BJQWR79J,2024-04-23T22:05:17.974182664Z,true,2024-04-23T22:07:39.965267173Z
01HW6FVTD06399JWPFMKB7N5YA,send,2024-04-23T22:05:18.112901414Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.112901414Z,true,2024-04-23T22:12:55.896788781Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.112901414Z,true,2024-04-23T22:12:25.849081552Z,true,2024-04-23T22:12:25.882054549Z,30,2024-04-23T22:05:18.112901414Z,01HW6FVT4KA7DYRCTGW2FBFT0K,2024-04-23T22:05:18.112901414Z,0,2024-04-23T22:05:18.112901414Z,01HW6FVT813HGGBZXVWYFD32X7,2024-04-23T22:05:18.112901414Z,true,2024-04-23T22:12:25.893309786Z
01HW6FVTD1GM71328YN01B7Z9X,observe,2024-04-23T22:05:18.113305852Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.113305852Z,true,2024-04-23T22:13:13.219738269Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.113305852Z,true,2024-04-23T22:12:55.914587637Z,true,2024-04-23T22:12:55.947672358Z,30,2024-04-23T22:05:18.113305852Z,01HW6FVT4KA7DYRCTGW2FBFT0K,2024-04-23T22:05:18.113305852Z,1,2024-04-23T22:05:18.113305852Z,01HW6FVT9E3D09J04TQB0HZFX4,2024-04-23T22:05:18.113305852Z,true,2024-04-23T22:12:55.962433977Z
01HW6FVTD8DEHE3Z4992ZT63PQ,send,2024-04-23T22:05:18.120407345Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.120407345Z,true,2024-04-23T22:11:28.623520371Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.120407345Z,true,2024-04-23T22:10:58.580331985Z,true,2024-04-23T22:10:58.609626667Z,30,2024-04-23T22:05:18.120407345Z,01HW6FVT4J74ENBNNBHZ71FY91,2024-04-23T22:05:18.120407345Z,0,2024-04-23T22:05:18.120407345Z,01HW6FVT813HGGBZXVX0X3ST2W,2024-04-23T22:05:18.120407345Z,true,2024-04-23T22:10:58.620494473Z
01HW6FVTD9T9TQBQMAP801XQQY,observe,2024-04-23T22:05:18.121101692Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.121101692Z,true,2024-04-23T22:11:43.89053326Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.121101692Z,true,2024-04-23T22:11:28.635679146Z,true,2024-04-23T22:11:28.659479698Z,30,2024-04-23T22:05:18.121101692Z,01HW6FVT4J74ENBNNBHZ71FY91,2024-04-23T22:05:18.121101692Z,1,2024-04-23T22:05:18.121101692Z,01HW6FVT9JPA6QF3TE634ATWAW,2024-04-23T22:05:18.121101692Z,true,2024-04-23T22:11:28.6704334Z
01HW6FVTDKY5Y407EFK90QQ781,send,2024-04-23T22:05:18.131176719Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.131176719Z,true,2024-04-23T22:09:34.278449671Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.131176719Z,true,2024-04-23T22:09:04.211762755Z,true,2024-04-23T22:09:04.250949308Z,30,2024-04-23T22:05:18.131176719Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:05:18.131176719Z,0,2024-04-23T22:05:18.131176719Z,01HW6FVT813HGGBZXVX4FKX8PS,2024-04-23T22:05:18.131176719Z,true,2024-04-23T22:09:04.271745432Z
01HW6FVTDKY5Y407EFKZCJFJ3C,observe,2024-04-23T22:05:18.131695544Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.131695544Z,true,2024-04-23T22:10:04.331854046Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.131695544Z,true,2024-04-23T22:09:34.289823275Z,true,2024-04-23T22:09:34.31680837Z,30,2024-04-23T22:05:18.131695544Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:05:18.131695544Z,1,2024-04-23T22:05:18.131695544Z,01HW6FVT9QS0PHW91R1GNDYR0N,2024-04-23T22:05:18.131695544Z,true,2024-04-23T22:09:34.330395795Z
