id,exitSurvey,exitSurveyLastChangedAt,treatment,treatmentLastChangedAt,participantID,participantIDLastChangedAt,exitStep,exitStepLastChangedAt,treatmentName,treatmentNameLastChangedAt,introDone,introDoneLastChangedAt,recipient,recipientLastChangedAt,urlParams,urlParamsLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,emojiArray,emojiArrayLastChangedAt,intro,introLastChangedAt,name,nameLastChangedAt
01HW6FGAEY90K0BM9RJC3HE9YQ,"{""age"":""30"",""gender"":""FEMALE"",""strength"":""honesty"",""fair"":""yes"",""feedback"":""none"",""education"":""bachelor"",""teammates"":""ill never know if they were telling the trust, but i assume so"",""notes"":""Not literally but in my head yes"",""politics"":""LABOUR - LEFT"",""geo"":""ENGLISH"",""ethnicity"":""WHITE""}",2024-04-23T22:16:53.659648794Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T21:59:01.353665431Z,01HW6FG9SJB0C4V8NG2AKAR3AM,2024-04-23T21:59:01.342916245Z,1,2024-04-23T22:16:53.661713432Z,rerun-unidirectional- 0.3,2024-04-23T21:59:01.353665431Z,true,2024-04-23T22:01:52.120152068Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:14:52.408354933Z,{},2024-04-23T21:59:01.771669574Z,game ended,2024-04-23T22:15:36.73474617Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T21:59:01.353665431Z,5eaadc0a7adeb404eea9c3c0,2024-04-23T21:59:01.342916245Z,"[""🐿️"",""🐇"",""🐇"",""🐇"",""🐿️"",""                                   "",""🐿️"",""🐿️""]",2024-04-23T22:05:17.845860227Z,4,2024-04-23T22:01:49.72557114Z,player 1,2024-04-23T22:05:17.845860227Z
01HW6FJFWBD4AR5P3VB40PRQ94,,,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:53:58.6514895Z,01HW6FJF8Q7J6239A7P1MMZ0K7,2024-04-23T22:00:12.427071843Z,,,rerun-unidirectional- 0.3,2024-04-23T22:53:58.6514895Z,,,,,{},2024-04-23T22:00:12.745499922Z,game terminated,2024-04-23T22:54:17.277186618Z,01HW6JMNRC3XNSY5NXS1P1NYQ3,2024-04-23T22:53:58.6514895Z,5f3bdc715637da0bc38980ba,2024-04-23T22:00:12.427071843Z,,,1,2024-04-23T22:00:15.849935143Z,,
01HW6FMQN4FVV45ZRZH42BXWX2,"{""age"":""27"",""gender"":""F"",""strength"":"""",""fair"":""Yes"",""feedback"":"""",""education"":""master"",""teammates"":""I think so, no one gave me a reason to not trust them"",""notes"":""Yes, to count and make some  math operations"",""politics"":""Liberal"",""geo"":""Canada"",""ethnicity"":""Latin""}",2024-04-23T22:17:01.686515207Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:01:25.933869973Z,01HW6FMQF0HPVJ15N2B51QYD9S,2024-04-23T22:01:25.924887857Z,1,2024-04-23T22:17:01.74788089Z,rerun-unidirectional- 0.3,2024-04-23T22:01:25.933869973Z,true,2024-04-23T22:03:23.216507703Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:14:52.408354933Z,{},2024-04-23T22:01:26.031846999Z,game ended,2024-04-23T22:15:36.73474617Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:01:25.933869973Z,6117d8abca38886e66f7f900,2024-04-23T22:01:25.924887857Z,"[""🐇"",""🐿️"",""🐿️"",""🐿️"",""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐇""]",2024-04-23T22:05:17.845860227Z,4,2024-04-23T22:03:20.734472269Z,player 2,2024-04-23T22:05:17.845860227Z
01HW6FQZ7B289SF7Z3DMTVPTNK,"{""age"":""22"",""gender"":""female"",""strength"":"""",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""i am not sure"",""notes"":""yes"",""politics"":""left"",""geo"":""british"",""ethnicity"":""white""}",2024-04-23T22:16:22.56974373Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:03:11.986187285Z,01HW6FQY9W7FB3YX6WSE61H688,2024-04-23T22:03:11.979158112Z,1,2024-04-23T22:16:22.571445355Z,rerun-unidirectional- 0.3,2024-04-23T22:03:11.986187285Z,true,2024-04-23T22:05:17.736948072Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:14:52.408354933Z,{},2024-04-23T22:03:12.381961345Z,game ended,2024-04-23T22:15:36.73474617Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:03:11.986187285Z,61237c2060a854d617829d20,2024-04-23T22:03:11.979158112Z,"[""🐇"",""🐿️"",""                                   "",""🐿️""]",2024-04-23T22:05:17.845860227Z,4,2024-04-23T22:05:00.797110396Z,player 3,2024-04-23T22:05:17.845860227Z
01HW6FRK28Y2T7CEMSAAYJTYTX,"{""age"":""24"",""gender"":""Male"",""strength"":""Not bad"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Yes"",""notes"":"""",""politics"":""Central"",""geo"":""British"",""ethnicity"":""White British""}",2024-04-23T22:16:39.00481461Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:03:32.304967348Z,01HW6FRJEG7BQRKYZBJPABA4X2,2024-04-23T22:03:32.296835883Z,1,2024-04-23T22:16:39.003650501Z,rerun-unidirectional- 0.3,2024-04-23T22:03:32.304967348Z,true,2024-04-23T22:05:11.834139949Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:14:52.408354933Z,{},2024-04-23T22:03:32.633167172Z,game ended,2024-04-23T22:15:36.73474617Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:03:32.304967348Z,5e8d0c7d40d8520da1903a86,2024-04-23T22:03:32.296835883Z,"[""🐿️"",""                                   "",""🐿️""]",2024-04-23T22:05:17.845860227Z,4,2024-04-23T22:05:09.348391628Z,player 4,2024-04-23T22:05:17.845860227Z
01HW6FRNG4PFEDFAGNWMPV25TE,"{""age"":""36"",""gender"":""m"",""strength"":""good"",""fair"":""sure"",""feedback"":"""",""education"":""bachelor"",""teammates"":""mostly yes, some clues weren't helpful"",""notes"":""yes"",""politics"":""L"",""geo"":""Canada"",""ethnicity"":""Canadian""}",2024-04-23T22:22:13.665865462Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:05:17.755050724Z,01HW6FRMX91MK3K7MRV03A0DAJ,2024-04-23T22:03:34.788640014Z,1,2024-04-23T22:22:13.670379296Z,rerun-unidirectional- 0.3,2024-04-23T22:05:17.755050724Z,true,2024-04-23T22:09:04.856901113Z,01HW6FSJ0PDBM8NPE3066P5CCD,2024-04-23T22:20:09.073979692Z,{},2024-04-23T22:03:35.116502282Z,game ended,2024-04-23T22:20:54.641300281Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:05:17.755050724Z,5ddb84c67af661ad594e95d4,2024-04-23T22:03:34.788640014Z,"[""                                   "",""🐿️"",""🐿️"",""🐇""]",2024-04-23T22:10:21.212969169Z,4,2024-04-23T22:09:01.050055647Z,player 1,2024-04-23T22:10:21.212969169Z
01HW6FSJ0PDBM8NPE3066P5CCD,"{""age"":""44"",""gender"":""male"",""strength"":""I kept track of what was said and I told the truth accurately each time."",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""I don't know if they told the truth, but there was a lot of consistency between everyone."",""notes"":""Yes, I kept a tally."",""politics"":""v.left"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-23T22:22:44.701188758Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:05:17.755050724Z,01HW6FSH0FTN4DBA0Q4VNB62AV,2024-04-23T22:04:03.990216379Z,1,2024-04-23T22:22:44.709431514Z,rerun-unidirectional- 0.3,2024-04-23T22:05:17.755050724Z,true,2024-04-23T22:07:28.791328785Z,01HW6FX6RCQKRQHJ0FM3PJJQGA,2024-04-23T22:20:09.073979692Z,{},2024-04-23T22:04:04.426602854Z,game ended,2024-04-23T22:20:54.641300281Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:05:17.755050724Z,5a44d679f7b7bc00014e020e,2024-04-23T22:04:03.990216379Z,"[""                                   "",""🐿️"",""🐿️""]",2024-04-23T22:10:21.212969169Z,4,2024-04-23T22:07:24.465167061Z,player 2,2024-04-23T22:10:21.212969169Z
01HW6FVXASGJ9PBQ882S0KRNEW,,,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:53:58.6514895Z,01HW6FVWRPH1JFJ12G2GJGYGS0,2024-04-23T22:05:21.113959777Z,,,rerun-unidirectional- 0.3,2024-04-23T22:53:58.6514895Z,,,,,{},2024-04-23T22:05:21.421187458Z,game terminated,2024-04-23T22:54:17.277186618Z,01HW6JMNRC3XNSY5NXS1P1NYQ3,2024-04-23T22:53:58.6514895Z,6056487421642ca6fef2f200,2024-04-23T22:05:21.113959777Z,,,,,,
01HW6FWCQ310C8JZQ529TASY85,"{""age"":""39"",""gender"":""male"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""other"",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":""Canada"",""ethnicity"":""""}",2024-04-23T22:28:53.996537328Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:10:21.155059028Z,01HW6FWCAWHBGMW9WGBP6REJ7S,2024-04-23T22:05:36.867523948Z,1,2024-04-23T22:28:54.002070737Z,rerun-unidirectional- 0.3,2024-04-23T22:10:21.155059028Z,true,2024-04-23T22:13:14.635701708Z,01HW6G06CCDAE3MDH5ZZ21E6JH,2024-04-23T22:26:46.754213611Z,{},2024-04-23T22:05:37.063191447Z,game ended,2024-04-23T22:27:46.982981902Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:10:21.155059028Z,654a45537577dbb4a1df935a,2024-04-23T22:05:36.867523948Z,"[""🐇"",""                                   "",""🐇"",""🐿️"",""🐿️"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐿️""]",2024-04-23T22:15:43.243711012Z,4,2024-04-23T22:11:29.456243656Z,player 1,2024-04-23T22:15:43.243711012Z
01HW6FX6RCQKRQHJ0FM3PJJQGA,"{""age"":""38"",""gender"":""F"",""strength"":""Strong"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""I think so. They couldn't see the same as me"",""notes"":""Yes"",""politics"":""Centre left"",""geo"":""British "",""ethnicity"":""White""}",2024-04-23T22:21:53.386740039Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:06:03.543875391Z,01HW6FX603AW7ASKJQD4MG2PMB,2024-04-23T22:06:03.53286908Z,1,2024-04-23T22:21:53.384610034Z,rerun-unidirectional- 0.3,2024-04-23T22:06:03.543875391Z,true,2024-04-23T22:08:27.736699973Z,01HW6FYEVZNY3B6454F9S9KAMS,2024-04-23T22:20:09.073979692Z,{},2024-04-23T22:06:03.855455364Z,game ended,2024-04-23T22:20:54.641300281Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:06:03.543875391Z,5e1302e1dd997b94d1cdbfe8,2024-04-23T22:06:03.53286908Z,"[""                                   "",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐿️"",""🐿️"",""🐿️""]",2024-04-23T22:10:21.212969169Z,4,2024-04-23T22:08:23.374704688Z,player 3,2024-04-23T22:10:21.212969169Z
