id,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,duration,durationLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,initialized,initializedLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HWBAF6RTVPP8P0GGYRTDE0M8,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.074279815Z,false,2024-04-25T19:07:14.074279815Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.074279815Z,01HWBAF6NEGKF8Z52JA2T2BSHE,2024-04-25T19:07:14.074279815Z,01HWBAF6PQRK8MB8P0EZV0CH8Z,2024-04-25T19:07:14.074279815Z,0,2024-04-25T19:07:14.074279815Z,send,2024-04-25T19:07:14.074279815Z,30,2024-04-25T19:07:14.074279815Z,false,2024-04-25T19:07:14.074279815Z,,,,,,,,
01HWBAF6RTVPP8P0GGZC7VYNV2,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.074753508Z,false,2024-04-25T19:07:14.074753508Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.074753508Z,01HWBAF6NEGKF8Z52JA2T2BSHE,2024-04-25T19:07:14.074753508Z,01HWBAF6QQ4D1NS1NAC81AH5R0,2024-04-25T19:07:14.074753508Z,1,2024-04-25T19:07:14.074753508Z,observe,2024-04-25T19:07:14.074753508Z,30,2024-04-25T19:07:14.074753508Z,false,2024-04-25T19:07:14.074753508Z,,,,,,,,
01HWBAF6V8DJFXDKWZQV6900F0,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.152724095Z,true,2024-04-25T19:08:30.423848169Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.152724095Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:07:14.152724095Z,01HWBAF6R1ZA63CSEGA7SM1MVZ,2024-04-25T19:07:14.152724095Z,0,2024-04-25T19:07:14.152724095Z,send,2024-04-25T19:07:14.152724095Z,30,2024-04-25T19:07:14.152724095Z,true,2024-04-25T19:08:00.385105391Z,true,2024-04-25T19:08:00.42091013Z,true,2024-04-25T19:08:00.408746668Z,,,,
01HWBAF6V98T45FWEE67ZHFFVT,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.153037672Z,true,2024-04-25T19:08:37.980228699Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.153037672Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:07:14.153037672Z,01HWBAF6RBZ38RJ9NTJDGD1NBF,2024-04-25T19:07:14.153037672Z,1,2024-04-25T19:07:14.153037672Z,observe,2024-04-25T19:07:14.153037672Z,30,2024-04-25T19:07:14.153037672Z,true,2024-04-25T19:08:30.432726618Z,true,2024-04-25T19:08:30.464725442Z,true,2024-04-25T19:08:30.455265572Z,,,,
01HWBAF6WCY854PW5E79WZ838G,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.188879706Z,false,2024-04-25T19:07:14.188879706Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.188879706Z,01HWBAF6NFNKV558ARJVB9SJSB,2024-04-25T19:07:14.188879706Z,01HWBAF6S5NN3723RC9FATNXR0,2024-04-25T19:07:14.188879706Z,0,2024-04-25T19:07:14.188879706Z,send,2024-04-25T19:07:14.188879706Z,30,2024-04-25T19:07:14.188879706Z,false,2024-04-25T19:07:14.188879706Z,,,,,,,,
01HWBAF6WDYDDHATTBHD9KE9TX,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.189112201Z,false,2024-04-25T19:07:14.189112201Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.189112201Z,01HWBAF6NFNKV558ARJVB9SJSB,2024-04-25T19:07:14.189112201Z,01HWBAF6TH5PC0CPYFA7DWW4PA,2024-04-25T19:07:14.189112201Z,1,2024-04-25T19:07:14.189112201Z,observe,2024-04-25T19:07:14.189112201Z,30,2024-04-25T19:07:14.189112201Z,false,2024-04-25T19:07:14.189112201Z,,,,,,,,
01HWBAF6WNMHVNPGZS825BFR62,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.19738997Z,true,2024-04-25T19:09:08.078090892Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.19738997Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:07:14.19738997Z,01HWBAF6R2ASXSF53M9Y19911R,2024-04-25T19:07:14.19738997Z,0,2024-04-25T19:07:14.19738997Z,send,2024-04-25T19:07:14.19738997Z,30,2024-04-25T19:07:14.19738997Z,true,2024-04-25T19:08:38.037861123Z,true,2024-04-25T19:08:38.07313605Z,true,2024-04-25T19:08:38.064960511Z,,,,
01HWBAF6WNMHVNPGZS8Q435M8W,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.197659761Z,true,2024-04-25T19:09:16.748825333Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.197659761Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:07:14.197659761Z,01HWBAF6TQ8G0C0MZV4S0V6TKB,2024-04-25T19:07:14.197659761Z,1,2024-04-25T19:07:14.197659761Z,observe,2024-04-25T19:07:14.197659761Z,30,2024-04-25T19:07:14.197659761Z,true,2024-04-25T19:09:08.088578474Z,true,2024-04-25T19:09:08.13307858Z,true,2024-04-25T19:09:08.119641159Z,,,,
01HWBAF6WVV2YM2FPFVX6MEW4D,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.203287597Z,false,2024-04-25T19:07:14.203287597Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.203287597Z,01HWBAF6NC2R8JVQQVKGTVTW95,2024-04-25T19:07:14.203287597Z,01HWBAF6R2ASXSF53MA3C4FENV,2024-04-25T19:07:14.203287597Z,0,2024-04-25T19:07:14.203287597Z,send,2024-04-25T19:07:14.203287597Z,30,2024-04-25T19:07:14.203287597Z,false,2024-04-25T19:07:14.203287597Z,,,,,,,,
01HWBAF6WVV2YM2FPFWEBCCBN1,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.203551058Z,false,2024-04-25T19:07:14.203551058Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.203551058Z,01HWBAF6NC2R8JVQQVKGTVTW95,2024-04-25T19:07:14.203551058Z,01HWBAF6V0RNKA9JVAHP9JKZ69,2024-04-25T19:07:14.203551058Z,1,2024-04-25T19:07:14.203551058Z,observe,2024-04-25T19:07:14.203551058Z,30,2024-04-25T19:07:14.203551058Z,false,2024-04-25T19:07:14.203551058Z,,,,,,,,
