id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JGPTVE2S8KH25Z1R07XRHS5J,01JGPSMPVMJQ9948T7GY4HNSPZ,2025-01-03T19:39:07.225475259Z,30,2025-01-03T19:39:07.225475259Z,true,2025-01-03T19:44:16.360455926Z,,,01JGPSMPVXPEP2CK71G8CC7DN6,2025-01-03T19:39:07.225475259Z,1,2025-01-03T19:39:07.225475259Z,true,2025-01-03T19:43:50.475331315Z,observe,2025-01-03T19:39:07.225475259Z,01JGPTVDZVHZZ0F9X42C31AMCE,2025-01-03T19:39:07.225475259Z,true,2025-01-03T19:43:50.431767827Z,true,2025-01-03T19:43:50.496173738Z,,,01JGPTVE20927YGTQDHYFDDNHF,2025-01-03T19:39:07.225475259Z
01JGPVRK2RZKNJKE2WWR7V92FW,01JGPVAHZY594V1N154E66DB7M,2025-01-03T19:55:02.616668949Z,30,2025-01-03T19:55:02.616668949Z,true,2025-01-03T19:58:51.418189712Z,,,01JGPVAJ0BKW1P9FREJ7BT9S0V,2025-01-03T19:55:02.616668949Z,0,2025-01-03T19:55:02.616668949Z,true,2025-01-03T19:58:21.390558746Z,send,2025-01-03T19:55:02.616668949Z,01JGPVRJTS7FBWTR6TDJ7KY9N2,2025-01-03T19:55:02.616668949Z,true,2025-01-03T19:58:21.333301525Z,true,2025-01-03T19:58:21.413961187Z,,,01JGPVRJY02V2PMVA781GHAKDA,2025-01-03T19:55:02.616668949Z
01JGPSE6EB01VPXM5G3314MM7E,01JGPRTXNXA7B3CCM786WWN757,2025-01-03T19:14:24.845495629Z,30,2025-01-03T19:14:24.845495629Z,false,2025-01-03T19:14:24.845495629Z,,,01JGPRTXP5PVBNN7TSGGX38J8S,2025-01-03T19:14:24.845495629Z,1,2025-01-03T19:14:24.845495629Z,,,observe,2025-01-03T19:14:24.845495629Z,01JGPSE6ABBYPTZ449WKCB9PYR,2025-01-03T19:14:24.845495629Z,false,2025-01-03T19:14:24.845495629Z,,,,,01JGPSE6CQG5RAE31R9PN3AHDY,2025-01-03T19:14:24.845495629Z
01JGPSE6JAZY3N5BDP1XGEZB3M,01JGPRTXNXA7B3CCM786WWN757,2025-01-03T19:14:24.970540104Z,30,2025-01-03T19:14:24.970540104Z,false,2025-01-03T19:14:24.970540104Z,,,01JGPRTXP5PVBNN7TSGGX38J8S,2025-01-03T19:14:24.970540104Z,1,2025-01-03T19:14:24.970540104Z,,,observe,2025-01-03T19:14:24.970540104Z,01JGPSE6AASDVCX5CAPVRV6YWB,2025-01-03T19:14:24.970540104Z,false,2025-01-03T19:14:24.970540104Z,,,,,01JGPSE6H68B1S7V19F356CRKG,2025-01-03T19:14:24.970540104Z
01JGPSHBVFG6GWV2RKAK9DJ87A,01JGPRTWV0YE2XYS3TFBJF6NN5,2025-01-03T19:16:08.687951161Z,30,2025-01-03T19:16:08.687951161Z,true,2025-01-03T19:22:23.716117903Z,,,01JGPRTWVA3JRYG4QRKQF2F4D5,2025-01-03T19:16:08.687951161Z,1,2025-01-03T19:16:08.687951161Z,true,2025-01-03T19:22:13.107108748Z,observe,2025-01-03T19:16:08.687951161Z,01JGPSHBQ9D7ABM5FWMX54SZ6H,2025-01-03T19:16:08.687951161Z,true,2025-01-03T19:22:13.081918664Z,true,2025-01-03T19:22:13.120506974Z,,,01JGPSHBTCE5WE76X710QKKF66,2025-01-03T19:16:08.687951161Z
01JGPT1DPXZ4MFW06A5FG1SYFD,01JGPSMTMTKBDVBY78JV1B3A6V,2025-01-03T19:24:54.877996758Z,30,2025-01-03T19:24:54.877996758Z,true,2025-01-03T19:32:19.083826518Z,,,01JGPSMTN82FNJ8JV34BPS9FA6,2025-01-03T19:24:54.877996758Z,1,2025-01-03T19:24:54.877996758Z,true,2025-01-03T19:32:01.186138938Z,observe,2025-01-03T19:24:54.877996758Z,01JGPT1DM1W4MZY9HK6VEQ17QM,2025-01-03T19:24:54.877996758Z,true,2025-01-03T19:32:01.151870445Z,true,2025-01-03T19:32:01.199847251Z,,,01JGPT1DP7M4D04DHB264WJNH7,2025-01-03T19:24:54.877996758Z
01JGPTJTP8H18B78AKXFYVD3V8,01JGPSMQWF0T2TNEAMGK5V0FA8,2025-01-03T19:34:25.224063564Z,30,2025-01-03T19:34:25.224063564Z,true,2025-01-03T19:39:25.926956326Z,,,01JGPSMQWQQVY71DHKB1F1F23F,2025-01-03T19:34:25.224063564Z,0,2025-01-03T19:34:25.224063564Z,true,2025-01-03T19:38:55.896746833Z,send,2025-01-03T19:34:25.224063564Z,01JGPTJTGRCH90QTAGYNC6WDEM,2025-01-03T19:34:25.224063564Z,true,2025-01-03T19:38:55.83555166Z,true,2025-01-03T19:38:55.917975507Z,,,01JGPTJTK438A7STA86KVZ9JKJ,2025-01-03T19:34:25.224063564Z
01JGPVRK34J4MCFFXFK97E5GF7,01JGPVAHZY594V1N154E66DB7M,2025-01-03T19:55:02.628122132Z,30,2025-01-03T19:55:02.628122132Z,true,2025-01-03T19:59:18.844766328Z,,,01JGPVAJ0BKW1P9FREJ7BT9S0V,2025-01-03T19:55:02.628122132Z,1,2025-01-03T19:55:02.628122132Z,true,2025-01-03T19:58:51.526933994Z,observe,2025-01-03T19:55:02.628122132Z,01JGPVRJTS7FBWTR6TDJ7KY9N2,2025-01-03T19:55:02.628122132Z,true,2025-01-03T19:58:51.45961268Z,true,2025-01-03T19:58:51.559338064Z,,,01JGPVRJZE0KKJDA36W8B2WGWT,2025-01-03T19:55:02.628122132Z
01JGPXYW5F1AKTZAJYCWDHCSNM,01JGPW8C0SXJ7NQFESG0ZTW3R7,2025-01-03T20:33:25.679321636Z,30,2025-01-03T20:33:25.679321636Z,false,2025-01-03T20:33:25.679321636Z,,,01JGPW8C21FTRB5DHVK7JCWZ7H,2025-01-03T20:33:25.679321636Z,0,2025-01-03T20:33:25.679321636Z,,,observe,2025-01-03T20:33:25.679321636Z,01JGPXYVBMWA6FNCNC02DM5M36,2025-01-03T20:33:25.679321636Z,false,2025-01-03T20:33:25.679321636Z,,,,,01JGPXYVHKCGCDD106T5GKQJVD,2025-01-03T20:33:25.679321636Z
01JGPSE6EMGFQMXKGY3ZRNYE4D,01JGPRTXNXA7B3CCM786WWN757,2025-01-03T19:14:24.852980383Z,30,2025-01-03T19:14:24.852980383Z,false,2025-01-03T19:14:24.852980383Z,,,01JGPRTXP5PVBNN7TSGGX38J8S,2025-01-03T19:14:24.852980383Z,0,2025-01-03T19:14:24.852980383Z,,,send,2025-01-03T19:14:24.852980383Z,01JGPSE6ACNVXA152MXRTYNGXZ,2025-01-03T19:14:24.852980383Z,false,2025-01-03T19:14:24.852980383Z,,,,,01JGPSE6CDG352QKN7EVC1FRMP,2025-01-03T19:14:24.852980383Z
01JGPSHBTPNBWZ53W72K39WC59,01JGPRTWV0YE2XYS3TFBJF6NN5,2025-01-03T19:16:08.662940847Z,30,2025-01-03T19:16:08.662940847Z,true,2025-01-03T19:18:36.636483443Z,,,01JGPRTWVA3JRYG4QRKQF2F4D5,2025-01-03T19:16:08.662940847Z,1,2025-01-03T19:16:08.662940847Z,true,2025-01-03T19:18:06.61710749Z,observe,2025-01-03T19:16:08.662940847Z,01JGPSHBQ7RX8W3GDK6V9DB583,2025-01-03T19:16:08.662940847Z,true,2025-01-03T19:18:06.592140532Z,true,2025-01-03T19:18:06.643541274Z,,,01JGPSHBSEB5NFEHYF3J1N6RPZ,2025-01-03T19:16:08.662940847Z
01JGPY9HN7ZKWGKPF80T0TXM5Z,01JGPW8A20WBYX6X42N7SX6EFS,2025-01-03T20:39:15.367457994Z,30,2025-01-03T20:39:15.367457994Z,true,2025-01-03T20:40:14.833880651Z,,,01JGPW8A2KP3CN3VTYEPMEMDTG,2025-01-03T20:39:15.367457994Z,1,2025-01-03T20:39:15.367457994Z,true,2025-01-03T20:39:46.512500841Z,observe,2025-01-03T20:39:15.367457994Z,01JGPY9FYVA70P7R592H1VGADV,2025-01-03T20:39:15.367457994Z,true,2025-01-03T20:39:46.356749042Z,true,2025-01-03T20:39:46.565910658Z,,,01JGPY9GPXM2AWX70VSZEJW37B,2025-01-03T20:39:15.367457994Z
01JGPSE6EZ70FWC0EXKG92YG18,01JGPRTXNXA7B3CCM786WWN757,2025-01-03T19:14:24.863937041Z,30,2025-01-03T19:14:24.863937041Z,false,2025-01-03T19:14:24.863937041Z,,,01JGPRTXP5PVBNN7TSGGX38J8S,2025-01-03T19:14:24.863937041Z,0,2025-01-03T19:14:24.863937041Z,,,send,2025-01-03T19:14:24.863937041Z,01JGPSE6AASDVCX5CAQBH4NKBN,2025-01-03T19:14:24.863937041Z,false,2025-01-03T19:14:24.863937041Z,,,,,01JGPSE6CJJW9TVPBK1R8NCKX0,2025-01-03T19:14:24.863937041Z
01JGPSSGT9140QE7A9G59Y8NEY,01JGPRTPXZF6H039PA45M78VSP,2025-01-03T19:20:35.913304704Z,30,2025-01-03T19:20:35.913304704Z,true,2025-01-03T19:26:49.040989412Z,,,01JGPRTPYBX68EAH44QVGHS3XB,2025-01-03T19:20:35.913304704Z,0,2025-01-03T19:20:35.913304704Z,true,2025-01-03T19:26:19.024316587Z,send,2025-01-03T19:20:35.913304704Z,01JGPSSGPVC7VKQ8C1J8H5B7S1,2025-01-03T19:20:35.913304704Z,true,2025-01-03T19:26:18.987954576Z,true,2025-01-03T19:26:19.035521163Z,,,01JGPSSGRJWH5KXJK5T1SJXSC1,2025-01-03T19:20:35.913304704Z
01JGPVKF7C49YM2ZW71QXFTV0C,01JGPSM1G3366GPFXWNPWH115B,2025-01-03T19:52:14.828328243Z,30,2025-01-03T19:52:14.828328243Z,true,2025-01-03T19:52:45.3326477Z,,,01JGPSM1GE8K07M6F7PVZC870V,2025-01-03T19:52:14.828328243Z,0,2025-01-03T19:52:14.828328243Z,true,2025-01-03T19:52:15.307311757Z,looking at your yard,2025-01-03T19:52:14.828328243Z,01JGPVKEYGE664TRX70MFBK3VX,2025-01-03T19:52:14.828328243Z,true,2025-01-03T19:52:15.249057856Z,true,2025-01-03T19:52:15.328819563Z,,,01JGPVKF01579S8THTJ2RDCYHQ,2025-01-03T19:52:14.828328243Z
01JGPW46PMVPY3B82BP8TMS6A4,01JGPSKG070MNE2EGSDHZKKNNP,2025-01-03T20:01:23.156626777Z,30,2025-01-03T20:01:23.156626777Z,true,2025-01-03T20:08:26.957737007Z,,,01JGPSKG0KJD92WRP6D6DG9YKJ,2025-01-03T20:01:23.156626777Z,0,2025-01-03T20:01:23.156626777Z,true,2025-01-03T20:07:56.922911611Z,send,2025-01-03T20:01:23.156626777Z,01JGPW46F1T7G8ECS2BQGZ05BF,2025-01-03T20:01:23.156626777Z,true,2025-01-03T20:07:56.828104407Z,true,2025-01-03T20:07:56.953664552Z,,,01JGPW46H4EC7AEDYWRQ6QVJH5,2025-01-03T20:01:23.156626777Z
01JGPXYWF3WQFGQKX7WA5RWBSD,01JGPW8C0SXJ7NQFESG0ZTW3R7,2025-01-03T20:33:25.988232053Z,30,2025-01-03T20:33:25.988232053Z,true,2025-01-03T20:33:57.209243633Z,,,01JGPW8C21FTRB5DHVK7JCWZ7H,2025-01-03T20:33:25.988232053Z,0,2025-01-03T20:33:25.988232053Z,true,2025-01-03T20:33:27.139847174Z,looking at your yard,2025-01-03T20:33:25.988232053Z,01JGPXYV9V21T1JG36X8T3VWK1,2025-01-03T20:33:25.988232053Z,true,2025-01-03T20:33:26.990580837Z,true,2025-01-03T20:33:27.20543275Z,,,01JGPXYVG2RVW4ST9G28N4KSAP,2025-01-03T20:33:25.988232053Z
01JGPSHBVMGSC2KNENS8370501,01JGPRTWV0YE2XYS3TFBJF6NN5,2025-01-03T19:16:08.692287199Z,30,2025-01-03T19:16:08.692287199Z,true,2025-01-03T19:20:45.982045632Z,,,01JGPRTWVA3JRYG4QRKQF2F4D5,2025-01-03T19:16:08.692287199Z,0,2025-01-03T19:16:08.692287199Z,true,2025-01-03T19:20:15.961312024Z,send,2025-01-03T19:16:08.692287199Z,01JGPSHBQB0ASWVJ6W5BJEX903,2025-01-03T19:16:08.692287199Z,true,2025-01-03T19:20:15.929974119Z,true,2025-01-03T19:20:15.980483278Z,,,01JGPSHBSB8NA12JYJGGAK3ZZ1,2025-01-03T19:16:08.692287199Z
01JGPT1DY8HHVX4TXDZHZR2HQ0,01JGPSMTMTKBDVBY78JV1B3A6V,2025-01-03T19:24:55.112317781Z,30,2025-01-03T19:24:55.112317781Z,true,2025-01-03T19:27:46.238390413Z,,,01JGPSMTN82FNJ8JV34BPS9FA6,2025-01-03T19:24:55.112317781Z,0,2025-01-03T19:24:55.112317781Z,true,2025-01-03T19:27:16.215007251Z,send,2025-01-03T19:24:55.112317781Z,01JGPT1DM7W8A7EC1QMESG7FWF,2025-01-03T19:24:55.112317781Z,true,2025-01-03T19:27:16.165645318Z,true,2025-01-03T19:27:16.235429262Z,,,01JGPT1DQ70PXC5Y0XB25ZC885,2025-01-03T19:24:55.112317781Z
01JGPTDCW675ZNZKVVE24H860J,01JGPSMRW5WGBVNY3PDRSMZBKA,2025-01-03T19:31:27.238246565Z,30,2025-01-03T19:31:27.238246565Z,true,2025-01-03T19:33:27.887924317Z,,,01JGPSMRWFTVDNGJAMXD44J532,2025-01-03T19:31:27.238246565Z,0,2025-01-03T19:31:27.238246565Z,true,2025-01-03T19:32:57.871990475Z,send,2025-01-03T19:31:27.238246565Z,01JGPTDCQ3ZC94RNW8VJYH4SPY,2025-01-03T19:31:27.238246565Z,true,2025-01-03T19:32:57.834656594Z,true,2025-01-03T19:32:57.884133454Z,,,01JGPTDCRKVFCV9GSJ816GG4W1,2025-01-03T19:31:27.238246565Z
01JGPV3J9QC6CW1947HP0VGG3K,01JGPSMNQYQWKY8KEGEZZ5X4N3,2025-01-03T19:43:33.687627388Z,30,2025-01-03T19:43:33.687627388Z,true,2025-01-03T19:48:34.229815252Z,,,01JGPSMNR73EXNR3H91HC0ZF9Z,2025-01-03T19:43:33.687627388Z,0,2025-01-03T19:43:33.687627388Z,true,2025-01-03T19:48:04.208452793Z,send,2025-01-03T19:43:33.687627388Z,01JGPV3J62FYTJCG055KD58ACY,2025-01-03T19:43:33.687627388Z,true,2025-01-03T19:48:04.158181618Z,true,2025-01-03T19:48:04.225122267Z,,,01JGPV3J7K763QFRECR0839RK1,2025-01-03T19:43:33.687627388Z
01JGPV3JGP95E5YCKE04R8A8T3,01JGPSMNQYQWKY8KEGEZZ5X4N3,2025-01-03T19:43:33.910768689Z,30,2025-01-03T19:43:33.910768689Z,true,2025-01-03T19:50:39.393508961Z,,,01JGPSMNR73EXNR3H91HC0ZF9Z,2025-01-03T19:43:33.910768689Z,1,2025-01-03T19:43:33.910768689Z,true,2025-01-03T19:50:16.350221701Z,observe,2025-01-03T19:43:33.910768689Z,01JGPV3J6GAVVSZV5SCWEXPBFB,2025-01-03T19:43:33.910768689Z,true,2025-01-03T19:50:16.289791215Z,true,2025-01-03T19:50:16.36979529Z,,,01JGPV3JC8K98MWW6FFCJCYTJE,2025-01-03T19:43:33.910768689Z
01JGPVRKNGS6CXMX7D90F1KWDE,01JGPVAHZY594V1N154E66DB7M,2025-01-03T19:55:03.216909765Z,30,2025-01-03T19:55:03.216909765Z,true,2025-01-03T20:02:55.010908537Z,,,01JGPVAJ0BKW1P9FREJ7BT9S0V,2025-01-03T19:55:03.216909765Z,1,2025-01-03T19:55:03.216909765Z,true,2025-01-03T20:02:36.663551923Z,observe,2025-01-03T19:55:03.216909765Z,01JGPVRJW72B79BQJEFRVRQD3E,2025-01-03T19:55:03.216909765Z,true,2025-01-03T20:02:36.56505163Z,true,2025-01-03T20:02:36.704821719Z,,,01JGPVRK4YK1KTTDWWTZ64T9XP,2025-01-03T19:55:03.216909765Z
01JGPWKZS2EDAMYW7ZFWGFGCXX,01JGPW7PES0CCMSKV2H431S20W,2025-01-03T20:10:00.354576442Z,30,2025-01-03T20:10:00.354576442Z,true,2025-01-03T20:13:38.517801683Z,,,01JGPW7PG2K8YKAKCNC9RMQG9Z,2025-01-03T20:10:00.354576442Z,0,2025-01-03T20:10:00.354576442Z,true,2025-01-03T20:13:13.702551611Z,observe,2025-01-03T20:10:00.354576442Z,01JGPWKZ7H4NT6AXG4B1R8ZW0A,2025-01-03T20:10:00.354576442Z,true,2025-01-03T20:13:13.595400089Z,true,2025-01-03T20:13:13.740753848Z,,,01JGPWKZH505JGWB90NSGVW9H1,2025-01-03T20:10:00.354576442Z
01JGPY10DTVM7VHN2QA53T1S86,01JGPW8B0VPW23SCNQFMRSZ8QQ,2025-01-03T20:34:35.578768506Z,30,2025-01-03T20:34:35.578768506Z,true,2025-01-03T20:35:36.823798268Z,,,01JGPW8B24HGMZFQHSMWA8WFZ1,2025-01-03T20:34:35.578768506Z,1,2025-01-03T20:34:35.578768506Z,true,2025-01-03T20:35:06.768552596Z,observe,2025-01-03T20:34:35.578768506Z,01JGPY0Z9GAX23XBQR9GRH62XX,2025-01-03T20:34:35.578768506Z,true,2025-01-03T20:35:06.625521881Z,true,2025-01-03T20:35:06.817926837Z,,,01JGPY0ZZYBEWF6JYG96MKEXQ9,2025-01-03T20:34:35.578768506Z
01JGPSE6N196389E1Q7C08V2V8,01JGPRTXNXA7B3CCM786WWN757,2025-01-03T19:14:25.057213627Z,30,2025-01-03T19:14:25.057213627Z,true,2025-01-03T19:15:02.755156352Z,batch ended,2025-01-03T19:15:02.545844785Z,01JGPRTXP5PVBNN7TSGGX38J8S,2025-01-03T19:14:25.057213627Z,1,2025-01-03T19:14:25.057213627Z,true,2025-01-03T19:14:55.351600445Z,send,2025-01-03T19:14:25.057213627Z,01JGPSE6A7PYS0NWT6N6X5TDZM,2025-01-03T19:14:25.057213627Z,true,2025-01-03T19:14:55.322993727Z,true,2025-01-03T19:14:55.363461633Z,ended,2025-01-03T19:15:02.545844785Z,01JGPSE6H8T67DARYHR4Y2KCBP,2025-01-03T19:14:25.057213627Z
01JGPSHBVMGSC2KNENSY3FS3PR,01JGPRTWV0YE2XYS3TFBJF6NN5,2025-01-03T19:16:08.693009224Z,30,2025-01-03T19:16:08.693009224Z,true,2025-01-03T19:21:01.121990313Z,,,01JGPRTWVA3JRYG4QRKQF2F4D5,2025-01-03T19:16:08.693009224Z,1,2025-01-03T19:16:08.693009224Z,true,2025-01-03T19:20:46.028232263Z,observe,2025-01-03T19:16:08.693009224Z,01JGPSHBQB0ASWVJ6W5BJEX903,2025-01-03T19:16:08.693009224Z,true,2025-01-03T19:20:45.996059034Z,true,2025-01-03T19:20:46.050420428Z,,,01JGPSHBTD5QMHCPY8VGH08XX7,2025-01-03T19:16:08.693009224Z
01JGPV3J9W3CYCABSEK9PBDK6T,01JGPSMNQYQWKY8KEGEZZ5X4N3,2025-01-03T19:43:33.692132066Z,30,2025-01-03T19:43:33.692132066Z,true,2025-01-03T19:48:59.352459688Z,,,01JGPSMNR73EXNR3H91HC0ZF9Z,2025-01-03T19:43:33.692132066Z,1,2025-01-03T19:43:33.692132066Z,true,2025-01-03T19:48:34.304258823Z,observe,2025-01-03T19:43:33.692132066Z,01JGPV3J62FYTJCG055KD58ACY,2025-01-03T19:43:33.692132066Z,true,2025-01-03T19:48:34.252833596Z,true,2025-01-03T19:48:34.324655499Z,,,01JGPV3J8EABPX289V1Q1HWPXZ,2025-01-03T19:43:33.692132066Z
01JGPXYWEGS7256NXHRE9XWJJS,01JGPW8C0SXJ7NQFESG0ZTW3R7,2025-01-03T20:33:25.968100517Z,30,2025-01-03T20:33:25.968100517Z,false,2025-01-03T20:33:25.968100517Z,,,01JGPW8C21FTRB5DHVK7JCWZ7H,2025-01-03T20:33:25.968100517Z,0,2025-01-03T20:33:25.968100517Z,,,observe,2025-01-03T20:33:25.968100517Z,01JGPXYVF1M0GE86V2G5EZ8MKK,2025-01-03T20:33:25.968100517Z,false,2025-01-03T20:33:25.968100517Z,,,,,01JGPXYW0HGGG2DYESNQMEYWP8,2025-01-03T20:33:25.968100517Z
