id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGQ0TRZ7N2NR1C8VDDRS3RN3,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:23:37.06384558Z,63,2025-01-03T21:23:50.818180252Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:23:37.06384558Z,55,2025-01-03T21:23:51.131691366Z,01JGQ0F4ER5V0NKZCQBD51KAXF,2025-01-03T21:23:37.06384558Z,01JGQ0Q558KT28R6KVPSTKTBKD,2025-01-03T21:23:37.06384558Z,01JGQ0Q57AY9403Q6CFFX54D6J,2025-01-03T21:23:37.06384558Z,true,2025-01-03T21:23:50.823446385Z
01JGQ168RYEXSWZKJS9PV8C565,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:29:53.694028579Z,69,2025-01-03T21:30:14.308092601Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:29:53.694028579Z,80,2025-01-03T21:30:14.310681874Z,01JGQ0M80VEDX4T85AQX5ZGNPX,2025-01-03T21:29:53.694028579Z,01JGQ12QV1D8X86VEKZ43VMG0A,2025-01-03T21:29:53.694028579Z,01JGQ12QXMXWYW56RC0R24BMNG,2025-01-03T21:29:53.694028579Z,true,2025-01-03T21:30:14.305472402Z
01JGQ1ZSV9FRQQMCQQJMWR8HEG,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:50.378000999Z,18,2025-01-03T21:44:08.800455883Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:50.378000999Z,0,2025-01-03T21:44:08.797292454Z,01JGQ1QB1H3AAC0DG4MA5F3MQB,2025-01-03T21:43:50.378000999Z,01JGQ1YW22CC7CH4RRQPN6FTE9,2025-01-03T21:43:50.378000999Z,01JGQ1YW4HC15YKMT7QADF8CC8,2025-01-03T21:43:50.378000999Z,true,2025-01-03T21:44:09.041462324Z
01JGQ0ZH46VF5FA5KS4J2424YM,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:26:12.870354036Z,100,2025-01-03T21:26:26.736895576Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:26:12.870354036Z,0,2025-01-03T21:26:26.739800031Z,01JGQ0F2Q1BGAXWC42W1W362R7,2025-01-03T21:26:12.870354036Z,01JGQ0X95KJJ17QR7XPETRDYWE,2025-01-03T21:26:12.870354036Z,01JGQ0X98MTVJ8R684EXTNPNQQ,2025-01-03T21:26:12.870354036Z,true,2025-01-03T21:26:26.762703932Z
01JGQ10SN5AZS8089YRDCGZR4Z,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:26:54.373077897Z,28,2025-01-03T21:27:14.141120699Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:26:54.373077897Z,100,2025-01-03T21:27:14.091703813Z,01JGQ0K1WF2HT2V04RZKFR203P,2025-01-03T21:26:54.373077897Z,01JGQ0X95SJXCYCE3EXZW0M8V4,2025-01-03T21:26:54.373077897Z,01JGQ0X99538S4K2BRVB885ANE,2025-01-03T21:26:54.373077897Z,true,2025-01-03T21:27:14.144943741Z
01JGQ21ZC1F51AX68CPTD3JRA1,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:45:01.569591752Z,20,2025-01-03T21:45:15.942685132Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:45:01.569591752Z,64,2025-01-03T21:45:15.93943446Z,01JGQ1M29XYJNKSW8ZAQGM2K7K,2025-01-03T21:45:01.569591752Z,01JGQ1YW2C4GBQPHZ1CKXTGP4X,2025-01-03T21:45:01.569591752Z,01JGQ1YW6G9Q2NGJXNVT72HXVY,2025-01-03T21:45:01.569591752Z,true,2025-01-03T21:45:15.945288917Z
01JGQ24H7F8MA0MJH52GQG78MC,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:46:25.391964013Z,7,2025-01-03T21:46:36.102285004Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:46:25.391964013Z,56,2025-01-03T21:46:36.099432566Z,01JGQ1M29XYJNKSW8ZAQGM2K7K,2025-01-03T21:46:25.391964013Z,01JGQ1YW2VK6Q1TK3GBKANVMN7,2025-01-03T21:46:25.391964013Z,01JGQ1YW6NGY630N3FVJVG0PYH,2025-01-03T21:46:25.391964013Z,true,2025-01-03T21:46:36.111238338Z
01JGQ06RDGJ750SBBEG54CGQKM,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:12:41.136679999Z,96,2025-01-03T21:13:09.399680022Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:12:41.136679999Z,1,2025-01-03T21:13:09.396979458Z,01JGPZX7DGN1X2T8FHQDTEA9ZN,2025-01-03T21:12:41.136679999Z,01JGQ04X85NJHFV34CN37KHAS9,2025-01-03T21:12:41.136679999Z,01JGQ04XAKE2S8304HJYW5X8N7,2025-01-03T21:12:41.136679999Z,true,2025-01-03T21:13:09.551252743Z
01JGQ07NV1AB46JVR2GPXR0QPP,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:13:11.265487325Z,,,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:13:11.265487325Z,,,01JGPZRZ4ZQDHG4XA5BZMF8KRX,2025-01-03T21:13:11.265487325Z,01JGQ04X8V95ZN0FVACG6SJFXA,2025-01-03T21:13:11.265487325Z,01JGQ04XBBMPPFW0GJQFMWTYWN,2025-01-03T21:13:11.265487325Z,,
01JGQ08K8FXGK1V4E9A7YKMPNJ,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:13:41.39178406Z,93,2025-01-03T21:14:03.734151772Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:13:41.39178406Z,89,2025-01-03T21:14:03.735392247Z,01JGPZWDB906WGPE716Q82VST1,2025-01-03T21:13:41.39178406Z,01JGQ04X8TF2PZZPTQWT25BXJJ,2025-01-03T21:13:41.39178406Z,01JGQ04XB8B05S9EWR8HSZ3AD4,2025-01-03T21:13:41.39178406Z,true,2025-01-03T21:14:03.740796582Z
01JGQ0XGT7M8MTT66EZ9CM4PFT,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:25:07.015292322Z,54,2025-01-03T21:25:16.787844797Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:25:07.015292322Z,55,2025-01-03T21:25:16.783530574Z,01JGQ0F4ER5V0NKZCQBD51KAXF,2025-01-03T21:25:07.015292322Z,01JGQ0Q55HHN8FSWP53GMPVKD9,2025-01-03T21:25:07.015292322Z,01JGQ0Q56W6666E93G00VJZX88,2025-01-03T21:25:07.015292322Z,true,2025-01-03T21:25:17.085014206Z
01JGQ12A4PW7T6DQ627XM77A01,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:27:44.022266297Z,30,2025-01-03T21:28:00.23070036Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:27:44.022266297Z,76,2025-01-03T21:27:59.73203256Z,01JGQ0K1WF2HT2V04RZKFR203P,2025-01-03T21:27:44.022266297Z,01JGQ0X95VF9EE55RX4M9J24AZ,2025-01-03T21:27:44.022266297Z,01JGQ0X9945DMYSXXY3DAK5T2G,2025-01-03T21:27:44.022266297Z,true,2025-01-03T21:27:59.729494746Z
01JGQ14JWEFVZN32DHCPK70S8E,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:28:58.510028035Z,100,2025-01-03T21:29:18.098418673Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:28:58.510028035Z,0,2025-01-03T21:29:18.096311482Z,01JGQ0E65PV4KS9CA6CGT3DF26,2025-01-03T21:28:58.510028035Z,01JGQ12QTXV8QTKCC0RWM6JNYQ,2025-01-03T21:28:58.510028035Z,01JGQ12QXBTRH7TRCEA4AT3SVG,2025-01-03T21:28:58.510028035Z,true,2025-01-03T21:29:18.103966152Z
01JGQ2342D0XZKMKSGWT65QEAB,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:45:39.149746458Z,32,2025-01-03T21:45:58.39107361Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:45:39.149746458Z,62,2025-01-03T21:45:58.380484805Z,01JGQ1GG06K6M53PBNF0BQG7HW,2025-01-03T21:45:39.149746458Z,01JGQ1YW2RRRHHV3MAGH6SHQH9,2025-01-03T21:45:39.149746458Z,01JGQ1YW49Z2W0W6HKHNBSD7NF,2025-01-03T21:45:39.149746458Z,true,2025-01-03T21:45:58.385869926Z
01JGQ0TRYGB3HWENRW0JZF3EC1,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:23:37.040675502Z,100,2025-01-03T21:24:00.629867066Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:23:37.040675502Z,0,2025-01-03T21:24:00.619884343Z,01JGPZE8KQCCXZMCJ3YT3TTZKX,2025-01-03T21:23:37.040675502Z,01JGQ0Q558KT28R6KVPSTKTBKD,2025-01-03T21:23:37.040675502Z,01JGQ0Q57AY9403Q6CFFX54D6J,2025-01-03T21:23:37.040675502Z,true,2025-01-03T21:24:00.600378926Z
01JGQ1705RD28TYSSM8666BPTY,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:30:17.656461039Z,93,2025-01-03T21:30:36.320640624Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:30:17.656461039Z,66,2025-01-03T21:30:36.325738837Z,01JGQ0EMQMV9V3BJED4YANPYGG,2025-01-03T21:30:17.656461039Z,01JGQ12QTZ8RA7AHB8SET5390F,2025-01-03T21:30:17.656461039Z,01JGQ12QXZ86SWSQJ0696SVNFS,2025-01-03T21:30:17.656461039Z,true,2025-01-03T21:30:36.332401949Z
01JGQ0XGSX4QXTJS1MS6TC9CYX,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:25:07.00552027Z,69,2025-01-03T21:25:16.298678544Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:25:07.00552027Z,20,2025-01-03T21:25:16.286420522Z,01JGQ0EBMFN660NY6ZXA41ZS43,2025-01-03T21:25:07.00552027Z,01JGQ0Q55HHN8FSWP53GMPVKD9,2025-01-03T21:25:07.00552027Z,01JGQ0Q56W6666E93G00VJZX88,2025-01-03T21:25:07.00552027Z,true,2025-01-03T21:25:16.294139216Z
01JGQ218GY40YFEYWXPMCT20S6,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:44:38.174884078Z,18,2025-01-03T21:44:55.829798872Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:44:38.174884078Z,49,2025-01-03T21:44:55.846548927Z,01JGQ1M29XYJNKSW8ZAQGM2K7K,2025-01-03T21:44:38.174884078Z,01JGQ1YW2FD50RSKQS1VYX0VRJ,2025-01-03T21:44:38.174884078Z,01JGQ1YW56Z07XKKMR02N4WPYK,2025-01-03T21:44:38.174884078Z,true,2025-01-03T21:44:55.835996035Z
01JGQ0C1894A30TGYQFRK8QH14,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:34.025643117Z,,,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:34.025643117Z,,,01JGPZW8Z1TJ5HFSP3CC8MPYZH,2025-01-03T21:15:34.025643117Z,01JGQ0B3CEA9EPCX857GJFM3MZ,2025-01-03T21:15:34.025643117Z,01JGQ0B3GMZRFSGFBT6TFAKN20,2025-01-03T21:15:34.025643117Z,,
01JGQ0G5DTKWPNFMZ3KM1FZF41,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:17:49.370591523Z,19,2025-01-03T21:18:05.015822197Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:17:49.370591523Z,0,2025-01-03T21:18:05.008533818Z,01JGPZW8Z1TJ5HFSP3CC8MPYZH,2025-01-03T21:17:49.370591523Z,01JGQ0B3DCA8VZZ0K83XCQFPE2,2025-01-03T21:17:49.370591523Z,01JGQ0B3J1GPSSXYFF912G8EJ1,2025-01-03T21:17:49.370591523Z,true,2025-01-03T21:18:05.009800016Z
01JGQ0G5E48XC4T97PBG69BAG5,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:17:49.381000347Z,69,2025-01-03T21:18:03.655183619Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:17:49.381000347Z,40,2025-01-03T21:18:03.653267964Z,01JGPZY6M1PKJ57S5YVKHXAYHS,2025-01-03T21:17:49.381000347Z,01JGQ0B3DCA8VZZ0K83XCQFPE2,2025-01-03T21:17:49.381000347Z,01JGQ0B3J1GPSSXYFF912G8EJ1,2025-01-03T21:17:49.381000347Z,true,2025-01-03T21:18:03.661609504Z
01JGQ0Q5GTAN9DNCR6N42G4ZQM,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:21:38.842126717Z,,,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:21:38.842126717Z,,,01JGQ0EBMFN660NY6ZXA41ZS43,2025-01-03T21:21:38.842126717Z,01JGQ0Q5553HHE1ZB41E7093YF,2025-01-03T21:21:38.842126717Z,01JGQ0Q58221NYNK9C3EEVK412,2025-01-03T21:21:38.842126717Z,,
01JGQ18W3Y898Y5SP0TW2SSRDP,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:31:19.038911158Z,62,2025-01-03T21:31:46.185573472Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:31:19.038911158Z,80,2025-01-03T21:31:46.189174697Z,01JGQ0GCQT83E3WEE7375T4F10,2025-01-03T21:31:19.038911158Z,01JGQ12QV8WHNC9HBMFDZWYAYB,2025-01-03T21:31:19.038911158Z,01JGQ12QX8HH1CJ4G0G1G7TCC2,2025-01-03T21:31:19.038911158Z,true,2025-01-03T21:31:46.199783321Z
01JGQ24H6YTSREAJ6QC2AM1Z77,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:46:25.374286029Z,82,2025-01-03T21:46:35.000062938Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:46:25.374286029Z,65,2025-01-03T21:46:35.006586029Z,01JGQ1GG06K6M53PBNF0BQG7HW,2025-01-03T21:46:25.374286029Z,01JGQ1YW2VK6Q1TK3GBKANVMN7,2025-01-03T21:46:25.374286029Z,01JGQ1YW6NGY630N3FVJVG0PYH,2025-01-03T21:46:25.374286029Z,true,2025-01-03T21:46:35.002547666Z
