id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JGQQM9G8DFJT0HBXAKX9HC8J,01JGQN6GJNGCAHXWA9BHTVKTHV,2025-01-04T04:02:01.864635733Z,true,2025-01-04T04:08:28.702349416Z,01JGQN6GK1YC028VN449S35EYW,2025-01-04T04:02:01.864635733Z,7,2025-01-04T04:02:01.864635733Z,6,2025-01-04T04:02:01.864635733Z,Round 7 / 8,2025-01-04T04:02:01.864635733Z,2,2025-01-04T04:02:02.16043579Z,true,2025-01-04T04:07:46.244345028Z,Chat,2025-01-04T04:02:01.864635733Z
01JGQR0APX2JHP9PS8VXZVAJX7,01JGQN6E4C2CS4TK2X8C2X7854,2025-01-04T04:08:36.317505878Z,true,2025-01-04T04:12:06.424986224Z,01JGQN6E4PZYQW2YP2JJMZMCQ1,2025-01-04T04:08:36.317505878Z,3,2025-01-04T04:08:36.317505878Z,2,2025-01-04T04:08:36.317505878Z,Round 3 / 8,2025-01-04T04:08:36.317505878Z,2,2025-01-04T04:08:36.686571006Z,true,2025-01-04T04:11:05.976880592Z,Chat,2025-01-04T04:08:36.317505878Z
01JGQNWZ88ZYKFD95CPYKMH6MM,01JGQN6N6ZD0N87MWSG78C1ZJT,2025-01-04T03:31:49.128262919Z,true,2025-01-04T03:39:03.070079334Z,01JGQN6N75REDW2HT5QWGDBSQX,2025-01-04T03:31:49.128262919Z,7,2025-01-04T03:31:49.128262919Z,6,2025-01-04T03:31:49.128262919Z,Round 7 / 8,2025-01-04T03:31:49.128262919Z,2,2025-01-04T03:31:49.252993864Z,true,2025-01-04T03:38:12.670256225Z,Chat,2025-01-04T03:31:49.128262919Z
01JGQNZXMK3RHKPW3SQQY889VX,01JGQN6MQ8FPTSRNX1S0D2KFER,2025-01-04T03:33:25.779744546Z,true,2025-01-04T03:36:54.566859089Z,01JGQN6MQG6XQMNGNFH6CVRM17,2025-01-04T03:33:25.779744546Z,3,2025-01-04T03:33:25.779744546Z,2,2025-01-04T03:33:25.779744546Z,Round 3 / 8,2025-01-04T03:33:25.779744546Z,2,2025-01-04T03:33:25.856056287Z,true,2025-01-04T03:35:56.72325545Z,Chat,2025-01-04T03:33:25.779744546Z
01JGQQ7EH0H3V4CCX4AXXJ5MVE,01JGQN6H4SJHBA63J3Q3XNJ08Z,2025-01-04T03:55:01.024185569Z,true,2025-01-04T04:02:34.875520536Z,01JGQN6H51VVPKH8JK4RNC2G7B,2025-01-04T03:55:01.024185569Z,7,2025-01-04T03:55:01.024185569Z,6,2025-01-04T03:55:01.024185569Z,Round 7 / 8,2025-01-04T03:55:01.024185569Z,2,2025-01-04T03:55:01.276542652Z,true,2025-01-04T04:01:34.48512634Z,Chat,2025-01-04T03:55:01.024185569Z
01JGQPFQD51TCAH2PQBK2T5ZM4,01JGQN6M4PG7DV9YQHF1FJ1PBM,2025-01-04T03:42:03.685088737Z,true,2025-01-04T03:47:37.377825112Z,01JGQN6M4YYY6RKNGWXCMRGHF1,2025-01-04T03:42:03.685088737Z,6,2025-01-04T03:42:03.685088737Z,5,2025-01-04T03:42:03.685088737Z,Round 6 / 8,2025-01-04T03:42:03.685088737Z,2,2025-01-04T03:42:03.923024134Z,true,2025-01-04T03:46:54.152960141Z,Chat,2025-01-04T03:42:03.685088737Z
01JGQPJTT684W21WBT0F7NWECD,01JGQN6KGZXD498J5FW8G3KXAG,2025-01-04T03:43:45.478458285Z,true,2025-01-04T03:47:51.388792618Z,01JGQN6KH5XWF5M44PT56K5P9Q,2025-01-04T03:43:45.478458285Z,4,2025-01-04T03:43:45.478458285Z,3,2025-01-04T03:43:45.478458285Z,Round 4 / 8,2025-01-04T03:43:45.478458285Z,2,2025-01-04T03:43:45.609975436Z,true,2025-01-04T03:47:07.7182654Z,Chat,2025-01-04T03:43:45.478458285Z
01JGQPJTTPZYPF7C5KR0VRSVG6,01JGQN6KGZXD498J5FW8G3KXAG,2025-01-04T03:43:45.494493458Z,true,2025-01-04T03:50:13.747823743Z,01JGQN6KH5XWF5M44PT56K5P9Q,2025-01-04T03:43:45.494493458Z,7,2025-01-04T03:43:45.494493458Z,6,2025-01-04T03:43:45.494493458Z,Round 7 / 8,2025-01-04T03:43:45.494493458Z,2,2025-01-04T03:43:45.625192105Z,true,2025-01-04T03:49:21.897448573Z,Chat,2025-01-04T03:43:45.494493458Z
01JGQQ0J1M41D6SAN57KCC1B0F,01JGQN6JCW5XFTXS88HCKCF1B3,2025-01-04T03:51:15.252326953Z,true,2025-01-04T03:55:34.53124084Z,01JGQN6JD587697NPG2SFQKVYT,2025-01-04T03:51:15.252326953Z,4,2025-01-04T03:51:15.252326953Z,3,2025-01-04T03:51:15.252326953Z,Round 4 / 8,2025-01-04T03:51:15.252326953Z,2,2025-01-04T03:51:15.420901747Z,true,2025-01-04T03:54:34.214389253Z,Chat,2025-01-04T03:51:15.252326953Z
01JGQQ39VP3D7FSQ3WZWQNBFBK,01JGQN6HRJWW1KWVV2ENHHH4YQ,2025-01-04T03:52:45.174730505Z,true,2025-01-04T03:55:16.728878595Z,01JGQN6HRV9WC2S1SA1FKCNRW7,2025-01-04T03:52:45.174730505Z,2,2025-01-04T03:52:45.174730505Z,1,2025-01-04T03:52:45.174730505Z,Round 2 / 8,2025-01-04T03:52:45.174730505Z,2,2025-01-04T03:52:45.421540117Z,true,2025-01-04T03:54:16.425669536Z,Chat,2025-01-04T03:52:45.174730505Z
