id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JD3D1TJHGXEGF0FCSFNW3BR9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:45:16.881240867Z,all games finished,2024-11-20T00:02:02.963448407Z,true,2024-11-19T23:45:16.890915431Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:45:16.881240867Z,ended,2024-11-20T00:02:02.963448407Z
01JD3F41MRYAESXYAXHBXZPN47,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:21:26.808955119Z,,,true,2024-11-20T00:21:26.828966861Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:21:26.808955119Z,terminated,2024-11-20T00:39:39.993707912Z
01JD3F433RGZN8XYSC96R11VNS,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:21:28.312133319Z,all games finished,2024-11-20T00:36:15.507049886Z,true,2024-11-20T00:21:28.334880489Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:21:28.312133319Z,ended,2024-11-20T00:36:15.507049886Z
01JD3FQ3JTDWA2QFWAYKAZ66T0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:31:51.386496904Z,all games finished,2024-11-20T01:01:43.276964476Z,true,2024-11-20T00:31:51.422320014Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:31:51.386496904Z,ended,2024-11-20T01:01:43.276964476Z
01JD3FSGE61DV6NGGEHDF9XRX2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:33:10.086091279Z,all games finished,2024-11-20T00:57:17.193604991Z,true,2024-11-20T00:33:10.113534144Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:33:10.086091279Z,ended,2024-11-20T00:57:17.193604991Z
01JD3HG38FZGSJDRKMXJ40WB3A,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T01:02:58.831173842Z,all games finished,2024-11-20T01:18:58.229345437Z,true,2024-11-20T01:02:58.935598953Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T01:02:58.831173842Z,ended,2024-11-20T01:18:58.229345437Z
01JD3DPSJDED5J0DRERYB7TR44,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:56:43.981820855Z,all games finished,2024-11-20T00:15:47.600890105Z,true,2024-11-19T23:56:43.99260744Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:56:43.981820855Z,ended,2024-11-20T00:15:47.600890105Z
01JD3E7FSW31KMNEGTC0AADTM4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:05:51.036585407Z,,,true,2024-11-20T00:05:51.053348953Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:05:51.036585407Z,created,2024-11-20T00:05:51.036585407Z
01JD3ERZEYBWVJGA5RSYMAEF6K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:15:24.126355886Z,all games finished,2024-11-20T00:29:39.499320564Z,true,2024-11-20T00:15:24.146658019Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:15:24.126355886Z,ended,2024-11-20T00:29:39.499320564Z
01JD3GW0DQSPVQMWTHJD9Z4DQG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:52:00.568030476Z,all games finished,2024-11-20T01:05:33.226539972Z,true,2024-11-20T00:52:00.647357066Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:52:00.568030476Z,ended,2024-11-20T01:05:33.226539972Z
01JD3GW148JZCG9A784JKRDVE0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:52:01.288944337Z,all games finished,2024-11-20T01:14:28.526311389Z,true,2024-11-20T00:52:01.408166108Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:52:01.288944337Z,ended,2024-11-20T01:14:28.526311389Z
