id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01JDAN313E9KVB059A5GAB8FDC,01JDAMQYAP01FT4Q1PFS19G0PT,2024-11-22T19:20:25.966714919Z,01JDAMQYJ3WHC5CEZAT4T1JW6E,2024-11-22T19:20:25.966714919Z,01JDAMSMNTPN4B6KWQFZ8XQZXR,2024-11-22T19:20:25.966714919Z
01JDAP2J5STC05WXVNEFAFCW2T,01JDAMQCQVMG0HYAH2M9HPP6J4,2024-11-22T19:37:39.257084905Z,01JDAMQCW6X37SCNZDXN7RRQHK,2024-11-22T19:37:39.257084905Z,01JDANASAB7YEJEG3CFR61K6YB,2024-11-22T19:37:39.257084905Z
01JDAH3V6XNMZ7SZQ0VJ2GKXKM,01JDAGY7S217P5T9V7NJR1FC04,2024-11-22T18:10:58.397954355Z,01JDAGY7SD98WFY7GQYRSWXS7M,2024-11-22T18:10:58.397954355Z,01JDAGRNPPPV714JTB38C3693Y,2024-11-22T18:10:58.397954355Z
01JDAHXQ0YERNTAZ2YQZ1BXMZR,01JDAHN1PDS2QGCVFBMQ6D7B4G,2024-11-22T18:25:06.078435073Z,01JDAHN1Q5BEENCKDRE4AZ47MR,2024-11-22T18:25:06.078435073Z,01JDAHQZX2Y8G2PE9Q94ES1SCS,2024-11-22T18:25:06.078435073Z
01JDAJ1V29Y7JVA2DN4ZTKTKMM,01JDAHVQ623BWMFK087YFQW2C9,2024-11-22T18:27:21.289133766Z,01JDAHVQ6M98P9DHBPDWAV5C8H,2024-11-22T18:27:21.289133766Z,01JDAHQJBYT69TZFM605CE8BQC,2024-11-22T18:27:21.289133766Z
01JDAJKE8312P7VZDF6EH97EZC,01JDAHZ6J8BKEXAJ5V79BGNHBG,2024-11-22T18:36:57.987936368Z,01JDAHZ6K6FTEKW298M54A4G2M,2024-11-22T18:36:57.987936368Z,01JDAJC57ZCJH98WSM835G3198,2024-11-22T18:36:57.987936368Z
01JDARD6XEC4K66GY5QVDD5TW3,01JDAPW2C00ZF3AQXAVKX8TVSF,2024-11-22T20:18:25.326212808Z,01JDAPW74HW72837H4YJGX4W4C,2024-11-22T20:18:25.326212808Z,01JDARD012Y45759VM0HC32PTH,2024-11-22T20:18:25.326212808Z
01JDASGY7XB9N11XT3Q5GP3SD4,01JDARZKMM0F4AF2HDN325T8KK,2024-11-22T20:37:56.093672439Z,01JDARZT45HWB1EH88QFRKY224,2024-11-22T20:37:56.093672439Z,01JDARWHFC63Y80C561VPV62X4,2024-11-22T20:37:56.093672439Z
01JDAJKE7G5YPQKFK1RYXEARR4,01JDAHZ6J8BKEXAJ5V79BGNHBG,2024-11-22T18:36:57.968576297Z,01JDAHZ6K6FTEKW298M54A4G2M,2024-11-22T18:36:57.968576297Z,01JDAJAV4KKXSWP088FZRFT81M,2024-11-22T18:36:57.968576297Z
01JDAS8ZHTNAPFNKK1Q33XQCXF,01JDAPVNQ96GFRAX00Y5BBB6G7,2024-11-22T20:33:35.290520019Z,01JDAPVPB3M90NNTGBHNKCMB2M,2024-11-22T20:33:35.290520019Z,01JDARWN2SCHZZREKDPEA53YX6,2024-11-22T20:33:35.290520019Z
01JDAT02TAXXQP9K5VN2S11YBY,01JDAPVKN7Q57Q9RZTTAAS0G0G,2024-11-22T20:46:12.298253147Z,01JDAPVMMAB3A1KAN5X85F5YDM,2024-11-22T20:46:12.298253147Z,01JDASN9DMBV2WCKZVJ4RDKFXQ,2024-11-22T20:46:12.298253147Z
01JDAP2JHQ9SJFH066AB68MVZD,01JDAMQCQVMG0HYAH2M9HPP6J4,2024-11-22T19:37:39.63927301Z,01JDAMQCW6X37SCNZDXN7RRQHK,2024-11-22T19:37:39.63927301Z,01JDANVHN97V24BV78PK0VJ8ME,2024-11-22T19:37:39.63927301Z
01JDAPV3RXEWCH81NRTZ20SPMH,01JDAP5V7PX29F939R911J2077,2024-11-22T19:51:03.709239919Z,01JDAP5VRRRD5902VYXV8NFPS5,2024-11-22T19:51:03.709239919Z,01JDAPJSN96ZWZ8AN7YN5MQG9C,2024-11-22T19:51:03.709239919Z
01JDASV0YS174RRSEB7QRJR6VY,01JDARZHR1FDN7X9XN89QR9BYF,2024-11-22T20:43:26.554039419Z,01JDARZMCFXKGVM7X7E9MZHG13,2024-11-22T20:43:26.554039419Z,01JDASMNDS2TBAPAD4ENN770TF,2024-11-22T20:43:26.554039419Z
01JDAT3SSV281DM3N3VF3HK275,01JDASW23HVHK0B67WVQS4ZJ2M,2024-11-22T20:48:14.139671451Z,01JDASXE2GXDXPWGXTRF4XMGDD,2024-11-22T20:48:14.139671451Z,01JDASPBXT963AGTS8FYBHVKRR,2024-11-22T20:48:14.139671451Z
01JDAHBRXR3Z3SSM6BSQAP64M3,01JDAH5DCP9PY7QX63WRAQ1BS4,2024-11-22T18:15:18.200355799Z,01JDAH5DD3QWFSNPG2H8QN0FY6,2024-11-22T18:15:18.200355799Z,01JDAH5PJZB7314AXT7ZYG6TVA,2024-11-22T18:15:18.200355799Z
01JDAJTVW9SKV6S71NCX6SYSJA,01JDAJJTW6N9J7DB811B3D36CW,2024-11-22T18:41:01.321134959Z,01JDAJJTX691FFKCZWBA3V6B2N,2024-11-22T18:41:01.321134959Z,01JDAHXSASH0VDTVHZN0AJGFTX,2024-11-22T18:41:01.321134959Z
01JDANBGVJHXWEWJJVFZ0HP033,01JDAMQRZXVX9RCF6DFWCTCRN8,2024-11-22T19:25:04.24208664Z,01JDAMQS4NCHSKFC6KW9PTHDNJ,2024-11-22T19:25:04.24208664Z,01JDAMYY4GR80M458WWC7QH4NZ,2024-11-22T19:25:04.24208664Z
01JDANY3T7V5PJQCYGQXWN0705,01JDAMQDEVZSS71ZK7M5AJQW28,2024-11-22T19:35:13.4800309Z,01JDAMQDJG31QKNENKZ1K142AH,2024-11-22T19:35:13.4800309Z,01JDANMVZHK3N1HBYEYRHF728W,2024-11-22T19:35:13.4800309Z
01JDAHA71RYQGYH7STZ51EZ4HS,01JDAGYW5EE6YPK8A39YBN6XJ5,2024-11-22T18:14:27.129013114Z,01JDAGYW5RD795MHZXVKQZT9GJ,2024-11-22T18:14:27.129013114Z,01JDAH12F7XNRB1CW1Y0X18A4B,2024-11-22T18:14:27.129013114Z
01JDAHH7R0ZYEHWX2ZAB21A49V,01JDAHAG5MNBW1J9KNPHXKXD0A,2024-11-22T18:18:17.217053381Z,01JDAHAG5YMTBWKQE264AYH68A,2024-11-22T18:18:17.217053381Z,01JDAH5K1PHJJJQTMK2A5R5VTM,2024-11-22T18:18:17.217053381Z
01JDAMZXWAKWD2EH1DQNTFRM90,01JDAMQZAQMD2G3E8H3KKHV3Y6,2024-11-22T19:18:44.363021855Z,01JDAMQZH3YT6W22AXH917MMQT,2024-11-22T19:18:44.363021855Z,01JDAMJEDTDEFB201AA7T3NMP4,2024-11-22T19:18:44.363021855Z
01JDAHBRXAT1J3SWYWRWXMP0BH,01JDAH5DCP9PY7QX63WRAQ1BS4,2024-11-22T18:15:18.18701649Z,01JDAH5DD3QWFSNPG2H8QN0FY6,2024-11-22T18:15:18.18701649Z,01JDAGSHES43NWAY8S8X5N6QGG,2024-11-22T18:15:18.18701649Z
01JDAMEJ0MVXPYHECSD4TJ19RE,01JDAM2TSJ10JQWQGTW3340Q7R,2024-11-22T19:09:15.156847247Z,01JDAM2TVAA9VXHJXH0KVEN359,2024-11-22T19:09:15.156847247Z,01JDAM9DC1JKY395NXSEFJ5S8E,2024-11-22T19:09:15.156847247Z
01JDAPWNBV9GAJP2XGACJJHNPR,01JDAPHHFRWR86NEBBWY8VSKZZ,2024-11-22T19:51:54.491349488Z,01JDAPHHTR2MRNW3QENE4CSRRD,2024-11-22T19:51:54.491349488Z,01JDAPM1VPFBMPD86EZ34NKBEX,2024-11-22T19:51:54.491349488Z
01JDAT3VKFAHB6XKY57GZPD4TP,01JDASW23HVHK0B67WVQS4ZJ2M,2024-11-22T20:48:15.983077184Z,01JDASXE2GXDXPWGXTRF4XMGDD,2024-11-22T20:48:15.983077184Z,01JDAT3QEATJ4RWV11YJ6ZWJYG,2024-11-22T20:48:15.983077184Z
01JDAPV3GDT8T8BQFZZ5KPEFTM,01JDAP5V7PX29F939R911J2077,2024-11-22T19:51:03.437700794Z,01JDAP5VRRRD5902VYXV8NFPS5,2024-11-22T19:51:03.437700794Z,01JDAPJ8F5XPQKNVRK5K4Z05Q0,2024-11-22T19:51:03.437700794Z
01JDAQWFS8STVSHHTGJ9GTMG9B,01JDAPW7VSKCEQ2747GHF3FFRJ,2024-11-22T20:09:17.35270652Z,01JDAPWFB9W2TB9441SQGF3CRX,2024-11-22T20:09:17.35270652Z,01JDAQM0YJJ0G5WBS55EXW18TW,2024-11-22T20:09:17.35270652Z
01JDARH1F015CXY5W1JGX74AB2,01JDAPW4CD5A08H6QZB7ERWYJQ,2024-11-22T20:20:30.81651714Z,01JDAPW86BAAKNNS68C5H9WA5C,2024-11-22T20:20:30.81651714Z,01JDAR3223D06RAQ4ASJT8ZXWJ,2024-11-22T20:20:30.81651714Z
01JDASV0KBYGC5HNQAW48T5Q1G,01JDARZHR1FDN7X9XN89QR9BYF,2024-11-22T20:43:26.187953084Z,01JDARZMCFXKGVM7X7E9MZHG13,2024-11-22T20:43:26.187953084Z,01JDASM85NDEWT5EJRAZRQPGTA,2024-11-22T20:43:26.187953084Z
01JDAG94GW3BSJKM48HS8VM448,01JDAFKRJCN5QH00Q2J0B42YY7,2024-11-22T17:56:23.196255028Z,01JDAFKRJNMRCJ0QEVF3ZPSZ62,2024-11-22T17:56:23.196255028Z,01JDAFX33HFRGF35TMQ6GAMTAB,2024-11-22T17:56:23.196255028Z
01JDAHQ59DQ42SFAF5AG9XZDXW,01JDAH5A0FE7G23H405ZVZPHMD,2024-11-22T18:21:31.309294884Z,01JDAH5A0VH4DCFKBW10NC5NN5,2024-11-22T18:21:31.309294884Z,01JDAHDR0AXAPVXBBKVCGYVCQK,2024-11-22T18:21:31.309294884Z
01JDAJRJED4SWZPSPBGQTGPM1E,01JDAJJVHVAY8ZJGA5PXHCZ8CR,2024-11-22T18:39:46.125861808Z,01JDAJJVKRFYKPM7DGKJ6NX2SA,2024-11-22T18:39:46.125861808Z,01JDAJ11C66AKHXH9VTERTVDF9,2024-11-22T18:39:46.125861808Z
01JDANWV9YMJ1P61YPT3TFJFC5,01JDAMQE5W6DNQ1EDAZA8JMW0C,2024-11-22T19:34:31.998736038Z,01JDAMQEB3CE0Y9VEAS46P87JH,2024-11-22T19:34:31.998736038Z,01JDANMP5AS1A49AHZEX5GJT2Y,2024-11-22T19:34:31.998736038Z
01JDAT03GNFQ6GBVKA9P5GWDDG,01JDAPVKN7Q57Q9RZTTAAS0G0G,2024-11-22T20:46:13.013654413Z,01JDAPVMMAB3A1KAN5X85F5YDM,2024-11-22T20:46:13.013654413Z,01JDASS920MKYHMJGYN5S1YVMF,2024-11-22T20:46:13.013654413Z
01JDAT3TJYX1SQTBFAM1Q8QBME,01JDASW23HVHK0B67WVQS4ZJ2M,2024-11-22T20:48:14.943022235Z,01JDASXE2GXDXPWGXTRF4XMGDD,2024-11-22T20:48:14.943022235Z,01JDASQTZ79S5KYPK45R7VSECQ,2024-11-22T20:48:14.943022235Z
01JDAN4QMRG6YS7SCV6FFXDTCQ,01JDAMQX9C38CX4CXHPVXWJ3YS,2024-11-22T19:21:21.816980958Z,01JDAMQXG805TB9HT84N1ZC27X,2024-11-22T19:21:21.816980958Z,01JDAMD3ZSH3Z2WG1RRA838RPP,2024-11-22T19:21:21.816980958Z
01JDANTW2SY5GENFFC6BA49PMX,01JDAMQF3GAX1XYH5CTYNYQPG0,2024-11-22T19:33:27.257468904Z,01JDAMQF616EH4495AMCF7JPEJ,2024-11-22T19:33:27.257468904Z,01JDAN7XH5DM1PSZ787NK0J9K8,2024-11-22T19:33:27.257468904Z
01JDAQPD1HQ4BHVM02P58Q8AV6,01JDAPW8218Y4505BYTKE3XE68,2024-11-22T20:05:57.937361123Z,01JDAPWGMYWK5Z6AM73WZYNM09,2024-11-22T20:05:57.937361123Z,01JDAQCR9FEN6W0VEBC1MWGA7V,2024-11-22T20:05:57.937361123Z
01JDARMVCC7NYGA3PEMDWP0VV1,01JDAPW24TQP4CMPXGVAWX0S7G,2024-11-22T20:22:35.660664864Z,01JDAPW3GT91PK3YCKS5KNY6R5,2024-11-22T20:22:35.660664864Z,01JDAQB022VQW7FZMPEF6CKS4P,2024-11-22T20:22:35.660664864Z
01JDAHH7Q3TP586MHY7AH8HA0C,01JDAHAG5MNBW1J9KNPHXKXD0A,2024-11-22T18:18:17.187214798Z,01JDAHAG5YMTBWKQE264AYH68A,2024-11-22T18:18:17.187214798Z,01JDAGVD87CSB5N0HBFSPMYFE9,2024-11-22T18:18:17.187214798Z
