"","gameID","roundID","playerID","guess","confidence","idx","treatmentName","nSquirrels","nRabbits","nRabbitsGame","nSquirrelsGame","mleEstimateIndiv","mleEstimateGame"
"1","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3CZABCDADDQ8C6T661C","01HVSDCK79AC5R26CR9ZT9WRC0",80,34,1,"rerun-interactive- 0.7",0,2,2,0,100,100
"2","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D1AW60E0GWZ0NZ7MD2","01HVSD7680PC7Q6NKVJ6MGHZQ3",64,32,2,"rerun-interactive- 0.7",1,3,5,1,75,83
"3","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D1AW60E0GWZ0NZ7MD2","01HVSDCK79AC5R26CR9ZT9WRC0",69,15,2,"rerun-interactive- 0.7",0,2,5,1,100,83
"4","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D2QCPB0ESWSE9K4GNS","01HVSD7680PC7Q6NKVJ6MGHZQ3",70,32,3,"rerun-interactive- 0.7",1,3,5,1,75,83
"5","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D2QCPB0ESWSE9K4GNS","01HVSDCK79AC5R26CR9ZT9WRC0",78,26,3,"rerun-interactive- 0.7",0,2,5,1,100,83
"6","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D1AW60E0GWZP0MSKWK","01HVSD7680PC7Q6NKVJ6MGHZQ3",80,48,4,"rerun-interactive- 0.7",1,3,5,1,75,83
"7","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D1AW60E0GWZP0MSKWK","01HVSDCK79AC5R26CR9ZT9WRC0",70,7,4,"rerun-interactive- 0.7",0,2,5,1,100,83
"8","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D3Z7NW9SETPMEXQTF2","01HVSD7680PC7Q6NKVJ6MGHZQ3",76,26,5,"rerun-interactive- 0.7",1,3,5,1,75,83
"9","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D3Z7NW9SETPMEXQTF2","01HVSDCK79AC5R26CR9ZT9WRC0",81,17,5,"rerun-interactive- 0.7",0,2,5,1,100,83
"10","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D4H6MFNJ6YXF6W6MH5","01HVSD7680PC7Q6NKVJ6MGHZQ3",81,18,6,"rerun-interactive- 0.7",1,3,5,1,75,83
"11","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D4H6MFNJ6YXF6W6MH5","01HVSDCK79AC5R26CR9ZT9WRC0",80,15,6,"rerun-interactive- 0.7",0,2,5,1,100,83
"12","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D2QCPB0ESWT1BJ2F4F","01HVSD7680PC7Q6NKVJ6MGHZQ3",77,27,7,"rerun-interactive- 0.7",1,3,5,1,75,83
"13","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D2QCPB0ESWT1BJ2F4F","01HVSDCK79AC5R26CR9ZT9WRC0",84,26,7,"rerun-interactive- 0.7",0,2,5,1,100,83
"14","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3E0XZVRZGE5M2HD9NK4","01HVSDKEHMX241F6H4A3Z8ZNP0",47,52,1,"rerun-interactive- 0.7",1,2,10,4,66,71
"15","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3E0XZVRZGE5M2HD9NK4","01HVSDM8QJWTK1B65EJ65RC5DQ",52,75,1,"rerun-interactive- 0.7",3,4,10,4,57,71
"16","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3E0XZVRZGE5M2HD9NK4","01HVSDQ0E9XG5MH8GFPCDDR9X3",100,100,1,"rerun-interactive- 0.7",0,4,10,4,100,71
"17","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D4H6MFNJ6YXYY8YD2M","01HVSD7680PC7Q6NKVJ6MGHZQ3",79,33,8,"rerun-interactive- 0.7",1,3,5,1,75,83
"18","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D4H6MFNJ6YXYY8YD2M","01HVSDCK79AC5R26CR9ZT9WRC0",85,19,8,"rerun-interactive- 0.7",0,2,5,1,100,83
"19","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3ECYQMQMBXEG9F41ZMK","01HVSDKEHMX241F6H4A3Z8ZNP0",65,53,2,"rerun-interactive- 0.7",1,2,10,6,66,62
"20","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3ECYQMQMBXEG9F41ZMK","01HVSDM8QJWTK1B65EJ65RC5DQ",67,61,2,"rerun-interactive- 0.7",3,4,10,6,57,62
"21","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3ECYQMQMBXEG9F41ZMK","01HVSDPQT926CK0A27CZV7MJ4F",80,71,2,"rerun-interactive- 0.7",2,4,10,6,66,62
"22","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D5F7ZQKTPV1BJ8529R","01HVSD7680PC7Q6NKVJ6MGHZQ3",77,19,9,"rerun-interactive- 0.7",1,3,5,1,75,83
"23","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D5F7ZQKTPV1BJ8529R","01HVSDCK79AC5R26CR9ZT9WRC0",87,11,9,"rerun-interactive- 0.7",0,2,5,1,100,83
"24","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D5F7ZQKTPV1Z6R1PVC","01HVSD7680PC7Q6NKVJ6MGHZQ3",84,49,10,"rerun-interactive- 0.7",1,3,5,1,75,83
"25","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D5F7ZQKTPV1Z6R1PVC","01HVSDCK79AC5R26CR9ZT9WRC0",85,16,10,"rerun-interactive- 0.7",0,2,5,1,100,83
"26","01HVSD1HA81VSVEDXZXR1M6Z4F","01HVSDZMH9ZXY6QDJ63C4EKE6S","01HVSDMV8ZN0NAMRWHYAFEM60X",71,62,1,"rerun-interactive- 0.7",1,3,7,5,75,58
"27","01HVSD1HA81VSVEDXZXR1M6Z4F","01HVSDZMH9ZXY6QDJ63C4EKE6S","01HVSDSX7G9BEGN7CT2DKFMYSK",78,33,1,"rerun-interactive- 0.7",2,4,7,5,66,58
"28","01HVSD1HA81VSVEDXZXR1M6Z4F","01HVSDZMH9ZXY6QDJ63C4EKE6S","01HVSDVK361E2YH7FTXDKHC2W7",75,46,1,"rerun-interactive- 0.7",2,0,7,5,0,58
"29","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3EBMD5DH7KVG7NYT29K","01HVSDKEHMX241F6H4A3Z8ZNP0",49,54,3,"rerun-interactive- 0.7",1,2,10,4,66,71
"30","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3EBMD5DH7KVG7NYT29K","01HVSDM8QJWTK1B65EJ65RC5DQ",42,25,3,"rerun-interactive- 0.7",3,4,10,4,57,71
"31","01HVSD1G7FR47EZYB36FVXPS0J","01HVSDW3EBMD5DH7KVG7NYT29K","01HVSDQ0E9XG5MH8GFPCDDR9X3",69,69,3,"rerun-interactive- 0.7",0,4,10,4,100,71
"32","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D3Z7NW9SETP6R9XZ61","01HVSD7680PC7Q6NKVJ6MGHZQ3",71,29,11,"rerun-interactive- 0.7",1,3,5,1,75,83
"33","01HVSCMV2H420GY45RAV9YF2YE","01HVSDK3D3Z7NW9SETP6R9XZ61","01HVSDCK79AC5R26CR9ZT9WRC0",86,13,11,"rerun-interactive- 0.7",0,2,5,1,100,83
"34","01HVSD1J1Q1BKW919ST5G6J03S","01HVSE0Q2XGX9NP639P8BJSHAY","01HVSDSAQ4RCYAPKHE0NZZW4BB",100,100,1,"rerun-interactive- 0.7",0,2,10,4,100,71
