id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HVSDK43KXEY3QFXDFQZJXR0T,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.371247121Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:15:28.371247121Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.371247121Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.371247121Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.371247121Z,,,,,,
01HVSDK43QQ8DZ7PEP7MBK8CWJ,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.375545077Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:15:28.375545077Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.375545077Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.375545077Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.375545077Z,,,,,,
01HVSDK43WC23N8VJGCQ6RY0ZW,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.380216027Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:15:28.380216027Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.380216027Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.380216027Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.380216027Z,,,,,,
01HVSDK440Z0TW981TBSB3Y0DQ,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.384996772Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:15:28.384996772Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.384996772Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.384996772Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.384996772Z,,,,,,
01HVSDK445VN9BHG331EC73AG9,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.389549547Z,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:15:28.389549547Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.389549547Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.389549547Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.389549547Z,,,,,,
01HVSDK44BB5ETCYDB2EDYQGKP,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.395427906Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:15:28.395427906Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.395427906Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.395427906Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.395427906Z,,,,,,
01HVSDK44GD4493EK1ZGGD8K7R,01HVSDK3PP4A096QJFYNSB3QSP,2024-04-18T20:15:28.400058309Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:15:28.400058309Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:28.400058309Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:28.400058309Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:28.400058309Z,,,,,,
01HVSDM1FMGYZNXDXW9ZWKKFNW,01HVSDK3PQR2Z2135FFPNS2A2D,2024-04-18T20:15:58.452302804Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:15:58.452302804Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:58.452302804Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:58.452302804Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:58.452302804Z,,,,,,
01HVSDM1FS03S7A7ZMBJFKSQ9N,01HVSDK3PQR2Z2135FFPNS2A2D,2024-04-18T20:15:58.457124611Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:15:58.457124611Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:58.457124611Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:58.457124611Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:58.457124611Z,,,,,,
01HVSDM1FYG9FQAMY4HY1GPCP0,01HVSDK3PQR2Z2135FFPNS2A2D,2024-04-18T20:15:58.462060165Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:15:58.462060165Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:58.462060165Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:58.462060165Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:58.462060165Z,true,2024-04-18T20:16:13.673590722Z,34,2024-04-18T20:16:13.674405792Z,80,2024-04-18T20:16:13.675167211Z
