id,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt
01HWDZ9H7KE19NGFVX9P5YHM2B,true,2024-04-26T19:49:37.161948812Z,all games finished,2024-04-26T20:00:18.702510283Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:49:37.139805222Z,ended,2024-04-26T20:00:18.702510283Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:49:37.139805222Z
01HWDZAKQRJY6V2VBKWA1ATQB7,true,2024-04-26T19:50:12.487179203Z,all games finished,2024-04-26T20:24:10.171586918Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:12.472794482Z,ended,2024-04-26T20:24:10.171586918Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:12.472794482Z
01HWDZANW2GG5HC8HFX8JCB2RX,true,2024-04-26T19:50:14.673229443Z,all games finished,2024-04-26T20:23:39.072005311Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:14.658503052Z,ended,2024-04-26T20:23:39.072005311Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:14.658503052Z
01HWDZAQSPSVCYRGXJWZRG3KGC,true,2024-04-26T19:50:16.649797201Z,all games finished,2024-04-26T20:20:10.19570435Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:16.630783829Z,ended,2024-04-26T20:20:10.19570435Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:16.630783829Z
01HWDZAS7MCQEA0CKR1E1TJJF3,true,2024-04-26T19:50:18.115347813Z,all games finished,2024-04-26T20:19:11.992139975Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:18.100944396Z,ended,2024-04-26T20:19:11.992139975Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:18.100944396Z
01HWDZATBJ8CKJ630H0EJHNC03,true,2024-04-26T19:50:19.261963654Z,all games finished,2024-04-26T20:16:47.622439772Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:19.250968354Z,ended,2024-04-26T20:16:47.622439772Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:19.250968354Z
01HWDZAVK2HHH7A9FE120SJX4Q,true,2024-04-26T19:50:20.527042534Z,all games finished,2024-04-26T20:15:40.417672508Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:20.5143613Z,ended,2024-04-26T20:15:40.417672508Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:20.5143613Z
01HWDZBVZ099EF56E7PA1463T5,true,2024-04-26T19:50:53.677164241Z,all games finished,2024-04-26T20:01:16.756909491Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T19:50:53.664494271Z,ended,2024-04-26T20:01:16.756909491Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T19:50:53.664494271Z
01HWE0BV2VC50K6H9AN3BHDNMA,true,2024-04-26T20:08:21.355327019Z,all games finished,2024-04-26T20:24:08.951664032Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T20:08:21.339740779Z,ended,2024-04-26T20:24:08.951664032Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T20:08:21.339740779Z
01HWE0MQH54ZGXTRRKH4601HBA,true,2024-04-26T20:13:12.632112654Z,all games finished,2024-04-26T20:19:08.797585804Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T20:13:12.613591823Z,ended,2024-04-26T20:19:08.797585804Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-26T20:13:12.613591823Z
