id,participantIdentifier,participantIdentifierLastChangedAt,gameID,gameIDLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,ended,endedLastChangedAt,participantID,participantIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,exitStep,exitStepLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,exitSurvey,exitSurveyLastChangedAt,emojiArray,emojiArrayLastChangedAt
01HWDZAQ8AQAPHGCV51W7K5GQC,5a9d3dea4eecca0001dd9486,2024-04-26T19:50:16.074278299Z,,2024-04-26T19:56:37.794629938Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:50:16.383123414Z,no more games,2024-04-26T20:13:22.552688085Z,01HWDZAPNZW6M31ZDRQF5FF7R0,2024-04-26T19:50:16.074278299Z,,,,,,,,,,,,,,
01HWDZBW01J75DGAGYH6GJ4CPF,60a3c7ecc3ca164f912804dc,2024-04-26T19:50:53.697936146Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:50:53.709703928Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:50:53.709703928Z,rerun-slider- 0.7,2024-04-26T19:50:53.709703928Z,{},2024-04-26T19:50:53.884351479Z,game ended,2024-04-26T20:00:18.702510283Z,01HWDZBVMZ3PK1N0QDNKNQJQ5V,2024-04-26T19:50:53.697936146Z,3,2024-04-26T19:53:21.225207208Z,true,2024-04-26T19:53:28.830691166Z,1,2024-04-26T20:02:35.483690737Z,player 1,2024-04-26T19:55:18.197924092Z,01HWDZC5946R9JV817EMBY35NT,2024-04-26T20:00:06.951260432Z,"{""age"":""73"",""gender"":""lfemale"",""strength"":""I didn't feel confident, but most of the other players seemed to see a percentage similar to what I was seeing."",""fair"":""yes"",""feedback"":""it was a little confusing but interesting"",""education"":""bachelor"",""teammates"":""I have no idea. The seemed to be sincere."",""notes"":""only mentally"",""politics"":""liberal"",""geo"":""USA"",""ethnicity"":""white European""}",2024-04-26T20:02:35.485021114Z,"[""🐇"",""🐿️"",""🐇"",""                                   ""]",2024-04-26T19:55:18.197924092Z
01HWDZC5946R9JV817EMBY35NT,64062adf46ccf49e75bcf926,2024-04-26T19:51:03.204338363Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:51:03.216235651Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:51:03.216235651Z,rerun-slider- 0.7,2024-04-26T19:51:03.216235651Z,{},2024-04-26T19:51:03.514826364Z,game ended,2024-04-26T20:00:18.702510283Z,01HWDZC4PBPFWQSW60C0HKE26H,2024-04-26T19:51:03.204338363Z,3,2024-04-26T19:53:37.294282543Z,true,2024-04-26T19:54:13.56099604Z,1,2024-04-26T20:00:26.904188888Z,player 2,2024-04-26T19:55:18.197924092Z,01HWDZD5717ANBQ8GTPF071NQ4,2024-04-26T20:00:06.951260432Z,"{""age"":""37"",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":"""",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-26T20:00:26.90255466Z,"[""🐇"",""🐇"",""🐇"",""🐿️"",""                                   "",""🐇""]",2024-04-26T19:55:18.197924092Z
01HWDZD5717ANBQ8GTPF071NQ4,654bacb9465eb379fb5b7f3f,2024-04-26T19:51:35.906015629Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:51:35.918985362Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:51:35.918985362Z,rerun-slider- 0.7,2024-04-26T19:51:35.918985362Z,{},2024-04-26T19:51:36.204233376Z,game ended,2024-04-26T20:00:18.702510283Z,01HWDZD4N623KKMA881R3J9GS8,2024-04-26T19:51:35.906015629Z,3,2024-04-26T19:52:27.234354488Z,true,2024-04-26T19:52:37.411080736Z,1,2024-04-26T20:00:48.572687807Z,player 3,2024-04-26T19:55:18.197924092Z,01HWDZGWJ75208CDQJF4S4MG63,2024-04-26T20:00:06.951260432Z,"{""age"":""35"",""gender"":""Female"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""bachelor"",""teammates"":""No"",""notes"":""No"",""politics"":""Left"",""geo"":""UK"",""ethnicity"":""Caucasian""}",2024-04-26T20:00:48.571335718Z,"[""🐇"",""🐇"",""🐇"",""🐿️"",""🐇"",""                                   "",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-26T19:55:18.197924092Z
01HWDZFE63S2B40MQFVM96F61W,65cf6cf9ef3197c22e39ffb0,2024-04-26T19:52:50.627739284Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:55:18.110174602Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:52:50.977737866Z,game ended,2024-04-26T20:01:16.756909491Z,01HWDZFDDZNPVTGFRAW8W9PQZP,2024-04-26T19:52:50.627739284Z,3,2024-04-26T19:55:39.144020929Z,true,2024-04-26T19:55:57.721837044Z,1,2024-04-26T20:02:44.548909514Z,player 1,2024-04-26T19:56:37.864735612Z,01HWDZG8MA8Z3VJRX0Q4B2RED9,2024-04-26T20:00:56.96158569Z,"{""age"":""62"",""gender"":""F"",""strength"":""Good"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Not sure"",""notes"":""No"",""politics"":""Left"",""geo"":""UK"",""ethnicity"":""White""}",2024-04-26T20:02:44.541076805Z,"[""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""                                   "",""🐇""]",2024-04-26T19:56:37.864735612Z
01HWDZFRSE8M5SN5R0E0CQC639,5dd3eb9a0f8d513d6c589024,2024-04-26T19:53:01.486362998Z,,2024-04-26T19:56:37.794629938Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:53:01.684287661Z,no more games,2024-04-26T20:13:22.552688085Z,01HWDZFRCS2KG9M95TDE2PJBKB,2024-04-26T19:53:01.486362998Z,,,,,,,,,,,,,,
01HWDZG8MA8Z3VJRX0Q4B2RED9,5e1feef63e3358314e1f5154,2024-04-26T19:53:17.706951009Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:55:18.110174602Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:53:17.929300078Z,game ended,2024-04-26T20:01:16.756909491Z,01HWDZG85XRJE4N0SN77M9HYTZ,2024-04-26T19:53:17.706951009Z,3,2024-04-26T19:55:03.925386915Z,true,2024-04-26T19:55:24.17740404Z,1,2024-04-26T20:03:40.461377876Z,player 2,2024-04-26T19:56:37.864735612Z,01HWDZHMA73CJ89SAWNYF2TN45,2024-04-26T20:00:56.96158569Z,"{""age"":""40"",""gender"":""Male"",""strength"":""I am not sure how well I did."",""fair"":""Yes, the pay is fair."",""feedback"":""Thanks"",""education"":""bachelor"",""teammates"":""They seemed ok, there was no indication they were lying."",""notes"":""I tried to calculate an average of the responses."",""politics"":""Left of center"",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-26T20:03:40.454746027Z,"[""🐿️"",""                                   "",""🐇""]",2024-04-26T19:56:37.864735612Z
01HWDZGWJ75208CDQJF4S4MG63,5efbb75dc7a625169185e94f,2024-04-26T19:53:38.119776447Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:53:38.127932504Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:53:38.127932504Z,rerun-slider- 0.7,2024-04-26T19:53:38.127932504Z,{},2024-04-26T19:53:38.427342029Z,game ended,2024-04-26T20:00:18.702510283Z,01HWDZGVZWRV5SPH1KCWJ07M9R,2024-04-26T19:53:38.119776447Z,3,2024-04-26T19:55:09.190807427Z,true,2024-04-26T19:55:18.07587844Z,1,2024-04-26T20:01:37.758028193Z,player 4,2024-04-26T19:55:18.197924092Z,01HWDZBW01J75DGAGYH6GJ4CPF,2024-04-26T20:00:06.951260432Z,"{""age"":""23"",""gender"":""Female"",""strength"":""I didn't feel very strong"",""fair"":""Yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""I think so but I couldn't tell"",""notes"":""Ni"",""politics"":""Left"",""geo"":""United Kingdom"",""ethnicity"":""South east Asia""}",2024-04-26T20:01:37.759367298Z,"[""🐇"",""🐿️"",""                                   "",""🐿️""]",2024-04-26T19:55:18.197924092Z
01HWDZHG9TGQV3BA96SG4NDN5F,65c269507422fa745b4cc0a1,2024-04-26T19:53:58.330627946Z,,2024-04-26T19:56:37.794629938Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:53:58.657340995Z,no more games,2024-04-26T20:13:22.552688085Z,01HWDZHFPFRYC4G32KQ9NED86T,2024-04-26T19:53:58.330627946Z,3,2024-04-26T19:56:06.701378048Z,,,1,2024-04-26T19:57:39.972737216Z,,,,,"{""age"":""34"",""gender"":""FEMALE"",""strength"":""GOOD"",""fair"":""YES"",""feedback"":""NO"",""education"":""master"",""teammates"":""YES"",""notes"":""YES"",""politics"":"""",""geo"":""United Kingdom"",""ethnicity"":""LATIN""}",2024-04-26T19:57:39.952242039Z,,
01HWDZHMA73CJ89SAWNYF2TN45,60850f02822cdda28b5ecfcb,2024-04-26T19:54:02.439725643Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:55:18.110174602Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:54:02.569713457Z,game ended,2024-04-26T20:01:16.756909491Z,01HWDZHM289DQYND4ASQBG8TK4,2024-04-26T19:54:02.439725643Z,3,2024-04-26T19:55:52.589734106Z,true,2024-04-26T19:56:03.945700048Z,1,2024-04-26T20:02:26.09936127Z,player 3,2024-04-26T19:56:37.864735612Z,01HWDZJ0DK6HX04SY1P9J0ZWQN,2024-04-26T20:00:56.96158569Z,"{""age"":""31"",""gender"":""Female"",""strength"":""I think it was average"",""fair"":""It seemed fair"",""feedback"":"""",""education"":""bachelor"",""teammates"":""I'm not sure, not enough information to deduce a conclusion."",""notes"":""No, it seemed irrelevant as I only could see what was outside my window and did not contribute to my decision."",""politics"":""Liberal"",""geo"":""Canada"",""ethnicity"":""South Asian""}",2024-04-26T20:02:26.100492729Z,"[""🐇"",""🐇"",""🐇"",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""                                   ""]",2024-04-26T19:56:37.864735612Z
