id,started,startedLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,initialized,initializedLastChangedAt,duration,durationLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,timerID,timerIDLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HVSW0BFPV8TD2YN0SWDHJCFD,true,2024-04-19T00:31:42.053659631Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.974316965Z,01HVSW0BD8Z1C7K43MBTKMJRYF,2024-04-19T00:27:21.974316965Z,true,2024-04-19T00:31:42.045910195Z,30,2024-04-19T00:27:21.974316965Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.974316965Z,true,2024-04-19T00:31:42.026454891Z,true,2024-04-19T00:32:12.057902336Z,01HVSW0BE7M7QET8KCYC70PKJP,2024-04-19T00:27:21.974316965Z,send,2024-04-19T00:27:21.974316965Z,0,2024-04-19T00:27:21.974316965Z,,,,
01HVSW0BFPV8TD2YN0THBK52M7,true,2024-04-19T00:32:12.10076712Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.97459796Z,01HVSW0BD8Z1C7K43MBTKMJRYF,2024-04-19T00:27:21.97459796Z,true,2024-04-19T00:32:12.087493055Z,30,2024-04-19T00:27:21.97459796Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.97459796Z,true,2024-04-19T00:32:12.068064358Z,true,2024-04-19T00:32:31.988899161Z,01HVSW0BF3ZFM3C22V5CAWT36M,2024-04-19T00:27:21.97459796Z,observe,2024-04-19T00:27:21.97459796Z,1,2024-04-19T00:27:21.97459796Z,,,,
01HVSW0BFVX2FJFMJV81491VA7,true,2024-04-19T00:32:32.092593198Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.979203983Z,01HVSW0BD7ZSJW555MWHEH90YK,2024-04-19T00:27:21.979203983Z,true,2024-04-19T00:32:32.081254472Z,30,2024-04-19T00:27:21.979203983Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.979203983Z,true,2024-04-19T00:32:32.056881448Z,true,2024-04-19T00:33:02.098921772Z,01HVSW0BE8A4VB0M6A6PR9PKBF,2024-04-19T00:27:21.979203983Z,send,2024-04-19T00:27:21.979203983Z,0,2024-04-19T00:27:21.979203983Z,,,,
01HVSW0BFVX2FJFMJV8N8G1KMY,true,2024-04-19T00:33:02.155510505Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.979514328Z,01HVSW0BD7ZSJW555MWHEH90YK,2024-04-19T00:27:21.979514328Z,true,2024-04-19T00:33:02.144381811Z,30,2024-04-19T00:27:21.979514328Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.979514328Z,true,2024-04-19T00:33:02.116361612Z,true,2024-04-19T00:33:23.047979662Z,01HVSW0BF8NHBCYE7TGKH2AFC9,2024-04-19T00:27:21.979514328Z,observe,2024-04-19T00:27:21.979514328Z,1,2024-04-19T00:27:21.979514328Z,,,,
01HVSW0BFYTAVJB4NA8DFKW1FM,true,2024-04-19T00:30:56.946493625Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.982165915Z,01HVSW0BD8Z1C7K43MC9C2YE70,2024-04-19T00:27:21.982165915Z,true,2024-04-19T00:30:56.93614686Z,30,2024-04-19T00:27:21.982165915Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.982165915Z,true,2024-04-19T00:30:56.914744321Z,true,2024-04-19T00:31:26.947649796Z,01HVSW0BEC83101DFJZ5D7D11M,2024-04-19T00:27:21.982165915Z,send,2024-04-19T00:27:21.982165915Z,0,2024-04-19T00:27:21.982165915Z,,,,
01HVSW0BFYTAVJB4NA91RNQKJG,true,2024-04-19T00:31:27.003509036Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:21.982464182Z,01HVSW0BD8Z1C7K43MC9C2YE70,2024-04-19T00:27:21.982464182Z,true,2024-04-19T00:31:26.990027525Z,30,2024-04-19T00:27:21.982464182Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:21.982464182Z,true,2024-04-19T00:31:26.963003605Z,true,2024-04-19T00:31:41.966292463Z,01HVSW0BFAGQTKPB5YS5PJBSHM,2024-04-19T00:27:21.982464182Z,observe,2024-04-19T00:27:21.982464182Z,1,2024-04-19T00:27:21.982464182Z,,,,
01HVSW0BJXQB41TXRADERXGV65,true,2024-04-19T00:34:17.984750716Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.077838335Z,01HVSW0BD8Z1C7K43MB4W9M0W0,2024-04-19T00:27:22.077838335Z,true,2024-04-19T00:34:17.964692604Z,30,2024-04-19T00:27:22.077838335Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.077838335Z,true,2024-04-19T00:34:17.922688229Z,true,2024-04-19T00:34:47.988753365Z,01HVSW0BFZKFVVZXHR67CTY634,2024-04-19T00:27:22.077838335Z,send,2024-04-19T00:27:22.077838335Z,0,2024-04-19T00:27:22.077838335Z,,,,
01HVSW0BJYGRF156GAR7GFPZFQ,true,2024-04-19T00:34:48.05597237Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.078290542Z,01HVSW0BD8Z1C7K43MB4W9M0W0,2024-04-19T00:27:22.078290542Z,true,2024-04-19T00:34:48.040945084Z,30,2024-04-19T00:27:22.078290542Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.078290542Z,true,2024-04-19T00:34:48.004375722Z,true,2024-04-19T00:35:08.024802103Z,01HVSW0BGC8DNRPFWDD93ETBXD,2024-04-19T00:27:22.078290542Z,observe,2024-04-19T00:27:22.078290542Z,1,2024-04-19T00:27:22.078290542Z,,,,
01HVSW0BK0K059KDN2MP0YMKGR,true,2024-04-19T00:33:23.168502145Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.080781778Z,01HVSW0BD9AWC1K6Z6NEJJD2CN,2024-04-19T00:27:22.080781778Z,true,2024-04-19T00:33:23.152468095Z,30,2024-04-19T00:27:22.080781778Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.080781778Z,true,2024-04-19T00:33:23.118258452Z,true,2024-04-19T00:33:53.173698259Z,01HVSW0BG08CF5A9XQAQ0CM0VJ,2024-04-19T00:27:22.080781778Z,send,2024-04-19T00:27:22.080781778Z,0,2024-04-19T00:27:22.080781778Z,,,,
01HVSW0BK12ABCSVGJBQ2131K4,true,2024-04-19T00:33:53.236635603Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.08123619Z,01HVSW0BD9AWC1K6Z6NEJJD2CN,2024-04-19T00:27:22.08123619Z,true,2024-04-19T00:33:53.221033204Z,30,2024-04-19T00:27:22.08123619Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.08123619Z,true,2024-04-19T00:33:53.185808255Z,true,2024-04-19T00:34:17.831778376Z,01HVSW0BGFH3G5QZ70WRE999ZC,2024-04-19T00:27:22.08123619Z,observe,2024-04-19T00:27:22.08123619Z,1,2024-04-19T00:27:22.08123619Z,,,,
01HVSW0BKD4CYPKF648SQ7JBSW,true,2024-04-19T00:35:08.156261827Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.093787998Z,01HVSW0BD9AWC1K6Z6NXP75FFW,2024-04-19T00:27:22.093787998Z,true,2024-04-19T00:35:08.141006336Z,30,2024-04-19T00:27:22.093787998Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.093787998Z,true,2024-04-19T00:35:08.097886274Z,true,2024-04-19T00:35:38.159676474Z,01HVSW0BG08CF5A9XQAX0CSNEW,2024-04-19T00:27:22.093787998Z,send,2024-04-19T00:27:22.093787998Z,0,2024-04-19T00:27:22.093787998Z,,,,
01HVSW0BKEFWES13G2QTF5PYM1,true,2024-04-19T00:35:38.208258426Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.094057203Z,01HVSW0BD9AWC1K6Z6NXP75FFW,2024-04-19T00:27:22.094057203Z,true,2024-04-19T00:35:38.196033569Z,30,2024-04-19T00:27:22.094057203Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.094057203Z,true,2024-04-19T00:35:38.170164854Z,true,2024-04-19T00:35:51.978314349Z,01HVSW0BGJ2A6JKYXDP7STGZWN,2024-04-19T00:27:22.094057203Z,observe,2024-04-19T00:27:22.094057203Z,1,2024-04-19T00:27:22.094057203Z,,,,
01HVSW0BKPM7QGFBWVHSPDPY1M,true,2024-04-19T00:35:52.069158267Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.102421177Z,01HVSW0BDAEKKNKJQ1YE3HDMXT,2024-04-19T00:27:22.102421177Z,true,2024-04-19T00:35:52.058491775Z,30,2024-04-19T00:27:22.102421177Z,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.102421177Z,true,2024-04-19T00:35:52.035984395Z,true,2024-04-19T00:36:22.073144955Z,01HVSW0BG08CF5A9XQASZD2VXQ,2024-04-19T00:27:22.102421177Z,send,2024-04-19T00:27:22.102421177Z,0,2024-04-19T00:27:22.102421177Z,,,,
