id,gameID,gameIDLastChangedAt,urlParams,urlParamsLastChangedAt,intro,introLastChangedAt,name,nameLastChangedAt,participantID,participantIDLastChangedAt,ended,endedLastChangedAt,introDone,introDoneLastChangedAt,recipient,recipientLastChangedAt,exitSurvey,exitSurveyLastChangedAt,treatment,treatmentLastChangedAt,exitStep,exitStepLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,treatmentName,treatmentNameLastChangedAt,emojiArray,emojiArrayLastChangedAt
01HW3C78P6PB8ZCR3G55511GKP,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:03:55.599354687Z,{},2024-04-22T17:03:55.755112624Z,4,2024-04-22T17:06:07.346628746Z,player 1,2024-04-22T17:08:08.640136881Z,01HW3C78C6CARZW8A4F99AV65N,2024-04-22T17:03:55.590337995Z,game ended,2024-04-22T17:17:13.266125851Z,true,2024-04-22T17:06:10.058718918Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:16:34.668221441Z,"{""age"":""28"",""gender"":""Female"",""strength"":""Mid"",""fair"":""Yes"",""feedback"":""Loading time was very long and at one point it stopped working. "",""education"":""bachelor"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""Conservative"",""geo"":""Canadian"",""ethnicity"":""Asian""}",2024-04-22T17:45:24.236279559Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:03:55.599354687Z,1,2024-04-22T17:45:24.245838839Z,6505b50ed7c5c83fe3debcc1,2024-04-22T17:03:55.590337995Z,rerun-interactive- 0.7,2024-04-22T17:03:55.599354687Z,"[""🐇"",""🐿️"",""                                   ""]",2024-04-22T17:08:08.640136881Z
01HW3C8MMWN3X9FVBHJD3KSBFZ,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:04:40.613266714Z,{},2024-04-22T17:04:40.934579177Z,4,2024-04-22T17:08:01.65669767Z,player 2,2024-04-22T17:08:08.640136881Z,01HW3C8M02XD0EFGM1V5YW7CKH,2024-04-22T17:04:40.604686095Z,game ended,2024-04-22T17:17:13.266125851Z,true,2024-04-22T17:08:04.839007171Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:16:34.668221441Z,"{""age"":""31"",""gender"":""male"",""strength"":""unsure"",""fair"":""yes"",""feedback"":""none"",""education"":""other"",""teammates"":""yes"",""notes"":""no"",""politics"":""middle"",""geo"":""na"",""ethnicity"":""mixed""}",2024-04-22T17:18:09.901877309Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:04:40.613266714Z,1,2024-04-22T17:18:09.90616367Z,5ce9761ed439ae001a596488,2024-04-22T17:04:40.604686095Z,rerun-interactive- 0.7,2024-04-22T17:04:40.613266714Z,"[""🐿️"",""🐇"",""🐇"",""                                   "",""🐇""]",2024-04-22T17:08:08.640136881Z
01HW3CAK762YQFDSY2K7KQKQWW,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:05:44.686042253Z,{},2024-04-22T17:05:45.076737123Z,4,2024-04-22T17:07:43.674802082Z,player 3,2024-04-22T17:08:08.640136881Z,01HW3CAJC728XB0RVP3QJCXVFJ,2024-04-22T17:05:44.678746727Z,game ended,2024-04-22T17:17:13.266125851Z,true,2024-04-22T17:07:46.490906222Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:16:34.668221441Z,"{""age"":""43"",""gender"":""Female"",""strength"":""just telling the truth"",""fair"":""yes"",""feedback"":"""",""education"":""master"",""teammates"":""yes"",""notes"":""no"",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-22T17:18:11.27558496Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:05:44.686042253Z,1,2024-04-22T17:18:11.285472637Z,613df5508746d79763156bd4,2024-04-22T17:05:44.678746727Z,rerun-interactive- 0.7,2024-04-22T17:05:44.686042253Z,"[""🐿️"",""🐿️"",""                                   "",""🐇"",""🐇""]",2024-04-22T17:08:08.640136881Z
01HW3CBXDS0A1BKGAFR928D9FQ,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:08:08.512273553Z,{},2024-04-22T17:06:28.067888885Z,4,2024-04-22T17:08:28.211339647Z,player 1,2024-04-22T17:11:55.83148087Z,01HW3CBX30ZHPS81HCNHBMR7KH,2024-04-22T17:06:27.897970558Z,game ended,2024-04-22T17:22:10.283650061Z,true,2024-04-22T17:08:31.326681803Z,01HW3CCA5MB57DXV9XT11XQP92,2024-04-22T17:21:23.391125159Z,"{""age"":""30"",""gender"":""Male"",""strength"":""Keeping an accurate tally of the total critters"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""I think so, the numbers were always consistent"",""notes"":""Yes, I kept a tally of the numbers I was given"",""politics"":""NA"",""geo"":""NA"",""ethnicity"":""White""}",2024-04-22T17:23:05.239199568Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:08:08.512273553Z,1,2024-04-22T17:23:05.238490193Z,60ec714bee59559a1940e732,2024-04-22T17:06:27.897970558Z,rerun-interactive- 0.7,2024-04-22T17:08:08.512273553Z,"[""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐇"",""🐿️""]",2024-04-22T17:11:55.83148087Z
01HW3CCA5MB57DXV9XT11XQP92,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:08:08.512273553Z,{},2024-04-22T17:06:41.090591295Z,4,2024-04-22T17:08:42.385531571Z,player 2,2024-04-22T17:11:55.83148087Z,01HW3CC9X0ZZB7THTBAK1TZTE2,2024-04-22T17:06:40.948061396Z,game ended,2024-04-22T17:22:10.283650061Z,true,2024-04-22T17:08:52.28591596Z,01HW3CF5SN0PC468PRSR7YPST7,2024-04-22T17:21:23.391125159Z,"{""age"":""25"",""gender"":""Male"",""strength"":""My strength was my notebook"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""I believe so"",""notes"":""Yes"",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-22T17:23:00.014510097Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:08:08.512273553Z,1,2024-04-22T17:23:00.015097816Z,595d3824fe4a4700017a0777,2024-04-22T17:06:40.948061396Z,rerun-interactive- 0.7,2024-04-22T17:08:08.512273553Z,"[""🐇"",""🐿️"",""                                   "",""🐇""]",2024-04-22T17:11:55.83148087Z
01HW3CCQMKGA0ZNVQ0K46FFDHD,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:06:54.748045654Z,{},2024-04-22T17:06:55.046916498Z,4,2024-04-22T17:08:05.785486152Z,player 4,2024-04-22T17:08:08.640136881Z,01HW3CCQ1VDA27XJQ70KHT6HTS,2024-04-22T17:06:54.739090023Z,game ended,2024-04-22T17:17:13.266125851Z,true,2024-04-22T17:08:08.48994129Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:16:34.668221441Z,"{""age"":""31"",""gender"":""male"",""strength"":""just looking at the screen"",""fair"":""yes"",""feedback"":""no"",""education"":""high-school"",""teammates"":""no and no"",""notes"":""no"",""politics"":""conservative`"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-22T17:18:34.887986809Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:06:54.748045654Z,1,2024-04-22T17:18:34.889122709Z,6346a13ca0ec42b6a54e5b27,2024-04-22T17:06:54.739090023Z,rerun-interactive- 0.7,2024-04-22T17:06:54.748045654Z,"[""                                   "",""🐇"",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-22T17:08:08.640136881Z
01HW3CF5SN0PC468PRSR7YPST7,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:08:14.780819885Z,{},2024-04-22T17:08:15.21561771Z,4,2024-04-22T17:10:06.858473622Z,player 3,2024-04-22T17:11:55.83148087Z,01HW3CF4YPZ90NZANGCCB1Z997,2024-04-22T17:08:14.773936173Z,game ended,2024-04-22T17:22:10.283650061Z,true,2024-04-22T17:10:11.003802755Z,01HW3CGDPCQZNJJ4AFTS2910QB,2024-04-22T17:21:23.391125159Z,"{""age"":""44"",""gender"":""malle"",""strength"":""fine"",""fair"":""just about"",""feedback"":""no issues"",""education"":""high-school"",""teammates"":""yes, they were truthful"",""notes"":""no"",""politics"":""center"",""geo"":""uk"",""ethnicity"":""white""}",2024-04-22T17:23:01.081526657Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:08:14.780819885Z,1,2024-04-22T17:23:01.078584385Z,595b93cde11c9d0001522564,2024-04-22T17:08:14.773936173Z,rerun-interactive- 0.7,2024-04-22T17:08:14.780819885Z,"[""                                   "",""🐇"",""🐇""]",2024-04-22T17:11:55.83148087Z
01HW3CGDPCQZNJJ4AFTS2910QB,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:08:55.640383861Z,{},2024-04-22T17:08:55.959664233Z,4,2024-04-22T17:11:46.571505558Z,player 4,2024-04-22T17:11:55.83148087Z,01HW3CGD0XT2CRKHSSEK8AYEJ6,2024-04-22T17:08:55.628700967Z,game ended,2024-04-22T17:22:10.283650061Z,true,2024-04-22T17:11:55.754106722Z,01HW3CBXDS0A1BKGAFR928D9FQ,2024-04-22T17:21:23.391125159Z,"{""age"":""20"",""gender"":""Male"",""strength"":""I was pretty good after the first 5 rounds"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""I think I had good teammates"",""notes"":""Yes"",""politics"":""Central"",""geo"":""London"",""ethnicity"":""Black british""}",2024-04-22T17:23:33.696707002Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:08:55.640383861Z,1,2024-04-22T17:23:33.695918854Z,62c6d709ff9059d14bf7742c,2024-04-22T17:08:55.628700967Z,rerun-interactive- 0.7,2024-04-22T17:08:55.640383861Z,"[""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""                                   "",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-22T17:11:55.83148087Z
01HW3CGPBA9DK9AXA35NX4BF6J,01HW3DA4CBP301BWVC26NH2DSP,2024-04-22T17:53:02.746785322Z,{},2024-04-22T17:09:04.816284168Z,2,2024-04-22T17:11:17.689237766Z,,,01HW3CGNPGJWN27DNGAXYT1JQB,2024-04-22T17:09:04.490155233Z,game terminated,2024-04-22T17:53:05.650922455Z,,,,,"{""age"":""39"",""gender"":""F"",""strength"":""I think I was honest in telling other team mates what animals I could see"",""fair"":""Not at all"",""feedback"":""None at the moment"",""education"":""master"",""teammates"":""I hope so!"",""notes"":""nope"",""politics"":""Left"",""geo"":""Italian"",""ethnicity"":""Italian""}",2024-04-22T17:13:23.350987578Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:53:02.746785322Z,1,2024-04-22T17:13:23.506402512Z,60dd1717e164e6d439700cea,2024-04-22T17:09:04.490155233Z,rerun-interactive- 0.7,2024-04-22T17:53:02.746785322Z,,
01HW3D811NQ3YZ0PCGP1VZCGK9,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:21:49.116368904Z,{},2024-04-22T17:21:49.27895108Z,4,2024-04-22T17:25:02.883610237Z,player 1,2024-04-22T17:29:43.67713676Z,01HW3D80Q7BVWY4NKQXJCFWV3Q,2024-04-22T17:21:49.10926084Z,game ended,2024-04-22T17:41:14.703869436Z,true,2024-04-22T17:25:30.242348783Z,01HW3DDD7030WQXDJNQH1Z2AYG,2024-04-22T17:40:14.536727882Z,"{""age"":""35"",""gender"":""Male"",""strength"":""I belive i did well. "",""fair"":""Sure"",""feedback"":""I wasnt sure if we are looking to the same yard and can people see the same animals at the same time. "",""education"":""bachelor"",""teammates"":""I am sure i didn't speak with 12 different people. "",""notes"":""Most of it yeah."",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""Middle-Eastern""}",2024-04-22T17:43:31.665170528Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-22T17:21:49.116368904Z,1,2024-04-22T17:43:31.666631384Z,65282bdb811fc3022082c8fe,2024-04-22T17:21:49.10926084Z,rerun-interactive- 0.7,2024-04-22T17:21:49.116368904Z,"[""🐿️"",""🐇"",""🐇"",""🐇"",""                                   "",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-22T17:29:43.67713676Z
