id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt
01HW3PDW1DMKEHVKEA3JNYHNFQ,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.773830463Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.773830463Z,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.773830463Z,01HW3P2XW8QFHVJWC9TZJBARSJ,2024-04-22T20:02:17.773830463Z
01HW3PDW1HE23ZS08DGS16ZQ7Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.777838511Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.777838511Z,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.777838511Z,01HW3P31M1A3PJ2TS814G595E0,2024-04-22T20:02:17.777838511Z
01HW3PDW1PSQK10E8672KN3B8N,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.782907414Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.782907414Z,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.782907414Z,01HW3P66GSH8NBTRMRDM3MPBFT,2024-04-22T20:02:17.782907414Z
01HW3PDW1VJ2G7VC5ZATN58ECR,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.787276017Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.787276017Z,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.787276017Z,01HW3PAKJ9PT24JEQWG59ZRQ14,2024-04-22T20:02:17.787276017Z
01HW3PESETPC94FMRC16YW392K,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.898577889Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.898577889Z,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.898577889Z,01HW3P2XW8QFHVJWC9TZJBARSJ,2024-04-22T20:02:47.898577889Z
01HW3PESEYHDPC4BCXNW0NN4R8,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.902589251Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.902589251Z,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.902589251Z,01HW3P31M1A3PJ2TS814G595E0,2024-04-22T20:02:47.902589251Z
01HW3PESF3F7JPXFYNZGZWR8NE,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.907782866Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.907782866Z,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.907782866Z,01HW3P66GSH8NBTRMRDM3MPBFT,2024-04-22T20:02:47.907782866Z
01HW3PESF8EJJAVV6M0REJAZJW,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.91223139Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.91223139Z,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.91223139Z,01HW3PAKJ9PT24JEQWG59ZRQ14,2024-04-22T20:02:47.91223139Z
01HW3PKY293CVE6CFW7BZXXZ59,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.457169129Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.457169129Z,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.457169129Z,01HW3P97YSHFMPRRPZRJVF2366,2024-04-22T20:05:36.457169129Z
01HW3PKY2DP6T6P3M5KB8JRYS4,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.461382053Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.461382053Z,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.461382053Z,01HW3PBT7BKA7KA2D2HHM3BPX1,2024-04-22T20:05:36.461382053Z
