id,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW3PDW36S3YQ01V3HJDZCJ8S,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.832888645Z,01HW3PDVNTP6F2P8YJ0G43X90M,2024-04-22T20:02:17.832888645Z,01HW3P2XW8QFHVJWC9TZJBARSJ,2024-04-22T20:02:17.832888645Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.832888645Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.832888645Z,,,,,,
01HW3PDW3E0HK4P1GPZ668WHRB,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.83824979Z,01HW3PDVNTP6F2P8YJ0G43X90M,2024-04-22T20:02:17.83824979Z,01HW3P31M1A3PJ2TS814G595E0,2024-04-22T20:02:17.83824979Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.83824979Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.83824979Z,,,,,,
01HW3PDW3KES91S0QZGJ1ABJ3M,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.843975239Z,01HW3PDVNTP6F2P8YJ0G43X90M,2024-04-22T20:02:17.843975239Z,01HW3P66GSH8NBTRMRDM3MPBFT,2024-04-22T20:02:17.843975239Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.843975239Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.843975239Z,,,,,,
01HW3PDW3RKT58SC72Z02ZGK5Y,01HW3PDVJ8FWBB2P2RKAG5HMCK,2024-04-22T20:02:17.848079549Z,01HW3PDVNTP6F2P8YJ0G43X90M,2024-04-22T20:02:17.848079549Z,01HW3PAKJ9PT24JEQWG59ZRQ14,2024-04-22T20:02:17.848079549Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.848079549Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.848079549Z,69,2024-04-22T20:02:41.963700819Z,77,2024-04-22T20:02:41.972129417Z,true,2024-04-22T20:02:42.069969438Z
01HW3PESG0RY67PA1EJ6H30C13,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.936883863Z,01HW3PDVQY1YW9YND248PQ1YT5,2024-04-22T20:02:47.936883863Z,01HW3P2XW8QFHVJWC9TZJBARSJ,2024-04-22T20:02:47.936883863Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.936883863Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.936883863Z,,,,,,
01HW3PESG5M7V90F3MS7JQYMZQ,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.941512675Z,01HW3PDVQY1YW9YND248PQ1YT5,2024-04-22T20:02:47.941512675Z,01HW3P31M1A3PJ2TS814G595E0,2024-04-22T20:02:47.941512675Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.941512675Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.941512675Z,,,,,,
01HW3PESGAZK7TDH2982ZDF436,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.946325964Z,01HW3PDVQY1YW9YND248PQ1YT5,2024-04-22T20:02:47.946325964Z,01HW3P66GSH8NBTRMRDM3MPBFT,2024-04-22T20:02:47.946325964Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.946325964Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.946325964Z,,,,,,
01HW3PESGJ415AHKRHT447DJ6G,01HW3PDVJH777HQK4E83NGYF7V,2024-04-22T20:02:47.954198008Z,01HW3PDVQY1YW9YND248PQ1YT5,2024-04-22T20:02:47.954198008Z,01HW3PAKJ9PT24JEQWG59ZRQ14,2024-04-22T20:02:47.954198008Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:47.954198008Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:47.954198008Z,,,,,,
01HW3PKY3P4JC1P9C0QSETQ4RQ,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.502441212Z,01HW3PKXRKSPX12RED15AHXGT9,2024-04-22T20:05:36.502441212Z,01HW3P97YSHFMPRRPZRJVF2366,2024-04-22T20:05:36.502441212Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.502441212Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.502441212Z,0,2024-04-22T20:05:45.976960611Z,100,2024-04-22T20:05:45.978932097Z,true,2024-04-22T20:05:46.217850246Z
01HW3PKY3VHZMJ2C25G0XVMF0Z,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.507874777Z,01HW3PKXRKSPX12RED15AHXGT9,2024-04-22T20:05:36.507874777Z,01HW3PBT7BKA7KA2D2HHM3BPX1,2024-04-22T20:05:36.507874777Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.507874777Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.507874777Z,36,2024-04-22T20:05:53.590446776Z,11,2024-04-22T20:05:53.592331802Z,true,2024-04-22T20:05:53.748693145Z
01HW3PKY427DXXKZQ89GZ0B6ZD,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.514118468Z,01HW3PKXRKSPX12RED15AHXGT9,2024-04-22T20:05:36.514118468Z,01HW3PE7CD3NXYAN758T6V2XE4,2024-04-22T20:05:36.514118468Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.514118468Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.514118468Z,81,2024-04-22T20:06:05.374284486Z,76,2024-04-22T20:06:05.37356431Z,true,2024-04-22T20:06:05.523767122Z
01HW3PKY465NTX2ETPJ6XC9YJZ,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.518092875Z,01HW3PKXRKSPX12RED15AHXGT9,2024-04-22T20:05:36.518092875Z,01HW3PGFF9YPGKTY2RDX16E7CZ,2024-04-22T20:05:36.518092875Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.518092875Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.518092875Z,26,2024-04-22T20:05:57.757859878Z,76,2024-04-22T20:05:57.756570137Z,true,2024-04-22T20:05:57.853080158Z
