id,ended,endedLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,task,taskLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt
01HW3PDVJ8FWBB2P2RKAG5HMCK,true,2024-04-22T20:02:47.879051875Z,0,2024-04-22T20:02:17.288973961Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.288973961Z,Chat,2024-04-22T20:02:17.288973961Z,1,2024-04-22T20:02:17.401603519Z,Round 1 / 12,2024-04-22T20:02:17.288973961Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.288973961Z,true,2024-04-22T20:02:17.593033466Z,1,2024-04-22T20:02:17.288973961Z
01HW3PDVJH777HQK4E83NGYF7V,true,2024-04-22T20:03:07.300899616Z,1,2024-04-22T20:02:17.297883943Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.297883943Z,Chat,2024-04-22T20:02:17.297883943Z,1,2024-04-22T20:02:17.470502572Z,Round 2 / 12,2024-04-22T20:02:17.297883943Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.297883943Z,true,2024-04-22T20:02:47.891714027Z,2,2024-04-22T20:02:17.297883943Z
01HW3PDVJJ9WBJV8KYVQQZWMKZ,false,2024-04-22T20:02:17.298423065Z,3,2024-04-22T20:02:17.298423065Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.298423065Z,Chat,2024-04-22T20:02:17.298423065Z,1,2024-04-22T20:02:17.465012418Z,Round 4 / 12,2024-04-22T20:02:17.298423065Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.298423065Z,false,2024-04-22T20:02:17.298423065Z,4,2024-04-22T20:02:17.298423065Z
01HW3PDVJJ9WBJV8KYWA5TV5DR,false,2024-04-22T20:02:17.298903381Z,4,2024-04-22T20:02:17.298903381Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.298903381Z,Chat,2024-04-22T20:02:17.298903381Z,1,2024-04-22T20:02:17.401603519Z,Round 5 / 12,2024-04-22T20:02:17.298903381Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.298903381Z,false,2024-04-22T20:02:17.298903381Z,5,2024-04-22T20:02:17.298903381Z
01HW3PDVJKTXNP7PKXRA3THNXT,false,2024-04-22T20:02:17.29966471Z,2,2024-04-22T20:02:17.29966471Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.29966471Z,Chat,2024-04-22T20:02:17.29966471Z,1,2024-04-22T20:02:17.401603519Z,Round 3 / 12,2024-04-22T20:02:17.29966471Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.29966471Z,false,2024-04-22T20:02:17.29966471Z,3,2024-04-22T20:02:17.29966471Z
01HW3PDVJKTXNP7PKXRX82HX1Q,false,2024-04-22T20:02:17.300001138Z,7,2024-04-22T20:02:17.300001138Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.300001138Z,Chat,2024-04-22T20:02:17.300001138Z,1,2024-04-22T20:02:17.595569784Z,Round 8 / 12,2024-04-22T20:02:17.300001138Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.300001138Z,false,2024-04-22T20:02:17.300001138Z,8,2024-04-22T20:02:17.300001138Z
01HW3PDVJMQH2SBZA9N9KCZC5G,false,2024-04-22T20:02:17.300415019Z,6,2024-04-22T20:02:17.300415019Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.300415019Z,Chat,2024-04-22T20:02:17.300415019Z,1,2024-04-22T20:02:17.595569784Z,Round 7 / 12,2024-04-22T20:02:17.300415019Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.300415019Z,false,2024-04-22T20:02:17.300415019Z,7,2024-04-22T20:02:17.300415019Z
01HW3PDVJMQH2SBZA9NYJYM9C7,false,2024-04-22T20:02:17.300721271Z,5,2024-04-22T20:02:17.300721271Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.300721271Z,Chat,2024-04-22T20:02:17.300721271Z,1,2024-04-22T20:02:17.473539564Z,Round 6 / 12,2024-04-22T20:02:17.300721271Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.300721271Z,false,2024-04-22T20:02:17.300721271Z,6,2024-04-22T20:02:17.300721271Z
01HW3PDVJN0FW3DWAYBX8N32KE,false,2024-04-22T20:02:17.301175994Z,8,2024-04-22T20:02:17.301175994Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.301175994Z,Chat,2024-04-22T20:02:17.301175994Z,1,2024-04-22T20:02:17.597665912Z,Round 9 / 12,2024-04-22T20:02:17.301175994Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.301175994Z,false,2024-04-22T20:02:17.301175994Z,9,2024-04-22T20:02:17.301175994Z
01HW3PDVJN0FW3DWAYCG081HAC,false,2024-04-22T20:02:17.302014587Z,9,2024-04-22T20:02:17.302014587Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.302014587Z,Chat,2024-04-22T20:02:17.302014587Z,1,2024-04-22T20:02:17.385270239Z,Round 10 / 12,2024-04-22T20:02:17.302014587Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.302014587Z,false,2024-04-22T20:02:17.302014587Z,10,2024-04-22T20:02:17.302014587Z
01HW3PDVJP63P0RQ6M0G6QB3YQ,false,2024-04-22T20:02:17.302351063Z,10,2024-04-22T20:02:17.302351063Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.302351063Z,Chat,2024-04-22T20:02:17.302351063Z,1,2024-04-22T20:02:17.385270239Z,Round 11 / 12,2024-04-22T20:02:17.302351063Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.302351063Z,false,2024-04-22T20:02:17.302351063Z,11,2024-04-22T20:02:17.302351063Z
01HW3PDVJP63P0RQ6M11NE1C8N,false,2024-04-22T20:02:17.302875125Z,11,2024-04-22T20:02:17.302875125Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.302875125Z,Chat,2024-04-22T20:02:17.302875125Z,1,2024-04-22T20:02:17.391250548Z,Round 12 / 12,2024-04-22T20:02:17.302875125Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.302875125Z,false,2024-04-22T20:02:17.302875125Z,12,2024-04-22T20:02:17.302875125Z
01HW3PKXP1M7EB3W4M6EK0BAT9,true,2024-04-22T20:06:05.551475486Z,0,2024-04-22T20:05:36.065580199Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.065580199Z,Chat,2024-04-22T20:05:36.065580199Z,1,2024-04-22T20:05:36.149354207Z,Round 1 / 12,2024-04-22T20:05:36.065580199Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.065580199Z,true,2024-04-22T20:05:36.316785146Z,1,2024-04-22T20:05:36.065580199Z
01HW3PKXP49ESDHYQ5ASSE144R,true,2024-04-22T20:06:33.840561009Z,1,2024-04-22T20:05:36.068244554Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.068244554Z,Chat,2024-04-22T20:05:36.068244554Z,1,2024-04-22T20:05:36.152202031Z,Round 2 / 12,2024-04-22T20:05:36.068244554Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.068244554Z,true,2024-04-22T20:06:05.567383456Z,2,2024-04-22T20:05:36.068244554Z
01HW3PKXP58H4DSFS2AEDKCEYZ,true,2024-04-22T20:07:31.578295923Z,4,2024-04-22T20:05:36.069066493Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.069066493Z,Chat,2024-04-22T20:05:36.069066493Z,1,2024-04-22T20:05:36.141817549Z,Round 5 / 12,2024-04-22T20:05:36.069066493Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.069066493Z,true,2024-04-22T20:07:21.3871742Z,5,2024-04-22T20:05:36.069066493Z
01HW3PKXP58H4DSFS2B1QW1THC,true,2024-04-22T20:07:21.372436852Z,3,2024-04-22T20:05:36.069538858Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.069538858Z,Chat,2024-04-22T20:05:36.069538858Z,1,2024-04-22T20:05:36.138373025Z,Round 4 / 12,2024-04-22T20:05:36.069538858Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.069538858Z,true,2024-04-22T20:07:03.970220396Z,4,2024-04-22T20:05:36.069538858Z
01HW3PKXP58H4DSFS2BJAEZ7KA,true,2024-04-22T20:07:48.819496945Z,5,2024-04-22T20:05:36.069934799Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.069934799Z,Chat,2024-04-22T20:05:36.069934799Z,1,2024-04-22T20:05:36.145841336Z,Round 6 / 12,2024-04-22T20:05:36.069934799Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.069934799Z,true,2024-04-22T20:07:31.591076172Z,6,2024-04-22T20:05:36.069934799Z
01HW3PKXP6DJK8JPF5VN73DFKY,true,2024-04-22T20:07:03.95790636Z,2,2024-04-22T20:05:36.070350738Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.070350738Z,Chat,2024-04-22T20:05:36.070350738Z,1,2024-04-22T20:05:36.160902592Z,Round 3 / 12,2024-04-22T20:05:36.070350738Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.070350738Z,true,2024-04-22T20:06:33.852508003Z,3,2024-04-22T20:05:36.070350738Z
01HW3PKXP6DJK8JPF5W5DKH7EB,true,2024-04-22T20:08:01.883797958Z,6,2024-04-22T20:05:36.070755712Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.070755712Z,Chat,2024-04-22T20:05:36.070755712Z,1,2024-04-22T20:05:36.160902592Z,Round 7 / 12,2024-04-22T20:05:36.070755712Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.070755712Z,true,2024-04-22T20:07:48.838716507Z,7,2024-04-22T20:05:36.070755712Z
