id,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt
01HW65NTPRBDWA01CY3WJM1NSS,ended,2024-04-23T19:30:21.929319514Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:07:16.056054285Z,true,2024-04-23T19:07:16.075192193Z,all games finished,2024-04-23T19:30:21.929319514Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:07:16.056054285Z
01HW65R83QJWTB0B70Q0BDJBZC,ended,2024-04-23T20:37:28.966148566Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:35.319819295Z,true,2024-04-23T19:08:35.338240256Z,all games finished,2024-04-23T20:37:28.966148566Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:35.319819295Z
01HW65R8TXMDT49M1ANC1PQYQ0,ended,2024-04-23T20:31:45.45988643Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:36.061932444Z,true,2024-04-23T19:08:36.070551675Z,all games finished,2024-04-23T20:31:45.45988643Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:36.061932444Z
01HW65R9FG1574QDHVWAKH3N78,ended,2024-04-23T20:30:54.252765955Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:36.720456061Z,true,2024-04-23T19:08:36.727915717Z,all games finished,2024-04-23T20:30:54.252765955Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:36.720456061Z
01HW65RA6H4MRG84KHXDHDRM1P,ended,2024-04-23T20:30:54.811639811Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:37.457829225Z,true,2024-04-23T19:08:37.466874199Z,all games finished,2024-04-23T20:30:54.811639811Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:37.457829225Z
01HW65RAXYYC4V6N2748QMYQS9,ended,2024-04-23T20:29:22.15699923Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:38.206779091Z,true,2024-04-23T19:08:38.215429541Z,all games finished,2024-04-23T20:29:22.15699923Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:38.206779091Z
01HW65RBM8KHS3C52H2QNVGNSM,ended,2024-04-23T20:25:25.07958164Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:38.920225121Z,true,2024-04-23T19:08:38.930603983Z,all games finished,2024-04-23T20:25:25.07958164Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:38.920225121Z
01HW65RCAFWMW3GWYASN59TC0C,ended,2024-04-23T20:24:21.087238948Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:39.631704405Z,true,2024-04-23T19:08:39.641829257Z,all games finished,2024-04-23T20:24:21.087238948Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:39.631704405Z
01HW65RD45GQN87WKPCKJE56CC,ended,2024-04-23T20:24:16.945812667Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:40.45396222Z,true,2024-04-23T19:08:40.463960505Z,all games finished,2024-04-23T20:24:16.945812667Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:40.45396222Z
01HW65RDV2T18JNG8Y7EFMXC48,ended,2024-04-23T20:20:37.454453134Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:41.186288803Z,true,2024-04-23T19:08:41.194988606Z,all games finished,2024-04-23T20:20:37.454453134Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:41.186288803Z
