id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW66S2XZ6KE67H1PPFEQY7CZ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.359690157Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.359690157Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.359690157Z,01HW66S2CN5NE9XQHMZZ3F5MJX,2024-04-23T19:26:31.359690157Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:26:31.359690157Z,,,,,,
01HW66S2Y6074QN6X5Q5JE83WT,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.366109371Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.366109371Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.366109371Z,01HW66S2CN5NE9XQHMZZ3F5MJX,2024-04-23T19:26:31.366109371Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:26:31.366109371Z,50,2024-04-23T19:26:57.090507509Z,100,2024-04-23T19:26:57.091088282Z,true,2024-04-23T19:26:57.189711765Z
01HW66S2YCARFCF0HQ317E1BE1,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.372310774Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.372310774Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.372310774Z,01HW66S2CN5NE9XQHMZZ3F5MJX,2024-04-23T19:26:31.372310774Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:26:31.372310774Z,96,2024-04-23T19:26:57.577195887Z,90,2024-04-23T19:26:57.577557992Z,true,2024-04-23T19:26:57.579549953Z
01HW66S2YJW3CY7C966WC7QDQV,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.378719193Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.378719193Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.378719193Z,01HW66S2CN5NE9XQHMZZ3F5MJX,2024-04-23T19:26:31.378719193Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:26:31.378719193Z,100,2024-04-23T19:26:41.847714977Z,55,2024-04-23T19:26:41.848228264Z,true,2024-04-23T19:26:42.00907465Z
01HW66T0BA9NAZXBKXPG5H9NJ3,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.482221675Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.482221675Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.482221675Z,01HW66S2JG5NBZ8SGAYKFX4EZ8,2024-04-23T19:27:01.482221675Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:27:01.482221675Z,,,,,,
01HW66T0BFS6AX5CHWV277VG10,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.487871458Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.487871458Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.487871458Z,01HW66S2JG5NBZ8SGAYKFX4EZ8,2024-04-23T19:27:01.487871458Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:27:01.487871458Z,,,,,,
01HW66T0BM08XXHQMMRXRY3S88,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.492929092Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.492929092Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.492929092Z,01HW66S2JG5NBZ8SGAYKFX4EZ8,2024-04-23T19:27:01.492929092Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:27:01.492929092Z,27,2024-04-23T19:27:19.98166053Z,79,2024-04-23T19:27:19.982411462Z,true,2024-04-23T19:27:19.984536622Z
01HW66T0BTXKXAWSV6GDRGM22X,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.498801529Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.498801529Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.498801529Z,01HW66S2JG5NBZ8SGAYKFX4EZ8,2024-04-23T19:27:01.498801529Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:27:01.498801529Z,78,2024-04-23T19:27:14.8062988Z,65,2024-04-23T19:27:14.806966135Z,true,2024-04-23T19:27:14.812408867Z
01HW66TXR0C2N2CS6JT5C21Y50,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.584243344Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.584243344Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.584243344Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.584243344Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:27:31.584243344Z,,,,,,
01HW66TXR774H1QY8F1Z4TRH6A,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.591918521Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.591918521Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.591918521Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.591918521Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:27:31.591918521Z,50,2024-04-23T19:27:57.874350067Z,87,2024-04-23T19:27:57.869027913Z,true,2024-04-23T19:27:57.953875757Z
01HW66TXRCKQW1J17RW4M0FATE,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.596956018Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.596956018Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.596956018Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.596956018Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:27:31.596956018Z,27,2024-04-23T19:27:49.480321592Z,87,2024-04-23T19:27:49.480971203Z,true,2024-04-23T19:27:49.483246597Z
01HW66TXRK28HA3DXSWA9NEYXQ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.603277004Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.603277004Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.603277004Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.603277004Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:27:31.603277004Z,75,2024-04-23T19:27:42.952520404Z,54,2024-04-23T19:27:42.947875742Z,true,2024-04-23T19:27:42.947369971Z
01HW66VV4Z224AJY90N9W9KP9B,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.695694834Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.695694834Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.695694834Z,01HW66S2JMJCQJP472N7TWJZDF,2024-04-23T19:28:01.695694834Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:01.695694834Z,,,,,,
