id,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,urlParams,urlParamsLastChangedAt,treatmentName,treatmentNameLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantID,participantIDLastChangedAt,treatment,treatmentLastChangedAt,exitStep,exitStepLastChangedAt,exitSurvey,exitSurveyLastChangedAt
01HW66EKJSHK1TDTA8J6QYSN48,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:20:47.970005042Z,game ended,2024-04-23T19:30:21.929319514Z,3,2024-04-23T19:24:43.931763406Z,true,2024-04-23T19:24:48.745653279Z,player 1,2024-04-23T19:26:30.703188079Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:30:08.938980015Z,5f1c5dcfa8a0da092a804173,2024-04-23T19:20:47.9616151Z,{},2024-04-23T19:20:48.165891444Z,rerun-slider- 0.7,2024-04-23T19:20:47.970005042Z,"[""🐇"",""🐇"",""🐇"",""                                   "",""🐇"",""🐇"",""🐇"",""🐿️""]",2024-04-23T19:26:30.703188079Z,01HW66EK5W64CBCYDGPAYKQ33G,2024-04-23T19:20:47.9616151Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:20:47.970005042Z,,,,
01HW66HB1DF9Q7QSWX9ZTK3TKP,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:22:17.526098733Z,game ended,2024-04-23T19:30:21.929319514Z,3,2024-04-23T19:24:31.168112781Z,true,2024-04-23T19:24:37.446758559Z,player 2,2024-04-23T19:26:30.703188079Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:30:08.938980015Z,653149c21d02a26a0f0661de,2024-04-23T19:22:17.517208693Z,{},2024-04-23T19:22:17.710260646Z,rerun-slider- 0.7,2024-04-23T19:22:17.526098733Z,"[""                                   "",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐇""]",2024-04-23T19:26:30.703188079Z,01HW66HAP3MHA635J1JN1WS32D,2024-04-23T19:22:17.517208693Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:22:17.526098733Z,1,2024-04-23T19:31:34.238255008Z,"{""age"":""25"",""gender"":""female"",""strength"":""I believe I was answering quickly and accurately "",""fair"":""Yes"",""feedback"":"""",""education"":""other"",""teammates"":""I believe they were telling the truth"",""notes"":""No, but I was keeping track in my head"",""politics"":""left"",""geo"":""canada"",""ethnicity"":""white""}",2024-04-23T19:31:34.236958183Z
01HW66KZZ28TB65M259NA81579,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:23:44.490843114Z,game ended,2024-04-23T19:30:21.929319514Z,3,2024-04-23T19:26:13.238889726Z,true,2024-04-23T19:26:16.711435931Z,player 3,2024-04-23T19:26:30.703188079Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:30:08.938980015Z,5c266b49d0bfea000122dbd5,2024-04-23T19:23:44.482578593Z,{},2024-04-23T19:23:45.304524181Z,rerun-slider- 0.7,2024-04-23T19:23:44.490843114Z,"[""                                   "",""🐿️"",""🐿️"",""🐇""]",2024-04-23T19:26:30.703188079Z,01HW66KYSXYCA86W40T66RZR1Z,2024-04-23T19:23:44.482578593Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:23:44.490843114Z,1,2024-04-23T19:31:45.34636299Z,"{""age"":""44"",""gender"":""Female"",""strength"":""Good game with team players"",""fair"":""Yes"",""feedback"":""none"",""education"":""high-school"",""teammates"":""They were good at the game I felt and cooperative"",""notes"":""Yes the percentages the players thought"",""politics"":""Middle"",""geo"":""Scotland"",""ethnicity"":""White""}",2024-04-23T19:31:45.345354078Z
01HW66MYWNA3YYR374RDDD12QN,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:26:30.582523971Z,game ended,2024-04-23T19:32:47.973944229Z,3,2024-04-23T19:26:28.731182561Z,true,2024-04-23T19:26:41.07557857Z,player 1,2024-04-23T19:29:08.670764702Z,01HW66NFR9V6MYCXFK43FS6CD8,2024-04-23T19:32:39.098048766Z,6134976c2debec55db90034a,2024-04-23T19:24:16.149272326Z,{},2024-04-23T19:24:16.450998329Z,rerun-slider- 0.7,2024-04-23T19:26:30.582523971Z,"[""🐿️"",""🐇"",""                                   "",""🐇"",""🐿️""]",2024-04-23T19:29:08.670764702Z,01HW66MYA0QR1XMCCC8X34Q18W,2024-04-23T19:24:16.149272326Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:26:30.582523971Z,,,,
01HW66N3D9DED1MZMJR6M5TYEX,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:29:08.615565436Z,game ended,2024-04-23T19:36:02.357328268Z,3,2024-04-23T19:27:49.211981438Z,true,2024-04-23T19:30:29.35439631Z,player 1,2024-04-23T19:30:29.429774797Z,01HW66R15S9XBRZNE4BDN2404D,2024-04-23T19:35:32.179939245Z,5c796b08909522001614ee5c,2024-04-23T19:24:20.777280491Z,{},2024-04-23T19:24:20.960670505Z,rerun-slider- 0.7,2024-04-23T19:29:08.615565436Z,"[""🐇"",""🐇"",""🐇"",""                                   "",""🐇"",""🐇"",""🐇""]",2024-04-23T19:30:29.429774797Z,01HW66N324XYZKJM6H2DMQ4T08,2024-04-23T19:24:20.777280491Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:29:08.615565436Z,1,2024-04-23T19:36:55.970511541Z,"{""age"":""28"",""gender"":""female"",""strength"":""average"",""fair"":""yes."",""feedback"":""none."",""education"":""other"",""teammates"":""yes."",""notes"":""yes."",""politics"":"""",""geo"":""Canada"",""ethnicity"":""white""}",2024-04-23T19:36:55.965496709Z
01HW66NFR9V6MYCXFK43FS6CD8,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:26:30.582523971Z,game ended,2024-04-23T19:32:47.973944229Z,3,2024-04-23T19:26:39.729905814Z,true,2024-04-23T19:26:58.926526839Z,player 2,2024-04-23T19:29:08.670764702Z,01HW66R64537DHDTFX2QARBASA,2024-04-23T19:32:39.098048766Z,6510493ab8df6fc309820003,2024-04-23T19:24:33.417321536Z,{},2024-04-23T19:24:33.7977074Z,rerun-slider- 0.7,2024-04-23T19:26:30.582523971Z,"[""🐇"",""🐇"",""🐇"",""🐇"",""                                   ""]",2024-04-23T19:29:08.670764702Z,01HW66NF59KXR8A4PE0ARJW1TP,2024-04-23T19:24:33.417321536Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:26:30.582523971Z,1,2024-04-23T19:33:27.073297841Z,"{""age"":""36"",""gender"":""female"",""strength"":""It was very confusing"",""fair"":""yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""no"",""notes"":"""",""politics"":""n/a"",""geo"":""Canadian"",""ethnicity"":""white""}",2024-04-23T19:33:27.05051003Z
01HW66P01JA1T3HXTJWM1G4W06,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:24:50.107570452Z,game ended,2024-04-23T19:30:21.929319514Z,3,2024-04-23T19:26:28.335983613Z,true,2024-04-23T19:26:30.550422693Z,player 4,2024-04-23T19:26:30.703188079Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:30:08.938980015Z,5ff1dac8c9707d602d5044b0,2024-04-23T19:24:50.098215281Z,{},2024-04-23T19:24:50.45872321Z,rerun-slider- 0.7,2024-04-23T19:24:50.107570452Z,"[""🐇"",""🐇"",""🐇"",""                                   ""]",2024-04-23T19:26:30.703188079Z,01HW66NZBT102DQDV4Y9F4QA37,2024-04-23T19:24:50.098215281Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:24:50.107570452Z,1,2024-04-23T19:31:09.140686454Z,"{""age"":""44"",""gender"":""female"",""strength"":""average"",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""yes"",""notes"":""no"",""politics"":"""",""geo"":""british"",""ethnicity"":""white""}",2024-04-23T19:31:09.145777286Z
01HW66P8M431FVNNJAWZVY4FMM,01HW674E13CYAGKDSC8RRRSBAT,2024-04-23T19:37:10.369497071Z,game terminated,2024-04-23T19:38:01.061672315Z,1,2024-04-23T19:25:02.413313843Z,,,,,,,bco,2024-04-23T19:24:58.884785681Z,{},2024-04-23T19:24:59.011120484Z,rerun-slider- 0.7,2024-04-23T19:37:10.369497071Z,,,01HW66P8CT5ZVNNQSH8FGH932C,2024-04-23T19:24:58.884785681Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:37:10.369497071Z,,,,
01HW66R15S9XBRZNE4BDN2404D,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:29:08.615565436Z,game ended,2024-04-23T19:36:02.357328268Z,3,2024-04-23T19:28:33.151837911Z,true,2024-04-23T19:29:27.292264008Z,player 2,2024-04-23T19:30:29.429774797Z,01HW66T73N0NY4C2D8V6KWXHZT,2024-04-23T19:35:32.179939245Z,6171cd16700001d62866b7bd,2024-04-23T19:25:56.794030081Z,{},2024-04-23T19:25:57.11119557Z,rerun-slider- 0.7,2024-04-23T19:29:08.615565436Z,"[""🐇"",""                                   "",""🐇"",""🐇""]",2024-04-23T19:30:29.429774797Z,01HW66R0JV2XEB8T0PQGHZ76ZJ,2024-04-23T19:25:56.794030081Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:29:08.615565436Z,1,2024-04-23T19:38:57.067155775Z,"{""age"":""57"",""gender"":""female"",""strength"":""mid"",""fair"":""yes"",""feedback"":""unsure if I understood and whether my answers were correct"",""education"":""high-school"",""teammates"":""50%"",""notes"":""65-100% rabbits"",""politics"":""lib dem"",""geo"":""united kingdom"",""ethnicity"":""white""}",2024-04-23T19:38:57.065293748Z
01HW66R64537DHDTFX2QARBASA,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:26:30.582523971Z,game ended,2024-04-23T19:32:47.973944229Z,3,2024-04-23T19:27:59.374765784Z,true,2024-04-23T19:28:02.528289693Z,player 3,2024-04-23T19:29:08.670764702Z,01HW66R7XQ2J7FBKA7HNWDTAWK,2024-04-23T19:32:39.098048766Z,5d24e4ba5018e900158d31f1,2024-04-23T19:26:01.861895087Z,{},2024-04-23T19:26:02.195783313Z,rerun-slider- 0.7,2024-04-23T19:26:30.582523971Z,"[""🐇"",""🐿️"",""                                   "",""🐿️""]",2024-04-23T19:29:08.670764702Z,01HW66R5FMBPVYFM2KCQAWV975,2024-04-23T19:26:01.861895087Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:26:30.582523971Z,1,2024-04-23T19:33:32.76521976Z,"{""age"":""33"",""gender"":""male"",""strength"":""I was able to take on feedback from others."",""fair"":""Yes."",""feedback"":""N/A"",""education"":""bachelor"",""teammates"":""I think so."",""notes"":""Yes"",""politics"":""left"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-23T19:33:32.763575189Z
