id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01HW6FVT23GP41WXXFVQHPX5B5,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.76400903Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.76400903Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:05:17.76400903Z
01HW6FVT2AM9ADQHCB00XJ51NE,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.770825442Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.770825442Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:05:17.770825442Z
01HW6FVT2F5G28ZGGE11GBZX8B,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.775543046Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.775543046Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:05:17.775543046Z
01HW6FVT2NT2N7A95BTAE247YJ,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.781755156Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.781755156Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:05:17.781755156Z
01HW6G52B72YGW1XT6EYS8E0TY,01HW6F599KGC5NRFXCDVVZX845,2024-04-23T22:10:21.159878854Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:10:21.159878854Z,01HW6FRNG4PFEDFAGNWMPV25TE,2024-04-23T22:10:21.159878854Z
01HW6G52BCRDFR4RDWQXNYH8Y7,01HW6F599KGC5NRFXCDVVZX845,2024-04-23T22:10:21.164854156Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:10:21.164854156Z,01HW6FSJ0PDBM8NPE3066P5CCD,2024-04-23T22:10:21.164854156Z
01HW6G52BHXKKD681VX9XAXWWP,01HW6F599KGC5NRFXCDVVZX845,2024-04-23T22:10:21.169327959Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:10:21.169327959Z,01HW6FX6RCQKRQHJ0FM3PJJQGA,2024-04-23T22:10:21.169327959Z
01HW6G52BP11X2991MBCK0EQWB,01HW6F599KGC5NRFXCDVVZX845,2024-04-23T22:10:21.17407531Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:10:21.17407531Z,01HW6FYEVZNY3B6454F9S9KAMS,2024-04-23T22:10:21.17407531Z
01HW6GEWTQNQAW1N0YG23SQKBF,01HW6F58JPAG9RYXCWV7GRKYQB,2024-04-23T22:15:43.191789215Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:15:43.191789215Z,01HW6FWCQ310C8JZQ529TASY85,2024-04-23T22:15:43.191789215Z
01HW6GEWTXKZJWGFGJRDVYN20D,01HW6F58JPAG9RYXCWV7GRKYQB,2024-04-23T22:15:43.197081152Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:15:43.197081152Z,01HW6G06CCDAE3MDH5ZZ21E6JH,2024-04-23T22:15:43.197081152Z
01HW6GEWV2DERAKJGV3ZVKK9YZ,01HW6F58JPAG9RYXCWV7GRKYQB,2024-04-23T22:15:43.202698419Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:15:43.202698419Z,01HW6G1CEG536TBCEEJR5QBH1D,2024-04-23T22:15:43.202698419Z
01HW6GEWV728RM413PXC7B7QET,01HW6F58JPAG9RYXCWV7GRKYQB,2024-04-23T22:15:43.207779119Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:15:43.207779119Z,01HW6G67T367Y8ZMSMSMDAZ6G8,2024-04-23T22:15:43.207779119Z
01HW6GJNT3YG80YK5Z1RXDXX2C,01HW6F57QPE2T6T5TAW0D0X5C9,2024-04-23T22:17:47.075183745Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:17:47.075183745Z,01HW6GAX3FW3WQ2Y4KE421267T,2024-04-23T22:17:47.075183745Z
01HW6GJNTEWX26886W7NY2Y0YY,01HW6F57QPE2T6T5TAW0D0X5C9,2024-04-23T22:17:47.086934798Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:17:47.086934798Z,01HW6GCC8RP9KYF71H3PA74FFG,2024-04-23T22:17:47.086934798Z
01HW6GJNTTRHNVYRJHG2W7K9W4,01HW6F57QPE2T6T5TAW0D0X5C9,2024-04-23T22:17:47.098442539Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:17:47.098442539Z,01HW6GCMYWZWN0S54T3ZJ81G38,2024-04-23T22:17:47.098442539Z
