id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW6FVV0VTQ01G8NSR1AXRAW7,01HW6FVTGZGKTCFB8TYBFYR69P,2024-04-23T22:05:18.747366887Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:05:18.747366887Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.747366887Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.747366887Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:18.747366887Z,,,,,,
01HW6FVV11EVX5Y2YVQA2FM63W,01HW6FVTGZGKTCFB8TYBFYR69P,2024-04-23T22:05:18.753654595Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:05:18.753654595Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.753654595Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.753654595Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:18.753654595Z,,,,,,
01HW6FVV1810HC4ZB4P09MKAR0,01HW6FVTGZGKTCFB8TYBFYR69P,2024-04-23T22:05:18.760075345Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:05:18.760075345Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.760075345Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.760075345Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:18.760075345Z,,,,,,
01HW6FVV1DK3YDH44G4BV6Q22N,01HW6FVTGZGKTCFB8TYBFYR69P,2024-04-23T22:05:18.76567632Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:05:18.76567632Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:18.76567632Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:18.76567632Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:18.76567632Z,,,,,,
01HW6FWRCEM6FX6NYQREYM08DG,01HW6FVTH0XDM672YCHRRQZ0GD,2024-04-23T22:05:48.81479259Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:05:48.81479259Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:48.81479259Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:48.81479259Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:48.81479259Z,33,2024-04-23T22:06:17.116974075Z,27,2024-04-23T22:06:17.11764658Z,true,2024-04-23T22:06:17.120479872Z
01HW6FWRCKCNEYC3WFC3KY5ATB,01HW6FVTH0XDM672YCHRRQZ0GD,2024-04-23T22:05:48.819479712Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:05:48.819479712Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:48.819479712Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:48.819479712Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:48.819479712Z,28,2024-04-23T22:06:18.055696233Z,12,2024-04-23T22:06:18.105441703Z,true,2024-04-23T22:06:18.111133022Z
01HW6FWRCRDHHWNZDAA2ZJXK2Z,01HW6FVTH0XDM672YCHRRQZ0GD,2024-04-23T22:05:48.824319181Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:05:48.824319181Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:48.824319181Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:48.824319181Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:48.824319181Z,33,2024-04-23T22:06:18.455770768Z,100,2024-04-23T22:06:18.457930402Z,true,2024-04-23T22:06:18.460873938Z
01HW6FWRCX2QTYXADX06E08F0B,01HW6FVTH0XDM672YCHRRQZ0GD,2024-04-23T22:05:48.829311144Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:05:48.829311144Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:48.829311144Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:48.829311144Z,01HW6FVT4AFYCY0KNMQPM45BZC,2024-04-23T22:05:48.829311144Z,9,2024-04-23T22:06:17.820693145Z,100,2024-04-23T22:06:17.818550896Z,true,2024-04-23T22:06:17.82939721Z
01HW6FXN2BP2BGWTBEGWNQN7KZ,01HW6FVTGW3G10NE83D0DT2KV8,2024-04-23T22:06:18.187235451Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:06:18.187235451Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:18.187235451Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:18.187235451Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:18.187235451Z,,,,,,
01HW6FXN2HM2CQM3QGXRTX30T3,01HW6FVTGW3G10NE83D0DT2KV8,2024-04-23T22:06:18.193967115Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:06:18.193967115Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:18.193967115Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:18.193967115Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:18.193967115Z,,,,,,
