id,idx,idxLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt
01HW6FVT4AFYCY0KNMQPM45BZC,1,2024-04-23T22:05:17.834656025Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.834656025Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.834656025Z,2,2024-04-23T22:05:18.241452517Z,Round 1 / 12,2024-04-23T22:05:17.834656025Z,Chat,2024-04-23T22:05:17.834656025Z,0,2024-04-23T22:05:17.834656025Z,true,2024-04-23T22:05:18.331690583Z,true,2024-04-23T22:06:18.131412126Z
01HW6FVT4EDZFSKFGFW4PK1KGZ,2,2024-04-23T22:05:17.838829919Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.838829919Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.838829919Z,2,2024-04-23T22:05:18.23933836Z,Round 2 / 12,2024-04-23T22:05:17.838829919Z,Chat,2024-04-23T22:05:17.838829919Z,1,2024-04-23T22:05:17.838829919Z,true,2024-04-23T22:06:18.143436371Z,true,2024-04-23T22:07:09.787898764Z
01HW6FVT4G23C3W9JC4ECV71A4,4,2024-04-23T22:05:17.840196713Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.840196713Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.840196713Z,2,2024-04-23T22:05:17.959341333Z,Round 4 / 12,2024-04-23T22:05:17.840196713Z,Chat,2024-04-23T22:05:17.840196713Z,3,2024-04-23T22:05:17.840196713Z,true,2024-04-23T22:08:06.97291126Z,true,2024-04-23T22:09:04.16159625Z
01HW6FVT4G23C3W9JC52FRS5NT,6,2024-04-23T22:05:17.840656649Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.840656649Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.840656649Z,2,2024-04-23T22:05:18.234930638Z,Round 6 / 12,2024-04-23T22:05:17.840656649Z,Chat,2024-04-23T22:05:17.840656649Z,5,2024-04-23T22:05:17.840656649Z,true,2024-04-23T22:10:04.363617659Z,true,2024-04-23T22:10:58.533453403Z
01HW6FVT4HZMF0DVZHM2P3GE7D,3,2024-04-23T22:05:17.84134717Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.84134717Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.84134717Z,2,2024-04-23T22:05:17.98410709Z,Round 3 / 12,2024-04-23T22:05:17.84134717Z,Chat,2024-04-23T22:05:17.84134717Z,2,2024-04-23T22:05:17.84134717Z,true,2024-04-23T22:07:09.797820336Z,true,2024-04-23T22:08:06.962384007Z
01HW6FVT4HZMF0DVZHMQPES40C,5,2024-04-23T22:05:17.841966061Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.841966061Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.841966061Z,2,2024-04-23T22:05:18.134050294Z,Round 5 / 12,2024-04-23T22:05:17.841966061Z,Chat,2024-04-23T22:05:17.841966061Z,4,2024-04-23T22:05:17.841966061Z,true,2024-04-23T22:09:04.171795337Z,true,2024-04-23T22:10:04.347778377Z
01HW6FVT4J74ENBNNBHZ71FY91,7,2024-04-23T22:05:17.842974434Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.842974434Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.842974434Z,2,2024-04-23T22:05:18.123479147Z,Round 7 / 12,2024-04-23T22:05:17.842974434Z,Chat,2024-04-23T22:05:17.842974434Z,6,2024-04-23T22:05:17.842974434Z,true,2024-04-23T22:10:58.545349352Z,true,2024-04-23T22:11:43.906383007Z
01HW6FVT4KA7DYRCTGW2FBFT0K,9,2024-04-23T22:05:17.843469729Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.843469729Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.843469729Z,2,2024-04-23T22:05:18.11628058Z,Round 9 / 12,2024-04-23T22:05:17.843469729Z,Chat,2024-04-23T22:05:17.843469729Z,8,2024-04-23T22:05:17.843469729Z,true,2024-04-23T22:12:25.804883523Z,true,2024-04-23T22:13:13.232209662Z
01HW6FVT4M9GNZ7GGBEEBQNQ7K,8,2024-04-23T22:05:17.844248746Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.844248746Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.844248746Z,2,2024-04-23T22:05:18.142754281Z,Round 8 / 12,2024-04-23T22:05:17.844248746Z,Chat,2024-04-23T22:05:17.844248746Z,7,2024-04-23T22:05:17.844248746Z,true,2024-04-23T22:11:43.922244229Z,true,2024-04-23T22:12:25.787050597Z
01HW6FVT4M9GNZ7GGBEYZ8PR0Z,10,2024-04-23T22:05:17.844912033Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:05:17.844912033Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:05:17.844912033Z,2,2024-04-23T22:05:18.142754281Z,Round 10 / 12,2024-04-23T22:05:17.844912033Z,Chat,2024-04-23T22:05:17.844912033Z,9,2024-04-23T22:05:17.844912033Z,true,2024-04-23T22:13:13.246600741Z,true,2024-04-23T22:13:55.033516128Z
