id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HWBAF7DM5FCQC8VMR9D8JDZV,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.740702532Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.740702532Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:14.740702532Z,01HWBAF701R273GRBA98D624T3,2024-04-25T19:07:14.740702532Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:07:14.740702532Z,,,,,,
01HWBAF7DTMT65ZP7BQTZRY5BM,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.746178482Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.746178482Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:14.746178482Z,01HWBAF701R273GRBA98D624T3,2024-04-25T19:07:14.746178482Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:07:14.746178482Z,,,,,,
01HWBAF7DZXK644D5921C58EXT,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:14.751048605Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:14.751048605Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:14.751048605Z,01HWBAF701R273GRBA98D624T3,2024-04-25T19:07:14.751048605Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:07:14.751048605Z,,,,,,
01HWBAG4RNDED8KCBNB9DKPDCQ,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:44.790007992Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:44.790007992Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:44.790007992Z,01HWBAF701R273GRBA9Z8FAXW7,2024-04-25T19:07:44.790007992Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:07:44.790007992Z,72,2024-04-25T19:08:00.176274558Z,true,2024-04-25T19:08:00.324855559Z,71,2024-04-25T19:08:00.175432336Z
01HWBAG4RTM1PCPGKWXN8W6QZF,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:44.795030892Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:44.795030892Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:44.795030892Z,01HWBAF701R273GRBA9Z8FAXW7,2024-04-25T19:07:44.795030892Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:07:44.795030892Z,,,,,,
01HWBAG4RZ7V8CWJQAA61S600A,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:44.799814127Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:44.799814127Z,01HWBAF6N6FZAN5DNNYN7ND6XQ,2024-04-25T19:07:44.799814127Z,01HWBAF701R273GRBA9Z8FAXW7,2024-04-25T19:07:44.799814127Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:07:44.799814127Z,,,,,,
01HWBAGM095T5J1H5WCPFBM7G3,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:00.393577842Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:00.393577842Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:00.393577842Z,01HWBAF6V8DJFXDKWZQV6900F0,2024-04-25T19:08:00.393577842Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:08:00.393577842Z,,,,,,
01HWBAGM0EWF2JRZ102DRHJEEK,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:00.398880523Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:00.398880523Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:00.398880523Z,01HWBAF6V8DJFXDKWZQV6900F0,2024-04-25T19:08:00.398880523Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:08:00.398880523Z,,,,,,
01HWBAGM0KP87QMDZX6BJFAG9Q,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:00.403679287Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:00.403679287Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:00.403679287Z,01HWBAF6V8DJFXDKWZQV6900F0,2024-04-25T19:08:00.403679287Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:08:00.403679287Z,,,,,,
01HWBAHHB8EMHCPKX2DS9RXRCB,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:30.440210601Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:30.440210601Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:30.440210601Z,01HWBAF6V98T45FWEE67ZHFFVT,2024-04-25T19:08:30.440210601Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:08:30.440210601Z,78,2024-04-25T19:08:37.970724883Z,true,2024-04-25T19:08:37.971193255Z,65,2024-04-25T19:08:37.97168204Z
01HWBAHHBDFSD3ATJKCQ7ABFAN,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:30.445678986Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:30.445678986Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:30.445678986Z,01HWBAF6V98T45FWEE67ZHFFVT,2024-04-25T19:08:30.445678986Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:08:30.445678986Z,,,,,,
01HWBAHHBJQHXB0ABQEMMTNJA3,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:30.45061943Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:30.45061943Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:30.45061943Z,01HWBAF6V98T45FWEE67ZHFFVT,2024-04-25T19:08:30.45061943Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:08:30.45061943Z,,,,,,
