id,task,taskLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,idx,idxLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt
01HWBAF6N6FZAN5DNNYN7ND6XQ,Chat,2024-04-25T19:07:13.958325642Z,Round 1 / 12,2024-04-25T19:07:13.958325642Z,0,2024-04-25T19:07:13.958325642Z,1,2024-04-25T19:07:13.958325642Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.958325642Z,true,2024-04-25T19:07:14.356277621Z,2,2024-04-25T19:07:14.304730918Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.958325642Z,true,2024-04-25T19:08:00.343388016Z
01HWBAF6N8MVYAQ1298112DKNA,Chat,2024-04-25T19:07:13.960097693Z,Round 2 / 12,2024-04-25T19:07:13.960097693Z,1,2024-04-25T19:07:13.960097693Z,2,2024-04-25T19:07:13.960097693Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.960097693Z,true,2024-04-25T19:08:00.355050747Z,2,2024-04-25T19:07:14.15412037Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.960097693Z,true,2024-04-25T19:08:37.991075497Z
01HWBAF6N8MVYAQ1298J11RXBR,Chat,2024-04-25T19:07:13.960606681Z,Round 7 / 12,2024-04-25T19:07:13.960606681Z,6,2024-04-25T19:07:13.960606681Z,7,2024-04-25T19:07:13.960606681Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.960606681Z,false,2024-04-25T19:07:13.960606681Z,2,2024-04-25T19:07:14.211851673Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.960606681Z,false,2024-04-25T19:07:13.960606681Z
01HWBAF6N8MVYAQ12996B1ACHE,Chat,2024-04-25T19:07:13.960951815Z,Round 4 / 12,2024-04-25T19:07:13.960951815Z,3,2024-04-25T19:07:13.960951815Z,4,2024-04-25T19:07:13.960951815Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.960951815Z,true,2024-04-25T19:09:16.772956101Z,2,2024-04-25T19:07:14.304730918Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.960951815Z,true,2024-04-25T19:09:48.277092539Z
01HWBAF6N94SDWNFNEZAY0EG1D,Chat,2024-04-25T19:07:13.961201217Z,Round 10 / 12,2024-04-25T19:07:13.961201217Z,9,2024-04-25T19:07:13.961201217Z,10,2024-04-25T19:07:13.961201217Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.961201217Z,false,2024-04-25T19:07:13.961201217Z,2,2024-04-25T19:07:14.230441935Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.961201217Z,false,2024-04-25T19:07:13.961201217Z
01HWBAF6N94SDWNFNEZNPB01HV,Chat,2024-04-25T19:07:13.961502108Z,Round 3 / 12,2024-04-25T19:07:13.961502108Z,2,2024-04-25T19:07:13.961502108Z,3,2024-04-25T19:07:13.961502108Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.961502108Z,true,2024-04-25T19:08:38.003869166Z,2,2024-04-25T19:07:14.1970877Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.961502108Z,true,2024-04-25T19:09:16.761058718Z
01HWBAF6NC2R8JVQQVKGTVTW95,Chat,2024-04-25T19:07:13.964587448Z,Round 5 / 12,2024-04-25T19:07:13.964587448Z,4,2024-04-25T19:07:13.964587448Z,5,2024-04-25T19:07:13.964587448Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.964587448Z,false,2024-04-25T19:07:13.964587448Z,2,2024-04-25T19:07:14.205278565Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.964587448Z,false,2024-04-25T19:07:13.964587448Z
01HWBAF6NEGKF8Z52JA2T2BSHE,Chat,2024-04-25T19:07:13.966908172Z,Round 9 / 12,2024-04-25T19:07:13.966908172Z,8,2024-04-25T19:07:13.966908172Z,9,2024-04-25T19:07:13.966908172Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.966908172Z,false,2024-04-25T19:07:13.966908172Z,2,2024-04-25T19:07:14.230441935Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.966908172Z,false,2024-04-25T19:07:13.966908172Z
01HWBAF6NFNKV558ARJVB9SJSB,Chat,2024-04-25T19:07:13.968782559Z,Round 12 / 12,2024-04-25T19:07:13.968782559Z,11,2024-04-25T19:07:13.968782559Z,12,2024-04-25T19:07:13.968782559Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.968782559Z,false,2024-04-25T19:07:13.968782559Z,2,2024-04-25T19:07:14.1970877Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.968782559Z,false,2024-04-25T19:07:13.968782559Z
01HWBAF6NG8V6P2WKHMGAH0RXE,Chat,2024-04-25T19:07:13.969036113Z,Round 8 / 12,2024-04-25T19:07:13.969036113Z,7,2024-04-25T19:07:13.969036113Z,8,2024-04-25T19:07:13.969036113Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:07:13.969036113Z,false,2024-04-25T19:07:13.969036113Z,2,2024-04-25T19:07:14.230441935Z,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:07:13.969036113Z,false,2024-04-25T19:07:13.969036113Z
