id,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt
01HWDP39KSCCM7MPGXPHST1Z9T,all games finished,2024-04-26T17:28:47.515390163Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:08:55.545072587Z,ended,2024-04-26T17:28:47.515390163Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:08:55.545072587Z,true,2024-04-26T17:08:55.565691084Z
01HWDP3DT4YXBP3DYDVGM7VJGR,all games finished,2024-04-26T17:33:51.074431725Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:08:59.84446296Z,ended,2024-04-26T17:33:51.074431725Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:08:59.84446296Z,true,2024-04-26T17:08:59.85593578Z
01HWDP3Q7FXE47D3D82CPXVR5K,all games finished,2024-04-26T17:59:23.887134947Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:09:09.487205932Z,ended,2024-04-26T17:59:23.887134947Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:09:09.487205932Z,true,2024-04-26T17:09:09.502524384Z
01HWDP3TTKJEHS8D5KH363J23P,all games finished,2024-04-26T17:59:56.776138926Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:09:13.171199953Z,ended,2024-04-26T17:59:56.776138926Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:09:13.171199953Z,true,2024-04-26T17:09:13.182725374Z
01HWDP3W7VQ6D1P01B7E1JV1DS,all games finished,2024-04-26T17:58:30.364197891Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:09:14.619781634Z,ended,2024-04-26T17:58:30.364197891Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:09:14.619781634Z,true,2024-04-26T17:09:14.629687173Z
01HWDP49GA5CRBB5SD30K7CGT7,all games finished,2024-04-26T18:09:21.294213111Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:09:28.202213056Z,ended,2024-04-26T18:09:21.294213111Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:09:28.202213056Z,true,2024-04-26T17:09:28.214655265Z
01HWDP4BAH2TXQVE2HB769ND71,all games finished,2024-04-26T18:12:13.807003914Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:09:30.065863256Z,ended,2024-04-26T18:12:13.807003914Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:09:30.065863256Z,true,2024-04-26T17:09:30.075343554Z
01HWDP5F40M8JFYGVBZ3BQVYVR,all games finished,2024-04-26T18:28:22.663909419Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:06.72061994Z,ended,2024-04-26T18:28:22.663909419Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:06.72061994Z,true,2024-04-26T17:10:06.732085762Z
01HWDP5JC50CNFAMKSGPM95QNG,all games finished,2024-04-26T18:31:24.469670957Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:10.053391945Z,ended,2024-04-26T18:31:24.469670957Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:10.053391945Z,true,2024-04-26T17:10:10.064456098Z
01HWDP5KMTXR7Q69DTJTCPFAFE,all games finished,2024-04-26T18:28:33.314407042Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:11.354053123Z,ended,2024-04-26T18:28:33.314407042Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:11.354053123Z,true,2024-04-26T17:10:11.364162505Z
01HWDP5MS15ATFG0DP50D78YAX,all games finished,2024-04-26T18:25:27.096742685Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:12.513440689Z,ended,2024-04-26T18:25:27.096742685Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:12.513440689Z,true,2024-04-26T17:10:12.522505918Z
01HWDP5NYDS3HJWC3V2AV6W110,all games finished,2024-04-26T18:21:55.642102079Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:13.709959736Z,ended,2024-04-26T18:21:55.642102079Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:13.709959736Z,true,2024-04-26T17:10:13.717216967Z
01HWDP5QAT9FRB8ZTXEHAV9YZ5,all games finished,2024-04-26T18:24:18.606364791Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:10:15.130567997Z,ended,2024-04-26T18:24:18.606364791Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:15.130567997Z,true,2024-04-26T17:10:15.142613828Z
01HWDP67EYFHMSKVAKKB0SXA9M,all games finished,2024-04-26T18:56:03.326024086Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:31.646863059Z,ended,2024-04-26T18:56:03.326024086Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:31.646863059Z,true,2024-04-26T17:10:31.662573079Z
01HWDP6ARFSKR8D84R7374BEM1,all games finished,2024-04-26T18:45:58.107459395Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:35.023075204Z,ended,2024-04-26T18:45:58.107459395Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:35.023075204Z,true,2024-04-26T17:10:35.031893751Z
01HWDP6BHJTCKW79DN1ZW59F9M,all games finished,2024-04-26T18:45:20.559928648Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:35.826430816Z,ended,2024-04-26T18:45:20.559928648Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:35.826430816Z,true,2024-04-26T17:10:35.835518284Z
