id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HWDPPRP618EJS1H17DQ36D1W,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.574423319Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.574423319Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.574423319Z,01HWDPPR4PJDQVANSH0BKK7NPR,2024-04-26T17:19:33.574423319Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:19:33.574423319Z,,,,,,
01HWDPPRPBE276T6R56PE54J1Y,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.579777355Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.579777355Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.579777355Z,01HWDPPR4PJDQVANSH0BKK7NPR,2024-04-26T17:19:33.579777355Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:19:33.579777355Z,,,,,,
01HWDPPRPHXYBGA50BER9JW2G1,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.585356479Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.585356479Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.585356479Z,01HWDPPR4PJDQVANSH0BKK7NPR,2024-04-26T17:19:33.585356479Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:19:33.585356479Z,,,,,,
01HWDPPRPR24F7BXHWD35KM1NC,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.59278399Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.59278399Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.59278399Z,01HWDPPR4PJDQVANSH0BKK7NPR,2024-04-26T17:19:33.59278399Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:19:33.59278399Z,,,,,,
01HWDPQP23SYGX05NAGDHBHMHS,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:03.651170427Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:03.651170427Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:20:03.651170427Z,01HWDPPR4QD040RMF0CS8FFKDC,2024-04-26T17:20:03.651170427Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:20:03.651170427Z,,,,,,
01HWDPQP2A43CFWG9CMZEAH8C5,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:03.658447138Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:03.658447138Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:20:03.658447138Z,01HWDPPR4QD040RMF0CS8FFKDC,2024-04-26T17:20:03.658447138Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:20:03.658447138Z,true,2024-04-26T17:20:28.064880255Z,93,2024-04-26T17:20:27.840769462Z,14,2024-04-26T17:20:27.872252954Z
01HWDPQP2M1ZME6FW97K492NTY,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:03.668240514Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:03.668240514Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:20:03.668240514Z,01HWDPPR4QD040RMF0CS8FFKDC,2024-04-26T17:20:03.668240514Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:20:03.668240514Z,,,,,,
01HWDPQP2XKJ577Y5XNVC6GPJ0,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:03.677875768Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:03.677875768Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:20:03.677875768Z,01HWDPPR4QD040RMF0CS8FFKDC,2024-04-26T17:20:03.677875768Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:20:03.677875768Z,true,2024-04-26T17:20:29.251742997Z,90,2024-04-26T17:20:29.036210121Z,11,2024-04-26T17:20:29.034616248Z
01HWDPRKGZX7BAHRT347E6H3KN,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:33.823259457Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:33.823259457Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:20:33.823259457Z,01HWDPPR213M4BSAQF6J1TJ0X1,2024-04-26T17:20:33.823259457Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:20:33.823259457Z,,,,,,
01HWDPRKH566659J93823MPT9M,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:33.829861676Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:33.829861676Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:20:33.829861676Z,01HWDPPR213M4BSAQF6J1TJ0X1,2024-04-26T17:20:33.829861676Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:20:33.829861676Z,,,,,,
