id,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,gameID,gameIDLastChangedAt
01HWDPPQZ6JF950H59J2WBPDNB,2,2024-04-26T17:19:33.025279279Z,Round 1 / 12,2024-04-26T17:19:32.83897269Z,Chat,2024-04-26T17:19:32.83897269Z,0,2024-04-26T17:19:32.83897269Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.83897269Z,true,2024-04-26T17:19:33.123343342Z,true,2024-04-26T17:20:33.728169638Z,1,2024-04-26T17:19:32.83897269Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.83897269Z
01HWDPPQZHPBMR6DND6K3REW8H,2,2024-04-26T17:19:32.936682564Z,Round 2 / 12,2024-04-26T17:19:32.849463022Z,Chat,2024-04-26T17:19:32.849463022Z,1,2024-04-26T17:19:32.849463022Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.849463022Z,true,2024-04-26T17:20:33.744084137Z,true,2024-04-26T17:21:28.707571961Z,2,2024-04-26T17:19:32.849463022Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.849463022Z
01HWDPPQZJ48XCBF7YH5AGV35D,2,2024-04-26T17:19:33.218717162Z,Round 3 / 12,2024-04-26T17:19:32.850055375Z,Chat,2024-04-26T17:19:32.850055375Z,2,2024-04-26T17:19:32.850055375Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.850055375Z,true,2024-04-26T17:21:28.718237141Z,true,2024-04-26T17:22:12.873550705Z,3,2024-04-26T17:19:32.850055375Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.850055375Z
01HWDPPQZJ48XCBF7YHN63KJ64,2,2024-04-26T17:19:33.218992575Z,Round 4 / 12,2024-04-26T17:19:32.850392174Z,Chat,2024-04-26T17:19:32.850392174Z,3,2024-04-26T17:19:32.850392174Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.850392174Z,true,2024-04-26T17:22:12.889367154Z,true,2024-04-26T17:22:54.982765557Z,4,2024-04-26T17:19:32.850392174Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.850392174Z
01HWDPPQZJ48XCBF7YJBQ55EJ2,2,2024-04-26T17:19:33.223201669Z,Round 5 / 12,2024-04-26T17:19:32.850914455Z,Chat,2024-04-26T17:19:32.850914455Z,4,2024-04-26T17:19:32.850914455Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.850914455Z,true,2024-04-26T17:22:54.999866074Z,true,2024-04-26T17:23:43.503834313Z,5,2024-04-26T17:19:32.850914455Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.850914455Z
01HWDPPQZKPP3MC3NHBN7T5WB7,2,2024-04-26T17:19:33.223201669Z,Round 6 / 12,2024-04-26T17:19:32.851369488Z,Chat,2024-04-26T17:19:32.851369488Z,5,2024-04-26T17:19:32.851369488Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.851369488Z,true,2024-04-26T17:23:43.52162242Z,true,2024-04-26T17:24:27.919837386Z,6,2024-04-26T17:19:32.851369488Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.851369488Z
01HWDPPR04QRKN61NZ16Z6RF89,2,2024-04-26T17:19:33.217408659Z,Round 7 / 12,2024-04-26T17:19:32.868098023Z,Chat,2024-04-26T17:19:32.868098023Z,6,2024-04-26T17:19:32.868098023Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.868098023Z,true,2024-04-26T17:24:27.942342914Z,true,2024-04-26T17:25:13.51562253Z,7,2024-04-26T17:19:32.868098023Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.868098023Z
01HWDPPR04QRKN61NZ1XE6RWZE,2,2024-04-26T17:19:33.217408659Z,Round 9 / 12,2024-04-26T17:19:32.868640693Z,Chat,2024-04-26T17:19:32.868640693Z,8,2024-04-26T17:19:32.868640693Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.868640693Z,true,2024-04-26T17:25:58.051686231Z,true,2024-04-26T17:26:40.546289881Z,9,2024-04-26T17:19:32.868640693Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.868640693Z
01HWDPPR050CTP5CZCHE1RKW47,2,2024-04-26T17:19:33.152575026Z,Round 8 / 12,2024-04-26T17:19:32.869256981Z,Chat,2024-04-26T17:19:32.869256981Z,7,2024-04-26T17:19:32.869256981Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.869256981Z,true,2024-04-26T17:25:13.536235358Z,true,2024-04-26T17:25:58.024213567Z,8,2024-04-26T17:19:32.869256981Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.869256981Z
01HWDPPR050CTP5CZCJ34RN91C,2,2024-04-26T17:19:33.035082155Z,Round 11 / 12,2024-04-26T17:19:32.86987803Z,Chat,2024-04-26T17:19:32.86987803Z,10,2024-04-26T17:19:32.86987803Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.86987803Z,true,2024-04-26T17:27:23.467071898Z,true,2024-04-26T17:28:04.983683656Z,11,2024-04-26T17:19:32.86987803Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.86987803Z
01HWDPPR06HGST9M09D0PKHVPR,2,2024-04-26T17:19:33.123343342Z,Round 12 / 12,2024-04-26T17:19:32.87079505Z,Chat,2024-04-26T17:19:32.87079505Z,11,2024-04-26T17:19:32.87079505Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.87079505Z,true,2024-04-26T17:28:05.005333708Z,true,2024-04-26T17:28:47.456262162Z,12,2024-04-26T17:19:32.87079505Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.87079505Z
01HWDPPR07MDJYMV6CVR02XCQ1,2,2024-04-26T17:19:33.123343342Z,Round 10 / 12,2024-04-26T17:19:32.871066956Z,Chat,2024-04-26T17:19:32.871066956Z,9,2024-04-26T17:19:32.871066956Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.871066956Z,true,2024-04-26T17:26:40.564116654Z,true,2024-04-26T17:27:23.449907539Z,10,2024-04-26T17:19:32.871066956Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.871066956Z
01HWDPX8MCP4MCXMQWH7W8FG1Y,2,2024-04-26T17:23:06.83218393Z,Round 1 / 12,2024-04-26T17:23:06.508482247Z,Chat,2024-04-26T17:23:06.508482247Z,0,2024-04-26T17:23:06.508482247Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.508482247Z,true,2024-04-26T17:23:06.865779045Z,true,2024-04-26T17:24:07.479823454Z,1,2024-04-26T17:23:06.508482247Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.508482247Z
