id,timerID,timerIDLastChangedAt,started,startedLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,roundID,roundIDLastChangedAt,batchID,batchIDLastChangedAt,initialized,initializedLastChangedAt
01HWDPPR213M4BSAQF6J1TJ0X1,01HWDPPR03EZ2EDY1FW3HK2GEV,2024-04-26T17:19:32.929309356Z,true,2024-04-26T17:20:33.870745325Z,30,2024-04-26T17:19:32.929309356Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.929309356Z,true,2024-04-26T17:21:03.876549672Z,0,2024-04-26T17:19:32.929309356Z,send,2024-04-26T17:19:32.929309356Z,true,2024-04-26T17:20:33.805316351Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:19:32.929309356Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.929309356Z,true,2024-04-26T17:20:33.851773398Z
01HWDPPR213M4BSAQF75CBP032,01HWDPPR0SV5PS5MX5HYZWZ1AD,2024-04-26T17:19:32.929725375Z,true,2024-04-26T17:21:03.944438913Z,30,2024-04-26T17:19:32.929725375Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.929725375Z,true,2024-04-26T17:21:28.690944949Z,1,2024-04-26T17:19:32.929725375Z,observe,2024-04-26T17:19:32.929725375Z,true,2024-04-26T17:21:03.889636255Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:19:32.929725375Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.929725375Z,true,2024-04-26T17:21:03.925152536Z
01HWDPPR3FY51DPQR7K0BN17VG,01HWDPPR10GHTWVR61PWG4QE2B,2024-04-26T17:19:32.975809891Z,true,2024-04-26T17:25:58.18413312Z,30,2024-04-26T17:19:32.975809891Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.975809891Z,true,2024-04-26T17:26:28.19022005Z,0,2024-04-26T17:19:32.975809891Z,send,2024-04-26T17:19:32.975809891Z,true,2024-04-26T17:25:58.111188306Z,01HWDPPR04QRKN61NZ1XE6RWZE,2024-04-26T17:19:32.975809891Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.975809891Z,true,2024-04-26T17:25:58.162567432Z
01HWDPPR3GFTDHNFFJT5AJW7KZ,01HWDPPR29CCJWBMVM0HDE3DTM,2024-04-26T17:19:32.978367393Z,true,2024-04-26T17:26:28.298196081Z,30,2024-04-26T17:19:32.978367393Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.978367393Z,true,2024-04-26T17:26:40.530015326Z,1,2024-04-26T17:19:32.978367393Z,observe,2024-04-26T17:19:32.978367393Z,true,2024-04-26T17:26:28.219639736Z,01HWDPPR04QRKN61NZ1XE6RWZE,2024-04-26T17:19:32.978367393Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.978367393Z,true,2024-04-26T17:26:28.273780494Z
01HWDPPR3RVV2HA792V8MKR8XF,01HWDPPR0WMEWHKQ035H8J0GJC,2024-04-26T17:19:32.984156074Z,true,2024-04-26T17:24:28.105157099Z,30,2024-04-26T17:19:32.984156074Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.984156074Z,true,2024-04-26T17:24:58.109568571Z,0,2024-04-26T17:19:32.984156074Z,send,2024-04-26T17:19:32.984156074Z,true,2024-04-26T17:24:28.010124986Z,01HWDPPR04QRKN61NZ16Z6RF89,2024-04-26T17:19:32.984156074Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.984156074Z,true,2024-04-26T17:24:28.083744791Z
01HWDPPR3RVV2HA792VRN4E72G,01HWDPPR2A46KS2HKP7AD4DKBE,2024-04-26T17:19:32.98480733Z,true,2024-04-26T17:24:58.18706459Z,30,2024-04-26T17:19:32.98480733Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.98480733Z,true,2024-04-26T17:25:13.49790019Z,1,2024-04-26T17:19:32.98480733Z,observe,2024-04-26T17:19:32.98480733Z,true,2024-04-26T17:24:58.121423387Z,01HWDPPR04QRKN61NZ16Z6RF89,2024-04-26T17:19:32.98480733Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.98480733Z,true,2024-04-26T17:24:58.165084298Z
01HWDPPR4PJDQVANSH0BKK7NPR,01HWDPPR0GC7Z2BRSZ86W1ZQ4Z,2024-04-26T17:19:33.014945635Z,true,2024-04-26T17:19:33.610113335Z,30,2024-04-26T17:19:33.014945635Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.014945635Z,true,2024-04-26T17:20:03.617505817Z,0,2024-04-26T17:19:33.014945635Z,send,2024-04-26T17:19:33.014945635Z,true,2024-04-26T17:19:33.491167918Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.014945635Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.014945635Z,true,2024-04-26T17:19:33.598722826Z
01HWDPPR4QD040RMF0CS8FFKDC,01HWDPPR38N07DVC5RT1WQD718,2024-04-26T17:19:33.015490959Z,true,2024-04-26T17:20:03.704435553Z,30,2024-04-26T17:19:33.015490959Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.015490959Z,true,2024-04-26T17:20:33.710031503Z,1,2024-04-26T17:19:33.015490959Z,observe,2024-04-26T17:19:33.015490959Z,true,2024-04-26T17:20:03.635673585Z,01HWDPPQZ6JF950H59J2WBPDNB,2024-04-26T17:19:33.015490959Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.015490959Z,true,2024-04-26T17:20:03.686952444Z
01HWDPPR57N4EM5TAW19R4CYXW,01HWDPPR358GQN8JS80373EMNG,2024-04-26T17:19:33.031640937Z,true,2024-04-26T17:27:23.576229911Z,30,2024-04-26T17:19:33.031640937Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.031640937Z,true,2024-04-26T17:27:53.580015433Z,0,2024-04-26T17:19:33.031640937Z,send,2024-04-26T17:19:33.031640937Z,true,2024-04-26T17:27:23.527715504Z,01HWDPPR050CTP5CZCJ34RN91C,2024-04-26T17:19:33.031640937Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.031640937Z,true,2024-04-26T17:27:23.558581299Z
01HWDPPR58JZP80N9CGRANJAGE,01HWDPPR3DPRSBY4J73QQXNKZV,2024-04-26T17:19:33.032244271Z,true,2024-04-26T17:27:53.64723772Z,30,2024-04-26T17:19:33.032244271Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:33.032244271Z,true,2024-04-26T17:28:04.961009765Z,1,2024-04-26T17:19:33.032244271Z,observe,2024-04-26T17:19:33.032244271Z,true,2024-04-26T17:27:53.593090925Z,01HWDPPR050CTP5CZCJ34RN91C,2024-04-26T17:19:33.032244271Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:33.032244271Z,true,2024-04-26T17:27:53.633752998Z
