id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGJ9PXAR5BHWQB5V806SND7P,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:22:35.480526079Z,,,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:22:35.480526079Z,,,01JGJ97WYSVBVNK284VS5XMK3S,2025-01-02T01:22:35.480526079Z,01JGJ9E65EJ30RTE5B9Z8YVXZE,2025-01-02T01:22:35.480526079Z,01JGJ9E67TV0803E9BTSP9S4YT,2025-01-02T01:22:35.480526079Z,,
01JGJ90DSKX1KTPX4C3NJ748V3,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:10:18.675238505Z,100,2025-01-02T01:10:21.996200177Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:10:18.675238505Z,100,2025-01-02T01:10:22.019990868Z,01JGJ8NP5VXXT2KXEA8CTWEJZZ,2025-01-02T01:10:18.675238505Z,01JGJ8SNNCEQRJ9J2XP1AT1M6F,2025-01-02T01:10:18.675238505Z,01JGJ8SNQPDV7JJ4GEMWTKJ92W,2025-01-02T01:10:18.675238505Z,true,2025-01-02T01:10:22.009924148Z
01JGJ925EGHBS045653PMX6QR6,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:11:15.664634364Z,71,2025-01-02T01:11:40.513011152Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:11:15.664634364Z,22,2025-01-02T01:11:40.513584878Z,01JGJ8NDJE69WXDGNEW1G7YDMZ,2025-01-02T01:11:15.664634364Z,01JGJ8SNNB4KP1MBMGRY865E39,2025-01-02T01:11:15.664634364Z,01JGJ8SNQSV8E161BBG49XCPC5,2025-01-02T01:11:15.664634364Z,true,2025-01-02T01:11:40.518430874Z
01JGJ9HVTX6TH1P90PX59VR7N4,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:19:50.109593793Z,42,2025-01-02T01:20:17.03650423Z,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:19:50.109593793Z,15,2025-01-02T01:20:17.035480714Z,01JGJ97WYSVBVNK284VS5XMK3S,2025-01-02T01:19:50.109593793Z,01JGJ9E65CPVXRC1XSVJHY625W,2025-01-02T01:19:50.109593793Z,01JGJ9E6731YEXYMP4JBN36P62,2025-01-02T01:19:50.109593793Z,true,2025-01-02T01:20:17.041035313Z
01JGJ9KPHBMK3DDPDCJRVS72YQ,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:20:50.219074578Z,61,2025-01-02T01:21:10.323742022Z,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:20:50.219074578Z,23,2025-01-02T01:21:10.325182433Z,01JGJ95AJGMPFDE6P3QTD00D0J,2025-01-02T01:20:50.219074578Z,01JGJ9E65DBDGAQEGZ5V0PYFA2,2025-01-02T01:20:50.219074578Z,01JGJ9E67M0WENA4VHBCNYX2Q5,2025-01-02T01:20:50.219074578Z,true,2025-01-02T01:21:10.322821861Z
01JGJ9GYFZTJ0XRS13FC2GCGJ1,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:19:20.063494082Z,,,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:19:20.063494082Z,,,01JGJ95VP8S41R8FP9T3C9KW7N,2025-01-02T01:19:20.063494082Z,01JGJ9E65CPVXRC1XSVJHY625W,2025-01-02T01:19:20.063494082Z,01JGJ9E6731YEXYMP4HN8D212S,2025-01-02T01:19:20.063494082Z,,
01JGJ9KZRXF390VDCXQZXTN6VW,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:20:59.677164859Z,84,2025-01-02T01:21:07.269959155Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:20:59.677164859Z,10,2025-01-02T01:21:07.268628389Z,01JGJ948GC4NV6SASK3X2XH9YW,2025-01-02T01:20:59.677164859Z,01JGJ9BGY5X7VAGHYRMA6CZV8X,2025-01-02T01:20:59.677164859Z,01JGJ9BH0W889V5Q4F173R5R67,2025-01-02T01:20:59.677164859Z,true,2025-01-02T01:21:07.277440895Z
01JGJ9P1KN9N2P9B8QZWKHSGRH,01JGJ91VJB96BD050J4248JZJ3,2025-01-02T01:22:07.093117876Z,,,01JGJ91VJH075JR7FCHZ0ZNBRG,2025-01-02T01:22:07.093117876Z,,,01JGJ9465X36949TVBV0HP2SE4,2025-01-02T01:22:07.093117876Z,01JGJ9P19S5H7TNT4C9M377B1Q,2025-01-02T01:22:07.093117876Z,01JGJ9P1EKPR0HKBCJBMJ0JBAR,2025-01-02T01:22:07.093117876Z,,
01JGJ8SP185VKQXYV9CB074RPJ,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:06:37.736162712Z,,,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:06:37.736162712Z,,,01JGJ8NDJE69WXDGNEW1G7YDMZ,2025-01-02T01:06:37.736162712Z,01JGJ8SNN5KWVQ3EPBJQ0HWT6E,2025-01-02T01:06:37.736162712Z,01JGJ8SNTQ7Z466W4BGF0DTZY9,2025-01-02T01:06:37.736162712Z,,
01JGJ92XRYZPCHBC4KYFWXMSSC,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:11:40.574992368Z,,,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:11:40.574992368Z,,,01JGJ8FGEKNEMV6BVYQ46ASE3B,2025-01-02T01:11:40.574992368Z,01JGJ8SNNDNDCA93J3P1S9SPH4,2025-01-02T01:11:40.574992368Z,01JGJ8SNTDA4V91M4BF1TTVY3F,2025-01-02T01:11:40.574992368Z,,
