id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JGMG269HJY2BDPVBWR6F8YK7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:52:05.425349845Z,,,true,2025-01-02T21:52:05.435199194Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:52:05.425349845Z,terminated,2025-01-02T22:03:51.181718956Z
01JGMFGZTBXYYM7YT7FFAC75J5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:41.739716311Z,,,true,2025-01-02T21:42:41.749034614Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:41.739716311Z,created,2025-01-02T21:42:41.739716311Z
01JGMFH1H2G0R4B4FBKG9148RB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:43.490653958Z,,,true,2025-01-02T21:42:43.497288728Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:43.490653958Z,created,2025-01-02T21:42:43.490653958Z
01JGMFH3325CGZT8P75ZWEN0WS,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:45.090826789Z,all games finished,2025-01-02T22:09:15.352709869Z,true,2025-01-02T21:42:45.097330612Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:45.090826789Z,ended,2025-01-02T22:09:15.352709869Z
01JGMFH3RQY60CFR1HXMT0QMZ9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:45.783393884Z,all games finished,2025-01-02T21:59:59.440308144Z,true,2025-01-02T21:42:45.791500838Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:45.783393884Z,ended,2025-01-02T21:59:59.440308144Z
01JGMFGYNWH90515VZ82BMMZ25,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:40.572793422Z,,,true,2025-01-02T21:42:40.584160168Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:40.572793422Z,created,2025-01-02T21:42:40.572793422Z
01JGMFGZ8DMGPAT3A99BEVGX4M,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:41.16535522Z,,,true,2025-01-02T21:42:41.174122634Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:41.16535522Z,created,2025-01-02T21:42:41.16535522Z
01JGMFH0CD9T9Z1JSPQ4JQ6Z4C,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:42.317668085Z,,,true,2025-01-02T21:42:42.325063607Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:42.317668085Z,created,2025-01-02T21:42:42.317668085Z
01JGMFGSTVDH80CCJ5XZTGX6TQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:35.611990795Z,,,true,2025-01-02T21:42:35.62730058Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:35.611990795Z,created,2025-01-02T21:42:35.611990795Z
01JGMFH232DZ5M3Z50ACE8G85H,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:44.066117932Z,,,true,2025-01-02T21:42:44.074191515Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:44.066117932Z,created,2025-01-02T21:42:44.066117932Z
01JGMGS2ZKG2TPB7Q90Y7QHSP2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T22:04:35.699681572Z,,,true,2025-01-02T22:04:35.710711434Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T22:04:35.699681572Z,created,2025-01-02T22:04:35.699681572Z
01JGMFH0YA6FK5WC0ZF5JDYKZN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:42.890664527Z,,,true,2025-01-02T21:42:42.898897557Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:42.890664527Z,created,2025-01-02T21:42:42.890664527Z
01JGMFH4B4CRHXZ6V0031Q27T3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-02T21:42:46.37286083Z,all games finished,2025-01-02T21:51:56.762303765Z,true,2025-01-02T21:42:46.379939923Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-02T21:42:46.37286083Z,ended,2025-01-02T21:51:56.762303765Z
