id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JGQ5SXW2H39JVKWJT6F7GW06,01JGQ38WMQ7W3GYF5TVYX9H6BM,2025-01-03T22:50:32.194868592Z,30,2025-01-03T22:50:32.194868592Z,true,2025-01-03T22:53:08.804525816Z,01JGQ38WN029258Q1WMJK2KV80,2025-01-03T22:50:32.194868592Z,0,2025-01-03T22:50:32.194868592Z,true,2025-01-03T22:52:43.144856808Z,observe,2025-01-03T22:50:32.194868592Z,01JGQ5SXSM1MGN4PHFX0S4JT96,2025-01-03T22:50:32.194868592Z,true,2025-01-03T22:52:43.103992589Z,true,2025-01-03T22:52:43.16295699Z,01JGQ5SXVR6CT8HT2Q4KM6S6CA,2025-01-03T22:50:32.194868592Z
01JGQ5X4ZAKRK04NWH96ZRAGDD,01JGQ38VG765T1QAW5DXFSTB5T,2025-01-03T22:52:17.770986496Z,30,2025-01-03T22:52:17.770986496Z,true,2025-01-03T22:55:18.893117603Z,01JGQ38VGJFQG97B9G28V7WFX2,2025-01-03T22:52:17.770986496Z,0,2025-01-03T22:52:17.770986496Z,true,2025-01-03T22:54:48.867367531Z,observe,2025-01-03T22:52:17.770986496Z,01JGQ5X4TAVHX6Q8NCXAHEFCHT,2025-01-03T22:52:17.770986496Z,true,2025-01-03T22:54:48.817323699Z,true,2025-01-03T22:54:48.884880758Z,01JGQ5X4W8J8MZGK2M4AW4PHY6,2025-01-03T22:52:17.770986496Z
01JGQ43Z0JA1EK97AGV0WWJAFR,01JGQ390KP8DCY2B8XE6R2B7J3,2025-01-03T22:21:03.890183478Z,30,2025-01-03T22:21:03.890183478Z,true,2025-01-03T22:24:04.733321241Z,01JGQ390KWWYY8R4TXCFAAPTD9,2025-01-03T22:21:03.890183478Z,0,2025-01-03T22:21:03.890183478Z,true,2025-01-03T22:23:34.711089184Z,observe,2025-01-03T22:21:03.890183478Z,01JGQ43YYXN3G6C8ADXKE8SCY5,2025-01-03T22:21:03.890183478Z,true,2025-01-03T22:23:34.675536695Z,true,2025-01-03T22:23:34.727750541Z,01JGQ43YZQVXJH1R4X6HM30KE4,2025-01-03T22:21:03.890183478Z
01JGQ43Z0NH6GAM7T00HYJEZ02,01JGQ390KP8DCY2B8XE6R2B7J3,2025-01-03T22:21:03.893423161Z,30,2025-01-03T22:21:03.893423161Z,true,2025-01-03T22:22:34.339944772Z,01JGQ390KWWYY8R4TXCFAAPTD9,2025-01-03T22:21:03.893423161Z,0,2025-01-03T22:21:03.893423161Z,true,2025-01-03T22:22:04.325431957Z,observe,2025-01-03T22:21:03.893423161Z,01JGQ43YYQH90CAYD7CABSFJKP,2025-01-03T22:21:03.893423161Z,true,2025-01-03T22:22:04.298854324Z,true,2025-01-03T22:22:04.337160265Z,01JGQ43Z0HHZ182T7WCJ8QXFVJ,2025-01-03T22:21:03.893423161Z
01JGQ49TQNMC1ZQ3WS4P8G9C20,01JGQ39005ZKS4YXFHRA0CW5KY,2025-01-03T22:24:16.11717877Z,30,2025-01-03T22:24:16.11717877Z,true,2025-01-03T22:26:45.025826174Z,01JGQ3900DH5KP9RE2ZX9RT59N,2025-01-03T22:24:16.11717877Z,0,2025-01-03T22:24:16.11717877Z,true,2025-01-03T22:26:16.434713472Z,observe,2025-01-03T22:24:16.11717877Z,01JGQ49TNFZ8N6V93F8N3GSM0N,2025-01-03T22:24:16.11717877Z,true,2025-01-03T22:26:16.396589925Z,true,2025-01-03T22:26:16.449156085Z,01JGQ49TQ05DGMVN0Y0Y9C5A07,2025-01-03T22:24:16.11717877Z
01JGQ4Q4S3A098FJ7X9R5FFWKD,01JGQ38ZEY9P7HS1YTGYYSM89T,2025-01-03T22:31:32.387738799Z,30,2025-01-03T22:31:32.387738799Z,true,2025-01-03T22:34:45.470120314Z,01JGQ38ZF6192MQF4M8A8G5YN8,2025-01-03T22:31:32.387738799Z,0,2025-01-03T22:31:32.387738799Z,true,2025-01-03T22:34:22.60352523Z,observe,2025-01-03T22:31:32.387738799Z,01JGQ4Q4P1XWBCE2W4DC0Z43Y1,2025-01-03T22:31:32.387738799Z,true,2025-01-03T22:34:22.568525112Z,true,2025-01-03T22:34:22.61861476Z,01JGQ4Q4QQWPRGQ6NGNAV17043,2025-01-03T22:31:32.387738799Z
01JGQ506KVY25THJK09VN5N8FF,01JGQ38YW9S868R2GPPT418ETN,2025-01-03T22:36:29.179392423Z,30,2025-01-03T22:36:29.179392423Z,true,2025-01-03T22:38:43.443323374Z,01JGQ38YWH6Y27FMC7PEXQSJJ3,2025-01-03T22:36:29.179392423Z,0,2025-01-03T22:36:29.179392423Z,true,2025-01-03T22:38:19.35808093Z,observe,2025-01-03T22:36:29.179392423Z,01JGQ506H39G93D2CBECNW67TC,2025-01-03T22:36:29.179392423Z,true,2025-01-03T22:38:19.320610421Z,true,2025-01-03T22:38:19.375699336Z,01JGQ506JYXW3AZ0FVYCQSHQ19,2025-01-03T22:36:29.179392423Z
01JGQ506KX7EZHH3QXVNXM4F6Q,01JGQ38YW9S868R2GPPT418ETN,2025-01-03T22:36:29.181203395Z,30,2025-01-03T22:36:29.181203395Z,true,2025-01-03T22:38:19.243877481Z,01JGQ38YWH6Y27FMC7PEXQSJJ3,2025-01-03T22:36:29.181203395Z,0,2025-01-03T22:36:29.181203395Z,true,2025-01-03T22:37:59.86051037Z,observe,2025-01-03T22:36:29.181203395Z,01JGQ506H5ZARC5SQPXPV5ZGE8,2025-01-03T22:36:29.181203395Z,true,2025-01-03T22:37:59.821171709Z,true,2025-01-03T22:37:59.879514339Z,01JGQ506JYXW3AZ0FVYFB5RHB9,2025-01-03T22:36:29.181203395Z
01JGQ71K1992TW6XKCHE4QYYAQ,01JGQ65PRZYMQ10XNT5TDGWRHT,2025-01-03T23:12:11.818015839Z,30,2025-01-03T23:12:11.818015839Z,true,2025-01-03T23:12:42.673505967Z,01JGQ65PSV4VG5MD1HSCDACPHJ,2025-01-03T23:12:11.818015839Z,0,2025-01-03T23:12:11.818015839Z,true,2025-01-03T23:12:12.63636825Z,looking at your yard,2025-01-03T23:12:11.818015839Z,01JGQ71JGCCMH6PPJA6SDG52AJ,2025-01-03T23:12:11.818015839Z,true,2025-01-03T23:12:12.549175428Z,true,2025-01-03T23:12:12.668139945Z,01JGQ71JKAT1K6BGHP8QZ41E7G,2025-01-03T23:12:11.818015839Z
01JGQ49TQVPGSW5DF6WPJPYKYH,01JGQ39005ZKS4YXFHRA0CW5KY,2025-01-03T22:24:16.123262995Z,30,2025-01-03T22:24:16.123262995Z,true,2025-01-03T22:25:16.403411527Z,01JGQ3900DH5KP9RE2ZX9RT59N,2025-01-03T22:24:16.123262995Z,1,2025-01-03T22:24:16.123262995Z,true,2025-01-03T22:24:46.384032407Z,observe,2025-01-03T22:24:16.123262995Z,01JGQ49TN6KEV4M6KHHG1VFGPW,2025-01-03T22:24:16.123262995Z,true,2025-01-03T22:24:46.350564583Z,true,2025-01-03T22:24:46.396602074Z,01JGQ49TQ05DGMVN0Y0V4QTT3K,2025-01-03T22:24:16.123262995Z
