id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JGQER3CZ63P83J87PH7N19H2,01JGQANQ1TNTSD6JYM8SV3GAXG,2025-01-04T01:26:49.503953645Z,30,2025-01-04T01:26:49.503953645Z,true,2025-01-04T01:28:50.284424564Z,,,01JGQANQ25RPT5KWDFFEJAKMWE,2025-01-04T01:26:49.503953645Z,0,2025-01-04T01:26:49.503953645Z,true,2025-01-04T01:28:20.249687588Z,observe,2025-01-04T01:26:49.503953645Z,01JGQER39BDZVDABJD99HX3QDY,2025-01-04T01:26:49.503953645Z,true,2025-01-04T01:28:20.17057093Z,true,2025-01-04T01:28:20.280517355Z,,,01JGQER39Z2A7JMHFEGMXWMY1P,2025-01-04T01:26:49.503953645Z
01JGQAZHRR902Y557YNGMC120A,01JGQAPTG44XVMCBBZRX3B3F2M,2025-01-04T00:20:59.288681171Z,30,2025-01-04T00:20:59.288681171Z,true,2025-01-04T00:24:18.434231261Z,,,01JGQAPTGBFPAHC7D2HNSX01XV,2025-01-04T00:20:59.288681171Z,0,2025-01-04T00:20:59.288681171Z,true,2025-01-04T00:23:48.416122015Z,observe,2025-01-04T00:20:59.288681171Z,01JGQAZHPSM6Z5DEJMEKM5Q40F,2025-01-04T00:20:59.288681171Z,true,2025-01-04T00:23:48.384920964Z,true,2025-01-04T00:23:48.429955382Z,,,01JGQAZHR2KYZ30Q4MZS59QEKF,2025-01-04T00:20:59.288681171Z
01JGQG1AM8T8M043303EZX7ABA,01JGQF65RRWB9YPXJ5JYNXYVXA,2025-01-04T01:49:20.392578472Z,30,2025-01-04T01:49:20.392578472Z,true,2025-01-04T01:55:28.289900946Z,,,01JGQF65T5T5D05EWSSBJSWW9F,2025-01-04T01:49:20.392578472Z,0,2025-01-04T01:49:20.392578472Z,true,2025-01-04T01:54:58.230344306Z,send,2025-01-04T01:49:20.392578472Z,01JGQG19VE1R8ENG73S9K4NJEK,2025-01-04T01:49:20.392578472Z,true,2025-01-04T01:54:58.067631669Z,true,2025-01-04T01:54:58.284747384Z,,,01JGQG1A4YW4VS68X79YS15BS7,2025-01-04T01:49:20.392578472Z
01JGQG50TPHP2JKJDE828J2RYY,01JGQF654N98B99N4K38KM5S6Q,2025-01-04T01:51:21.430739224Z,30,2025-01-04T01:51:21.430739224Z,true,2025-01-04T01:53:25.846081272Z,,,01JGQF656N0JYE5JC9A19KNJY6,2025-01-04T01:51:21.430739224Z,0,2025-01-04T01:51:21.430739224Z,true,2025-01-04T01:52:55.739214356Z,send,2025-01-04T01:51:21.430739224Z,01JGQG4ZYZ8NRVJJVPGKQJP62S,2025-01-04T01:51:21.430739224Z,true,2025-01-04T01:52:55.589474423Z,true,2025-01-04T01:52:55.843371798Z,,,01JGQG5068TP4ZKPA37ZD8GH1N,2025-01-04T01:51:21.430739224Z
01JGQGZQPH4EHGMZ652B435W3Q,01JGQF61VKXPET2M34DKYATY7V,2025-01-04T02:05:56.817842898Z,30,2025-01-04T02:05:56.817842898Z,true,2025-01-04T02:09:22.813028305Z,,,01JGQF61XBJA64364MXPDRBV86,2025-01-04T02:05:56.817842898Z,1,2025-01-04T02:05:56.817842898Z,true,2025-01-04T02:09:00.573396059Z,observe,2025-01-04T02:05:56.817842898Z,01JGQGZP2PCV4574XDXN7P09K3,2025-01-04T02:05:56.817842898Z,true,2025-01-04T02:09:00.369397805Z,true,2025-01-04T02:09:00.646240169Z,,,01JGQGZPX595S5GRHSXKBAAKDF,2025-01-04T02:05:56.817842898Z
01JGQE3NT916VJ2658PXHHHX5W,01JGQANS0DRPZ42XMAYPM4M0NE,2025-01-04T01:15:40.233770723Z,30,2025-01-04T01:15:40.233770723Z,true,2025-01-04T01:17:29.775935795Z,,,01JGQANS0MVMD7SADWF1DQPKWJ,2025-01-04T01:15:40.233770723Z,0,2025-01-04T01:15:40.233770723Z,true,2025-01-04T01:17:10.105655799Z,observe,2025-01-04T01:15:40.233770723Z,01JGQE3NNKFSCV2FS41MECYH36,2025-01-04T01:15:40.233770723Z,true,2025-01-04T01:17:10.045351209Z,true,2025-01-04T01:17:10.129403156Z,,,01JGQE3NQEF67HD4AN259PB7DE,2025-01-04T01:15:40.233770723Z
01JGQGBE676SJD5Z0WBDGF3RGF,01JGQF64FQ60MKCJXCWAV9MP24,2025-01-04T01:54:51.719116079Z,30,2025-01-04T01:54:51.719116079Z,true,2025-01-04T02:00:48.753469215Z,,,01JGQF64HTK4H45CGGHMXTP4J3,2025-01-04T01:54:51.719116079Z,1,2025-01-04T01:54:51.719116079Z,true,2025-01-04T02:00:27.596925311Z,observe,2025-01-04T01:54:51.719116079Z,01JGQGBCWY6XSTT6N133KBN3N7,2025-01-04T01:54:51.719116079Z,true,2025-01-04T02:00:27.424611137Z,true,2025-01-04T02:00:27.657563666Z,,,01JGQGBDJF0FR0TTAZSGBP5JHJ,2025-01-04T01:54:51.719116079Z
01JGQC9SBTTZMPKFX15805JXRD,01JGQAPPN2QSF04PVY1ZR8H4FP,2025-01-04T00:44:03.322769689Z,30,2025-01-04T00:44:03.322769689Z,true,2025-01-04T00:45:03.65285278Z,,,01JGQAPPNB6TZSWQ2WTH2VYBV5,2025-01-04T00:44:03.322769689Z,1,2025-01-04T00:44:03.322769689Z,true,2025-01-04T00:44:33.631856734Z,observe,2025-01-04T00:44:03.322769689Z,01JGQC9S4K23KKVY60JSAS4HGF,2025-01-04T00:44:03.322769689Z,true,2025-01-04T00:44:33.592412428Z,true,2025-01-04T00:44:33.649379784Z,,,01JGQC9S7839KGZ9C5B6FT3XX5,2025-01-04T00:44:03.322769689Z
01JGQFWPCVHM2PGQK3CSQRHJBV,01JGQF66BVHNKQJ8R6TCDX2VEY,2025-01-04T01:46:48.603859987Z,30,2025-01-04T01:46:48.603859987Z,true,2025-01-04T01:48:51.773563479Z,,,01JGQF66CMX0WZM6AYBRQF8306,2025-01-04T01:46:48.603859987Z,0,2025-01-04T01:46:48.603859987Z,true,2025-01-04T01:48:21.720766384Z,send,2025-01-04T01:46:48.603859987Z,01JGQFWNS4DBYAV96SEPKD1Y11,2025-01-04T01:46:48.603859987Z,true,2025-01-04T01:48:21.586298721Z,true,2025-01-04T01:48:21.769131907Z,,,01JGQFWNYBF50GMNPMBWSTFBT3,2025-01-04T01:46:48.603859987Z
01JGQFWPDG9BNDMRM8Z6X3E14E,01JGQF66BVHNKQJ8R6TCDX2VEY,2025-01-04T01:46:48.624328497Z,30,2025-01-04T01:46:48.624328497Z,true,2025-01-04T01:49:15.025872941Z,,,01JGQF66CMX0WZM6AYBRQF8306,2025-01-04T01:46:48.624328497Z,1,2025-01-04T01:46:48.624328497Z,true,2025-01-04T01:48:51.977510691Z,observe,2025-01-04T01:46:48.624328497Z,01JGQFWNS4DBYAV96SEPKD1Y11,2025-01-04T01:46:48.624328497Z,true,2025-01-04T01:48:51.832454472Z,true,2025-01-04T01:48:52.029792538Z,,,01JGQFWPB7J72V0NY0H9SE37YC,2025-01-04T01:46:48.624328497Z
