id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JDAK4HZ5PZZE8P6JF6PKSECV,01JDAJRS2C31SJFAH770441W5H,2024-11-22T18:46:18.853364024Z,true,2024-11-22T18:49:40.20574159Z,01JDAJRS3XH4WXC3F8RQWABB9T,2024-11-22T18:46:18.853364024Z,8,2024-11-22T18:46:18.853364024Z,7,2024-11-22T18:46:18.853364024Z,Round 8 / 8,2024-11-22T18:46:18.853364024Z,1,2024-11-22T18:46:19.725642899Z,true,2024-11-22T18:49:25.644297791Z,Chat,2024-11-22T18:46:18.853364024Z
01JDAMEJJ3AKWEEH0ZQKHP671S,01JDAM2TSJ10JQWQGTW3340Q7R,2024-11-22T19:09:15.715944821Z,true,2024-11-22T19:11:32.604748357Z,01JDAM2TVAA9VXHJXH0KVEN359,2024-11-22T19:09:15.715944821Z,4,2024-11-22T19:09:15.715944821Z,3,2024-11-22T19:09:15.715944821Z,Round 4 / 8,2024-11-22T19:09:15.715944821Z,1,2024-11-22T19:09:17.493017163Z,true,2024-11-22T19:11:01.839577136Z,Chat,2024-11-22T19:09:15.715944821Z
01JDAMWW51NA225GJEH739DV3J,01JDAMR0MME5K4R8KFTWR4M5XE,2024-11-22T19:17:04.289495104Z,true,2024-11-22T19:18:19.51657179Z,01JDAMR0VYECP793TFTR4648G8,2024-11-22T19:17:04.289495104Z,2,2024-11-22T19:17:04.289495104Z,1,2024-11-22T19:17:04.289495104Z,Round 2 / 8,2024-11-22T19:17:04.289495104Z,1,2024-11-22T19:17:08.603343396Z,true,2024-11-22T19:18:03.619199375Z,Chat,2024-11-22T19:17:04.289495104Z
01JDANNX54XK1SQG4R6Q9E2SNV,01JDAMQFNJD4XVVZ6SKW9NRDA9,2024-11-22T19:30:44.516160901Z,true,2024-11-22T19:31:58.889659472Z,01JDAMQFQ7ND7453PEYN64401R,2024-11-22T19:30:44.516160901Z,1,2024-11-22T19:30:44.516160901Z,0,2024-11-22T19:30:44.516160901Z,Round 1 / 8,2024-11-22T19:30:44.516160901Z,2,2024-11-22T19:30:47.383265857Z,true,2024-11-22T19:30:50.825821132Z,Chat,2024-11-22T19:30:44.516160901Z
01JDAG1GBQ6177PQRR82WZF9CY,01JDAFKV9C2GZSA71WJVAQ8MG0,2024-11-22T17:52:13.175399073Z,true,2024-11-22T17:55:11.196580134Z,01JDAFKV9QD012SN1JSK0F77TJ,2024-11-22T17:52:13.175399073Z,5,2024-11-22T17:52:13.175399073Z,4,2024-11-22T17:52:13.175399073Z,Round 5 / 8,2024-11-22T17:52:13.175399073Z,1,2024-11-22T17:52:13.378406438Z,true,2024-11-22T17:54:44.168986332Z,Chat,2024-11-22T17:52:13.175399073Z
01JDAHK6VCE8297JJC51YWZTZG,01JDAHAFD5MAZ5PQC1DSQ05G3K,2024-11-22T18:19:21.83614809Z,true,2024-11-22T18:22:27.022419526Z,01JDAHAFDM0EVKS9PJJB5ZZRRS,2024-11-22T18:19:21.83614809Z,8,2024-11-22T18:19:21.83614809Z,7,2024-11-22T18:19:21.83614809Z,Round 8 / 8,2024-11-22T18:19:21.83614809Z,1,2024-11-22T18:19:22.06958223Z,true,2024-11-22T18:22:14.561209887Z,Chat,2024-11-22T18:19:21.83614809Z
01JDAK4HW9VSP2DRY2SF5AGYP0,01JDAJRS2C31SJFAH770441W5H,2024-11-22T18:46:18.761151158Z,true,2024-11-22T18:47:50.309134507Z,01JDAJRS3XH4WXC3F8RQWABB9T,2024-11-22T18:46:18.761151158Z,2,2024-11-22T18:46:18.761151158Z,1,2024-11-22T18:46:18.761151158Z,Round 2 / 8,2024-11-22T18:46:18.761151158Z,1,2024-11-22T18:46:19.516191127Z,true,2024-11-22T18:47:23.512590299Z,Chat,2024-11-22T18:46:18.761151158Z
01JDAR8Q04JWJD364HSJ0Y3GQ5,01JDAPW5673VAZ9E1CSM7C7AKQ,2024-11-22T20:15:57.956183601Z,true,2024-11-22T20:20:20.674325831Z,01JDAPWA2JVVQ85FXGK4D2XCZ9,2024-11-22T20:15:57.956183601Z,3,2024-11-22T20:15:57.956183601Z,2,2024-11-22T20:15:57.956183601Z,Round 3 / 8,2024-11-22T20:15:57.956183601Z,1,2024-11-22T20:16:08.327484289Z,true,2024-11-22T20:19:34.021097173Z,Chat,2024-11-22T20:15:57.956183601Z
01JDARH5D8NYCWRT06KX85ATZ0,01JDAPW4CD5A08H6QZB7ERWYJQ,2024-11-22T20:20:34.856495849Z,true,2024-11-22T20:26:40.894046267Z,01JDAPW86BAAKNNS68C5H9WA5C,2024-11-22T20:20:34.856495849Z,5,2024-11-22T20:20:34.856495849Z,4,2024-11-22T20:20:34.856495849Z,Round 5 / 8,2024-11-22T20:20:34.856495849Z,1,2024-11-22T20:20:43.357873235Z,true,2024-11-22T20:25:20.882230047Z,Chat,2024-11-22T20:20:34.856495849Z
01JDARN0GSMWPJM6CA7W5V76AG,01JDAPW24TQP4CMPXGVAWX0S7G,2024-11-22T20:22:40.921146404Z,true,2024-11-22T20:33:01.836511733Z,01JDAPW3GT91PK3YCKS5KNY6R5,2024-11-22T20:22:40.921146404Z,8,2024-11-22T20:22:40.921146404Z,7,2024-11-22T20:22:40.921146404Z,Round 8 / 8,2024-11-22T20:22:40.921146404Z,1,2024-11-22T20:22:53.234220122Z,true,2024-11-22T20:31:59.031975872Z,Chat,2024-11-22T20:22:40.921146404Z
